"","Table 3#20# State Government Current Receipts and Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 07, 2010  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/24/2011 9:10:35 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"8","1","    Current receipts","W730RC1",62.6,70.1,79.4,96.3,104.5,113.5,127.4,143.4,160,179.3,197.3,218.7,239.5,247.9,272.9,308.2,333.1,359.1,380.5,408.8,441.7,476.7,512.4,559.9,594,630.6,663.5,696.8,731.2,777.3,828.2,884.1,922.5,940.6,991.8,1072.2,1161.8,1220,1277.5,1306.9,1331.7
"9","2","Current tax receipts","W731RC1",44,48.1,53.8,63.5,70.2,75.9,81.9,93.8,105.1,117.4,128.9,140.9,155.6,162.3,180.5,205.4,220.9,234,253.7,269.4,288.4,305.6,314.2,338.8,357.1,380.4,401.5,425.9,449.1,480.7,507.9,540.1,546.8,536.4,561.2,610.8,681.2,732.1,765,768.1,693.8
"10","3","  Personal current taxes","W732RC1",10.8,12,13.4,17.9,19.8,21.1,23.2,27,30.9,35.6,38.9,43.7,48.5,52.3,58.9,68.2,73.2,78.3,87.5,90.4,102.4,109.6,111.8,120.6,126.3,132.1,140.9,150.9,162.7,180.4,192.6,213.5,220.1,199.1,201.8,221.4,246.7,271.2,289.5,300.2,254.9
