"","Table 6#21B# Undistributed Corporate Profits by Industry        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1948 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/24/2011 11:29:03 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","      Undistributed corporate profits","B057RC0",16419,12166,16470,13659,12271,12510,12437,17365,17190,15915,12433,17459,15483,14778,17884,19472,22747,28880,32149,29138,29276,27155
"9","2","Domestic industries","A3402C0",15994,11873,16185,13077,11482,11847,11897,16590,16182,14709,11644,16603,14302,13857,16783,18065,21481,27505,30463,27543,27008,24396
"10","3","  Agriculture, forestry, and fishing","A3403C0",44,22,35,4,-25,-40,-1,-26,-22,-25,-15,-15,-18,-14,27,-107,-5,56,87,2,54,55
"11","4","    Farms","B3404C0",45,28,39,4,-26,-42,0,-29,-25,-30,-40,-61,-66,-69,-41,-147,-35,18,41,-18,25,3
"12","5","    Agricultural services, forestry, and fishing","B3405C0",-1,-6,-4,0,1,2,-1,3,3,5,25,46,48,55,68,40,30,38,46,20,29,52
"13","6","  Mining","A3406C0",931,618,811,741,545,456,426,606,638,669,382,158,186,239,80,190,407,307,132,9,-79,-189
"14","7","    Metal mining","B3407C0",113,35,94,77,37,67,50,52,44,28,46,-110,-36,21,-22,60,103,46,86,-146,-76,-94
"15","8","    Coal mining","B3408C0",243,58,110,91,49,28,6,55,118,105,51,27,38,58,38,71,106,97,92,92,100,76
"16","9","    Oil and gas extraction","B3409C0",514,467,542,500,393,293,287,395,376,459,242,191,90,96,15,-74,24,45,-178,-98,-221,-308
"17","10","    Nonmetallic minerals, except fuels","B3410C0",61,58,65,73,66,68,83,104,100,77,43,50,94,64,49,133,174,119,132,161,118,137
"18","11","  Construction","B3411C0",369,336,288,244,280,226,251,194,363,389,379,309,114,204,402,443,652,833,941,1028,1106,1003
"19","12","  Manufacturing","A3412C0",8737,6014,9034,7095,5758,6317,6558,9653,8951,8060,5519,8810,7140,6384,7879,9171,10642,14006,15720,13730,13080,10793
"20","13","    Durable goods","A3413C0",4055,2947,4579,3626,2950,3138,2981,4935,4211,3988,2043,4035,2747,2163,3919,4722,5841,8516,8893,7246,6892,5128
"21","14","      Lumber and wood products","B3414C0",282,131,319,236,166,147,163,270,193,95,165,279,147,161,244,347,426,527,427,400,735,752
