"","Table 1#6#8# Contributions to Percent Change in the Gross Domest","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"1","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1930 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published February 25, 2011 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/24/2011 11:18:55 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8",NA,"Percent change at annual rate:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","  Gross domestic purchases","A712RV1",-4.1,-9.8,-11.6,-2.8,4.8,2,1.2,3.9,-2,-1.1,0.7,6.4,8,5.6,2.3,2.7,12.2,11,5.8,0.1,1.1,7.2,2,1.1,1.1,1.4,3.4,3.4,2.2,1.2,1.4,1.1,1.3,1.2,1.6,1.7,2.8,2.9,4.2,4.9
"10",NA,"Percentage points at annual rates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2","Personal consumption expenditures","DPCERS2",-3.23,-8.42,-9.57,-2.92,3.63,1.88,0.69,2.7,-1.69,-0.71,0.61,4.23,7.24,4.72,2.79,2.03,4.28,6.96,3.85,-0.52,0.8,4.36,1.27,0.82,0.53,0.26,1.26,1.91,1.48,0.95,1.04,0.67,0.74,0.73,0.92,0.9,1.57,1.55,2.39,2.79
"12","3","  Goods","DGDSRS2",-2.26,-5.88,-5.77,-0.33,4.12,1.13,0.16,1.53,-1.72,-0.63,0.36,3.2,5.48,3.32,1.8,1.3,2.71,4.96,2.46,-0.96,0.13,3.1,0.36,-0.16,-0.13,-0.21,0.61,1.1,0.79,0.18,0.27,0.13,0.17,0.27,0.35,0.34,0.71,0.56,1.1,1.21
"13","4","    Durable goods","DDURRS2",-0.53,-0.87,-0.86,-0.16,0.41,-0.04,0.04,0.33,0,-0.09,0.08,0.61,1.06,0.38,0.43,0.21,0.26,0.77,0.48,0.07,0.05,0.69,0.06,-0.07,-0.2,-0.04,0.23,0.34,0.16,0.14,-0.03,0.02,0.04,0.03,0.04,-0.08,-0.02,0.15,0.29,0.26
"14","5","      Motor vehicles and parts","DMOTRS2",-0.1,-0.15,-0.11,-0.12,0.1,-0.04,0.01,0.07,0.09,-0.05,0,0.24,0.35,0.02,0.03,0.01,0.22,0.23,0.22,0.12,0.01,0.21,0.14,-0.07,-0.12,0.04,0.18,0.23,0.13,0.17,-0.07,0.02,0.06,0.03,0.03,-0.03,-0.03,0.05,0.13,0.08
"15","6","      Furnishings and durable household equipment","DFDHRS2",-0.13,-0.38,-0.45,0.01,0.25,0.02,0.02,0.23,-0.06,-0.03,0.03,0.26,0.45,0.31,0.25,0.15,0.01,0.28,0.17,-0.09,0.07,0.39,-0.04,0.01,-0.02,-0.03,0.03,0.06,-0.01,0,0.03,0.01,0,0,0,-0.02,0.02,0.06,0.11,0.1
"16","7","      Recreational goods and vehicles","DREQRS2",-0.27,-0.29,-0.19,-0.06,0.03,-0.01,-0.01,0.02,0,-0.02,0.02,0.02,0.12,0,0.04,0.01,0.02,0.19,0.07,0.04,-0.01,0.03,-0.04,-0.02,-0.04,-0.04,0.01,0.05,0.03,-0.04,0.01,-0.01,-0.01,0,-0.02,-0.02,-0.02,0.01,0.03,0.04
"17","8","      Other durable goods","DODGRS2",-0.02,-0.05,-0.1,0,0.03,-0.02,0.02,0.01,-0.03,0.01,0.03,0.08,0.14,0.05,0.11,0.04,0,0.07,0.01,-0.01,-0.01,0.06,0,0,-0.02,-0.01,0.01,0.01,0,0,0,0,0,0,0.02,0,0,0.02,0.02,0.04
"18","9","    Nondurable goods","DNDGRS2",-1.73,-5.01,-4.91,-0.17,3.71,1.17,0.12,1.2,-1.71,-0.54,0.28,2.59,4.42,2.94,1.38,1.09,2.46,4.19,1.98,-1.03,0.08,2.41,0.3,-0.09,0.07,-0.17,0.37,0.76,0.63,0.04,0.3,0.1,0.13,0.24,0.31,0.42,0.73,0.41,0.8,0.95
"19","10","      Food and beverages purchased for off-premises consumption","DFXARS2",-1.05,-3.24,-2.92,0.09,2.08,1.36,0.03,0.55,-1.37,-0.17,0.09,1.58,2.57,1.84,0.32,0.37,1.5,2.49,0.82,-0.64,0.07,1.44,0.33,-0.26,-0.01,-0.24,0.09,0.38,0.52,-0.13,0.1,0.06,0.09,0.11,0.22,0.21,0.43,0.01,0.3,0.44
"20","11","      Clothing and footwear","DCLORS2",-0.4,-1.11,-1.58,0.15,1.23,-0.15,0.01,0.39,-0.18,-0.18,0.08,0.68,1.24,0.74,0.79,0.57,0.64,0.64,0.46,-0.32,-0.05,0.55,-0.1,-0.01,0.01,-0.02,0.1,0.08,0.02,0.04,0.07,0.03,0.01,0.04,0.04,0.04,0.13,0.19,0.25,0.24
"21","12","      Gasoline and other energy goods","DGOERS2",-0.11,-0.41,-0.09,-0.1,0.24,-0.04,0.11,0.08,-0.07,-0.14,0,0.17,0.17,0.07,0.03,0,0.09,0.35,0.41,0.05,0.03,0.08,0.05,0.11,0.05,0.03,0.09,0.14,-0.04,0.04,0.05,0,0.01,0.01,-0.03,0.09,0.06,0.09,0.05,0.08
"22","13","      Other nondurable goods","DONGRS2",-0.18,-0.25,-0.32,-0.31,0.15,-0.01,-0.03,0.19,-0.09,-0.05,0.1,0.16,0.43,0.29,0.24,0.15,0.23,0.71,0.29,-0.12,0.02,0.33,0.02,0.07,0.01,0.05,0.08,0.16,0.12,0.08,0.08,0.01,0.02,0.07,0.08,0.07,0.1,0.13,0.2,0.19
"23","14","  Services","DSERRS2",-0.97,-2.54,-3.8,-2.59,-0.49,0.75,0.52,1.16,0.03,-0.09,0.25,1.03,1.76,1.4,0.98,0.73,1.56,2,1.39,0.44,0.67,1.26,0.91,0.98,0.67,0.47,0.66,0.81,0.69,0.77,0.77,0.54,0.57,0.46,0.56,0.56,0.86,0.99,1.3,1.58
"24","15","    Household consumption expenditures","DHCERS2",-0.91,-2.41,-3.69,-2.52,-0.57,0.74,0.49,1.1,0.06,-0.09,0.25,0.98,1.69,1.35,0.95,0.71,1.48,1.85,1.32,0.44,0.64,1.2,0.91,0.97,0.64,0.45,0.62,0.77,0.67,0.75,0.84,0.53,0.56,0.44,0.56,0.54,0.83,0.96,1.26,1.51
"25","16","      Housing and utilities","DHUTRS2",-0.35,-0.74,-1.53,-1.62,-1.23,0.04,0.2,0.42,0.29,-0.03,0.03,0.14,0.19,0.04,0.05,0.07,0.12,0.26,0.42,0.23,0.26,0.33,0.33,0.4,0.26,0.15,0.15,0.18,0.2,0.17,0.2,0.15,0.12,0.12,0.1,0.09,0.15,0.18,0.24,0.33
"26","17","      Health care","DHLCRS2",0.01,-0.17,-0.33,-0.04,0.1,0.14,0.05,0.06,0.04,-0.02,0.07,0.05,0.11,0.12,0.1,0.07,0.15,0.22,0.12,0.03,0.05,0.1,0.1,0.1,0.08,0.08,0.09,0.11,0.11,0.08,0.2,0.07,0.08,0.09,0.12,0.11,0.16,0.24,0.25,0.29
"27","18","      Transportation services","DTRSRS2",-0.02,-0.11,-0.18,-0.14,0.05,0.05,-0.01,-0.01,0.01,0.01,-0.04,0.03,0.1,0.04,-0.01,0.02,0.07,0.16,0.15,0.13,0.09,0.13,0.07,0.08,0.06,0.04,0.06,0.06,0.05,0.05,0.04,0.05,0.04,0.01,0.02,0.03,0.03,0.06,0.08,0.11
"28","19","      Recreation services","DRCARS2",-0.03,-0.08,-0.09,-0.1,0.01,0.02,0.03,0.06,0.03,-0.01,0.01,0.05,0.07,0.09,0.14,0.06,0.1,0.12,0.05,0.02,0.01,0.04,0.04,0.05,0.05,0.04,0.04,0.04,0.04,0.03,0.04,0.03,0.03,0.03,0.04,0.03,0.03,0.04,0.07,0.06
"29","20","      Food services and accommodations","DFSARS2",-0.22,-0.52,-0.64,-0.13,0.29,0.3,0.01,0.15,-0.21,-0.09,0.05,0.39,0.68,0.52,0.2,0.18,0.64,0.65,0.23,-0.13,0.08,0.33,0.1,-0.04,0.05,-0.01,0.05,0.13,0.1,0.14,0.11,0.08,0.1,0.08,0.06,0.07,0.15,0.21,0.2,0.23
"30","21","      Financial services and insurance","DIFSRS2",-0.07,-0.26,-0.33,-0.15,0.11,0.12,0.12,0.12,-0.06,-0.02,0.07,0.06,0.12,0.07,0.06,0.05,0.17,0.08,0.09,0.03,0.04,0.02,0.11,0.21,0.08,0.07,0.07,0.08,0.04,0.14,0.11,0.09,0.11,0,0.11,0.07,0.16,0.06,0.2,0.25
"31","22","      Other services","DOTSRS2",-0.24,-0.52,-0.59,-0.34,0.1,0.07,0.1,0.31,-0.04,0.07,0.05,0.25,0.41,0.48,0.41,0.27,0.23,0.36,0.25,0.11,0.12,0.24,0.16,0.16,0.08,0.07,0.16,0.16,0.13,0.14,0.14,0.06,0.08,0.11,0.11,0.13,0.15,0.17,0.23,0.25
"32","23","    Final consumption expenditures of nonprofit institutions serving households (NPISHs)","DNPIRS2",-0.05,-0.13,-0.12,-0.06,0.08,0.01,0.03,0.06,-0.03,0,0,0.05,0.07,0.05,0.03,0.03,0.09,0.15,0.07,0.01,0.03,0.07,0,0.01,0.02,0.02,0.04,0.04,0.02,0.02,-0.07,0.01,0.01,0.02,0,0.03,0.04,0.03,0.04,0.06
"33","24","Gross private domestic investment","A006RS2",-0.59,-0.81,-0.83,-0.27,-0.02,-0.06,0.1,0.86,-0.34,-0.07,0.3,1,1.07,0.22,0.1,0.11,0.9,2.69,1.35,0.17,0.33,1.59,0.29,0.02,0.1,0.22,0.95,0.54,0.03,0.14,0.08,-0.04,0.01,-0.05,0.09,0.26,0.34,0.43,0.58,0.75
