"","Table 6#1B# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1948 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 17, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/24/2011 11:27:11 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","    National income without capital consumption adjustment","J422RC1",246.7,241.3,267.5,307.8,324.9,341.3,340.4,372.2,395.6,414.3,417.1,454.4,473.4,489.5,524.6,554.5,595.4,645.7,703.6,743.8,814.7,881.6
"9","2","Domestic industries","J423RC1",245.2,240,266.1,306,322.9,339.4,338.3,369.7,392.8,411.3,414.5,451.6,470.3,486,520.5,550,590.4,640.5,698.5,738.4,808.6,875.5
"10","3","  Private industries","J736RC1",225,217.5,242.5,275.8,288.1,303.5,301.5,330.8,351.5,367.1,366.9,400.9,416,428,458.2,482.9,517.8,562.4,611.1,641.5,700,756.4
"11","4","    Agriculture, forestry, and fishing","J424RC1",21.7,17,18,20.8,19.9,17.7,17.2,16.2,16,15.9,18,16.2,17.1,17.4,17.6,17.6,16.5,19.1,19.9,19.1,19.6,21.5
"12","5","    Mining","J734RC1",5.9,5.1,5.9,6.4,6.2,6.3,6.1,6.8,7.6,7.6,6.9,6.6,6.8,6.9,6.8,7.2,7.5,7.6,7.9,8.1,8.9,9.2
"13","6","    Construction","J735RC1",11.1,11,12.5,14.9,16.1,16.6,16.7,17.9,19.9,20.8,20.4,22.1,22.6,23.6,25.4,27.1,29.7,32.6,35.5,37.2,40.7,45.6
"14","7","    Manufacturing","J426RC1",74.6,70.9,83.2,97.6,100.8,109.2,103.1,117.3,123,126.7,118.2,133.8,135.1,135.1,147.2,155.5,166.8,184.3,202.7,206.7,225.3,236.8
"15","8","      Durable goods","J428RC1",37.2,35.7,44.7,53.8,56.5,62.8,57.4,67,69.8,73.2,65,76.3,76.7,75.6,84.9,90.7,97.8,109.9,121.6,123.2,134.4,141.3
"16","9","      Nondurable goods","J427RC1",37.5,35.3,38.5,43.8,44.3,46.4,45.7,50.3,53.2,53.5,53.2,57.5,58.4,59.5,62.2,64.8,69,74.4,81.1,83.5,90.9,95.5
"17","10","    Transportation and public utilities","J737RC1",21.3,21.4,23.9,27,28.7,30.4,29.8,32.1,34.5,36.2,36.3,39.1,41.1,42.4,44.7,47,50.1,53.4,57.4,59.9,64.7,70
"18","11","      Transportation","J429RC1",13.8,13.1,14.8,16.5,17.2,17.7,16.4,17.8,19,19.6,18.5,19.4,19.8,20,20.9,21.8,23.1,24.9,26.9,27.4,29.5,31.5
"19","12","      Communication","J430RC1",3.8,4.1,4.6,5.2,5.8,6.4,6.4,7,7.7,8.3,8.8,9.8,10.5,11,11.8,12.6,13.5,14.5,15.6,16.9,18.3,20.5
"20","13","      Electric, gas, and sanitary services","J431RC1",3.7,4.2,4.6,5.3,5.8,6.3,6.9,7.3,7.8,8.3,8.9,9.9,10.9,11.4,12,12.6,13.5,14,14.9,15.6,16.9,18.1
"21","14","    Wholesale trade","J433RC1",17.1,16.6,18.2,20.8,21.3,21.9,22.2,24.8,27,28.4,29.2,33.7,35.4,36.5,38.9,40.7,43.5,46.8,50.9,53.8,59.1,64.2
"22","15","    Retail trade","J434RC1",28.9,28.8,30,32.6,34.3,35.2,36,38.4,40,42,42.7,46.6,47.7,48.9,52.4,54.8,60.2,64.5,69,74.4,82.5,89.6
"23","16","    Finance, insurance, and real estate","J435RC1",23.2,25,27.6,30.5,33.7,37.2,40.4,43.7,46.8,50,53.6,57.1,61.3,65.1,69.3,73.1,78.2,83.6,89.4,96.3,104.9,114.7
"24","17","    Services","J437RC1",21.2,21.6,23.2,25.2,26.9,29,30,33.5,36.6,39.5,41.7,45.7,48.7,52,56,59.8,65.2,70.6,78.2,86,94.3,104.8
"25","18","  Government","B436RC1",20.3,22.5,23.5,30.2,34.8,35.9,36.9,39,41.3,44.2,47.6,50.7,54.3,58,62.3,67.1,72.7,78,87.4,96.9,108.6,119.1
"26","19","Rest of the world","A192RC1",1.5,1.3,1.4,1.9,2,1.9,2.1,2.4,2.8,3.1,2.6,2.8,3.1,3.5,4.1,4.5,4.9,5.3,5.1,5.4,6.1,6.1
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Note. Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
