"","Table 1#1#5# Gross Domestic Product                             ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171"
"11","3","  Goods","DGDSRC1",298.8,302.7,306.6,310.6,314.1,317.6,321.7,321.8,333.9,339.8,343.9,350.9,357.7,368.4,377.7,391.5,407.3,412.7,420.7,425.9,435.5,448.6,464,458.1,468,481.5,502.8,513.1,530.7,539,550.5,565.1,580.4,592.9,603.9,624.3,629.2,661,672.4,691.7,707.9,722.2,753.3,768.4,792,777.8,801.9,827.5,860.1,863.8,881.1,872.5,886.3,887.9,901.8,921.1,925.9,962.6,990.8,1015.8,1037.9,1063.6,1066.6,1086.6,1110.4,1126,1156.9,1157.1,1170.9,1174.7,1216.7,1220.1,1215.9,1251.4,1281.2,1276.7,1308.8,1326.8,1341.2,1372.5,1389,1421.1,1441.9,1443.2,1489.6,1479.3,1496.7,1499.7,1485.8,1497,1508.7,1498.2,1533.8,1548.2,1573.1,1597.9,1607,1634.2,1649.2,1679.1,1705.7,1726.8,1758.9,1794.8,1788.1,1803.9,1826.2,1843.9,1871,1915.9,1925.9,1957.9,1986.7,1974.5,2020.5,2045.4,2045.2,2090.6,2121.8,2182.5,2207.1,2275.6,2314.4,2362.8,2417.9,2442.7,2475.5,2500.4,2506.8,2518.4,2524,2586.9,2569.6,2599.2,2632,2639.1,2675.1,2682.2,2769.8,2782.5,2835,2862.8,2899.4,2971.8,2997.4,3047.3,3124.5,3126.6,3180.8,3206.5,3250.5,3249.1,3293.8,3343.4,3369.8,3423.8,3415.4,3458.7,3450,3194,3158.4,3175.4,3276.1,3312.9,3380,3377.5,3419.6,3529.6
"12","4","    Durable goods","DDURRC1",90,90.4,90.6,90.8,89.6,91,92,87.3,98.1,101,103.4,107.3,110.7,114.1,117.6,123.4,131.8,131.3,130.8,128.2,126.7,130.6,136.3,127.1,131.8,136.7,146.8,153.4,163.3,165.9,169.8,175.5,183.9,189.2,194,200.7,198.2,216.2,216.7,222.3,223.3,222.1,230.9,229,232.1,211.9,225.4,236.2,246,240.9,251.9,236.8,246.4,249.2,252.1,264.4,268.9,289.6,302.4,319.3,331.4,341.3,342.1,353.8,368,373.3,396.5,383.8,391.6,407.3,445.7,441.1,418.5,439.1,460.5,449.9,470.4,473.2,470.4,486.2,486.4,493.3,505.6,491.9,515.4,498.4,493.6,480.9,471.7,475.2,484.3,477.5,496.2,501,512.1,523.1,527.9,547.8,556.6,573.8,588.8,598.7,609.3,631.8,621.2,626.9,642.5,652.3,659.8,676.3,679.4,689.6,705.6,696.6,722.8,737.1,737.9,769.8,786,826.4,821.3,856.4,873.1,878.6,923.5,905,915,919.5,930.9,923.9,928.9,1001.7,981.3,986.4,1010.4,990.3,979.4,1007.3,1037.5,1035,1045.9,1052.3,1065,1083.1,1089.2,1117.9,1122.5,1092.3,1132.5,1125.1,1132.4,1142.2,1149.8,1158.7,1163.2,1166,1131.1,1117.1,1080.2,1005.6,1012.2,1004.7,1045.2,1043.9,1060.7,1074.1,1087.8,1134.6
"13","5","    Nondurable goods","DNDGRC1",208.8,212.2,216,219.7,224.5,226.5,229.7,234.5,235.8,238.8,240.4,243.6,247,254.3,260.1,268.1,275.5,281.4,289.9,297.7,308.9,318,327.7,330.9,336.2,344.8,356,359.7,367.4,373.1,380.6,389.6,396.5,403.7,409.9,423.6,431.1,444.8,455.6,469.4,484.6,500.1,522.3,539.4,559.9,565.9,576.5,591.3,614,622.8,629.1,635.7,639.9,638.7,649.7,656.7,657,673,688.4,696.5,706.5,722.4,724.6,732.8,742.4,752.8,760.5,773.3,779.3,767.5,771,779,797.4,812.3,820.7,826.8,838.4,853.5,870.8,886.3,902.5,927.7,936.3,951.3,974.2,980.9,1003.1,1018.8,1014.1,1021.8,1024.4,1020.7,1037.7,1047.2,1061.1,1074.8,1079.1,1086.3,1092.5,1105.3,1116.8,1128.1,1149.6,1163,1166.9,1177,1183.7,1191.7,1211.2,1239.5,1246.5,1268.3,1281.1,1277.9,1297.7,1308.2,1307.3,1320.8,1335.8,1356.2,1385.8,1419.2,1441.3,1484.2,1494.3,1537.7,1560.5,1580.9,1575.9,1594.5,1595.1,1585.2,1588.3,1612.8,1621.6,1648.8,1695.7,1674.8,1732.3,1747.6,1789.2,1810.5,1834.4,1888.7,1908.1,1929.4,2002,2034.2,2048.3,2081.4,2118.1,2106.9,2143.9,2184.7,2206.6,2257.8,2284.3,2341.6,2369.9,2188.4,2146.2,2170.7,2231,2269,2319.3,2303.4,2331.8,2395.1
"14","6","  Services","DSERRC1",289.6,297.1,303.5,311.5,319.1,325.6,333.4,340,346.9,355,363.4,372.6,383.1,391,400.3,411.2,420,430.2,440.6,450.6,459.2,474.6,488,503.8,520.1,535.3,547.9,566.5,582.6,594.1,612,631.1,651.3,666.7,687,704.8,729.8,755.7,775.4,795.3,814.7,841,864.4,892.8,916,932.2,966.9,1009.1,1032.3,1060.2,1082.4,1105.7,1129.9,1154.7,1188.9,1231.3,1266.3,1293.7,1335.7,1363.4,1387.6,1420.5,1456.1,1485.3,1533,1561.4,1598.9,1626.6,1656.4,1684.4,1713.9,1749.8,1788.9,1820.5,1857.1,1896.2,1944.7,1986.3,2039.2,2080.8,2118.7,2148.9,2184.8,2230.3,2269.2,2332.6,2378.5,2396.3,2423.9,2466.3,2500,2540.4,2606.3,2645.3,2694.5,2748.4,2777.9,2817.9,2867.1,2902,2944.7,2983,3027.4,3061.8,3100.6,3153.6,3196.7,3236.2,3285.5,3332.9,3378.5,3426.8,3480.4,3529.5,3592.9,3652.8,3712.3,3779.6,3846.2,3895.7,3950.3,4014.3,4084.4,4162.1,4265.1,4332.9,4406.2,4480.7,4551.4,4600.3,4627.3,4680.3,4739.4,4804.1,4859.2,4914.1,4971.8,5041.7,5112.6,5180.3,5270.3,5346.6,5431.3,5523.1,5612.3,5699.9,5784.4,5883.7,5967.4,6060.1,6141.3,6235,6339,6409.8,6481.1,6564.6,6650.3,6724.3,6751.9,6773.3,6754.6,6744.7,6764.6,6818.6,6850.9,6907.9,6946.7,6990.1
"15","7","Gross private domestic investment","A006RC1",155.7,155.7,160.3,154.1,150.7,153.9,156.1,148.9,171.3,178.8,183.4,179.2,193.2,206.5,212.4,218.4,232.5,246,241.8,257.6,244.1,252.3,245.4,255.8,218.7,216.8,237.8,247.6,274.8,291.6,296.5,304.9,326.6,354.9,378.4,385.5,396.8,430.9,451.4,472.8,481.1,493,497.9,499.5,505.2,470.4,443.5,497.9,563.1,551.4,592.8,582.2,526.5,530.8,528.7,482.9,496.6,542.2,577.7,640.7,709.7,735.1,753.5,744.3,720,735.3,727.2,762.2,763.8,753,732.5,736.7,765,767.6,769.5,837.8,797.6,820.4,825.7,842.6,884.1,878.2,870.3,867.3,880,882.5,866.8,814.6,787.9,784.1,805.3,834.3,810.2,865.4,876.8,906.7,931.3,942.3,943.4,996.4,1043.6,1106.9,1092.9,1145.7,1160.6,1132.7,1126.2,1156.7,1170,1227.8,1279.8,1283.1,1320.6,1385,1414.9,1434.1,1494.9,1471.5,1512.7,1564,1617.3,1604.7,1644.5,1699.5,1688.8,1810.9,1791.7,1797.4,1701.3,1699.4,1670.4,1576.6,1628,1648.1,1650.4,1661.3,1671.5,1678.6,1745.1,1823.6,1853.6,1956,2001.3,2063.2,2130.7,2115.2,2166.6,2276.3,2336.5,2352.1,2333.5,2286.5,2277.4,2329.6,2313.4,2260.4,2198.8,2170.9,2111.3,1905.8,1640.4,1530.2,1548.5,1637.7,1739.7,1841.8,1907.2,1801.5
"16","8","  Fixed investment","A007RC1",144.2,146.4,150.1,148.3,148.8,148.8,151,152.9,159,167.9,173.2,179.5,189.9,194.5,198.6,210.9,222,227.8,232,232.6,231.5,234.9,239.9,235.4,228.7,230.7,239.2,247.3,260.1,269.1,275.7,294.4,311.8,335.4,347.5,361.4,371.3,406.6,426.4,444.3,457.3,465.6,485.7,491,495.3,462.7,477.3,507,524.4,539.7,548.8,557.4,548,535,522.9,522.8,531.7,549.9,581.9,616.8,636.7,665.8,682.1,696.3,703.8,713.7,710.9,729.1,733.5,737.3,739.5,749.5,737,751.1,768.5,774.7,780.6,800.7,807.5,823.5,835.9,842.1,860.4,850.6,866.1,848.8,844.9,825.9,803.4,802.1,804.4,803.2,810,842.2,856.3,885.3,895.4,918.2,936.8,979.8,998.3,1025.5,1039.7,1070.5,1099.5,1098.9,1114.9,1138.2,1163.2,1197.4,1228.7,1248.5,1270.8,1296.6,1346.9,1356.3,1389.9,1434.2,1460.3,1503.9,1534,1569.7,1603.9,1615.2,1672.8,1720.5,1734.5,1742.9,1732,1711,1700.5,1657.4,1641.4,1634.9,1632.1,1631.4,1642.8,1681.7,1740.9,1787.9,1802.2,1880,1940.6,1991.8,2040,2099.4,2155.6,2194.1,2270.6,2279.7,2264.4,2254.2,2260.4,2282.1,2274,2247.9,2212.5,2194.1,2140.8,2003.8,1782.3,1709.8,1691.8,1681.9,1689.8,1761.4,1768.6,1794.7
"17","9","    Nonresidential","A008RC1",101,103,106.9,107.6,108.1,109.4,110.6,107.9,110.4,113.4,114.8,118,123.3,126.3,129.1,136.6,144.1,152.1,157,159.9,162.6,167.4,172.5,175.4,171,170.8,174.6,178.6,183.9,188.5,195.1,201.9,214.2,223.8,232.5,244.5,250.4,276,290.6,305.3,318.8,324.9,342.3,349.6,361.3,350.9,361.1,376.2,393.1,410.8,428.4,447.8,443.2,432,419.4,411.2,400.5,402.9,419.5,446,460.1,484.4,500.7,513.3,520.5,528.5,522.2,533.6,527.2,517.5,513.5,521.2,506.8,518.2,534.2,537.2,546.2,562.3,567.5,579.1,591.3,601.9,621.9,615.8,626.9,617.9,626.1,618.9,608.2,601.4,594.1,589,585.6,607.1,619,636.7,642.8,660.3,667.5,695.7,704.8,720.5,734.7,765.6,797.7,805.5,811.2,825.8,841.4,860.5,889,910.6,930.1,949.9,995.6,998.8,1025,1055.8,1066.7,1097.1,1120.7,1147.4,1174.5,1177,1223.5,1270.1,1288.4,1292.7,1273.7,1240.6,1219.6,1177.3,1149.5,1128.3,1120.6,1103.3,1097.7,1123.8,1150.8,1170.4,1164.6,1204.4,1244,1279.1,1305.2,1334.9,1362.9,1386.3,1457.2,1495.3,1522.7,1546.1,1579.6,1624.9,1660.7,1684.6,1695.4,1697.5,1678.2,1590.1,1415.2,1367.5,1343.8,1330.9,1349.6,1404.2,1438.8,1460.2
"18","10","      Structures","B009RC1",35.8,36.7,38.9,39.4,39.5,40.3,40.6,40.8,41.5,42.3,43.1,43.8,45.8,46.6,47.3,49,51.3,54.1,56.8,57.7,59,61.3,61.4,63.2,61.7,60.4,61.3,62,64.1,65.1,66.7,67.8,69.7,73.6,76.4,78.5,80,90.3,98.6,105.5,107.9,112.8,121.8,128.3,132.6,132.3,135.8,144.1,150,161,169.7,188.5,186.6,182.5,172.9,168.3,158.6,149.5,152.6,156.6,165.7,175.8,182.5,185.5,194.9,195.2,192.2,195.8,191.7,174.5,169,170.9,166.9,169.6,177.6,182.7,178.6,184.2,183.5,184.9,189.5,189.6,197.7,198.1,204.1,204.6,205.5,197.4,194.9,189.9,177.5,172.2,169.9,170.6,173,176.7,173.7,175.1,177.5,182.4,176.2,187.4,189.4,194.1,201.4,206.7,210.5,210.5,214.4,219.9,225.5,238.6,243,243.1,255.1,259.9,260.7,277.7,280.1,282,282.8,281.2,283,288.8,297.8,313,328.2,333.5,329,335.3,342.6,312,297.8,284.8,274.6,273.7,274.2,282.6,284.1,286.6,290.8,300.9,312.4,322.4,338.4,346.5,352.3,369.7,396.8,428.6,447.6,461.7,479.5,512.3,545.5,562.2,567.1,584.4,590.4,587.9,507.5,464,436.6,398.2,380.1,381.5,380.9,388.5
"19","11","      Equipment and software","B010RC1",65.2,66.4,68,68.2,68.7,69.1,70,67.1,68.9,71,71.7,74.2,77.6,79.7,81.8,87.6,92.8,98,100.1,102.2,103.6,106.1,111.1,112.1,109.3,110.4,113.3,116.6,119.8,123.4,128.4,134.1,144.5,150.1,156.1,165.9,170.3,185.8,192,199.8,210.9,212.1,220.5,221.3,228.8,218.6,225.3,232.2,243,249.8,258.6,259.3,256.6,249.6,246.5,243,241.9,253.4,266.8,289.3,294.3,308.6,318.2,327.8,325.6,333.3,329.9,337.8,335.5,343,344.4,350.3,339.9,348.6,356.7,354.5,367.6,378.2,384,394.2,401.8,412.3,424.2,417.8,422.7,413.3,420.6,421.5,413.3,411.5,416.6,416.9,415.7,436.5,446,460,469.1,485.2,490,513.3,528.6,533.1,545.3,571.6,596.3,598.7,600.6,615.4,627,640.6,663.5,672,687.1,706.9,740.5,738.9,764.3,778.1,786.5,815.1,837.9,866.2,891.5,888.2,925.7,957.1,960.2,959.2,944.7,905.4,877.1,865.3,851.7,843.5,846,829.5,823.4,841.2,866.8,883.9,873.8,903.5,931.5,956.7,966.8,988.4,1010.6,1016.5,1060.5,1066.7,1075.1,1084.4,1100.1,1112.6,1115.1,1122.4,1128.3,1113.2,1087.9,1002.2,907.8,903.5,907.2,932.7,969.5,1022.7,1057.9,1071.6
"20","12","    Residential","A011RC1",43.2,43.4,43.2,40.7,40.7,39.4,40.4,45,48.6,54.6,58.3,61.5,66.6,68.2,69.6,74.3,77.9,75.8,75,72.7,69,67.5,67.4,60,57.7,59.9,64.6,68.7,76.2,80.7,80.6,92.5,97.6,111.7,115,116.9,121,130.6,135.8,139,138.5,140.6,143.5,141.4,134,111.7,116.3,130.8,131.3,128.9,120.4,109.6,104.8,102.9,103.5,111.5,131.2,147,162.4,170.8,176.6,181.4,181.4,183,183.3,185.1,188.8,195.5,206.3,219.8,226.1,228.3,230.1,232.9,234.2,237.5,234.4,238.4,240,244.4,244.6,240.2,238.4,234.8,239.2,230.9,218.8,207,195.2,200.7,210.3,214.2,224.4,235.1,237.3,248.6,252.6,257.9,269.3,284.1,293.5,305,304.9,304.9,301.8,293.5,303.8,312.4,321.8,336.9,339.7,337.9,340.7,346.7,351.3,357.5,364.9,378.4,393.6,406.8,413.3,422.3,429.4,438.1,449.2,450.5,446,450.2,458.3,470.4,480.9,480.1,491.9,506.6,511.5,528.1,545.2,557.9,590.1,617.4,637.6,675.6,696.6,712.6,734.8,764.5,792.6,807.9,813.3,784.4,741.7,708.1,680.7,657.2,613.3,563.3,517.1,496.6,462.5,413.7,367,342.2,348,351,340.2,357.2,329.8,334.5
