"","Table 7#4#5# Housing Sector Output, Gross Value Added, and Net V","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2010   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/24/2011 11:29:48 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","Housing output \1\","A2007C1",11.3,10.9,10.2,8.9,7.9,7.6,7.7,7.9,8.4,8.9,9.1,9.4,10.1,10.8,11.3,11.8,12.2,13.6,15.2,17.1,18.9,20.9,23.4,26,28.9,31.2,33.2,35.5,38,40.6,43.6,46.7,49.6,53.1,56.2,59.5,63.3,67.2,71.5,76.9,83.7
"9","2","  Nonfarm housing","A2008C1",10.4,10,9.4,8.3,7.3,6.9,7,7.2,7.7,8.1,8.3,8.6,9.3,10,10.4,10.9,11.2,12.3,13.7,15.6,17.5,19.4,21.8,24.3,27.1,29.5,31.5,33.7,36.2,38.8,41.6,44.6,47.4,50.8,53.8,57,60.8,64.6,68.7,74.1,80.7
"10","3","    Owner-occupied","DOWNRC1",5.9,5.6,5.1,4.4,3.8,3.6,3.6,3.8,4,4.1,4.2,4.3,4.7,5.2,5.6,6.1,6.5,7.4,8.5,9.7,11,12.4,14.1,15.9,17.9,19.7,21.4,23.2,25,27,29,31.3,33.3,35.7,37.8,40,42.7,45.3,48.3,51.9,56.6
