"","Table 1#8#6# Command-Basis Real Gross Domestic Product and Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"11","3","Plus: Imports of goods and services","A021RX1",51,52,46.1,48.6,54.8,57,60,59,57.2,56.4,54.1,54.9,56.4,59.5,73.5,73.6,73.6,71.2,65.2,63.5,70.8,70.5,74.8,81.5,79.5,83.6,83.3,79.2,74.6,81.3,76.4,77.1,81.7,86.3,87.8,90.9,94.8,94.3,95.1,90.7,97.9,98.7,96.8,97.1,98.6,102.8,101.2,106.5,109.3,114.6,115.6,112.7,117,117.8,114.4,109,108.5,109.8,117,119.8,123.5,126.2,127.8,129.3,126.3,129.3,132.6,132.2,132,135,138.6,142.4,137.3,153.5,154.1,161.6,165.8,169.9,179.4,181.4,184.3,182.8,185.2,195,206.5,209.6,222.2,220.3,199.6,238.9,235.8,233.2
"12","4","Equals: Gross domestic purchases","A712RX1",1727.9,1728,1726.7,1773.2,1815.6,1863.6,1874.8,1880.3,1839.7,1832.8,1860.3,1856.6,1935.5,1997.6,2091.1,2121.2,2143.6,2166.3,2198.7,2201.3,2227.8,2242.9,2272,2355,2398,2420.6,2401.7,2361.9,2349.2,2347.5,2371.2,2415.2,2486.8,2536.2,2565,2582.7,2570.2,2581.9,2575.5,2606.8,2622.8,2621.6,2648.7,2625.1,2568,2588,2646.6,2714.5,2764.8,2836.4,2830.2,2840.4,2893,2871.3,2876,2829.9,2847.4,2904.8,2960.9,3020.1,3078.9,3101.5,3141.4,3154,3188.7,3214,3287.9,3304.4,3368.7,3408,3460.1,3468.4,3569.5,3603.6,3689.7,3773.7,3875.1,3883.7,3927.4,3954.8,3988.7,3989.9,4029.6,4064.6,4154.2,4223.7,4252.6,4272.1,4345.9,4353.1,4383.5,4352.1
"13","5","Plus: Exports of goods and services, command basis \1\","C020RX1",140.2,146.9,144.2,128.2,121.5,108.2,107.3,101.9,112.4,110,100,85.6,83,83.8,85,91.9,98.7,111.6,117.3,116.7,119.8,106,96.8,97,95.7,96,99.2,95.2,90,102.4,99,103.4,107.2,104.6,111.2,111.7,116.8,124.8,128.9,135.5,144.8,140.6,136.1,131.2,116.1,115.7,115.7,115.4,121.8,125.8,130.4,127.7,143.7,151.9,148.1,150,149.5,149.2,147.8,153.1,152.2,164.7,155,151.3,154.6,172.2,162.3,169.5,179.7,181.9,181.1,187.8,170.7,201.2,189,200.6,199.2,207.6,200.4,208.9,215.7,212.2,204.9,209.7,215.1,221.5,229.3,224.8,198.9,240.6,234.7,245.3
"14","6","Less: Imports of goods and services, command basis \1\","C021RX1",57.3,61.8,56.9,60.7,69.1,71.2,72.8,70.5,67.1,65.8,63.3,64.4,67.4,72.2,90.1,92.9,97.5,98.9,93,89.8,96,93.5,96.8,103.4,99.9,103.9,102.6,97.3,92.3,100.8,95.4,96.2,100.3,105.5,106.7,110.3,114.1,113.4,113.8,108.9,116.8,117,113.2,111.9,110,113.1,110.9,116.9,119.6,125.7,127.1,124.6,128.7,129,125.3,118.5,118,119.1,126.6,129.2,130.9,133.6,134.5,136.3,133.9,137.5,141.5,141,141.5,144.9,147.9,151.8,147,162.9,163.9,172.5,176.9,181.4,189.5,191.2,193.4,190.2,191,199,209.9,212.4,223.3,220,198.1,235.1,230.4,230.9
"15","7","Equals: Command-basis gross domestic product \1,2\","C191RX1",1808.2,1811.8,1814.7,1849.1,1869.6,1896.7,1907.4,1916.6,1885.8,1870.6,1895.4,1877,1952.6,2009.1,2087.7,2127.9,2157.7,2194,2232.4,2233.5,2253.1,2250.7,2275.7,2350.6,2394.1,2412.1,2398.8,2357.7,2342.3,2342.3,2373.2,2424,2497.7,2535.6,2570.2,2593.5,2582.6,2594,2595.2,2632.2,2655.8,2649.9,2671.7,2630.4,2567,2579.8,2650.3,2721.7,2769.2,2834.9,2830.7,2840.9,2911.5,2894.6,2896.7,2855.1,2875.5,2932.3,2981,3045.4,3102.2,3131.1,3159.4,3165.3,3204,3246.2,3306.8,3336.5,3408.2,3444.2,3489.2,3501.3,3592.7,3640.9,3711.2,3799.1,3895.9,3904.8,3937,3972.7,4010,4007.8,4042,4074,4158.6,4229.2,4255.8,4274.9,4346.1,4356.2,4384.4,4364.9
"16","8","Plus: Income receipts from the rest of the world, command basis \1\","C645RX1",11,11.8,11.8,13,13.8,14.4,14.9,14.2,14.3,13.9,13.7,12.8,13.7,14.5,16.4,16.2,15.7,18,18.6,19.3,18.1,18.5,18.2,18.1,17.9,18.7,17.3,17.7,18.4,18.4,18.5,20.4,21.1,21.4,21.7,22.1,23.9,23.5,24.2,21.9,24.9,26.3,25.6,21.5,22,21.8,21.6,21.8,22.1,22.6,24.3,25.9,26.3,26.4,27,27.6,28.9,28,28.8,29.6,29.1,31.3,31.6,35.3,34.1,33.7,34.7,35.9,38.2,37.5,38.3,37,40.9,42.1,40.4,38.2,39.4,39.7,40.1,41.7,41.5,40.5,43.1,43.1,45,46.7,48.1,48,50.1,51.5,53.1,54
"17","9","Less: Income payments to the rest of the world, command basis \1\","C655RX1",3.6,3.5,3.4,4,3.8,3.9,4.5,4,4.7,4.5,4.7,4.8,5,5.2,5.3,5.3,5.7,5.7,5.6,5.5,5.2,5.6,5.6,5.8,5.8,5.8,6,6.2,6,5.9,5.8,5.8,6,6.6,6.7,6.7,6.7,6.6,6.8,6.9,6.9,6.9,7,7,7.1,6.6,6.9,7.3,7.7,8.1,8.6,9.1,10.2,9.8,9.7,9.3,9.4,9.5,9.8,10.1,9.7,9.9,9.9,10.1,10.2,10.7,11.1,11.5,11.7,12,12,12.7,12.9,13.1,13.5,13.9,14.2,14.4,15.4,15.8,15.8,15.8,15.7,16.4,17.5,18.7,19.2,19.4,21.5,24,26.9,27.9
"18","10","Equals: Command-basis gross national product \1,3\","CB22RX1",1815.7,1820,1823.1,1858.1,1879.6,1907.2,1917.7,1926.8,1895.5,1879.9,1904.5,1885,1961.3,2018.4,2098.8,2138.8,2167.8,2206.3,2245.3,2247.4,2266,2263.6,2288.3,2362.9,2406.2,2425.1,2410.2,2369.2,2354.8,2354.8,2385.9,2438.6,2512.7,2550.4,2585.2,2608.9,2599.8,2610.9,2612.5,2647.2,2673.7,2669.4,2690.2,2644.9,2581.8,2594.9,2664.9,2736.2,2783.6,2849.4,2846.5,2857.7,2927.7,2911.1,2914,2873.4,2895,2950.8,3000,3064.9,3121.6,3152.5,3181.1,3190.6,3227.9,3269.3,3330.3,3360.8,3434.8,3469.7,3515.4,3525.7,3620.7,3669.9,3738.1,3823.4,3921.1,3930.1,3961.7,3998.6,4035.6,4032.5,4069.5,4100.7,4186.1,4257.2,4284.7,4303.6,4374.7,4383.7,4410.5,4391
"19",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Command-basis net domestic product \4\","C362RX1",1662.5,1668,1672.2,1708.6,1729.8,1758.1,1769.1,1778.7,1746.4,1730.2,1755.6,1736,1813.8,1871.3,1951.6,1991.7,2020.7,2056.2,2093.8,2092.4,2110,2104.5,2127.6,2202.4,2244.2,2259.7,2242.8,2197.1,2178,2175.3,2204.7,2255.2,2329.3,2366.3,2399.8,2421.7,2407.8,2417.2,2415.9,2452.3,2474.8,2466.1,2486.1,2439.9,2370.3,2380.9,2452.1,2525.1,2573.2,2640.4,2634.8,2643.9,2716.3,2696.9,2697.2,2651.6,2670.6,2727.3,2775.7,2840.1,2896.4,2923.7,2950,2953,2989.8,3030.4,3089.9,3117.2,3188.5,3222.2,3265,3273.4,3363.9,3409.2,3477.2,3563.3,3658.3,3662.1,3690,3721.6,3754.9,3747.3,3777.6,3805.6,3888.4,3956.6,3978.9,3993.6,4062.1,4067.3,4091.2,4065.5
"21","12","  Net domestic product","A362RX1",1627.5,1626.3,1625.7,1654,1683.6,1718.5,1728.8,1731.9,1704.5,1697.1,1718,1699.5,1776,1835.3,1914.1,1949.9,1975.3,2009.4,2051.6,2052.9,2073.2,2072.8,2085.3,2158.9,2200.4,2215.6,2197.8,2156.1,2141.6,2142.1,2166.4,2212.6,2281.4,2321.1,2353.3,2365.6,2351,2369.2,2363.3,2404.5,2419,2409.9,2433.3,2401.6,2325.1,2338.6,2398.2,2459.7,2514.3,2584.3,2579.6,2588.2,2652,2636.5,2639.5,2599.4,2614.6,2667,2713,2772.2,2824.9,2857,2883.4,2888.1,2926.8,2964.4,3023.3,3045.3,3118.1,3154.3,3198.1,3203.8,3286.9,3331.7,3401.8,3487.8,3577.1,3584.9,3605.6,3632.7,3662.8,3658.6,3685.8,3712,3792.1,3858.6,3882.7,3896.3,3959.3,3967,3989.6,3963.5
"22","13","  Command-basis net national product \4\","C027RX1",1670.2,1676.6,1680.9,1717.9,1740.2,1769,1779.8,1789.3,1756.4,1739.9,1764.9,1744.3,1822.8,1881,1963.1,2003.1,2031.2,2069,2107.3,2106.8,2123.4,2118,2140.7,2215.2,2256.8,2273.2,2254.7,2209,2191,2188.3,2218,2270.4,2345,2381.7,2415.4,2437.8,2425.7,2434.9,2434,2468,2493.5,2486.5,2505.5,2455,2385.8,2396.7,2467.4,2540.2,2588.3,2655.6,2651.3,2661.4,2733.1,2714.2,2715.3,2670.7,2690.9,2746.5,2795.5,2860.4,2916.6,2946.1,2972.6,2979.3,3014.7,3054.4,3114.4,3142.5,3216.1,3248.7,3292.3,3298.7,3393,3439.3,3505.1,3588.6,3684.5,3688.3,3715.6,3748.5,3781.5,3773,3806.1,3833.3,3917,3985.7,4009,4023.3,4091.8,4095.8,4118.3,4092.7
"23","14","  Net national product","A027RX1",1637.2,1636.5,1635.8,1664.8,1695.3,1730.9,1741.3,1744.3,1716.3,1708.6,1729.2,1709.7,1786.8,1846.8,1927.7,1963.5,1988.3,2024.7,2067.5,2069.7,2089,2088.7,2101,2174.3,2215.6,2231.7,2212.2,2170.6,2157.1,2157.5,2182,2230.1,2299.3,2338.7,2371.1,2383.8,2371.1,2389.1,2383.7,2422.6,2440.1,2432.5,2455,2419,2342.9,2356.7,2415.7,2477.1,2531.5,2601.6,2598.2,2607.9,2671,2655.9,2659.7,2620.7,2637.1,2688.3,2734.9,2794.5,2847.1,2881.3,2907.9,2916.1,2953.6,2990.3,3049.6,3072.5,3147.6,3182.8,3227.4,3231.1,3317.8,3363.6,3431.6,3515,3605.2,3613,3633.1,3661.4,3691.2,3686.2,3716.2,3741.5,3822.4,3889.5,3914.6,3927.9,3991,3997.6,4018.9,3992.7
"24","15","  Trading gains index \5\","W368RG3",102.17,102.457,102.601,102.562,102.448,102.347,102.266,102.239,102.237,102.179,102.12,102.048,101.905,101.832,101.742,101.625,101.53,101.47,101.5,101.561,101.606,101.659,101.724,101.792,101.846,101.882,101.889,101.87,101.803,101.768,101.733,101.729,101.793,101.809,101.822,101.838,101.858,101.87,101.893,101.906,101.949,101.981,102.016,102.049,102.104,102.131,102.134,102.129,102.095,102.079,102.095,102.1,102.121,102.112,102.112,102.102,102.121,102.193,102.186,102.224,102.278,102.219,102.229,102.211,102.177,102.15,102.11,102.086,102.057,102.029,102.073,102.115,102.194,102.192,102.162,102.089,102.15,102.139,102.209,102.266,102.358,102.36,102.348,102.371,102.374,102.443,102.365,102.364,102.42,102.406,102.441,102.429
"25","16","  Terms of trade index \6\","W369RG3",145.959,146.455,146.097,144.766,142.355,141.111,140.831,140.906,141.608,140.438,138.815,136.789,132.091,129.603,126.723,123.325,120.612,118.626,118.648,120.113,122.094,123.717,125.673,127.589,129.228,130.279,130.453,129.884,127.811,126.77,125.718,125.595,127.554,128.026,128.435,128.93,129.565,129.903,130.58,130.852,132.075,132.983,134.175,135.381,137.354,138.237,138.335,138.186,137.176,136.679,137.15,137.247,137.844,137.668,137.627,137.562,138.06,140.04,139.936,141.034,142.904,141.325,141.733,141.188,140.109,139.301,138.162,137.548,136.667,135.941,137.217,138.281,140.264,140.391,139.56,137.604,139.227,138.918,140.915,142.487,144.995,145.167,144.972,145.686,145.779,147.664,145.581,145.588,147.186,146.796,147.734,147.318
"26","17","    Terms of trade, goods \7\","W370RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.76,164.629,163.928,164.508,164.168,167.054,164.134,163.809,165.654,164.54,165.889,164.931
"27","18","    Terms of trade, nonpetroleum goods \8\","W371RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.783,117.877,117.653,117.932,117.354,119.481,117.27,117.234,118.359,117.528,118.311,117.33
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","1. Uses gross domestic purchases price index as deflator.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2. This measure is called ""real gross domestic income"" in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","System of National Accounts, 2008.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","3. This measure is called ""real gross national income"" in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","System of National Accounts, 2008.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","4. Uses net domestic purchases price index as deflator.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","5. Ratio (multiplied by 100) of price index for gross domestic product",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","to the price index for gross domestic purchases.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","6. Ratio (multiplied by 100) of the price index for exports of goods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","and services to the price index for imports of goods and services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
