"","Table 2#4#3# Real Personal Consumption Expenditures by Type of P","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2010   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/25/2011 9:55:34 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","      Personal consumption expenditures","DPCERA3",8.352,7.904,7.657,6.97,6.816,7.302,7.748,8.537,8.853,8.71,9.197,9.673,10.359,10.114,10.397,10.693,11.355,12.767,13.012,13.305,13.674,14.551,14.78,15.246,15.974,16.31,17.513,18.026,18.473,18.634,19.692,20.233,20.65,21.671,22.564,23.908,25.42,26.862,27.667,29.263,30.359
"9","2","Goods","DGDSRA3",8.744,8.052,7.759,6.851,6.8,7.422,8.031,9.099,9.37,9.161,9.795,10.403,11.229,10.364,10.263,10.34,11.046,13.089,13.469,13.74,14.153,15.249,15.068,15.406,16.204,16.377,17.885,18.153,18.465,18.276,19.425,19.767,19.892,20.915,21.75,23.047,24.679,26.245,26.758,28.415,29.283
"10","3","  Durable goods","DDURRA3",3.123,2.586,2.234,1.698,1.654,1.893,2.291,2.799,2.945,2.441,2.892,3.31,3.819,2.424,2.176,2.006,2.229,4.026,4.722,5.032,5.441,6.597,6.048,5.917,6.608,6.579,7.983,7.685,7.755,7.164,8.008,8.17,7.896,8.798,9.608,10.505,11.807,12.787,12.977,14.418,14.957
"11","4","    Motor vehicles and parts","DMOTRA3",6.807,4.736,3.695,2.363,2.816,3.504,4.854,5.994,6.091,3.94,5.368,6.764,7.689,1.232,1.265,1.17,1.449,4.882,7.078,7.998,10.252,13.256,11.185,10.071,12.522,11.942,16.351,13.917,14.567,12.061,14.373,15.265,13.738,16.312,18.349,19.369,22.437,22.805,22.253,25.736,26.677
"12","5","      New motor vehicles (55)","DNMVRA3",5.847,3.816,2.769,1.615,2.201,2.773,4.154,5.269,5.343,3.124,4.402,5.701,6.342,0.255,0.257,0.084,0.08,4.118,7.016,7.948,10.844,14.345,11.631,9.792,13.381,12.85,18.152,14.525,14.905,11.158,14.44,15.536,13.367,16.773,19.399,20.658,24.709,24.981,23.67,28.379,28.858
"13","6","      Net purchases of used motor vehicles (56)","DNPVRA3",9.194,7.459,5.426,3.733,4.149,5.169,6.923,9.112,9.514,7.01,8.566,9.256,10.099,9.377,8.284,7.732,7.332,5.919,9.679,14.005,18.011,20.898,22.269,24.185,21.054,18.328,21.623,22.696,24.93,26.109,23,22.568,21.719,21.23,22.007,21.82,23.626,23.635,25.286,25.306,26.522
"14","7","      Motor vehicle parts and accessories (58)","DMVPRA3",3.601,3.124,3.025,2.382,2.082,2.499,2.636,2.866,2.934,2.751,3.39,3.919,4.906,1.928,2.262,2.593,3.759,7.836,7.53,7.01,6.498,8.034,6.936,7.53,6.834,6.298,7.54,8.161,9.211,9.873,11.159,12.013,12.782,14.026,14.715,15.804,16.228,17.349,17.996,20.014,22.706
"15","8","    Furnishings and durable household equipment","DFDHRA3",5.809,4.805,4.683,3.868,3.629,3.941,4.469,5.517,5.708,5.161,5.778,6.332,7.343,6.087,4.814,4.264,4.625,7.821,9.092,9.621,9.409,10.845,10.312,10.27,10.582,10.582,11.925,12.506,12.268,12.115,12.903,12.713,12.791,13.508,14.394,16.026,17.075,18.56,18.982,20.123,20.546
"16","9","      Furniture and furnishings (parts of 31 and 32)","DFFFRA3",7.596,6.256,6.153,5.004,4.277,4.507,5.375,6.849,6.715,6.231,7.225,7.73,8.636,7.622,6.837,6.12,6.173,8.674,9.054,9.683,9.804,10.971,10.495,10.724,11.089,11.047,12.642,13.141,12.867,12.811,13.728,13.512,13.516,14.45,15.644,17.613,18.741,19.908,20.078,21.124,21.203
"17","10","      Household appliances (part of 33)","DAPPRA3",2.602,2.381,2.167,1.523,1.917,2.411,2.908,3.419,3.805,3.189,3.516,4.154,5.194,3.15,1.022,0.564,1.127,5.601,8.946,9.258,8.62,11.027,10.138,10.019,10.561,10.885,12.427,13.83,13.972,13.755,14.69,14.458,14.735,15.221,16.189,17.686,18.211,20.2,20.913,23.025,24.64
"18","11","      Glassware, tableware, and household utensils (34)","DUTERA3",10.367,7.554,8.051,8.139,7.459,7.476,6.915,8.247,9.17,8.416,8.479,9.101,10.862,10.192,8.457,7.884,9.409,14.812,15.408,16.303,15.239,15.864,15.433,14.71,14.842,14.736,15.398,14.709,13.478,12.889,13.239,12.834,12.816,13.235,13.109,14.393,16.059,18.145,18.972,19.44,19.604
"19","12","      Tools and equipment for house and garden (35)","DTOORA3",2.829,2.524,2.126,1.738,1.649,1.794,1.875,2.297,2.475,2.278,2.568,2.827,3.236,3.243,3.178,3.274,3.582,4.871,5.089,5.525,5.67,6.369,6.502,5.812,5.298,4.602,4.882,5.001,4.993,4.963,5.279,5.542,5.652,6.163,6.524,7.235,8.322,9.767,10.47,11.063,11.289
"20","13","    Recreational goods and vehicles","DREQRA3",0.252,0.266,0.219,0.161,0.142,0.16,0.18,0.228,0.26,0.24,0.28,0.311,0.368,0.331,0.274,0.259,0.296,0.596,0.604,0.596,0.6,0.768,0.751,0.818,0.901,0.969,1.093,1.152,1.125,1.12,1.248,1.239,1.288,1.374,1.5,1.76,2.052,2.526,2.777,3.076,3.281
"21","14","      Video, audio, photographic, and information processing equipment and media (75, 76, and part of 93)","DVAPRA3",0.05,0.058,0.044,0.033,0.027,0.03,0.033,0.044,0.05,0.046,0.058,0.067,0.081,0.069,0.046,0.035,0.04,0.116,0.119,0.116,0.123,0.174,0.164,0.187,0.212,0.235,0.262,0.271,0.255,0.25,0.282,0.278,0.294,0.319,0.357,0.417,0.508,0.645,0.732,0.797,0.836
"22","15","      Sporting equipment, supplies, guns, and ammunition (part of 80)","DSPGRA3",0.642,0.519,0.513,0.416,0.369,0.426,0.48,0.587,0.667,0.657,0.726,0.77,0.932,0.839,0.808,0.82,0.959,1.688,1.814,1.847,1.737,1.953,1.994,2.129,2.247,2.343,2.726,2.958,3.128,3.234,3.621,3.779,4.016,4.029,4.01,4.577,5.172,6.338,6.797,7.253,7.345
"23","16","      Sports and recreational vehicles (79)","DWHLRA3",0.976,0.756,0.712,0.538,0.498,0.646,0.766,1.013,1.172,1.088,1.236,1.324,1.635,1.238,1.194,1.246,1.494,3.218,3.553,3.548,3.023,3.292,3.193,3.311,3.622,3.894,4.807,5.292,5.572,5.697,6.402,5.692,5.2,5.785,6.612,8.328,9.9,12.233,13.491,17.63,20.969
"24","17","      Recreational books (part of 90)","DRBKRA3",8.74,7.736,7.779,4.9,5.132,5.626,6.239,7.024,8.077,7.232,7.329,7.613,8.193,9.32,10.903,13.04,14.515,15.86,13.229,13.302,13.395,14.197,15.966,15.26,15.416,14.816,15.638,16.94,16.333,15.962,16.718,17.391,18.348,19.354,20.936,24.565,24.631,26.639,26.041,26.91,28.977
"25","18","      Musical instruments (part of 80)","DMSCRA3",1.594,1.894,1.397,1.066,0.855,0.932,1.026,1.39,1.57,1.43,1.844,2.145,2.559,2.235,1.407,1.006,1.113,3.572,3.628,3.535,3.869,5.626,5.259,6.024,6.873,7.668,8.51,8.694,8.065,7.878,8.89,8.885,9.396,10.079,11.119,12.658,14.704,17.642,18.809,19.131,18.424
"26","19","    Other durable goods","DODGRA3",4.335,3.999,3.148,2.596,2.128,2.445,2.779,3.037,3.516,3.534,3.774,4.016,4.618,4.979,5.98,5.864,6.436,7.607,7.161,7.305,7.132,7.466,7.71,8.279,8.509,8.838,9.422,9.86,9.942,10.05,10.372,10.447,10.658,11.643,12.06,13.101,14.448,16.618,16.765,18.402,19.12
"27","20","      Jewelry and watches (part of 119)","DJRYRA3",3.082,2.845,1.827,1.496,1.021,1.213,1.486,1.592,2.058,2.135,2.269,2.463,2.919,3.142,3.96,3.737,4.307,5.371,4.927,5.01,4.761,4.984,5.01,5.466,5.57,6.044,6.653,6.869,6.994,7.211,7.476,7.41,7.299,7.835,8.229,8.703,9.969,12.4,13.258,14.211,14.113
"28","21","      Therapeutic appliances and equipment (42)","DTAERA3",2.492,2.508,2.235,1.893,1.936,2.516,2.647,2.842,3.285,3.156,3.404,3.631,4.353,4.913,5.659,6,6.229,6.92,6.737,7.002,7.157,7.62,8.197,8.584,9.026,9.015,8.966,9.782,9.843,9.731,9.647,9.767,9.962,11.838,11.718,12.878,13.904,15.237,13.378,15.117,16.675
"29","22","      Educational books (96)","DEBKRA3",16.185,14.326,14.406,9.074,9.504,10.418,11.553,13.007,14.958,13.394,13.572,14.099,15.173,17.259,20.192,24.149,26.88,29.371,24.499,24.634,24.806,26.291,29.567,28.26,28.548,27.438,28.96,31.371,30.248,29.561,30.96,32.225,34.28,37.157,40.81,46.599,45.467,48.417,47.119,48.697,52.831
"30","23","      Luggage and similar personal items (part of 119)","DLUGRA3",10.513,9.362,8.733,7.598,6.336,6.477,7.249,8.152,8.28,8.492,9.156,9.504,10.226,10.577,12.08,11.58,12.049,13.6,13.45,13.657,13.441,13.861,14.247,15.593,16.054,16.235,17.253,17.797,17.853,17.889,18.808,19.235,20.54,21.651,22.396,24.84,27.036,28.811,29.199,33.294,35.522
"31","24","      Telephone and facsimile equipment (67)","DTCERA3",0.301,0.284,0.254,0.226,0.189,0.193,0.191,0.241,0.245,0.242,0.26,0.273,0.289,0.271,0.254,0.231,0.232,0.298,0.292,0.342,0.384,0.437,0.455,0.421,0.394,0.359,0.4,0.411,0.419,0.411,0.431,0.447,0.476,0.527,0.572,0.636,0.665,0.71,0.733,0.775,0.772
