"","Table 1#14# Gross Value Added of Domestic Corporate Business in ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published February 25, 2011 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/24/2011 11:20:04 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","    Gross value added of corporate business \1\","A451RC1",54.4,47.8,37.5,27.5,26.6,33.1,36.7,42.3,47.8,42.5,46.8,53.5,69.1,86.5,102.6,106.3,99.7,104.4,126,144.5,141.5,160.4,183.9,192.6,206.2,203.6,229.5,245.6,256.9,251.8,281.9,293.9,302.1,329,349.5,377.7,414.4,454.1,479.3,529.1,576.7
"9","2","Consumption of fixed capital","A438RC1",5,4.8,4.5,4,3.8,3.9,3.9,4,4.4,4.5,4.5,4.6,5.1,5.8,5.8,6,6.1,6.9,8.9,10.4,11.2,12,13.6,14.5,15.4,16.2,17.1,19.2,21.3,22.7,23.7,24,24.6,25.5,26.7,28.2,30.4,33.4,36.8,40.6,45.1
"10","3","Net value added","A439RC1",49.4,43,33,23.5,22.8,29.3,32.8,38.3,43.4,38,42.3,48.8,64,80.7,96.8,100.3,93.6,97.5,117.1,134.1,130.3,148.4,170.3,178.1,190.8,187.5,212.4,226.4,235.7,229.1,258.2,269.9,277.5,303.5,322.9,349.5,384,420.7,442.5,488.5,531.5
