"","Table 5#2#5# Gross and Net Domestic Investment by Major Type    ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"20","2","      Less: Consumption of fixed capital","A262RC1","99,191.0","108,313.0","117,773.0","127,151.0","140,782.0","163,686.0","190,379.0","208,170.0","231,776.0","261,414.0","298,901.0","344,085.0","393,342.0","433,542.0","451,105.0","474,347.0","505,443.0","538,475.0","571,094.0","611,014.0","651,452.0","691,202.0","724,360.0","744,351.0","778,015.0","819,167.0","869,460.0","912,517.0","963,805.0","1,020,547.0","1,094,390.0","1,184,324.0","1,256,221.0","1,304,979.0","1,354,052.0","1,432,765.0","1,541,375.0","1,660,677.0","1,767,511.0","1,854,077.0","1,866,319.0","1,873,441.0","1,936,778.0"
"21","3","      Equals: Net domestic investment","W171RC1","100,521.0","87,642.0","102,154.0","123,098.0","150,553.0","141,989.0","102,941.0","150,185.0","197,067.0","253,606.0","282,449.0","235,420.0","285,924.0","196,004.0","236,046.0","400,628.0","389,540.0","381,270.0","398,137.0","396,706.0","421,165.0","385,515.0","298,831.0","343,540.0","394,760.0","499,037.0","507,182.0","571,900.0","677,215.0","753,090.0","834,478.0","892,212.0","727,742.0","685,449.0","731,391.0","908,162.0","1,022,922.0","1,091,513.0","984,182.0","730,681.0","189,901.0","369,414.0","398,365.0"
"22","4","Gross private domestic investment","A006RC1","156,444.0","152,378.0","178,168.0","207,608.0","244,489.0","249,418.0","230,219.0","291,960.0","361,340.0","437,953.0","492,875.0","479,252.0","572,381.0","517,232.0","564,300.0","735,623.0","736,181.0","746,519.0","784,951.0","821,571.0","874,948.0","860,968.0","802,891.0","864,786.0","953,345.0","1,097,288.0","1,144,044.0","1,240,191.0","1,388,657.0","1,510,784.0","1,641,508.0","1,772,210.0","1,661,928.0","1,646,957.0","1,729,656.0","1,968,557.0","2,172,282.0","2,327,135.0","2,295,233.0","2,087,587.0","1,549,290.0","1,737,329.0","1,854,941.0"
"23","5","Less: Consumption of fixed capital","A024RC1","74,490.0","81,702.0","89,528.0","97,713.0","109,459.0","127,835.0","150,449.0","165,544.0","186,148.0","211,962.0","244,462.0","282,290.0","323,249.0","356,438.0","369,519.0","387,466.0","412,774.0","439,063.0","464,485.0","497,114.0","529,604.0","560,416.0","585,433.0","599,900.0","626,383.0","660,953.0","704,619.0","743,352.0","789,710.0","841,567.0","907,237.0","986,828.0","1,051,593.0","1,094,033.0","1,135,933.0","1,200,874.0","1,290,810.0","1,391,388.0","1,476,195.0","1,542,915.0","1,542,773.0","1,539,919.0","1,587,385.0"
"24","6","Equals: Net private domestic investment","A557RC1","81,954.0","70,676.0","88,640.0","109,895.0","135,030.0","121,583.0","79,770.0","126,416.0","175,192.0","225,991.0","248,413.0","196,962.0","249,132.0","160,794.0","194,781.0","348,157.0","323,407.0","307,456.0","320,466.0","324,457.0","345,344.0","300,552.0","217,458.0","264,886.0","326,962.0","436,335.0","439,425.0","496,839.0","598,947.0","669,217.0","734,271.0","785,382.0","610,335.0","552,924.0","593,723.0","767,683.0","881,472.0","935,747.0","819,038.0","544,672.0","6,517.0","197,410.0","267,556.0"
"25","7","  Fixed investment","A007RC1","147,271.0","150,377.0","169,912.0","198,501.0","228,611.0","235,428.0","236,475.0","274,844.0","339,016.0","412,162.0","474,891.0","485,583.0","542,572.0","532,146.0","570,051.0","670,218.0","714,357.0","739,948.0","757,802.0","803,089.0","847,255.0","846,421.0","803,285.0","848,458.0","932,531.0","1,033,504.0","1,112,887.0","1,209,424.0","1,317,658.0","1,447,065.0","1,580,692.0","1,717,666.0","1,700,211.0","1,634,930.0","1,713,281.0","1,903,647.0","2,122,329.0","2,267,180.0","2,266,110.0","2,128,706.0","1,703,463.0","1,678,969.0","1,818,312.0"
"26","8","  Less: Consumption of fixed capital","A024RC1","74,490.0","81,702.0","89,528.0","97,713.0","109,459.0","127,835.0","150,449.0","165,544.0","186,148.0","211,962.0","244,462.0","282,290.0","323,249.0","356,438.0","369,519.0","387,466.0","412,774.0","439,063.0","464,485.0","497,114.0","529,604.0","560,416.0","585,433.0","599,900.0","626,383.0","660,953.0","704,619.0","743,352.0","789,710.0","841,567.0","907,237.0","986,828.0","1,051,593.0","1,094,033.0","1,135,933.0","1,200,874.0","1,290,810.0","1,391,388.0","1,476,195.0","1,542,915.0","1,542,773.0","1,539,919.0","1,587,385.0"
"27","9","  Equals: Net fixed investment","A560RC1","72,781.0","68,675.0","80,384.0","100,788.0","119,152.0","107,593.0","86,026.0","109,300.0","152,868.0","200,200.0","230,429.0","203,293.0","219,323.0","175,708.0","200,532.0","282,752.0","301,583.0","300,885.0","293,317.0","305,975.0","317,651.0","286,005.0","217,852.0","248,558.0","306,148.0","372,551.0","408,268.0","466,072.0","527,948.0","605,498.0","673,455.0","730,838.0","648,618.0","540,897.0","577,348.0","702,773.0","831,519.0","875,792.0","789,915.0","585,791.0","160,690.0","139,050.0","230,927.0"
"28","10","    Nonresidential","A008RC1","104,651.0","109,012.0","114,148.0","128,836.0","153,265.0","169,465.0","173,745.0","192,361.0","228,719.0","280,563.0","333,898.0","362,392.0","420,011.0","426,466.0","417,198.0","489,633.0","526,185.0","519,834.0","524,116.0","563,783.0","607,745.0","622,440.0","598,174.0","612,126.0","666,567.0","731,411.0","810,033.0","875,366.0","968,607.0","1,061,137.0","1,154,903.0","1,268,688.0","1,227,813.0","1,125,435.0","1,135,678.0","1,223,034.0","1,347,325.0","1,505,330.0","1,637,453.0","1,656,294.0","1,349,315.0","1,338,418.0","1,479,579.0"
"29","11","    Less: Consumption of fixed capital","A753RC1","60,441.0","66,624.0","72,926.0","79,288.0","88,488.0","103,734.0","123,326.0","135,905.0","152,566.0","172,989.0","199,592.0","230,976.0","266,381.0","295,600.0","306,271.0","320,743.0","342,597.0","364,053.0","384,199.0","411,458.0","438,729.0","465,029.0","486,773.0","498,140.0","518,933.0","547,329.0","583,757.0","616,566.0","655,896.0","700,316.0","756,344.0","825,023.0","878,353.0","911,709.0","939,836.0","983,584.0","1,051,128.0","1,129,288.0","1,202,984.0","1,267,283.0","1,273,158.0","1,269,255.0","1,312,876.0"
"30","12","    Equals: Net nonresidential","A593RC1","44,210.0","42,388.0","41,222.0","49,548.0","64,777.0","65,731.0","50,419.0","56,456.0","76,153.0","107,574.0","134,306.0","131,416.0","153,630.0","130,866.0","110,927.0","168,890.0","183,588.0","155,781.0","139,917.0","152,325.0","169,016.0","157,411.0","111,401.0","113,986.0","147,634.0","184,082.0","226,276.0","258,800.0","312,711.0","360,821.0","398,559.0","443,665.0","349,460.0","213,726.0","195,842.0","239,450.0","296,197.0","376,042.0","434,469.0","389,011.0","76,157.0","69,163.0","166,703.0"
"31","13","      Structures","B009RC1","37,698.0","40,287.0","42,679.0","47,173.0","54,983.0","61,237.0","61,350.0","65,915.0","74,578.0","93,584.0","117,701.0","136,170.0","167,314.0","177,564.0","154,344.0","177,397.0","194,517.0","176,527.0","174,202.0","182,789.0","193,716.0","202,917.0","183,605.0","172,572.0","177,152.0","186,769.0","207,270.0","224,583.0","250,265.0","275,130.0","283,945.0","318,145.0","329,706.0","282,752.0","281,866.0","306,651.0","351,754.0","433,671.0","524,884.0","586,304.0","451,073.0","376,349.0","404,848.0"
"32","14","      Less: Consumption of fixed capital","B188RC1","15,961.0","17,531.0","19,391.0","21,380.0","24,572.0","29,121.0","33,690.0","36,163.0","40,434.0","45,756.0","52,893.0","59,916.0","71,666.0","81,155.0","81,063.0","83,844.0","88,562.0","91,829.0","93,152.0","99,764.0","105,673.0","111,268.0","115,611.0","116,089.0","120,074.0","124,896.0","131,472.0","136,500.0","144,646.0","154,744.0","161,420.0","170,857.0","184,795.0","196,755.0","205,541.0","220,443.0","248,900.0","282,755.0","310,929.0","333,749.0","331,462.0","329,313.0","345,959.0"
"33","15","      Equals: Net structures","A594RC1","21,737.0","22,756.0","23,288.0","25,793.0","30,411.0","32,116.0","27,660.0","29,752.0","34,144.0","47,828.0","64,808.0","76,254.0","95,648.0","96,409.0","73,281.0","93,553.0","105,955.0","84,698.0","81,050.0","83,025.0","88,043.0","91,649.0","67,994.0","56,483.0","57,078.0","61,873.0","75,798.0","88,083.0","105,619.0","120,386.0","122,525.0","147,288.0","144,911.0","85,997.0","76,325.0","86,208.0","102,854.0","150,916.0","213,955.0","252,555.0","119,611.0","47,036.0","58,889.0"
"34","16","      Equipment and software","B010RC1","66,953.0","68,725.0","71,469.0","81,663.0","98,282.0","108,228.0","112,395.0","126,446.0","154,141.0","186,979.0","216,197.0","226,222.0","252,697.0","248,902.0","262,854.0","312,236.0","331,668.0","343,307.0","349,914.0","380,994.0","414,029.0","419,523.0","414,569.0","439,554.0","489,415.0","544,642.0","602,763.0","650,783.0","718,342.0","786,007.0","870,958.0","950,543.0","898,107.0","842,683.0","853,812.0","916,383.0","995,571.0","1,071,659.0","1,112,569.0","1,069,990.0","898,242.0","962,069.0","1,074,731.0"
"35","17","      Less: Consumption of fixed capital","B189RC1","44,480.0","49,093.0","53,535.0","57,908.0","63,916.0","74,613.0","89,636.0","99,742.0","112,132.0","127,233.0","146,699.0","171,060.0","194,715.0","214,445.0","225,208.0","236,899.0","254,035.0","272,224.0","291,047.0","311,694.0","333,056.0","353,761.0","371,162.0","382,051.0","398,859.0","422,433.0","452,285.0","480,066.0","511,250.0","545,572.0","594,924.0","654,166.0","693,558.0","714,954.0","734,295.0","763,141.0","802,228.0","846,533.0","892,055.0","933,534.0","941,696.0","939,942.0","966,917.0"
"36","18","      Equals: Net equipment and software","A747RC1","22,473.0","19,632.0","17,934.0","23,755.0","34,366.0","33,615.0","22,759.0","26,704.0","42,009.0","59,746.0","69,498.0","55,162.0","57,982.0","34,457.0","37,646.0","75,337.0","77,633.0","71,083.0","58,867.0","69,300.0","80,973.0","65,762.0","43,407.0","57,503.0","90,556.0","122,209.0","150,478.0","170,717.0","207,092.0","240,435.0","276,034.0","296,377.0","204,549.0","127,729.0","119,517.0","153,242.0","193,343.0","225,126.0","220,514.0","136,456.0","-43,454.0","22,127.0","107,814.0"
"37","19","    Residential","A011RC1","42,620.0","41,365.0","55,764.0","69,665.0","75,346.0","65,963.0","62,730.0","82,483.0","110,297.0","131,599.0","140,993.0","123,191.0","122,561.0","105,680.0","152,853.0","180,585.0","188,172.0","220,114.0","233,686.0","239,306.0","239,510.0","223,981.0","205,111.0","236,332.0","265,964.0","302,093.0","302,854.0","334,058.0","349,051.0","385,928.0","425,789.0","448,978.0","472,398.0","509,495.0","577,603.0","680,613.0","775,004.0","761,850.0","628,657.0","472,412.0","354,148.0","340,551.0","338,733.0"
"38","20","    Less: Consumption of fixed capital","A754RC1","14,051.0","15,079.0","16,604.0","18,425.0","20,971.0","24,103.0","27,124.0","29,639.0","33,584.0","38,973.0","44,870.0","51,316.0","56,867.0","60,838.0","63,248.0","66,721.0","70,177.0","75,013.0","80,284.0","85,657.0","90,875.0","95,390.0","98,661.0","101,760.0","107,451.0","113,624.0","120,864.0","126,787.0","133,812.0","141,250.0","150,893.0","161,804.0","173,244.0","182,325.0","196,097.0","217,289.0","239,683.0","262,103.0","273,211.0","275,634.0","269,614.0","270,665.0","274,509.0"
"39","21","    Equals: Net residential","A748RC1","28,569.0","26,286.0","39,160.0","51,240.0","54,375.0","41,860.0","35,606.0","52,844.0","76,713.0","92,626.0","96,123.0","71,875.0","65,694.0","44,842.0","89,605.0","113,864.0","117,995.0","145,101.0","153,402.0","153,649.0","148,635.0","128,591.0","106,450.0","134,572.0","158,513.0","188,469.0","181,990.0","207,271.0","215,239.0","244,678.0","274,896.0","287,174.0","299,154.0","327,170.0","381,506.0","463,324.0","535,321.0","499,747.0","355,446.0","196,778.0","84,534.0","69,886.0","64,224.0"
"40","22","  Change in private inventories","A014RC1","9,173.0","2,001.0","8,256.0","9,107.0","15,878.0","13,990.0","-6,256.0","17,116.0","22,324.0","25,791.0","17,984.0","-6,331.0","29,809.0","-14,914.0","-5,751.0","65,405.0","21,824.0","6,571.0","27,149.0","18,482.0","27,693.0","14,547.0","-394.0","16,328.0","20,814.0","63,784.0","31,157.0","30,767.0","70,999.0","63,719.0","60,816.0","54,544.0","-38,283.0","12,027.0","16,375.0","64,910.0","49,953.0","59,955.0","29,123.0","-41,119.0","-154,173.0","58,360.0","36,629.0"
"41","23","Gross government investment \1\","A782RC1","43,268.0","43,577.0","41,759.0","42,641.0","46,846.0","56,257.0","63,101.0","66,395.0","67,503.0","77,067.0","88,475.0","100,253.0","106,885.0","112,314.0","122,851.0","139,352.0","158,802.0","173,226.0","184,280.0","186,149.0","197,669.0","215,749.0","220,300.0","223,105.0","219,430.0","220,916.0","232,598.0","244,226.0","252,363.0","262,853.0","287,360.0","304,326.0","322,035.0","343,471.0","355,787.0","372,370.0","392,015.0","425,055.0","456,460.0","497,171.0","506,930.0","505,526.0","480,202.0"
"42","24","Less: Consumption of fixed capital","A264RC1","24,701.0","26,611.0","28,245.0","29,438.0","31,323.0","35,851.0","39,930.0","42,626.0","45,628.0","49,452.0","54,439.0","61,795.0","70,093.0","77,104.0","81,586.0","86,881.0","92,669.0","99,412.0","106,609.0","113,900.0","121,848.0","130,786.0","138,927.0","144,451.0","151,632.0","158,214.0","164,841.0","169,165.0","174,095.0","178,980.0","187,153.0","197,496.0","204,628.0","210,946.0","218,119.0","231,891.0","250,565.0","269,289.0","291,316.0","311,162.0","323,546.0","333,522.0","349,393.0"
"43","25","Equals: Net government investment","A889RC1","18,567.0","16,966.0","13,514.0","13,203.0","15,523.0","20,406.0","23,171.0","23,769.0","21,875.0","27,615.0","34,036.0","38,458.0","36,792.0","35,210.0","41,265.0","52,471.0","66,133.0","73,814.0","77,671.0","72,249.0","75,821.0","84,963.0","81,373.0","78,654.0","67,798.0","62,702.0","67,757.0","75,061.0","78,268.0","83,873.0","100,207.0","106,830.0","117,407.0","132,525.0","137,668.0","140,479.0","141,450.0","155,766.0","165,144.0","186,009.0","183,384.0","172,004.0","130,809.0"
"44","26","          Federal","A890RC1","-420.0","-1,226.0","-4,761.0","-4,610.0","-3,400.0","-1,560.0","-202.0","1,180.0","1,667.0","2,611.0","4,688.0","6,284.0","8,129.0","9,911.0","15,718.0","19,828.0","26,385.0","28,852.0","30,656.0","20,751.0","19,652.0","20,766.0","16,200.0","14,170.0","5,924.0","-2,216.0","-3,072.0","-1,486.0","-9,100.0","-6,408.0","-3,420.0","-7,705.0","-7,063.0","995.0","5,383.0","8,445.0","10,026.0","14,127.0","14,779.0","28,413.0","31,848.0","37,077.0","23,500.0"
"45","27","            National defense","B891RC1","-1,807.0","-2,530.0","-6,277.0","-6,297.0","-5,218.0","-3,634.0","-2,672.0","-1,753.0","-1,670.0","-2,130.0","112.0","834.0","2,670.0","5,563.0","10,195.0","13,921.0","20,094.0","22,761.0","23,447.0","15,404.0","13,704.0","13,661.0","8,074.0","4,410.0","-3,912.0","-8,012.0","-9,922.0","-9,584.0","-15,041.0","-13,911.0","-11,806.0","-11,478.0","-9,537.0","-3,450.0","1,074.0","4,808.0","5,519.0","7,819.0","9,519.0","21,456.0","25,006.0","24,373.0","12,890.0"
"46","28","            Nondefense","B892RC1","1,387.0","1,304.0","1,516.0","1,687.0","1,818.0","2,074.0","2,470.0","2,933.0","3,337.0","4,741.0","4,576.0","5,450.0","5,459.0","4,348.0","5,523.0","5,907.0","6,291.0","6,091.0","7,209.0","5,347.0","5,948.0","7,105.0","8,126.0","9,760.0","9,836.0","5,796.0","6,850.0","8,098.0","5,941.0","7,503.0","8,386.0","3,773.0","2,474.0","4,445.0","4,309.0","3,637.0","4,507.0","6,308.0","5,260.0","6,957.0","6,842.0","12,704.0","10,610.0"
"47","29","          State and local","A893RC1","18,987.0","18,192.0","18,275.0","17,812.0","18,923.0","21,966.0","23,373.0","22,588.0","20,209.0","25,004.0","29,346.0","32,174.0","28,662.0","25,299.0","25,547.0","32,642.0","39,748.0","44,963.0","47,016.0","51,498.0","56,169.0","64,197.0","65,172.0","64,484.0","61,874.0","64,918.0","70,829.0","76,547.0","87,368.0","90,281.0","103,627.0","114,534.0","124,470.0","131,530.0","132,285.0","132,035.0","131,424.0","141,639.0","150,365.0","157,596.0","151,536.0","134,926.0","107,309.0"
"48","30","  Structures","A760RC1","28,959.0","29,167.0","31,239.0","31,605.0","34,356.0","40,317.0","44,529.0","44,877.0","44,287.0","51,491.0","57,814.0","65,309.0","66,357.0","64,983.0","65,719.0","72,504.0","81,116.0","88,986.0","95,509.0","98,998.0","101,968.0","112,621.0","116,981.0","119,744.0","121,075.0","124,685.0","134,748.0","144,381.0","155,556.0","160,157.0","175,790.0","189,648.0","205,797.0","221,638.0","229,385.0","236,449.0","246,477.0","267,473.0","289,508.0","310,008.0","316,897.0","309,289.0","285,978.0"
"49","31","  Less: Consumption of fixed capital","A894RC1","10,205.0","11,447.0","12,751.0","13,858.0","15,597.0","19,073.0","21,458.0","22,259.0","23,525.0","25,188.0","28,264.0","32,469.0","36,690.0","39,533.0","40,339.0","41,225.0","42,743.0","44,961.0","47,623.0","49,868.0","52,134.0","54,811.0","56,803.0","58,408.0","61,176.0","64,216.0","68,160.0","71,493.0","75,842.0","79,468.0","83,898.0","89,541.0","94,609.0","99,356.0","103,968.0","112,384.0","125,518.0","137,689.0","152,670.0","163,958.0","169,518.0","172,394.0","180,636.0"
"50","32","  Equals: Net structures","A895RC1","18,754.0","17,720.0","18,488.0","17,747.0","18,759.0","21,244.0","23,071.0","22,618.0","20,762.0","26,303.0","29,550.0","32,840.0","29,667.0","25,450.0","25,380.0","31,279.0","38,373.0","44,025.0","47,886.0","49,130.0","49,834.0","57,810.0","60,178.0","61,336.0","59,899.0","60,469.0","66,588.0","72,888.0","79,714.0","80,689.0","91,892.0","100,107.0","111,188.0","122,282.0","125,417.0","124,065.0","120,959.0","129,784.0","136,838.0","146,050.0","147,379.0","136,895.0","105,342.0"
"51","33","            Federal","A896RC1","571.0","346.0","967.0","928.0","1,112.0","836.0","1,105.0","1,209.0","1,485.0","2,463.0","1,840.0","2,568.0","2,568.0","1,969.0","2,600.0","2,756.0","3,998.0","4,880.0","6,336.0","3,503.0","2,041.0","2,494.0","1,842.0","3,270.0","3,794.0","2,784.0","3,693.0","3,239.0","607.0","739.0","-317.0","-3,399.0","-4,115.0","-2,132.0","-759.0","-3,179.0","-5,344.0","-4,579.0","-2,342.0","718.0","4,809.0","9,150.0","4,651.0"
"52","34","              National defense","B897RC1","-386.0","-695.0","-380.0","-575.0","-686.0","-1,065.0","-1,210.0","-1,483.0","-1,471.0","-1,458.0","-1,956.0","-1,702.0","-1,974.0","-1,331.0","-537.0","-571.0","499.0","867.0","1,472.0","1,002.0","-323.0","-781.0","-2,429.0","-2,013.0","-2,244.0","-2,008.0","-1,376.0","-1,970.0","-2,348.0","-2,822.0","-3,537.0","-3,819.0","-4,147.0","-3,791.0","-2,530.0","-3,210.0","-3,778.0","-3,997.0","-2,664.0","498.0","3,914.0","3,676.0","123.0"
"53","35","              Nondefense","B898RC1","957.0","1,041.0","1,347.0","1,503.0","1,798.0","1,901.0","2,315.0","2,692.0","2,956.0","3,921.0","3,796.0","4,270.0","4,542.0","3,300.0","3,137.0","3,327.0","3,499.0","4,013.0","4,864.0","2,501.0","2,364.0","3,275.0","4,271.0","5,283.0","6,038.0","4,792.0","5,069.0","5,209.0","2,955.0","3,561.0","3,220.0","420.0","32.0","1,659.0","1,771.0","31.0","-1,566.0","-582.0","322.0","220.0","895.0","5,474.0","4,528.0"
"54","36","            State and local","B899RC1","18,183.0","17,374.0","17,521.0","16,819.0","17,647.0","20,408.0","21,966.0","21,409.0","19,277.0","23,840.0","27,710.0","30,272.0","27,099.0","23,481.0","22,780.0","28,523.0","34,375.0","39,145.0","41,550.0","45,627.0","47,793.0","55,316.0","58,336.0","58,066.0","56,105.0","57,685.0","62,895.0","69,649.0","79,107.0","79,950.0","92,209.0","103,506.0","115,304.0","124,414.0","126,176.0","127,244.0","126,303.0","134,363.0","139,179.0","145,332.0","142,571.0","127,745.0","100,690.0"
"55","37","  Equipment and software","A871RC1","14,309.0","14,410.0","10,520.0","11,036.0","12,490.0","15,940.0","18,572.0","21,518.0","23,216.0","25,576.0","30,661.0","34,944.0","40,528.0","47,331.0","57,132.0","66,848.0","77,686.0","84,240.0","88,771.0","87,151.0","95,701.0","103,128.0","103,319.0","103,361.0","98,355.0","96,231.0","97,850.0","99,845.0","96,807.0","102,696.0","111,570.0","114,678.0","116,238.0","121,833.0","126,402.0","135,921.0","145,538.0","157,582.0","166,952.0","187,163.0","190,033.0","196,236.0","194,225.0"
"56","38","  Less: Consumption of fixed capital","A900RC1","14,496.0","15,164.0","15,494.0","15,580.0","15,726.0","16,777.0","18,471.0","20,368.0","22,103.0","24,264.0","26,176.0","29,326.0","33,404.0","37,571.0","41,247.0","45,657.0","49,926.0","54,450.0","58,986.0","64,031.0","69,714.0","75,975.0","82,125.0","86,043.0","90,456.0","93,998.0","96,681.0","97,672.0","98,253.0","99,511.0","103,254.0","107,955.0","110,019.0","111,590.0","114,151.0","119,507.0","125,047.0","131,600.0","138,646.0","147,204.0","154,028.0","161,129.0","168,757.0"
