"","Table 3#15#6# Real Government Consumption Expenditures and Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20"
"1","[Millions of chained (2005) dollars]                                            ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September 10, 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/25/2012 3:16:21 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"19","1","      Government","A822RX1","1,888,904.0","1,907,927.0","1,943,773.0","1,984,990.0","2,056,124.0","2,097,794.0","2,178,317.0","2,279,633.0","2,330,451.0","2,362,009.0","2,369,882.0","2,402,085.0","2,434,169.0","2,497,412.0","2,589,370.0","2,605,813.0","2,523,851.0"
"20","2","General public service","W575RX1","171,103.0","167,443.0","175,538.0","185,867.0","195,332.0","194,946.0","205,199.0","217,408.0","215,117.0","219,778.0","218,487.0","219,589.0","219,938.0","222,138.0","237,335.0","237,827.0","230,611.0"
"21","3","National defense","A824RX1","476,753.0","470,392.0","457,209.0","447,544.0","455,838.0","453,487.0","470,695.0","505,294.0","549,244.0","580,417.0","589,047.0","598,403.0","611,827.0","657,667.0","696,906.0","717,630.0","699,097.0"
"22","4","Public order and safety","W579RX1","203,966.0","213,038.0","220,258.0","229,413.0","238,927.0","245,173.0","254,730.0","263,451.0","262,241.0","263,444.0","266,266.0","271,525.0","281,222.0","288,168.0","297,272.0","296,162.0","296,193.0"
"23","5","Economic affairs","W584RX1","298,200.0","299,645.0","306,942.0","310,220.0","325,650.0","337,099.0","346,985.0","360,528.0","360,988.0","353,989.0","343,007.0","342,452.0","343,172.0","344,305.0","354,506.0","364,578.0","344,189.0"
"24","6","  Transportation","W589RX1","184,807.0","186,415.0","191,930.0","197,245.0","205,864.0","211,897.0","222,565.0","230,574.0","233,768.0","227,637.0","218,700.0","215,658.0","210,162.0","210,145.0","214,272.0","214,358.0","206,636.0"
"25","7","  Space","W595RX1","19,451.0","20,491.0","20,512.0","19,347.0","18,578.0","18,417.0","18,749.0","18,088.0","18,244.0","18,905.0","18,350.0","17,915.0","19,642.0","20,962.0","22,019.0","21,643.0","19,886.0"
"26","8","  Other economic affairs","W596RX1","93,392.0","92,145.0","94,001.0","93,428.0","101,049.0","106,610.0","105,663.0","111,885.0","109,118.0","107,497.0","105,957.0","108,918.0","113,855.0","113,857.0","119,180.0","130,200.0","118,610.0"
"27","9","Housing and community services","W597RX1","39,538.0","41,789.0","43,085.0","43,493.0","45,010.0","40,875.0","45,248.0","48,826.0","49,763.0","48,379.0","48,389.0","53,670.0","52,524.0","53,488.0","53,624.0","53,952.0","46,415.0"
"28","10","Health","W598RX1","97,687.0","97,488.0","95,346.0","95,411.0","98,028.0","99,908.0","101,353.0","112,258.0","120,281.0","119,608.0","125,173.0","122,498.0","128,293.0","133,769.0","140,485.0","144,881.0","146,722.0"
"29","11","Recreation and culture","W599RX1","26,745.0","27,951.0","29,537.0","30,533.0","30,965.0","33,143.0","34,891.0","36,654.0","35,265.0","34,602.0","34,511.0","33,613.0","34,781.0","34,628.0","36,024.0","35,618.0","33,040.0"
"30","12","Education","W600RX1","513,048.0","528,261.0","551,076.0","572,965.0","594,205.0","617,828.0","639,272.0","648,433.0","651,956.0","659,170.0","660,042.0","669,480.0","679,770.0","680,916.0","690,014.0","671,197.0","647,998.0"
"31","13","Income security","W605RX1","61,948.0","62,254.0","65,272.0","70,013.0","72,743.0","75,634.0","80,380.0","87,279.0","86,039.0","82,766.0","84,961.0","90,918.0","82,817.0","83,511.0","85,077.0","86,152.0","82,583.0"
"32","14","      Federal","A823RX1","704,137.0","695,980.0","689,135.0","681,396.0","694,644.0","698,070.0","726,459.0","779,491.0","831,073.0","864,998.0","876,300.0","894,939.0","906,088.0","971,105.0","1,030,644.0","1,076,821.0","1,047,003.0"
"33","15","General public service","W611RX1","38,224.0","32,542.0","35,756.0","33,823.0","34,968.0","31,986.0","37,806.0","38,288.0","38,866.0","45,377.0","45,620.0","46,941.0","48,462.0","52,607.0","56,972.0","60,385.0","58,643.0"
"34","16","National defense","A824RX1","476,753.0","470,392.0","457,209.0","447,544.0","455,838.0","453,487.0","470,695.0","505,294.0","549,244.0","580,417.0","589,047.0","598,403.0","611,827.0","657,667.0","696,906.0","717,630.0","699,097.0"
"35","17","Public order and safety","W615RX1","23,784.0","26,069.0","26,654.0","27,735.0","29,515.0","32,093.0","33,728.0","36,423.0","38,084.0","39,633.0","40,390.0","42,047.0","43,398.0","48,174.0","52,063.0","52,350.0","52,277.0"
"36","18","Economic affairs","W620RX1","92,328.0","93,152.0","93,995.0","92,928.0","96,411.0","99,586.0","97,851.0","106,392.0","106,484.0","104,510.0","102,864.0","104,873.0","106,610.0","111,035.0","116,829.0","131,103.0","120,155.0"
"37","19","  Transportation","W625RX1","22,212.0","22,785.0","22,756.0","23,833.0","23,282.0","23,097.0","24,518.0","29,463.0","32,425.0","30,122.0","30,137.0","30,766.0","29,619.0","31,305.0","31,793.0","33,458.0","34,321.0"
"38","20","  Space","W631RX1","19,451.0","20,491.0","20,512.0","19,347.0","18,578.0","18,417.0","18,749.0","18,088.0","18,244.0","18,905.0","18,350.0","17,915.0","19,642.0","20,962.0","22,019.0","21,643.0","19,886.0"
"39","21","  Other economic affairs","W632RX1","50,550.0","49,700.0","50,556.0","49,655.0","54,504.0","58,047.0","54,532.0","58,853.0","55,827.0","55,482.0","54,377.0","56,183.0","57,399.0","58,845.0","63,109.0","75,952.0","65,830.0"
"40","22","Housing and community services","W633RX1","720.0","826.0","1,015.0","1,679.0","1,717.0","-126.0","925.0","1,209.0","1,387.0","844.0","1,496.0","1,080.0","1,597.0","2,432.0","1,768.0","1,772.0","1,945.0"
"41","23","Health","W634RX1","53,666.0","53,965.0","54,869.0","56,251.0","55,340.0","59,030.0","62,720.0","65,897.0","70,758.0","68,212.0","67,075.0","66,441.0","66,325.0","71,992.0","77,691.0","82,634.0","86,956.0"
"42","24","Recreation and culture","W635RX1","3,649.0","3,697.0","4,103.0","4,270.0","3,781.0","4,199.0","4,191.0","4,593.0","4,617.0","4,589.0","4,529.0","4,257.0","4,178.0","4,407.0","4,682.0","5,395.0","4,817.0"
"43","25","Education","W636RX1","5,425.0","5,644.0","5,605.0","5,995.0","6,473.0","6,775.0","7,564.0","8,025.0","7,872.0","7,900.0","7,769.0","6,633.0","6,934.0","7,022.0","7,388.0","7,405.0","7,619.0"
"44","26","Income security","W640RX1","10,175.0","9,762.0","10,065.0","11,004.0","10,386.0","10,714.0","10,801.0","13,130.0","13,667.0","13,516.0","17,510.0","24,290.0","16,653.0","15,560.0","16,156.0","18,087.0","15,319.0"
"45","27","      State and local","A829RX1","1,183,618.0","1,211,140.0","1,254,306.0","1,303,762.0","1,361,832.0","1,400,145.0","1,452,302.0","1,500,641.0","1,499,670.0","1,497,074.0","1,493,582.0","1,507,180.0","1,528,100.0","1,528,083.0","1,561,811.0","1,534,070.0","1,481,985.0"
"46","28","General public service","W646RX1","133,448.0","135,106.0","140,092.0","152,179.0","160,485.0","162,981.0","167,556.0","179,267.0","176,386.0","174,409.0","172,867.0","172,655.0","171,512.0","169,733.0","180,616.0","177,818.0","172,336.0"
"47","29","Public order and safety","W650RX1","180,444.0","187,175.0","193,834.0","201,919.0","209,626.0","213,212.0","221,124.0","227,104.0","224,185.0","223,814.0","225,876.0","229,481.0","237,824.0","240,127.0","245,446.0","244,066.0","244,167.0"
"48","30","Economic affairs","W655RX1","205,519.0","206,094.0","212,686.0","217,222.0","229,260.0","237,547.0","249,399.0","254,191.0","254,561.0","249,530.0","240,143.0","237,621.0","236,712.0","233,893.0","238,653.0","235,895.0","225,820.0"
