"","Table 6#1D# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50"
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011","2011","2011","2011","2012","2012","2012"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3"
"20","1","      National income without capital consumption adjustment","A422RC1","9,061,580.0","9,085,526.0","9,019,231.0","9,005,363.0","9,093,646.0","9,172,570.0","9,217,160.0","9,341,241.0","9,441,330.0","9,556,789.0","9,700,179.0","9,902,917.0","10,107,650.0","10,281,058.0","10,486,502.0","10,620,568.0","11,082,388.0","11,228,509.0","11,444,882.0","11,659,884.0","11,954,012.0","12,059,338.0","12,177,455.0","12,316,632.0","12,353,800.0","12,468,735.0","12,517,619.0","12,659,797.0","12,611,000.0","12,643,783.0","12,659,149.0","12,214,638.0","12,071,492.0","11,964,941.0","12,064,450.0","12,297,949.0","12,560,377.0","12,706,493.0","12,853,016.0","12,841,823.0","12,965,472.0","13,077,074.0","13,169,449.0","13,328,339.0","13,788,275.0","13,867,844.0","....."
"21","2","Domestic industries","A423RC1","9,020,444.0","9,035,926.0","8,992,256.0","8,915,438.0","9,042,628.0","9,139,791.0","9,169,757.0","9,276,003.0","9,389,508.0","9,491,237.0","9,634,606.0","9,811,101.0","9,997,053.0","10,195,240.0","10,389,706.0","10,548,942.0","10,975,564.0","11,132,282.0","11,337,769.0","11,581,455.0","11,873,503.0","11,983,821.0","12,115,525.0","12,244,927.0","12,283,534.0","12,389,264.0","12,372,867.0","12,461,201.0","12,432,375.0","12,462,484.0","12,460,178.0","12,096,877.0","11,953,237.0","11,849,096.0","11,901,472.0","12,120,841.0","12,368,954.0","12,490,684.0","12,636,077.0","12,628,774.0","12,730,219.0","12,827,051.0","12,911,187.0","13,064,350.0","13,573,362.0","13,620,502.0","....."
"22","3","  Private industries","A736RC1","7,973,683.0","7,974,961.0","7,908,403.0","7,823,960.0","7,922,825.0","8,007,797.0","8,020,515.0","8,108,912.0","8,189,885.0","8,276,305.0","8,411,404.0","8,579,819.0","8,738,436.0","8,923,955.0","9,109,397.0","9,256,010.0","9,653,702.0","9,802,966.0","9,997,191.0","10,231,864.0","10,496,993.0","10,593,918.0","10,709,201.0","10,823,572.0","10,834,230.0","10,928,589.0","10,897,637.0","10,972,072.0","10,912,745.0","10,928,098.0","10,907,328.0","10,530,811.0","10,375,895.0","10,257,815.0","10,302,707.0","10,514,871.0","10,743,943.0","10,853,092.0","11,001,641.0","10,992,813.0","11,088,207.0","11,180,235.0","11,264,648.0","11,424,356.0","11,922,690.0","11,967,454.0","....."
"23","4","    Agriculture, forestry, fishing, and hunting","N5004C1","73,683.0","71,451.0","72,755.0","72,495.0","63,485.0","61,424.0","70,477.0","74,904.0","75,897.0","83,134.0","85,026.0","89,274.0","108,548.0","107,990.0","98,715.0","101,227.0","92,775.0","92,725.0","93,161.0","92,465.0","86,567.0","88,938.0","92,662.0","99,560.0","106,919.0","106,256.0","108,030.0","118,728.0","129,725.0","123,665.0","115,418.0","114,118.0","104,874.0","108,959.0","111,126.0","118,574.0","113,074.0","117,433.0","121,689.0","123,702.0","132,121.0","128,841.0","133,465.0","131,940.0","134,043.0","132,804.0","....."
"24","5","    Mining","N5005C1","109,921.0","107,240.0","98,066.0","82,114.0","75,688.0","78,762.0","81,405.0","88,974.0","100,095.0","100,852.0","105,334.0","106,790.0","118,832.0","123,281.0","123,762.0","134,070.0","145,680.0","152,496.0","162,674.0","191,601.0","200,226.0","193,221.0","201,426.0","200,524.0","188,050.0","206,445.0","207,954.0","215,451.0","235,873.0","264,254.0","277,023.0","229,959.0","174,493.0","135,562.0","126,863.0","155,950.0","194,417.0","172,323.0","171,295.0","170,291.0","173,628.0","218,735.0","226,140.0","192,511.0","210,981.0","208,656.0","....."
"25","6","    Utilities","N5006C1","136,323.0","137,395.0","146,258.0","140,067.0","129,041.0","134,181.0","136,032.0","138,532.0","136,454.0","134,364.0","137,485.0","138,897.0","144,379.0","148,379.0","149,268.0","154,520.0","158,269.0","160,044.0","154,719.0","172,021.0","185,027.0","194,353.0","203,506.0","202,960.0","199,129.0","197,637.0","206,664.0","189,991.0","167,663.0","138,199.0","238,948.0","188,069.0","177,473.0","175,626.0","158,895.0","186,995.0","196,521.0","167,124.0","189,489.0","184,303.0","169,562.0","199,045.0","174,198.0","178,880.0","211,881.0","214,665.0","....."
"26","7","    Construction","N5007C1","511,780.0","511,838.0","510,640.0","502,984.0","510,063.0","510,944.0","514,262.0","521,720.0","529,659.0","526,672.0","534,331.0","548,407.0","551,619.0","570,884.0","596,707.0","614,055.0","626,743.0","650,318.0","667,390.0","683,649.0","717,193.0","707,330.0","696,813.0","685,890.0","692,363.0","689,979.0","680,878.0","680,133.0","658,731.0","640,827.0","619,493.0","597,020.0","566,491.0","541,683.0","543,072.0","539,120.0","536,574.0","546,318.0","541,095.0","533,627.0","540,467.0","550,202.0","554,907.0","562,606.0","585,592.0","585,826.0","....."
"27","8","    Manufacturing","N5008C1","1,127,609.0","1,113,924.0","1,060,079.0","986,898.0","1,023,932.0","1,042,313.0","1,038,582.0","1,047,530.0","1,060,773.0","1,049,482.0","1,065,976.0","1,121,451.0","1,123,302.0","1,159,554.0","1,193,487.0","1,210,213.0","1,282,468.0","1,286,415.0","1,315,318.0","1,334,966.0","1,385,434.0","1,392,801.0","1,428,099.0","1,397,164.0","1,416,128.0","1,435,337.0","1,367,221.0","1,417,739.0","1,353,555.0","1,314,916.0","1,356,075.0","1,307,592.0","1,176,932.0","1,149,251.0","1,154,036.0","1,194,042.0","1,245,914.0","1,294,631.0","1,326,149.0","1,320,528.0","1,338,894.0","1,353,356.0","1,383,368.0","1,412,275.0","1,521,861.0","1,530,381.0","....."
"28","9","      Durable goods","N5009C1","665,568.0","637,384.0","584,193.0","537,010.0","577,757.0","599,986.0","601,846.0","603,713.0","610,422.0","605,260.0","602,533.0","637,188.0","634,264.0","654,841.0","672,212.0","677,108.0","723,276.0","736,791.0","753,160.0","762,779.0","795,273.0","763,353.0","801,547.0","805,205.0","804,825.0","796,853.0","786,404.0","815,654.0","788,713.0","743,535.0","762,842.0","705,186.0","631,288.0","618,891.0","624,421.0","653,138.0","694,965.0","717,598.0","736,077.0","740,399.0","747,321.0","753,438.0","772,852.0","801,502.0","865,235.0","877,318.0","....."
"29","10","      Nondurable goods","N5010C1","462,042.0","476,540.0","475,885.0","449,888.0","446,175.0","442,328.0","436,738.0","443,817.0","450,351.0","444,222.0","463,442.0","484,263.0","489,037.0","504,713.0","521,275.0","533,105.0","559,192.0","549,626.0","562,161.0","572,185.0","590,162.0","629,448.0","626,553.0","591,961.0","611,305.0","638,484.0","580,815.0","602,085.0","564,842.0","571,382.0","593,234.0","602,407.0","545,645.0","530,360.0","529,615.0","540,902.0","550,950.0","577,032.0","590,072.0","580,131.0","591,573.0","599,918.0","610,517.0","610,773.0","656,626.0","653,063.0","....."
"30","11","    Wholesale trade","N5011C1","561,258.0","556,992.0","560,635.0","575,466.0","565,664.0","566,412.0","555,584.0","560,050.0","564,214.0","575,348.0","591,003.0","598,829.0","614,441.0","633,339.0","649,537.0","639,944.0","671,900.0","695,872.0","686,337.0","699,348.0","730,590.0","734,440.0","747,118.0","752,672.0","765,614.0","777,021.0","774,509.0","759,429.0","734,372.0","739,670.0","756,296.0","788,747.0","730,308.0","690,279.0","685,004.0","698,929.0","719,744.0","745,813.0","745,076.0","723,302.0","744,881.0","770,314.0","782,408.0","789,477.0","831,559.0","852,845.0","....."
"31","12","    Retail trade","N5012C1","695,250.0","695,412.0","699,096.0","708,759.0","714,645.0","718,588.0","725,145.0","734,505.0","748,818.0","760,531.0","762,483.0","767,333.0","783,675.0","785,999.0","790,078.0","797,116.0","822,274.0","862,216.0","861,830.0","892,157.0","896,267.0","890,815.0","907,986.0","920,235.0","906,869.0","915,711.0","895,507.0","890,458.0","843,963.0","840,406.0","838,602.0","824,902.0","830,184.0","835,083.0","835,495.0","853,194.0","868,894.0","876,766.0","879,453.0","879,648.0","887,423.0","880,989.0","891,785.0","913,022.0","947,535.0","947,227.0","....."
"32","13","    Transportation and warehousing","N5013C1","273,169.0","275,922.0","254,458.0","262,333.0","260,072.0","259,530.0","262,505.0","268,493.0","272,915.0","268,427.0","278,547.0","283,796.0","291,818.0","305,026.0","303,850.0","304,587.0","323,854.0","330,111.0","335,134.0","342,542.0","356,648.0","362,147.0","360,428.0","363,767.0","357,106.0","365,159.0","361,262.0","360,358.0","359,849.0","364,830.0","361,571.0","364,322.0","349,785.0","334,192.0","332,984.0","346,186.0","357,057.0","373,766.0","384,382.0","371,469.0","379,248.0","386,201.0","390,060.0","394,028.0","416,521.0","417,705.0","....."
"33","14","    Information","N5014C1","306,255.0","312,868.0","293,285.0","275,245.0","298,185.0","301,307.0","297,108.0","302,315.0","262,293.0","300,836.0","339,519.0","336,548.0","331,968.0","353,067.0","372,717.0","372,651.0","396,534.0","413,707.0","410,459.0","411,565.0","414,013.0","430,972.0","432,864.0","420,102.0","437,697.0","447,080.0","451,984.0","475,732.0","459,467.0","480,724.0","448,854.0","367,650.0","389,133.0","416,291.0","423,757.0","441,283.0","421,618.0","424,289.0","437,690.0","418,169.0","429,907.0","450,687.0","440,144.0","443,411.0","486,749.0","496,979.0","....."
"34","15","    Finance, insurance, real estate, rental, and leasing","N5015C1","1,675,465.0","1,652,520.0","1,648,890.0","1,644,452.0","1,651,585.0","1,660,431.0","1,629,012.0","1,633,422.0","1,638,766.0","1,665,337.0","1,693,748.0","1,730,692.0","1,748,525.0","1,764,509.0","1,787,999.0","1,839,603.0","1,959,018.0","1,937,988.0","2,015,886.0","2,081,050.0","2,098,783.0","2,139,156.0","2,124,935.0","2,200,459.0","2,164,569.0","2,157,413.0","2,175,928.0","2,143,153.0","2,194,122.0","2,218,282.0","2,075,310.0","2,034,238.0","2,117,451.0","2,146,542.0","2,197,247.0","2,174,129.0","2,187,706.0","2,157,649.0","2,165,416.0","2,202,658.0","2,210,602.0","2,124,234.0","2,134,969.0","2,233,155.0","2,301,252.0","2,271,133.0","....."
"35","16","    Professional and business services \1\","N5016C1","1,150,598.0","1,171,462.0","1,182,108.0","1,180,974.0","1,193,486.0","1,208,819.0","1,221,053.0","1,226,556.0","1,278,117.0","1,274,707.0","1,262,972.0","1,275,478.0","1,299,356.0","1,323,561.0","1,367,444.0","1,406,530.0","1,450,614.0","1,458,604.0","1,516,576.0","1,535,444.0","1,591,535.0","1,599,156.0","1,635,316.0","1,666,738.0","1,661,150.0","1,675,014.0","1,691,748.0","1,711,558.0","1,772,731.0","1,775,263.0","1,786,447.0","1,676,125.0","1,711,510.0","1,660,151.0","1,656,202.0","1,704,893.0","1,772,071.0","1,811,164.0","1,845,373.0","1,867,091.0","1,864,332.0","1,883,530.0","1,901,464.0","1,908,733.0","1,954,966.0","1,983,545.0","....."
"36","17","    Educational services, health care, and social assistance","N5017C1","737,656.0","746,448.0","756,976.0","770,763.0","793,323.0","810,775.0","826,011.0","839,393.0","856,488.0","866,580.0","877,565.0","893,225.0","913,521.0","931,058.0","950,141.0","955,954.0","970,235.0","990,706.0","1,002,973.0","1,010,161.0","1,036,262.0","1,053,917.0","1,064,644.0","1,082,621.0","1,094,660.0","1,103,853.0","1,120,847.0","1,139,815.0","1,158,699.0","1,186,846.0","1,198,706.0","1,213,420.0","1,234,145.0","1,246,998.0","1,252,975.0","1,272,085.0","1,285,930.0","1,304,969.0","1,319,317.0","1,321,641.0","1,331,930.0","1,339,676.0","1,349,514.0","1,352,788.0","1,380,795.0","1,382,672.0","....."
"37","18","    Arts, entertainment, recreation, accommodation, and food services","N5018C1","343,532.0","350,154.0","353,171.0","350,139.0","354,994.0","361,009.0","364,647.0","370,506.0","369,772.0","372,638.0","378,689.0","386,980.0","399,634.0","406,385.0","410,708.0","407,725.0","420,396.0","434,529.0","437,976.0","446,465.0","453,392.0","456,541.0","460,726.0","471,909.0","482,592.0","487,437.0","490,936.0","500,045.0","482,343.0","481,112.0","475,716.0","463,122.0","455,890.0","455,739.0","461,947.0","462,996.0","474,109.0","485,716.0","493,515.0","494,928.0","498,420.0","506,429.0","510,631.0","519,928.0","541,101.0","542,675.0","....."
"38","19","    Other services, except government","N5019C1","271,181.0","271,330.0","271,979.0","271,264.0","288,653.0","293,291.0","298,680.0","302,006.0","295,624.0","297,409.0","298,726.0","302,116.0","308,816.0","310,919.0","314,992.0","317,814.0","332,931.0","337,230.0","336,760.0","338,434.0","345,060.0","350,134.0","352,682.0","358,980.0","361,385.0","364,240.0","364,165.0","369,471.0","361,645.0","359,102.0","358,874.0","361,524.0","357,229.0","361,460.0","363,103.0","366,494.0","370,321.0","375,128.0","381,708.0","381,458.0","386,791.0","388,004.0","391,595.0","391,607.0","397,855.0","400,337.0","....."
"39","20","  Government","B436RC1","1,046,761.0","1,060,965.0","1,083,853.0","1,091,478.0","1,119,803.0","1,131,994.0","1,149,242.0","1,167,091.0","1,199,623.0","1,214,932.0","1,223,202.0","1,231,282.0","1,258,617.0","1,271,285.0","1,280,309.0","1,292,932.0","1,321,862.0","1,329,316.0","1,340,578.0","1,349,591.0","1,376,510.0","1,389,903.0","1,406,324.0","1,421,355.0","1,449,304.0","1,460,675.0","1,475,230.0","1,489,129.0","1,519,630.0","1,534,386.0","1,552,850.0","1,566,066.0","1,577,342.0","1,591,281.0","1,598,765.0","1,605,970.0","1,625,011.0","1,637,592.0","1,634,436.0","1,635,961.0","1,642,012.0","1,646,816.0","1,646,539.0","1,639,994.0","1,650,672.0","1,653,048.0","....."
"40","21","Rest of the world","A192RC1","41,136.0","49,600.0","26,975.0","89,925.0","51,018.0","32,779.0","47,403.0","65,238.0","51,822.0","65,552.0","65,573.0","91,816.0","110,597.0","85,818.0","96,796.0","71,626.0","106,824.0","96,227.0","107,113.0","78,429.0","80,509.0","75,517.0","61,930.0","71,705.0","70,266.0","79,471.0","144,752.0","198,596.0","178,625.0","181,299.0","198,971.0","117,761.0","118,255.0","115,845.0","162,978.0","177,108.0","191,423.0","215,809.0","216,939.0","213,049.0","235,253.0","250,023.0","258,262.0","263,989.0","214,913.0","247,342.0","....."
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","1. Consists of professional, scientific, and technical services; management of companies and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","enterprises; and administrative and waste management services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Note. Estimates in this table are based on the 2002 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
