"","Table 3#11#1# Percent Change From Preceding Period in Real Natio","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132"
"11","3","  Gross output of general government","W085RL1",NA,0.1,-18.9,-6.2,-2.4,-1.3,-16.4,-0.9,4.4,3.1,-13.7,-2.3,1.5,-2.2,-6.5,-1.1,-5.1,6.6,-7.7,-2,3.9,8,3.1,-9.5,5.2,4.9,1.6,-4.2,5.4,7.9,-12,6.9,10,4.2,4.8,1.4,10.7,6.1,4.1,5.4,9,3.3,11,9.5,0.7,5.9,-0.6,7.9,0.1,3.9,1.9,7.5,5.1,4.9,14.2,2.6,-1.6,13.2,5.8,-9.2,9.3,6.1,4.1,3,1.7,-4.2,-3,8.6,-13.9,11.6,0.2,0.2,-0.4,-4,-7.2,10.3,7.9,-3.8,-9.4,-11.7,-6.7,-0.5,5.6,-2.1,-10.4,-6.4,-2.8,-2.9,-9.9,-0.7,6.6,-11.1,-5.8,-1.6,-1.6,-13,3,6.2,-6.6,4.3,-9.5,9.8,-7.2,-1.8,-14.7,9.9,1.4,0.7,-3.7,-3.9,13.2,10.7,-21.9,16.7,-7.8,2,12.1,-2,1.2,16.2,8.9,5.9,5.3,24.1,-4.6,42.5,-4.6,3.8,8.9
"12","4","    Value added","W086RL1",NA,-8.2,-0.8,-0.3,-9.3,-6.8,-5.1,-1.2,-0.7,-1.4,-1.9,1.2,-2.1,-3,-1.1,-1.4,-1.3,-2,-1.5,-0.6,-1,0,0.9,0.1,1.1,0.8,1.1,-1.1,-1.2,-0.8,0.7,0.2,0.1,1.8,3,1.8,4,2.5,3.8,2.2,2.1,3.6,1.8,2.1,3.7,1.2,2.2,1.4,3.4,3.2,2.9,2.7,3.8,3.6,4.3,1.5,2.3,1.5,3,2.5,1.6,3.6,4.5,1,-1.3,-0.8,0.5,0.5,0.7,2.6,2.7,0.5,-0.9,0,0.6,2.6,8,-4.1,-5.8,-6.4,-2.9,-1.7,-2.7,-3,-1.8,-4.1,-2.9,-5.7,-3.3,-3.1,-3.4,-5.7,-3.8,-3.6,-3.8,-6.9,-2.5,-0.8,-2.2,-5,-2.8,-3.2,-1.2,-4.2,-2.4,-3.2,-0.6,-4,-2.7,-1.7,0.7,-0.7,-2.8,1.3,-0.1,-1,2,-0.7,-0.5,0.7,3.1,3.3,0.4,-0.3,6.2,8,1.1,-0.3,2.8
"13","5","      Compensation of general government employees","B237RL1",NA,-9.2,0.5,1.4,-10.6,-7.6,-5.5,-0.5,0.2,-0.8,-2,2.1,-2.2,-3.5,-1.4,-1.9,-1.8,-2.6,-2.2,-0.9,-1.4,-0.2,0.9,-0.1,1.5,0.7,1.3,-1.7,-1.9,-1.5,0.4,-0.1,-0.6,1.7,3.3,1.6,4.6,2.6,4,1.9,1.7,3.4,1.1,1.2,3.3,0.1,1.2,-0.2,2.5,2.1,1.6,1.2,2.5,2.1,2.9,-0.8,0.4,-0.8,1.2,0.6,-0.5,2.3,3.7,-0.8,-3.7,-2.8,-1,-1,-0.5,2,2.2,-0.8,-2.7,-1.5,-0.5,2.3,10.1,-6.5,-8.9,-9.5,-4.6,-2.9,-4.2,-4.4,-2.7,-5.9,-4,-7.8,-4.3,-3.9,-4.3,-7.6,-4.8,-4.4,-4.9,-9.5,-2.8,-0.5,-2.5,-6.5,-3.4,-4,-1.1,-5.3,-2.7,-3.9,-0.2,-5.3,-3.5,-1.9,1.4,-0.6,-3.8,2.2,0.1,-1.1,3.1,-0.7,-0.4,1.1,4.6,4.5,0.5,-0.7,8.2,10.6,0.9,-1,3.2
"14","6","        Military","B4080L1",NA,-14.3,0.5,2.7,-8.7,-10.7,-6.7,-2.5,-2.2,-2.6,-4.9,2.2,-2.1,-3.6,-3.3,-2.5,-2.4,-2,-2.4,-0.9,-0.4,-0.4,0.3,-1.5,-1.1,-2.3,1.2,-2,-2.9,-3.1,0.3,0.8,0.1,1.6,4.6,2.1,4.7,1.7,4.4,1.8,1.5,0.9,1.7,0.4,4.7,0.4,1.2,-0.4,2.9,1.2,1.3,0.3,3.3,1.3,1.8,-1.7,1.3,1.1,2.8,1.4,1.3,-1.2,3,1.3,-2.5,-4,0.2,1,-2.2,-1,1.7,1.3,-2.2,-1.8,0.8,10.9,18.6,-11.8,-15.3,-11.2,-6.7,-6.8,-4,-3.4,-7.1,-5.1,-3.7,-6.2,-3.8,-4.4,-4.9,-7.6,-4.1,-4.2,-6.1,-4.6,-2.7,-3.9,-1.1,-3.6,-3.5,-3.6,1,-3.2,-2.6,-3.8,0.7,-4,-3.7,-1.7,3.7,-0.9,-0.6,0.1,5.7,1.9,3.1,-2.3,-1,6.4,8,5.1,0.3,-0.4,15,19.1,-3.6,-3.7,4.8
"15","7","        Civilian","W090RL1",NA,2.2,0.6,-1.1,-14.4,-1,-3,3.5,5.1,2.9,3.8,1.9,-2.3,-3.4,2.1,-0.6,-0.6,-3.6,-1.7,-0.9,-3.2,0.1,2.1,2.5,6.3,6.1,1.5,-1.1,-0.2,1.1,0.5,-1.7,-1.9,1.9,1,0.8,4.3,4.3,3.3,2.1,1.9,8.1,0,2.8,0.7,-0.6,1.1,0,1.5,4,2.2,2.9,0.8,4,5,1.1,-1.5,-4.6,-2.2,-1,-4.2,10.1,5.1,-5,-6.3,-0.5,-3.3,-4.8,3,8.2,3.3,-4.8,-3.6,-0.9,-2.8,-12.8,-5.1,4.9,4.9,-6.3,-0.4,5,-4.6,-6.4,5.6,-7.1,-4.5,-10.5,-5.1,-3.1,-3.3,-7.7,-5.8,-4.9,-3,-16.9,-3.1,5.4,-4.7,-11.2,-3.2,-4.5,-4.4,-8.8,-2.7,-4.1,-1.9,-7.6,-3.1,-2.4,-2.7,0,-9.2,6.1,-9.2,-6.2,2.9,2.4,0.6,-8.2,-1.8,3.5,1,-1.3,-4,-5.3,11.3,4.6,-0.1
"16","8","      Consumption of general government fixed capital \2\","B432RL1",NA,-5.5,-4.7,-5.2,-5,-4.4,-4,-3.1,-3.5,-3.4,-1.6,-1.4,-1.7,-1.2,-0.4,0.1,0.2,0,0.5,0.5,0.3,0.8,0.7,0.4,-0.3,1,0.5,0.5,0.9,1.4,1.6,1,2.2,2.2,2.2,2.5,2.2,2.3,3.2,3.1,3.5,4,3.9,4.5,4.9,4.9,5.4,6.2,6.1,6.7,7.1,7.6,8.2,8.5,8.6,8.8,8.4,8.4,8.5,8.1,7.9,7.5,6.9,6.1,5.9,5.2,4.7,4.7,4.2,4.3,4,4.2,4,3.8,3.3,3.4,2.7,2.5,2.5,2,1.6,1.4,1.1,0.7,0.3,0.2,-0.2,-0.7,-1,-1.1,-1.3,-1.3,-1.6,-1.7,-1.5,-1.3,-1.6,-1.3,-1.5,-1.6,-1.4,-1.6,-1.5,-1.7,-1.9,-1.6,-1.4,-1.1,-0.9,-1.1,-0.8,-0.8,-0.7,-0.8,-0.6,-0.8,-0.6,-0.8,-0.6,-0.2,-0.6,0.2,0.2,0.6,1.2,1.2,1.4,1.7,1.9
"17","9","    Intermediate goods and services purchased \3\","W087RL1",NA,18.5,-46.1,-18.5,15,11.2,-36.5,-0.5,16.8,13.2,-34.2,-9.7,9.8,-0.6,-17.3,-0.5,-13.5,29.1,-20.3,-5.3,16.1,27.8,7.8,-27.3,15.1,14.3,2.6,-10.4,20.4,27.2,-32.6,21.7,31.3,8.6,8.1,0.8,23.1,12.1,4.5,10.8,21.2,2.8,26.8,21.6,-3.5,13.1,-4.6,18.1,-4.4,4.9,0.3,15.3,6.9,7,30.6,4.3,-7,32.7,9.9,-23.6,21.5,9.7,3.5,5.9,6.1,-8.7,-7.8,21.1,-31.5,26.6,-3.5,-0.2,0.3,-9.6,-18,23.3,7.9,-3.2,-14.8,-19.7,-13,1.7,21.2,-0.8,-23,-10.2,-2.7,2.1,-20.7,3.7,26.4,-19.7,-9.4,2,2.3,-22.9,13.6,19.6,-13.8,22.4,-19.9,35.8,-16.3,2.4,-32.7,37.6,5,8.9,-5.3,-7.5,36.8,30.1,-44.4,46.2,-18.6,7,29.4,-4,3.8,42.7,17.5,9.5,12.2,62.1,-16,95.5,-10.4,8.4,15.7
"18","10","      Durable goods","A998RL1",NA,6.2,-21.3,-18.4,15.3,-4.5,-37.7,32.5,-36.9,51.9,-68.8,97.9,19.3,-4.8,9.9,-17.4,-34.3,68,-57.6,65.5,68.2,148.6,-54,21.8,50,29.9,-20.5,-6.9,12.5,60.4,-28.2,50.2,-6.6,6.7,12.1,-34,86.5,43.4,-25.6,51.4,-23.8,40.2,11.2,36.2,20.9,21.9,-7.4,4.2,14.6,-1.5,-34.5,40.1,-4.6,20.5,46.3,-15.3,-24,76,15.4,-24.1,0.9,14.8,36.4,-10.4,0.7,-7.5,-1.6,29.7,-28.6,18.6,-9.6,-24.9,16.9,-8.8,-6.3,10.3,-11.2,6.2,-15.4,-18.1,-13.6,-14.5,12.2,1.3,-30.6,77.5,-61.5,-5.8,-17.9,-7.9,34.6,-34,-5.8,-32.7,108.5,-58.8,9.8,72.7,-4.7,-34.7,8.7,43.7,-26.8,12.2,-16.1,7.3,47.3,-17.7,-24.6,70.8,33.9,-32.5,7.1,-3.4,0.1,-17.7,-6.6,40.8,31.3,-38.4,9.3,23.2,28.8,-20.9,-18.2,100.3,-0.6,3.8,33
"19","11","        Aircraft","B999RL1",NA,-4.6,-49.4,-34.6,46.2,-33,-16.3,-7.2,-48.2,66.7,-80.6,224.1,-10.2,-63.1,180.6,-46.7,-56.6,129.1,-65,151.7,140.6,162.3,-38.4,-11.1,-4.4,39.8,-26.5,69,-9.2,196.9,-51.9,104,-4.9,-14.2,24.2,-10.2,150.4,9.2,-37.6,183.7,-29.1,27.6,33.6,37.7,27,13.7,-0.9,8.4,-14.5,-7.3,-28.8,31,9.6,2.3,45.1,-8.5,-26,132.9,-1.7,-20.5,-0.5,-26.5,141.3,13.5,-18.1,-15.1,-7.2,27.1,-18.3,-1.1,-15.3,-16.3,-18.3,-12.3,-21.9,63.2,-39,-12.6,-11.1,0.1,-25.2,-10.9,-21.5,18,-42.9,127.3,-76,37.2,-37.9,-9.3,56,-9.1,20.5,-75.7,376.7,-66.2,35.9,11.2,15.2,-18.9,25.7,56.7,-51.8,59.5,-16.1,24.2,15.8,39.3,-41.1,70.2,25.6,-44,19.5,-31.2,27.3,-36.2,-14,41.7,86.6,-51.2,-7.7,29.2,14.7,-3.4,-26.2,110.2,-33.1,45.4,-22.8
"20","12","        Missiles","B277RL1",NA,-11.5,456.3,-53.1,-17.6,-12.6,22.1,75.5,-25.2,-26.2,-58.5,51.5,47.7,26.9,-4.1,-26.5,-44.1,374.5,-79.7,-17.8,3.9,403.5,-71.4,6.2,244.5,75.6,-58.3,-9.8,-5.4,4.5,-25.5,-0.6,23.8,13.5,11.6,-45.7,69.8,32.3,8.6,-6.1,-12.4,105.7,-36,14.2,-15.3,62.4,-35.5,41.6,-22,-24.4,-49.7,266.5,-75,3.7,126.5,59.7,-39.1,76.8,15.3,-39.2,17.8,84.6,-40.6,-18.2,46.6,29.3,-37.3,246.4,-65.5,72.4,-11,-39.5,132.9,-52.2,85.5,-42.5,-3.1,70.2,-7.6,-36.5,-30.3,-2.9,41.7,-40.9,1.6,-50.7,80,-51.1,-7.8,-27.2,72.7,-63.8,-59.8,170.1,47.2,-64.4,-27.2,130.3,-2,-61.2,-12.9,46.2,-18.3,5.2,-30.6,-41,714.9,-81.5,15.3,6.7,23.5,4.2,-21.1,60.7,-2,54.3,10.5,-12.8,-1.9,-29.1,-7.4,-24.6,129.4,5.6,-57.7,115.9,-7.8,189.7,27.8
"21","13","        Ships","B278RL1",NA,477.3,-65.4,27.2,65.7,35.7,-78.4,-25.4,-39.3,52.7,31.2,36.8,-25.2,163.5,-23.1,81.3,-34.8,20.1,-55.5,1720.1,884.9,13,-94.5,662.8,228.4,-17.6,-63.1,29.2,72.6,93.8,-30.5,13.5,-14.2,-4.1,-22.8,-95.5,240.6,361.2,45.9,-67.6,-79.1,476.7,79.6,89.2,60.5,36.1,-13.7,-54.7,231.9,-40.3,11.2,-88.9,36.8,-43.6,64.9,-70.4,42,96.2,5.6,-71.3,68.4,385.6,187.9,-94.6,347.2,-1.5,-10,109.7,-71.8,180.7,-38.2,-7.4,232.5,126,-25.3,70.6,-39.8,85.4,50.1,-44.6,26.7,-16.9,46,68.4,-58.4,1078.1,-95.3,28.6,-30.9,-9.6,-6,-39.4,-59.7,73.8,104.9,-95.6,-17.2,1148.1,-73.4,-53.6,165.4,2,6.4,-37.4,32.7,-42.1,19.7,-0.8,118.1,126.2,29.9,-48.6,88.1,21.5,-18,-34.6,-8,62.2,-7.6,-55.6,98.7,10.7,57,-60.2,36.4,29,2.6,-28.6,-9.2
"22","14","        Vehicles","B288RL1",NA,317.9,-80.7,116.9,-66.6,598,-89.3,8,13.1,202.3,-90.6,214.6,227.1,149.6,21.8,16.6,-37.6,-41,-40.9,171.8,-37.6,228.6,-32.6,101,-10.5,57.6,141,-54,-6.4,-61.2,163.1,56.8,-53.3,215.9,9.2,-53.4,-23.1,187.4,-56.9,42.3,-10,-69.9,104.1,30.6,129.9,1.1,-5.8,-9,203.6,42,-41.8,-16.3,127.7,95.6,-18.9,-40.6,14,32.8,6.5,-25.2,0.2,70.8,-64.6,-50.4,23.9,88.6,26.8,-66.7,-43.1,43.5,-42.2,-9.4,-38,69.1,-17.5,-1.4,-22.4,311.7,-78.7,-42.7,-30,21.1,-7.2,18.9,-46.6,88.1,-76.7,-38.9,-21.7,-4.2,-13.2,-16.2,113.6,14.3,31.7,-77.7,27.9,8.1,55.3,-39.8,122.5,41.4,-47.6,-6.2,-40.4,-6.5,-11.5,-19.3,-46.9,8.6,-21.8,-4.7,-76.4,344.7,-30,14.9,3.8,33,78.8,-36.3,-17.5,9.1,5.5,10.2,10.7,3.3,-1.6,-14.8,39.6
"23","15","        Electronics","B388RL1",NA,-36.9,-42.4,85.8,-15,-9.3,-59.3,143.2,-41.9,183.5,-83.3,87.1,54.7,55.1,-85.2,131.6,-39.7,21.8,-55.6,-17.1,85.3,58.8,-38.6,151.6,31.8,-4.6,34.4,-62.1,47.9,17,-19,75.3,-5.2,62.9,52.9,-37.6,47.5,49.3,-18.4,0.6,20.4,17.9,17.6,36.7,12.3,22.2,3.9,4.3,14.2,39.2,-42.3,131.7,2.2,23.3,54.9,-25.1,-10.3,29.5,6.4,10,13.4,21.6,-13.4,-4.3,-1.3,5.9,-26.4,62.2,-19.5,1.2,50.1,-44.1,62.3,-51.9,126.7,-58.5,34.8,36.2,-51.3,-44.7,58,-8.2,73.6,-23,32.6,44.5,-38.3,-43.6,32.9,-14.2,-3,-48.9,-3.6,-29,58.8,-58.1,20.2,175.7,-16.5,-52.1,41.2,20.2,15.4,-34.5,26.8,-12.2,11.9,-17.1,29.1,70.9,36.1,-34.8,66,16.2,-37,43.2,-11.3,26.3,11.2,-4.5,13.3,28.2,22.5,-47.5,64.2,57.3,47.8,-35.1,63.7
"24","16","        Other durable goods","B389RL1",NA,32.4,-27.3,20.3,141.4,13.5,-61.3,60.5,-27.8,34.6,85.8,-13.2,-11.5,34.1,6.6,-18.8,120.9,-52,49.8,5,-11.8,45.7,-39,-35,43.3,-16.1,31.7,-45.1,134.7,24,2.2,-3.2,5.5,-44.4,-32.5,47.2,42.8,62,-5.9,-45,-24.7,253.9,-53.4,51.5,-27.2,36.9,3.9,-15.8,174.8,26.3,-39.8,24.1,22.1,141.8,45.7,-53.2,-39.1,-46.4,337.5,-31.9,-35.7,138.3,9.3,-15.2,20.4,-56.8,188,-38.8,44.2,36.1,0.6,-26,29.6,116,-59.1,33.8,132.5,-59.2,47.4,5.6,-2,-41.8,54.6,8.4,-34,16,-27.6,12.5,3.5,19.5,26.8,-39,-4.1,28.5,-25.7,28.2,-8.7,89.8,-13.8,-27.5,-43,41.1,24.7,-7.8,-26.7,32.4,33.7,-44.2,-30.6,119.3,72.8,-16.5,-15.4,0.2,-7.7,-28.7,1.3,87.5,-12.9,-24.4,44.4,43.2,24.4,-33.2,-23.5,154.4,51.5,-45.8,195.6
"25","17","      Nondurable goods","A725RL1",NA,-5,-38.5,-24.6,-15.3,-8.4,-68.3,28.7,-9.2,56.3,-50.5,-14.9,3.5,2,-73.6,124,-43.7,-21.2,30.1,-34.2,-2.1,-36.8,123.2,-25.5,-23.9,18.4,69.6,-45.4,4.8,25.3,19,-11.1,60.4,-36.1,37.2,2.6,1,22.6,-12.4,29.1,-23.5,9.7,-1.8,5.7,-23.8,110.6,-12.5,-33.4,-33.6,57,-0.6,20,17.8,-40.3,0.6,-33.4,176.6,90,-33,30.7,-40.4,8.2,36.1,28,-30.2,5.8,-41.8,40.7,1.5,-2.1,-2.3,-36.9,-15.5,13.8,-44.5,185.4,13.9,-49.2,-8,-11.1,-17.3,75.2,-21,-38.4,0.5,4.8,16.1,-36.4,-18.1,-14,21.2,43.4,-63.9,7,-6.4,-37.8,93.5,34.5,0.2,-36.7,51,-26,30.3,-7.1,0.9,-9.1,67.3,-21.5,-10.6,45.8,106.9,-49.8,95.1,-13.7,-43.8,-5.5,21.4,45.5,-24.8,72.9,20.6,20,-28.4,-13.4,30.7,8,-48.1,20.1,58.7
