"","Table 6#6D# Wage and Salary Accruals Per Full-Time Equivalent Em","F2","F3","F4","F5","F6","F7","F8"
"1","[Dollars]",NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2002",NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA
"4","Data published February  13, 2004",NA,NA,NA,NA,NA,NA,NA
"5","File created 4/28/2004 3:09:04 PM",NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002
"8","1","      Wage and salary accruals per full-time equivalent employee","A4401C0",35201,36754,38846,39660,40318
"9","2","Domestic industries","A4402C0",35121,36664,38762,39565,40216
"10","3","  Private industries","A4403C0",34719,36294,38446,39106,39603
"11","4","    Agriculture, forestry, fishing, and hunting","N4404C0",24204,24767,25847,23137,23064
"12","5","      Farms \1\","N4405C0",23970,24438,25552,23844,23059
"13","6","      Forestry, fishing, and related activities","N4406C0",24528,25192,26225,22294,23070
"14","7","    Mining","N4407C0",51538,54451,58291,60599,61041
"15","8","      Oil and gas extraction","N4408C0",78065,89445,93382,93811,93767
"16","9","      Mining, except oil and gas","N4409C0",45607,46843,48122,49468,49877
"17","10","      Support activities for mining","N4410C0",41051,41092,47295,51771,51562
"18","11","    Utilities","N4411C0",56854,58731,64271,66473,68311
"19","12","    Construction","N4412C0",34032,35375,37196,39646,40373
"20","13","    Manufacturing","N4413C0",39147,40930,44216,43786,44873
"21","14","      Durable goods","N4414C0",41110,43240,47007,46063,47040
"22","15","        Wood products","N4415C0",28340,28858,30360,30652,31078
"23","16","        Nonmetallic mineral products","N4416C0",35012,36641,38879,39226,40417
"24","17","        Primary metals","N4417C0",42674,44464,45745,45801,46591
"25","18","        Fabricated metal products","N4418C0",34871,35487,37688,38169,39156
"26","19","        Machinery","N4419C0",42596,43846,46882,46021,47150
"27","20","        Computer and electronic products","N4420C0",53572,59829,71372,65527,66300
"28","21","        Electrical equipment, appliances, and components","N4421C0",37228,40204,42732,40864,42080
"29","22","        Motor vehicles, bodies and trailers, and parts","N4422C0",45235,47838,49727,48741,51445
"30","23","        Other transportation equipment","N4423C0",49443,50723,52612,55166,57821
"31","24","        Furniture and related products","N4424C0",26778,27631,29660,29911,30826
"32","25","        Miscellaneous manufacturing","N4425C0",34414,36135,38504,39634,40953
"33","26","      Nondurable goods","N4426C0",35863,37030,39420,39917,41307
"34","27","        Food and beverage and tobacco products","N4427C0",31253,31933,34110,34695,35466
"35","28","        Textile mills and textile product mills","N4428C0",25138,26671,29018,29542,30689
"36","29","        Apparel and leather and allied products","N4429C0",22873,23115,24769,24571,26346
"37","30","        Paper products","N4430C0",42087,43652,45578,46909,48608
"38","31","        Printing and related support activities","N4431C0",36271,37138,38966,37476,38368
