"","Table 6#5D# Full-Time Equivalent Employees by Industry","F2","F3","F4","F5","F6","F7","F8"
"1","[Thousands]",NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2002",NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA
"4","Data published February  13, 2004",NA,NA,NA,NA,NA,NA,NA
"5","File created 4/28/2004 3:08:36 PM",NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002
"8","1","      Full-time equivalent employees \1\","A4301C0",118823,121656,124319,124632,123382
"9","2","Domestic industries","A4302C0",119224,122097,124707,125056,123826
"10","3","  Private industries","A4303C0",100521,103248,105579,105666,104029
"11","4","    Agriculture, forestry, fishing, and hunting","N4304C0",1141,1174,1181,1369,1379
"12","5","      Farms \2\","N4305C0",663,662,664,745,759
"13","6","      Forestry, fishing, and related activities","N4306C0",478,513,517,624,620
"14","7","    Mining","N4307C0",558,510,511,530,504
"15","8","      Oil and gas extraction","N4308C0",128,113,118,123,122
"16","9","      Mining, except oil and gas","N4309C0",241,231,222,220,210
"17","10","      Support activities for mining","N4310C0",189,165,171,187,172
"18","11","    Utilities","N4311C0",595,597,593,595,587
"19","12","    Construction","N4312C0",6197,6638,6907,6855,6753
"20","13","    Manufacturing","N4313C0",17225,17045,16947,16194,15059
"21","14","      Durable goods","N4314C0",10779,10704,10713,10194,9368
"22","15","        Wood products","N4315C0",597,618,606,576,567
"23","16","        Nonmetallic mineral products","N4316C0",531,535,545,535,511
"24","17","        Primary metals","N4317C0",625,609,611,560,499
"25","18","        Fabricated metal products","N4318C0",1728,1729,1738,1645,1524
"26","19","        Machinery","N4319C0",1479,1433,1420,1348,1212
"27","20","        Computer and electronic products","N4320C0",1831,1786,1813,1728,1482
"28","21","        Electrical equipment, appliances, and components","N4321C0",565,552,568,548,490
"29","22","        Motor vehicles, bodies and trailers, and parts","N4322C0",1269,1289,1283,1198,1141
"30","23","        Other transportation equipment","N4323C0",792,769,736,714,666
"31","24","        Furniture and related products","N4324C0",637,657,664,630,592
"32","25","        Miscellaneous manufacturing","N4325C0",725,727,728,712,685
"33","26","      Nondurable goods","N4326C0",6446,6341,6235,6000,5691
"34","27","        Food and beverage and tobacco products","N4327C0",1706,1716,1719,1718,1698
