"","Table 1#11# Percentage Shares of Gross Domestic Income          ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"1","[Percent]                                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1959 To 2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published February 9, 2004  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/29/2004 11:13:16 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
"8","1","    Gross domestic income","A261RE1",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"9","2","Compensation of employees, paid","A4002E1",55.5,56.2,56,55.9,55.8,55.9,55.7,56.6,57.4,57.9,58.9,59.8,59.1,59,59,59.8,58.6,58.8,58.8,58.9,59.6,60.1,58.9,59.2,58.5,57.6,57.7,58.2,58.3,57.9,57.8,58.2,58.2,58.4,58.4,57.7,57.5,56.9,56.7,57.3,57.6,58.2,58.2,57.1
"10","3","  Wage and salary accruals","A4102E1",51.4,51.8,51.5,51.2,50.9,51,50.7,51.2,51.8,52.1,52.8,53.5,52.4,52,51.6,51.9,50.3,50,49.5,49.4,49.9,50.1,49,49,48.3,47.3,47.5,47.9,48.2,47.9,47.7,48,47.7,47.6,47.4,47,47.1,47,47.1,47.8,48.1,48.6,48.4,47.2
"11","4","    Disbursements","W269RE1",51.4,51.8,51.5,51.2,50.9,51,50.7,51.2,51.8,52.1,52.8,53.5,52.3,52,51.6,51.9,50.3,50,49.5,49.4,49.9,50.1,49,49,48.3,47.3,47.5,47.9,48.2,47.9,47.7,48,47.7,47.8,47.3,46.7,46.9,46.9,47.1,47.8,48.1,48.6,48.4,47.2
"12","5","      To persons","W270RE1",51.3,51.7,51.4,51.1,50.9,50.9,50.7,51.2,51.8,52.1,52.8,53.5,52.3,51.9,51.6,51.9,50.3,50,49.5,49.4,49.9,50.1,49,49,48.3,47.3,47.5,47.9,48.1,47.9,47.7,48,47.6,47.8,47.3,46.6,46.8,46.8,47.1,47.7,48,48.5,48.4,47.1
"13","6","      To the rest of the world","B4189E1",0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"14","7","    Wage accruals less disbursements","A062RE1",0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,0.1,0.3,0.2,0,0,0,0.1,0,0,0
"15","8","  Supplements to wages and salaries","A038RE1",4.2,4.5,4.5,4.7,4.9,5,5,5.4,5.6,5.8,6,6.4,6.7,7,7.5,7.9,8.3,8.9,9.3,9.5,9.7,10,10,10.2,10.3,10.2,10.2,10.3,10.2,10,10.1,10.2,10.5,10.8,10.9,10.8,10.4,9.9,9.6,9.5,9.5,9.6,9.8,9.9
"16","9","Taxes on production and imports","W056RE1",8.1,8.5,8.6,8.6,8.6,8.6,8.5,8.1,8.2,8.4,8.6,8.9,9,8.8,8.5,8.4,8.4,8.1,8,7.5,7.2,7.3,7.6,7.4,7.6,7.4,7.3,7.3,7.4,7.3,7.3,7.4,7.7,7.8,7.7,7.9,7.7,7.5,7.4,7.3,7.2,7.1,7.1,7.2
"17","10","Less: Subsidies \1\","A107RE1",0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.4,0.2,0.3,0.3,0.4,0.4,0.3,0.4,0.4,0.5,0.6,0.5,0.5,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.4,0.4,0.4,0.5,0.4,0.5,0.4
"18","11","Net operating surplus","W271RE1",26.1,25,25.2,25.7,25.8,26,26.6,26.1,25,24.3,23.1,21.4,22,22.5,22.7,21.1,21.8,21.9,22.2,22.4,21.6,20.5,21.3,20.8,21.8,23.5,23.4,23,23,23.7,23.5,22.9,22.3,22.3,22.5,22.8,23.3,24.1,24.5,24,23.8,23.2,22.8,23.9
"19","12","  Private enterprises","W260RE1",25.9,24.8,25.1,25.6,25.6,25.8,26.4,26,24.9,24.2,23,21.4,22,22.4,22.7,21.2,22,22,22.3,22.5,21.7,20.6,21.4,20.9,21.9,23.5,23.4,22.9,23,23.6,23.5,22.9,22.2,22.2,22.4,22.7,23.1,24,24.3,23.9,23.7,23.1,22.8,23.9
