"","Table 5#4#4B# Price Indexes for Private Fixed Investment in Stru","F2","F3","F4","F5","F6","F7","F8","F9"
"1","[Index numbers, 2000=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2002",NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published December 16, 2003 ",NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/28/2004 3:02:33 PM",NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1998,1999,2000,2001,2002
"8","1","    Private fixed investment in structures","B349RG3",89.518,92.654,95.932,100,105.039,107.159
"9","2","Nonresidential","B009RG3",89.381,93.474,96.257,100,105.518,106.974
"10","3","  Commercial and health care","W001RG3",87.945,92.046,96.052,100,103.839,106.613
"11","4","    Office \1\","W031RG3",86.964,91.408,95.927,100,103.02,105.626
"12","5","    Health care","W032RG3",88.574,91.828,95.736,100,104.456,106.279
"13","6","      Hospitals and special care","C311RG3",88.604,91.828,95.736,100,104.456,106.279
"14","7","        Hospitals","W033RG3",88.604,91.828,95.736,100,104.456,106.279
"15","8","        Special care","W034RG3",88.604,91.828,95.736,100,104.456,106.279
"16","9","      Medical buildings","W035RG3",88.471,91.828,95.736,100,104.456,106.279
"17","10","    Multimerchandise shopping","W036RG3",88.584,92.751,96.298,100,104.487,107.865
"18","11","    Food and beverage establishments","W037RG3",88.563,92.751,96.298,100,104.487,107.865
"19","12","    Warehouses","W038RG3",88.586,92.751,96.298,100,104.487,107.865
"20","13","    Other commercial \2\","W039RG3",88.69,92.799,96.33,100,104.439,107.784
"21","14","  Manufacturing","B307RG3",89.04,92.681,96.396,100,104.002,108.449
"22","15","  Power and communication","W003RG3",95.511,96.574,96.926,100,102.899,105.265
"23","16","    Power","W028RG3",92.814,94.573,96.081,100,102.834,105.619
"24","17","      Electric","B571RG3",93.292,95.17,96.176,100,103.088,106.068
"25","18","      Other power","W029RG3",91.879,93.431,95.815,100,101.885,103.963
"26","19","    Communication","B314RG3",99.4,99.36,98.041,100,102.999,104.678
