"","Table 5#3#6# Real Private Fixed Investment by Type, Chained Doll","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"1","[Billions of chained (2005) dollars]                                                                                                                                                                                                                      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published January 29, 2010  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/28/2010 1:11:52 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"8","1","    Private fixed investment","A007RX1",1235.7,1346.5,1470.8,1630.4,1782.1,1913.8,1877.6,1798.1,1856.2,1992.5,2122.3,2171.3,2126.3,2018.4,1646.7
"9","2","Nonresidential","A008RX1",792.2,866.2,970.8,1087.4,1200.9,1318.5,1281.8,1180.2,1191,1263,1347.3,1453.9,1544.3,1569.7,1289.1
"10","3","  Structures","B009RX1",342,361.4,387.9,407.7,408.2,440,433.3,356.6,343,346.7,351.8,384,441.4,486.8,391
"11","4","    Commercial and health care","W001RX1",126.7,136.5,150.8,160.2,166.1,177.2,168.6,142.8,133.8,137.1,135.9,144.2,158.5,155.6,115.7
"12","5","    Manufacturing","C307RX1",51.7,54.4,51.9,53.7,44.8,46.2,44.9,26.2,24.3,25.5,29.9,33,40.4,50.6,62.1
"13","6","    Power and communication","W003RX1",45.4,39,37.6,44.2,52.1,60.1,62,60.5,55.7,46.2,45.2,48.7,65.3,77.3,76.3
"14","7","    Mining exploration, shafts, and wells","E318RX1",52.6,56.1,66,57.7,48.8,61,71.9,52.6,60,69.9,77.1,88.3,97.1,112.7,65.8
