"","Table 1#9#4# Price Indexes for Net Value Added by Sector        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/28/2010 12:59:56 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","    Net domestic product","A362RG3",10.452,10.054,9.017,7.978,7.751,8.106,8.285,8.369,8.642,8.448,8.338,8.4,8.937,9.653,10.218,10.472,10.776,12.053,13.298,14.022,13.98,14.085,15.022,15.345,15.542,15.709,15.933,16.43,16.986,17.406,17.587,17.86,18.085,18.347,18.551,18.858,19.208,19.764,20.377,21.252,22.309,23.495,24.663,25.733,27.171,29.562,32.255,34.099,36.235,38.737,41.936,45.721,50.001,53.066,55.422,57.731,59.641,61.015,62.842,65.069,67.658,70.446,73.116,75.091,76.851,78.547,80.236,81.975,83.634,84.773,86.166,88.146,90.332,91.959,94.12,96.838,100,103.175,106.251,108.597
"9","2","Business \1\","A363RG3",13.676,13.12,11.606,10.143,9.96,10.535,10.808,10.883,11.249,10.914,10.761,10.882,11.703,12.651,13.387,13.522,13.584,14.543,16.222,17.195,17.011,17.121,18.345,18.648,18.795,18.907,19.086,19.659,20.3,20.682,20.794,21.038,21.221,21.451,21.575,21.829,22.175,22.732,23.353,24.292,25.419,26.511,27.622,28.609,30.122,33.011,36.086,37.955,40.178,42.984,46.627,50.799,55.468,58.606,60.869,62.829,64.437,65.501,67.102,69.268,71.932,74.66,77.233,78.932,80.635,82.114,83.661,85.2,86.791,87.583,88.44,90.203,91.977,92.808,94.282,96.838,100,102.872,105.689,107.238
"10","3","  Nonfarm \2\","A364RG3",13.223,12.904,11.778,10.531,10.222,10.569,10.614,10.625,10.937,10.853,10.843,10.816,11.465,12.114,12.628,12.761,12.771,13.54,14.999,15.997,16.123,16.223,17.175,17.626,17.984,18.173,18.441,19.042,19.665,19.962,20.179,20.431,20.618,20.829,20.98,21.264,21.551,22.046,22.761,23.662,24.738,25.829,26.934,27.784,28.746,31.692,35.001,36.907,39.198,41.779,45.324,49.713,54.493,57.885,59.986,61.893,63.819,64.931,66.521,68.573,71.184,73.969,76.719,78.471,80.172,81.719,83.245,84.598,86.433,87.308,88.339,90.218,91.904,92.837,94.196,96.551,100,102.978,105.475,107.038
"11","4","  Farm","A365RG3",97.891,79.868,51.478,35.206,39.072,52.174,66.133,70.42,75.791,58.98,50.028,59.777,77.176,107.543,131.773,132.462,138.457,162.391,193.186,193.24,157.028,158.639,197.671,177.219,147.835,137.681,126.068,123.202,126.875,139.804,124.562,123.684,123.452,126.683,122.4,117.356,128.435,140.821,121.794,129.418,140.376,140.479,141.603,170.388,296.163,279.401,227.037,219.558,203.069,254.286,275.051,220.635,197.325,160.77,192.875,205.557,151.373,144.67,147.867,169.084,180.321,173.377,148.971,143.504,145.6,137.502,142.077,173.133,139.587,128.257,102.29,87.167,101.316,87.462,104.046,130.903,100,89.877,137.653,137.046
"12","5","Households and institutions","W503RG3",8.05,7.769,7.27,6.579,5.769,5.502,5.565,5.697,5.974,6.046,6.067,6.041,6.14,6.532,7.057,7.479,7.831,8.139,8.355,8.638,8.918,9.196,9.618,10.126,10.726,11.1,11.272,11.502,11.882,12.259,12.629,13.009,13.313,13.649,13.999,14.314,14.599,15.041,15.558,15.929,16.772,17.948,19.001,19.793,20.789,21.755,23.102,24.775,26.656,28.4,30.32,32.992,36.383,39.329,42.039,44.746,47.768,50.339,53.128,55.849,58.307,61.417,63.975,66.508,68.032,70.32,72.641,75.121,76.947,79.514,82.391,84.707,88.38,92.769,96.256,98.363,100,103.83,107.197,113.996
"13","6","  Households","W504RG3",12.564,12.044,11.194,10.059,8.662,8.104,8.215,8.399,8.827,8.909,8.94,8.958,9.106,9.633,10.307,10.883,11.33,11.554,11.538,12.014,12.325,12.679,13.193,13.926,14.813,15.331,15.51,15.757,16.184,16.637,17.057,17.495,17.802,18.104,18.417,18.659,18.852,19.149,19.49,19.945,20.502,21.442,22.422,23.108,23.863,24.453,25.877,27.626,29.754,31.06,32.942,35.404,39.195,43.024,46.152,48.772,52.104,55.346,58.097,61.039,63.912,67.509,69.436,71.43,73.602,75.632,78.224,81.062,83.108,86.241,87.913,89.767,93.579,97.743,99.781,99.414,100,102.132,105.392,114.556
"14","7","  Nonprofit institutions serving households \3\","W505RG3",3.016,3.007,2.898,2.698,2.528,2.574,2.586,2.657,2.767,2.825,2.834,2.765,2.809,3.045,3.398,3.644,3.89,4.289,4.748,4.823,5.056,5.244,5.557,5.81,6.085,6.294,6.459,6.675,7.006,7.302,7.621,7.939,8.245,8.631,9.036,9.45,9.851,10.475,11.211,11.489,12.643,14.076,15.212,16.126,17.397,18.797,20.065,21.66,23.27,25.528,27.512,30.468,33.41,35.329,37.572,40.396,43.081,44.897,47.735,50.215,52.228,54.82,58.008,61.081,61.934,64.476,66.505,68.598,70.187,72.152,76.297,79.121,82.642,87.28,92.329,97.153,100,105.877,109.373,113.261
"15","8","General government \4\","A194RG3",2.182,2.185,2.213,2.16,2.152,2.233,2.229,2.291,2.317,2.365,2.327,2.279,2.245,2.414,2.539,2.787,3.194,4.563,4.744,4.774,5.068,5.08,5.24,5.498,5.662,5.875,6.208,6.515,6.811,7.284,7.549,7.818,8.088,8.367,8.71,9.133,9.482,10.025,10.577,11.373,12.17,13.483,14.73,16.089,17.354,18.51,20.324,21.955,23.711,25.285,27.254,29.897,32.846,35.392,37.626,40.913,43.238,45.071,47.13,49.169,51.38,54.077,57.144,59.871,62.032,64.262,66.091,68.219,70.081,71.927,75.215,78.264,81.612,85.587,90.892,95.291,100,104.647,109.297,112.691
