"","Table 1#5#2# Contributions to Percent Change in Real Gross Domes","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"1","                                                                                                                                                                                                                                                          ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1930 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published January 29, 2010  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/28/2010 12:55:31 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"8",NA,"Percent change at annual rate:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","    Gross domestic product","A191RL1",-8.6,-6.5,-13.1,-1.3,10.9,8.9,13,5.1,-3.4,8.1,8.8,17.1,18.5,16.4,8.1,-1.1,-10.9,-0.9,4.4,-0.5,8.7,7.7,3.8,4.6,-0.6,7.2,2,2,-0.9,7.2,2.5,2.3,6.1,4.4,5.8,6.4,6.5,2.5,4.8,3.1,0.2,3.4,5.3,5.8,-0.6,-0.2,5.4,4.6,5.6,3.1,-0.3,2.5,-1.9,4.5,7.2,4.1,3.5,3.2,4.1,3.6,1.9,-0.2,3.4,2.9,4.1,2.5,3.7,4.5,4.4,4.8,4.1,1.1,1.8,2.5,3.6,3.1,2.7,2.1,0.4,-2.4
"10",NA,"Percentage points at annual rates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2","Personal consumption expenditures","DPCERY2",-4.01,-2.41,-7.09,-1.82,5.78,4.78,7.78,2.75,-1.18,4.16,3.78,4.99,-1.53,1.56,1.45,3.08,6.48,1.24,1.5,1.8,4.29,1.03,1.95,2.93,1.29,4.63,1.82,1.54,0.54,3.61,1.72,1.3,3.1,2.56,3.69,3.91,3.5,1.82,3.51,2.29,1.44,2.37,3.81,3.08,-0.52,1.4,3.51,2.66,2.77,1.48,-0.22,0.95,0.86,3.65,3.43,3.32,2.62,2.01,2.64,1.86,1.34,0.1,2.27,2.37,2.57,1.81,2.35,2.48,3.5,3.68,3.44,1.85,1.85,1.97,2.42,2.34,2.01,1.84,-0.17,-0.4
"12","3","  Goods","DGDSRY2",-3.32,-1.5,-4.78,-0.31,3.92,3.56,5.73,1.28,-0.93,2.88,2.56,3.22,-2.97,-0.31,0.22,1.9,5.45,1.13,0.82,1.19,3.12,-0.48,0.83,1.85,0.38,3.25,0.53,0.6,-0.35,2.17,0.6,0.21,1.68,1.29,1.91,2.26,2.02,0.62,1.92,0.95,0.24,1.27,1.97,1.57,-1.12,0.2,2.08,1.28,1.22,0.47,-0.74,0.34,0.19,1.74,1.97,1.41,1.49,0.48,0.98,0.66,0.16,-0.51,0.78,1.02,1.29,0.73,1.09,1.16,1.61,1.9,1.29,0.77,0.99,1.11,1.08,0.97,0.78,0.75,-0.5,-0.46
"13","4","    Durable goods","DDURRY2",-1.62,-1.14,-1.85,-0.17,0.96,1.44,1.66,0.42,-1.4,1.31,1.13,1.26,-3.06,-0.49,-0.31,0.4,3.14,1.32,0.59,0.74,2.11,-0.92,-0.2,1.01,-0.04,1.88,-0.37,0.08,-0.69,1,0.18,-0.29,0.92,0.78,0.81,1.1,0.76,0.13,0.98,0.35,-0.24,0.86,1.11,0.96,-0.6,0.02,1.08,0.81,0.49,-0.05,-0.7,0.08,-0.01,1.1,1.18,0.86,0.86,0.18,0.53,0.2,-0.04,-0.46,0.45,0.6,0.66,0.34,0.63,0.69,1.03,1.13,0.79,0.49,0.69,0.55,0.59,0.45,0.35,0.36,-0.36,-0.3
"14","5","      Motor vehicles and parts","DMOTRY2",-0.98,-0.55,-0.79,0.31,0.47,0.82,0.62,0.05,-1,0.7,0.63,0.39,-2.43,0.01,-0.03,0.08,1.12,0.82,0.35,0.85,1.15,-0.72,-0.36,0.76,-0.17,1.24,-0.64,0.17,-0.66,0.63,0.23,-0.37,0.61,0.46,0.22,0.61,0.07,-0.09,0.55,0.14,-0.39,0.64,0.52,0.37,-0.64,-0.02,0.66,0.39,0.18,-0.23,-0.45,0.07,0.08,0.59,0.57,0.48,0.3,-0.17,0.23,-0.01,-0.06,-0.42,0.25,0.18,0.21,-0.06,0.17,0.23,0.36,0.33,0.12,0.18,0.19,0.1,0.05,-0.01,-0.1,0.04,-0.38,-0.21
"15","6","      Furnishings and durable household equipment","DFDHRY2",-0.63,-0.08,-0.58,-0.2,0.27,0.41,0.75,0.12,-0.34,0.39,0.33,0.55,-0.6,-0.56,-0.23,0.15,1.32,0.55,0.23,-0.09,0.58,-0.2,-0.01,0.1,0,0.41,0.16,-0.06,-0.04,0.2,-0.04,0.02,0.16,0.18,0.32,0.19,0.25,0.07,0.17,0.06,0,0.12,0.27,0.28,-0.01,-0.14,0.16,0.23,0.14,0.1,-0.1,-0.05,-0.1,0.19,0.22,0.12,0.18,0.1,0.08,0.11,-0.03,-0.05,0.07,0.1,0.1,0.09,0.09,0.09,0.16,0.23,0.19,0.1,0.15,0.13,0.17,0.12,0.11,0.04,-0.06,-0.11
"16","7","      Recreational goods and vehicles","DREQRY2",0.08,-0.25,-0.29,-0.11,0.1,0.09,0.21,0.12,-0.07,0.15,0.1,0.18,-0.1,-0.13,-0.03,0.07,0.53,0.02,-0.01,0.01,0.34,-0.03,0.11,0.12,0.09,0.16,0.07,-0.03,-0.01,0.14,-0.01,0.05,0.08,0.11,0.21,0.22,0.32,0.15,0.17,0.11,0.12,0.06,0.27,0.19,0.01,0.12,0.16,0.12,0.12,0.09,-0.07,0.04,0.01,0.24,0.28,0.19,0.27,0.22,0.18,0.08,0.04,0.06,0.11,0.26,0.29,0.28,0.31,0.31,0.4,0.45,0.38,0.22,0.27,0.26,0.31,0.29,0.3,0.26,0.13,0.05
"17","8","      Other durable goods","DODGRY2",-0.09,-0.26,-0.18,-0.18,0.13,0.12,0.08,0.13,0,0.06,0.06,0.14,0.08,0.19,-0.02,0.09,0.18,-0.07,0.02,-0.03,0.05,0.03,0.07,0.03,0.04,0.06,0.04,0.01,0.01,0.03,0.01,0.02,0.07,0.03,0.07,0.08,0.12,0.01,0.08,0.03,0.04,0.04,0.05,0.12,0.05,0.06,0.1,0.06,0.06,-0.01,-0.09,0.01,0,0.08,0.11,0.07,0.11,0.04,0.04,0.01,0.01,-0.05,0.02,0.05,0.05,0.03,0.07,0.05,0.1,0.13,0.1,-0.02,0.07,0.05,0.06,0.06,0.04,0.01,-0.05,-0.03
"18","9","    Nondurable goods","DNDGRY2",-1.7,-0.36,-2.93,-0.13,2.96,2.12,4.07,0.86,0.48,1.57,1.43,1.95,0.08,0.18,0.52,1.5,2.31,-0.19,0.24,0.44,1.01,0.44,1.03,0.84,0.42,1.38,0.9,0.51,0.34,1.17,0.42,0.5,0.76,0.51,1.09,1.16,1.26,0.48,0.94,0.61,0.48,0.41,0.86,0.6,-0.52,0.18,1,0.47,0.72,0.51,-0.03,0.26,0.2,0.64,0.79,0.55,0.63,0.3,0.45,0.46,0.2,-0.05,0.33,0.42,0.63,0.4,0.46,0.46,0.58,0.77,0.5,0.28,0.3,0.56,0.49,0.52,0.44,0.39,-0.13,-0.16
"19","10","      Food and beverages purchased for off-premises consumption","DFXARY2",-0.39,-0.09,-1.09,0.69,1.69,0.96,2.48,0.5,0.36,0.22,0.69,0.54,-0.07,-0.36,0.53,0.64,1.5,0,-0.13,0.07,0.32,0.08,0.37,0.51,0.35,0.63,0.41,0.29,0.05,0.52,0.09,0.17,0.08,0.09,0.36,0.52,0.41,0.23,0.44,0.27,0.27,0.12,0.19,-0.17,-0.19,0.17,0.46,0.14,-0.04,0.12,0.09,-0.03,0.16,0.2,0.16,0.22,0.15,-0.05,0.18,0.08,0.14,-0.01,-0.03,0.05,0.17,0.03,0.06,0.05,0.07,0.21,0.12,0.06,0.01,0.12,0.14,0.21,0.17,0.11,0,-0.03
"20","11","      Clothing and footwear","DCLORY2",-0.87,-0.1,-0.93,-0.85,0.47,0.66,0.69,-0.08,0.1,0.6,0.24,0.54,0.3,0.6,-0.22,0.22,0.14,-0.36,0.07,0.04,0.17,-0.03,0.31,0.05,0.01,0.27,0.14,-0.04,0.05,0.26,0.05,0.09,0.22,0.09,0.35,0.19,0.3,0.03,0.18,0.09,-0.05,0.18,0.31,0.31,-0.08,0.1,0.19,0.21,0.4,0.22,0.11,0.23,0.06,0.24,0.29,0.16,0.26,0.13,0.1,0.18,-0.02,0,0.18,0.14,0.18,0.13,0.15,0.1,0.18,0.19,0.14,0.03,0.08,0.14,0.12,0.15,0.12,0.11,-0.01,-0.1
"21","12","      Gasoline and other energy goods","DGOERY2",-0.02,-0.08,-0.25,0.1,0.24,0.22,0.34,0.16,-0.04,0.29,0.26,0.3,-0.47,-0.44,0.01,0.26,0.7,0.16,0.11,0.01,0.16,0.16,0.12,0.07,0.08,0.24,0.13,0.08,0.14,0.08,0.05,-0.02,0.09,0.1,0.14,0.13,0.14,0.07,0.11,0.11,0.1,0.09,0.12,0.14,-0.23,0.07,0.16,0.05,0.05,-0.09,-0.32,-0.05,0.01,0.07,0.08,0.05,0.12,0.04,0.06,0.03,-0.04,-0.02,0.08,0.05,0.03,0.03,0.03,0.04,0.06,0.05,-0.03,0.01,0.03,0.05,0.03,-0.01,-0.05,0.02,-0.12,0.03
"22","13","      Other nondurable goods","DONGRY2",-0.43,-0.09,-0.67,-0.08,0.56,0.28,0.57,0.28,0.06,0.46,0.24,0.57,0.32,0.38,0.2,0.38,-0.02,0.01,0.18,0.32,0.36,0.24,0.23,0.21,-0.02,0.24,0.22,0.18,0.1,0.31,0.24,0.27,0.37,0.24,0.23,0.31,0.41,0.15,0.21,0.14,0.17,0.02,0.24,0.32,-0.02,-0.16,0.2,0.07,0.32,0.26,0.08,0.1,-0.02,0.12,0.26,0.13,0.11,0.17,0.11,0.16,0.12,-0.03,0.1,0.18,0.25,0.2,0.22,0.28,0.27,0.32,0.27,0.18,0.18,0.25,0.2,0.17,0.2,0.16,-0.01,-0.06
"23","14","  Services","DSERRY2",-0.68,-0.91,-2.31,-1.52,1.86,1.22,2.05,1.47,-0.25,1.28,1.23,1.78,1.44,1.87,1.24,1.18,1.03,0.11,0.68,0.61,1.17,1.51,1.12,1.08,0.91,1.38,1.29,0.94,0.9,1.44,1.13,1.09,1.42,1.27,1.78,1.66,1.48,1.21,1.59,1.34,1.19,1.1,1.84,1.51,0.6,1.2,1.43,1.38,1.56,1.02,0.52,0.62,0.67,1.91,1.47,1.9,1.13,1.53,1.66,1.2,1.18,0.61,1.49,1.35,1.27,1.08,1.26,1.33,1.9,1.78,2.15,1.09,0.86,0.86,1.34,1.37,1.22,1.09,0.32,0.06
"24","15","    Household consumption expenditures (for services)","DHCERY2",-0.74,-0.94,-2.19,-1.37,1.95,1.24,2.03,1.51,-0.31,1.27,1.15,1.77,1.4,1.8,1.18,1.17,1,0.18,0.67,0.61,1.16,1.52,1.04,1.06,0.88,1.36,1.22,0.92,0.85,1.34,1.02,1.06,1.39,1.23,1.67,1.61,1.44,1.16,1.52,1.33,1.14,1.04,1.78,1.5,0.62,1.19,1.37,1.36,1.5,0.98,0.46,0.53,0.5,1.74,1.29,1.81,0.97,1.44,1.48,1.02,0.93,0.43,1.23,1.24,1.16,1.02,1.17,1.43,1.76,1.67,2.03,0.96,0.69,0.77,1.35,1.4,1.06,1.02,0.16,0.13
"25","16","      Housing and utilities","DHUTRY2",-0.03,-0.08,-0.27,-0.33,0.83,0.17,0.28,0.24,0.2,0.35,0.42,0.59,0.48,0.29,0.27,0.17,0.56,0.61,0.5,0.54,0.66,0.66,0.57,0.51,0.51,0.54,0.53,0.51,0.5,0.61,0.56,0.53,0.64,0.51,0.53,0.57,0.48,0.46,0.52,0.56,0.39,0.45,0.57,0.49,0.48,0.34,0.31,0.3,0.51,0.38,0.35,0.19,0.08,0.27,0.42,0.45,0.26,0.37,0.41,0.31,0.22,0.27,0.25,0.32,0.45,0.33,0.27,0.28,0.37,0.38,0.37,0.33,0.09,0.16,0.27,0.57,0.27,0.12,0.12,0.08
"26","17","      Health care","DHLCRY2",-0.05,-0.05,-0.14,-0.21,0.07,0.01,0.16,0.05,-0.05,0.12,0.06,0.07,0.08,0,0.1,0.03,0.26,0.09,0.18,0.05,0.11,0.06,0.11,0.11,0.16,0.07,0.15,0.14,0.2,0.22,0.04,0.14,0.28,0.22,0.39,0.17,0.2,0.17,0.3,0.3,0.23,0.33,0.33,0.35,0.17,0.26,0.24,0.27,0.26,0.19,0.17,0.3,0.02,0.21,0.12,0.22,0.23,0.31,0.31,0.09,0.28,0.17,0.29,0.05,0.08,0.2,0.2,0.3,0.31,0.15,0.32,0.46,0.57,0.23,0.33,0.39,0.19,0.27,0.31,0.23
"27","18","      Transportation services","DTRSRY2",-0.28,-0.28,-0.29,0,0.14,0.05,0.25,0.11,-0.09,0.15,0.13,0.21,0.17,0.37,0.14,0.12,0.29,-0.04,-0.01,-0.1,-0.06,0.07,0.02,0.05,-0.06,0.06,0.05,0.03,-0.03,0.07,0.06,0.02,0.07,0.08,0.09,0.09,0.1,0.09,0.11,0.12,0.06,0.08,0.11,0.03,0.01,0.03,0.1,0.14,0.05,0.06,-0.12,-0.07,-0.04,0.14,0.23,0.21,0.09,0.09,0.13,0.05,0,-0.1,0.1,0.12,0.21,0.17,0.2,0.19,0.11,0.14,0.12,-0.02,-0.07,0.01,0.06,0.02,-0.01,0.03,-0.11,-0.08
"28","19","      Recreation services","DRCARY2",-0.02,-0.05,-0.36,-0.08,0.17,0.11,0.17,0.11,-0.09,0.05,0.12,0.09,0.12,0.1,-0.02,0.07,0.19,-0.08,-0.04,-0.03,0,0.01,0.02,0.01,0.02,0.05,0.06,-0.04,-0.01,0.08,0.07,0.05,0.06,0.05,0.05,0.05,0.08,0.04,0.08,0.08,0.05,0.05,0.07,0.11,0.09,0.07,0.1,0.09,0.07,0.07,0.05,0.12,0.07,0.14,0.11,0.12,0.08,0.08,0.18,0.12,0.09,-0.02,0.14,0.14,0.12,0.18,0.11,0.08,0.08,0.12,0.08,0,0.02,0.08,0.13,0.05,0.08,0.1,0,-0.03
"29","20","      Food services and accommodations","DFSARY2",0.06,0.16,-0.08,-0.4,0.52,0.3,0.56,0.55,0.04,0.39,0.26,0.49,0.44,0.81,0.66,0.62,-0.55,-0.69,-0.17,0.05,0.05,0.4,0.21,0.16,-0.01,0.11,0.12,0.05,-0.06,0.08,0.04,0.01,0.14,0.1,0.19,0.27,0.19,-0.04,0.23,0.08,0.13,0,0.3,0.2,-0.04,0.17,0.25,0.11,0.18,0.13,0,0.04,0.03,0.14,0.12,0.06,0.12,0.22,0.26,0.12,0.16,0,0.12,0.1,0.07,0.01,0.03,0.09,0.11,0.1,0.19,-0.01,0.06,0.14,0.13,0.14,0.13,0.05,-0.02,-0.12
"30","21","      Financial services and insurance","DIFSRY2",-0.24,-0.19,-0.12,0.23,-0.28,0.24,0.11,0.04,-0.08,0.07,0.01,0.05,-0.06,0.09,0.01,0.04,0.1,0.13,0.08,0.05,0.22,0.22,0,0.08,0.14,0.19,0.12,0.07,0.07,0.05,0.1,0.14,0,0.09,0.18,0.18,0.09,0.13,0.14,0.04,0.11,0.11,0.18,0.18,0.07,0.29,0.18,0.2,0.17,0.11,0.04,-0.03,0.25,0.53,0.04,0.42,0.14,0.02,-0.01,0.16,0.1,0.29,0.14,0.4,0.04,0.02,0.19,0.18,0.33,0.45,0.54,-0.04,-0.02,0,0.28,0.17,0.18,0.28,-0.1,-0.01
"31","22","      Other services","DOTSRY2",-0.17,-0.47,-0.92,-0.58,0.5,0.36,0.51,0.4,-0.24,0.13,0.15,0.26,0.17,0.15,0.02,0.12,0.15,0.17,0.12,0.05,0.18,0.09,0.1,0.14,0.11,0.34,0.2,0.17,0.16,0.22,0.16,0.17,0.21,0.19,0.23,0.29,0.3,0.3,0.14,0.15,0.16,0.02,0.22,0.15,-0.16,0.04,0.19,0.24,0.25,0.04,-0.03,-0.02,0.09,0.3,0.24,0.33,0.06,0.35,0.21,0.16,0.09,-0.19,0.2,0.11,0.2,0.1,0.18,0.32,0.45,0.32,0.42,0.24,0.04,0.16,0.15,0.07,0.21,0.18,-0.04,0.06
"32","23","    Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRY2",0.06,0.03,-0.12,-0.15,-0.09,-0.02,0.02,-0.04,0.05,0.01,0.07,0.01,0.04,0.07,0.06,0,0.02,-0.07,0.01,0.01,0.01,-0.01,0.09,0.03,0.04,0.02,0.06,0.02,0.05,0.1,0.11,0.03,0.03,0.03,0.11,0.05,0.04,0.05,0.07,0.02,0.06,0.06,0.07,0.01,-0.02,0.01,0.06,0.02,0.06,0.04,0.05,0.09,0.17,0.17,0.18,0.09,0.15,0.09,0.18,0.18,0.25,0.18,0.26,0.11,0.12,0.07,0.09,-0.1,0.13,0.11,0.12,0.13,0.17,0.09,-0.01,-0.03,0.17,0.07,0.16,-0.07
"33","24","      Gross output of nonprofit institutions \2\","DNPERY2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,0.13,0.15,0.17,0.24,0.18,0.21,0.19,0.24,0.18,0.17,0.26,0.23,0.11,0.05,0.15,0.22,0.16,0.24,0.12,0.13,0.19,0.2,0.19,0.18,0.18,0.25,0.21,0.29,0.2,0.33,0.22,0.33,0.16,0.13,0.08,0.17,0.1,0.31,0.22,0.25,0.31,0.39,0.11,0.14,0.11,0.21,0.18,0.24,0.01
"34","25","      Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRY2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.1,0.12,0.13,0.13,0.13,0.17,0.14,0.17,0.16,0.12,0.2,0.16,0.1,0.07,0.14,0.16,0.14,0.18,0.09,0.08,0.1,0.03,0.02,0,0.08,0.1,0.12,0.11,0.02,0.08,0.04,0.07,0.05,0.02,0.02,0.08,0.2,0.17,0.11,0.12,0.18,0.23,0.02,0.15,0.15,0.04,0.11,0.09,0.08
