"","Table 1#2#5# Gross Domestic Product by Major Type of Product    ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84"
"11","4","Goods","A353RC1",52,43.2,33.9,23.8,24.3,30.9,36.1,41.5,46.6,40.5,43.6,50.4,64,74.2,90.8,97.8,96.5,110.9,126.2,138.8,130.1,144.7,166,166.2,172.5,168,188.6,197.2,205.2,200,219,227.5,230.6,247.4,258.5,277.8,304.3,337.1,345.4,370.8,397.6,408.7,432.6,472,547.1,588,628.6,706.6,773.5,872.6,977.2,1035.2,1167.3,1148.8,1226.9,1402.2,1452.8,1491.2,1570.7,1703.7,1851.9,1923.1,1943.5,2031.5,2124.2,2290.7,2379.5,2516.3,2701.2,2819.2,2990.1,3124.5,3077.6,3101.2,3170.1,3333.9,3472.9,3660.7,3814.1,3783.8,3696.8
"12","5","    Final sales","A325RC1",50.5,43.5,35,26.2,25.7,31.5,35,40.4,44,41.1,43.4,48,59.7,72.2,91.6,98.7,98,104.9,126.8,133.1,132.8,138.9,156.1,162.7,170.5,169.9,183.6,193.2,204.4,200.4,215.1,224.3,227.6,241.3,252.9,273,295.1,323.5,335.5,361.7,388.4,406.7,424.4,462.9,531.2,574,634.8,689.5,751.2,846.8,959.2,1041.5,1137.5,1163.7,1232.6,1336.8,1431,1484.7,1543.6,1685.2,1824.2,1908.5,1943.9,2015.1,2103.4,2226.9,2348.3,2485.5,2630.2,2755.5,2929.3,3070,3115.9,3089.1,3153.7,3269,3422.9,3600.7,3794.7,3818.6,3821.8
"13","6","    Change in private inventories","A014RC1",1.5,-0.2,-1.1,-2.4,-1.4,-0.6,1.1,1.2,2.6,-0.6,0.2,2.4,4.3,1.9,-0.7,-0.9,-1.5,6,-0.6,5.7,-2.7,5.8,9.9,3.5,1.9,-1.9,5,4,0.8,-0.4,3.9,3.2,3,6.1,5.6,4.8,9.2,13.6,9.9,9.1,9.2,2,8.3,9.1,15.9,14,-6.3,17.1,22.3,25.8,18,-6.3,29.8,-14.9,-5.8,65.4,21.8,6.6,27.1,18.5,27.7,14.5,-0.4,16.3,20.8,63.8,31.2,30.8,71,63.7,60.8,54.5,-38.3,12,16.4,64.9,50,60,19.4,-34.8,-125
"14","7","  Durable goods","A354RC1",18,11.9,8.1,3.8,5.1,7.7,9.5,12.5,14.2,10.2,13,17,25.9,30.6,44.3,46.8,38.4,37.9,47.1,49.7,48.2,59.1,69,66.5,73.2,66.3,81.2,83.2,86.7,76.1,91.4,94.2,92.5,105.4,111.2,123.1,137.8,155.4,154.8,167.3,181.6,178.4,189.6,214.8,256.6,273.2,285.7,341.7,384,443.1,496.7,510,562.2,536.5,594.8,707.3,732.2,756.4,808.2,886,959.8,980.9,954,1007.8,1090.1,1185.5,1259.5,1340.1,1470.7,1563.5,1671.2,1770,1687,1696.5,1707.3,1785.2,1891.1,1977.4,2047.7,2042.3,1811
"15","8","    Final sales","A326RC1",16.6,12.9,9.3,5.9,5.6,7.5,9.2,11.5,13.5,11,12.7,15.7,22.9,29.6,44.3,47.5,39.7,32.6,45.7,48.7,50,55.5,62.9,65.3,71.7,68.8,77.8,81.1,86.2,78.9,88.6,92.5,92.6,102,108.6,119.3,131.6,145.4,150,162.8,175.7,178.6,186.7,208.4,243.6,262.4,293.2,330.9,374.6,424.9,483.9,512.3,554.8,552.5,592.3,665.9,727.9,758.3,785.3,863.3,939.7,973.2,967.6,1010.7,1072.9,1149.8,1225.9,1321,1430.7,1524.2,1633.8,1734.4,1731.5,1678.9,1694.2,1748,1855.9,1951.5,2040.1,2032,1906
"16","9","    Change in private inventories \1\","A355RC1",1.4,-1,-1.2,-2,-0.5,0.1,0.3,0.9,0.8,-0.9,0.3,1.2,3.1,1,0,-0.6,-1.3,5.3,1.4,1,-1.8,3.6,6.1,1.2,1.5,-2.5,3.4,2.1,0.5,-2.8,2.9,1.7,-0.1,3.4,2.6,3.8,6.2,10,4.8,4.5,6,-0.2,2.9,6.4,13,10.9,-7.5,10.8,9.5,18.2,12.8,-2.3,7.3,-16,2.5,41.4,4.4,-1.9,22.9,22.7,20,7.7,-13.6,-3,17.1,35.7,33.6,19.1,40,39.3,37.4,35.6,-44.4,17.7,13,37.3,35.2,25.9,7.6,10.3,-94.9
"17","10","  Nondurable goods","A356RC1",34,31.4,25.9,20,19.2,23.3,26.6,29.1,32.4,30.3,30.6,33.4,38.1,43.6,46.6,50.9,58.1,73,79.1,89.1,81.9,85.6,97.1,99.7,99.3,101.7,107.4,113.9,118.5,123.9,127.6,133.3,138,142,147.3,154.7,166.5,181.6,190.5,203.4,215.9,230.4,243.1,257.2,290.5,314.8,342.8,364.9,389.4,429.5,480.5,525.2,605.1,612.3,632.1,694.9,720.5,734.8,762.5,817.7,892.2,942.2,989.6,1023.7,1034.1,1105.1,1120,1176.2,1230.5,1255.7,1318.9,1354.5,1390.6,1404.7,1462.8,1548.7,1581.8,1683.3,1766.4,1741.5,1885.8
"18","11","    Final sales","A334RC1",33.9,30.6,25.7,20.3,20.1,24,25.8,28.8,30.5,30.1,30.7,32.2,36.8,42.7,47.3,51.2,58.3,72.3,81.1,84.4,82.8,83.4,93.3,97.3,98.9,101.1,105.8,112.1,118.2,121.5,126.6,131.7,135,139.3,144.3,153.7,163.5,178,185.5,198.9,212.7,228.2,237.7,254.5,287.6,311.7,341.6,358.6,376.6,422,475.3,529.2,582.6,611.2,640.3,670.9,703.1,726.4,758.3,821.9,884.5,935.3,976.3,1004.4,1030.4,1077.1,1122.4,1164.5,1199.5,1231.3,1295.5,1335.6,1384.4,1410.3,1459.5,1521.1,1567,1649.3,1754.6,1786.6,1915.9
"19","12","    Change in private inventories \1\","A357RC1",0.1,0.8,0.1,-0.3,-0.9,-0.7,0.8,0.2,1.9,0.3,-0.1,1.2,1.3,0.9,-0.8,-0.3,-0.2,0.7,-2,4.6,-0.9,2.1,3.8,2.4,0.4,0.6,1.6,1.8,0.3,2.4,1.1,1.6,3,2.7,3,1,3,3.6,5,4.5,3.2,2.2,5.3,2.7,2.9,3.1,1.2,6.3,12.8,7.6,5.2,-4,22.5,1.1,-8.2,24,17.4,8.4,4.2,-4.3,7.7,6.8,13.2,19.3,3.7,28.1,-2.4,11.7,31,24.4,23.4,19,6.2,-5.6,3.3,27.6,14.7,34,11.8,-45.1,-30.1
"20","13","Services \2\","A341RC1",39.6,38.3,35.5,30.9,28.8,30.7,32.3,35,37.3,37.8,39.5,41.4,49.3,71.3,97.6,115,119,94.6,95,100.9,107.3,111.9,133.7,150.6,162.6,165.7,174.4,185.6,200.3,211.2,225,237,250.6,270.4,286.6,307.4,330.1,362.6,397.5,439.1,478.6,519.9,565.8,619,672.2,745.8,842.4,926.8,1029.9,1147.2,1271.7,1431.6,1606.9,1759.9,1939.1,2102.9,2305.9,2488.7,2668,2881.7,3101.2,3343.9,3548.6,3788.1,3985.1,4187.2,4396.7,4625.5,4882.5,5159.7,5485.1,5878,6208.7,6535.5,6891.7,7319.3,7802.1,8285.5,8810.8,9265.4,9397.3
"21","14","Structures","A755RC1",11.9,9.7,7.1,4,3.4,4.4,5,7.2,8,7.8,9.1,9.7,13.5,16.5,10.2,7,7.5,16.7,22.9,29.5,29.9,37.1,39.6,41.6,44.2,46.7,51.7,54.7,55.5,56,62.5,61.9,63.6,67.8,72.7,78.4,84.7,88,89.6,100,108.3,109.7,128.4,146.9,162.9,165.6,166.7,191.2,226.8,273.9,313.3,321.3,352.6,344.5,368.7,425.8,458.7,480.1,497.6,515,529,533.5,499.9,522.7,558.1,607.3,638.5,696.7,748.6,814.5,878.2,949,999.9,1005.7,1080.4,1214.5,1363.4,1452.7,1452.8,1392.2,1164.6
"22",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","15","  Motor vehicle output","A953RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.7,43.8,44.7,37.2,49.8,55,63.6,58.7,57.3,78.8,96.4,106.5,106.2,87.1,100.4,96.6,128.8,160.8,182.3,187.3,188.9,200.9,210.4,195,180.7,205.6,232.6,272.8,277.8,293.4,319.7,340.4,375.3,369.4,349.6,387.1,382.2,398.9,418.9,412.7,403.9,321.2,249.3
"24","16","  Gross domestic product excluding motor vehicle output","A962RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,797.7,866.1,939.8,1001.1,1077,1182.9,1318.7,1440.8,1580.4,1745.8,1933.7,2187.2,2456.1,2701.1,3026.4,3156.6,3405.8,3770.1,4035.2,4272.7,4547.5,4899.5,5271.7,5605.6,5811.4,6136.7,6434.7,6812.4,7136.8,7545,8012.6,8453.1,8978.2,9582.1,9936.6,10255.2,10760,11468.9,12219.4,12986.2,13673.7,14120.2,14009.4
"25","17","  Final sales of computers \3\","BB01RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.8,15.7,20.2,25.7,28.2,33.8,42.7,45.5,45.6,48.5,54,56.4,52.3,52.6,55.3,56.3,60.4,74.9,84.8,94.1,96.7,101.8,109.9,98.9,83.2,82.4,79.7,79,82.9,85.7,87.4,75.8
"26","18","  Gross domestic product excluding final sales of computers","BB00RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2282,2546.5,2768,3101.1,3225,3500.8,3888.2,4172,4414.4,4687.8,5046.4,5425.7,5748.2,5939.5,6287.1,6611,7024.8,7339.8,7753.7,8238.2,8696.8,9251.6,9841.6,10187.3,10559.1,11059.7,11788.1,12559.4,13316,13991.9,14354,14182.9
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","1. Prior to 1959, inventories held by construction establishments are included in nondurable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","goods. Beginning with 1959, these inventories are included in durable goods.  Estimates for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","durable goods and nondurable goods for 1996 and earlier periods are based on the 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Standard Industrial Classification (SIC); later estimates for these industries are based on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2. Includes government consumption expenditures, which are for services (such as education",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","and national defense) produced by government. In current dollars, these services are valued",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","at their cost of production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","3. Some components of final sales of computers include computer parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
