"","Table 1#7#3# Real Gross Domestic Product, Real Gross National Pr","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240","F241","F242","F243","F244","F245","F246","F247","F248","F249","F250","F251","F252","F253","F254","F255"
"11","3","Less: Income payments to the rest of the world","A655RA3",0.805,0.783,0.757,0.89,0.836,0.841,0.992,0.872,1.012,0.982,1.012,1.022,1.066,1.094,1.123,1.139,1.217,1.225,1.203,1.196,1.15,1.236,1.248,1.296,1.274,1.266,1.308,1.375,1.328,1.321,1.302,1.306,1.344,1.458,1.487,1.48,1.496,1.454,1.523,1.53,1.534,1.523,1.56,1.569,1.605,1.496,1.569,1.643,1.715,1.794,1.899,2.014,2.233,2.168,2.138,2.064,2.098,2.107,2.185,2.248,2.142,2.18,2.196,2.22,2.253,2.368,2.471,2.553,2.594,2.652,2.655,2.803,2.822,2.878,2.955,3.039,3.08,3.139,3.35,3.435,3.436,3.432,3.405,3.572,3.783,4.028,4.127,4.174,4.611,5.138,5.755,5.976,6.051,5.913,5.789,5.515,5.138,5.261,5.708,5.935,5.86,6.318,6.384,6.866,7.719,8.51,8.777,8.98,9.308,10.077,10.674,10.644,10.403,9.85,9.811,9.36,9.952,9.836,9.595,9.414,9.07,9.595,10.033,10.964,11.487,13.087,13.651,15.344,16.507,17.54,18.476,20.208,21.606,20.293,18.323,21.953,23.307,25.219,26.095,23.892,24.857,26.139,25.867,24.259,22.927,23.603,25.426,26.243,28.859,31.522,32.827,32.177,30.813,30.502,30.476,30.377,32.32,33.139,31.067,32.375,33.055,34.403,35.719,37.233,39.113,39.69,42.201,44.064,46.207,48.469,47.138,45.564,46.289,45.681,46.529,44.249,42.873,40.396,39.191,35.467,34.62,35.09,33.498,32.55,31.389,33.667,32.701,36.938,36.686,40.357,44.569,48.256,49.47,51.159,54.095,52.595,51.712,53.439,55.693,57.697,62.01,63.108,65.654,65.751,65.732,67.079,67.395,66.704,66.568,68.861,74.033,75.571,79.398,83.52,82.447,81.337,74.636,66.78,65.522,46.482,57.233,64.251,64.338,57.389,63.13,62.465,64.833,65.369,67.961,76.244,78.084,89.091,91.461,96.353,99.402,112.785,119.009,130.681,137.613,140.567,145.066,154.177,149.963,141.833,132.874,136.471,126.147,116.451,92.143,91.928,89.823,NA
"12","4","Equals: Gross national product","B001RA3",13.991,13.974,13.962,14.177,14.408,14.677,14.756,14.778,14.57,14.515,14.674,14.529,15.118,15.581,16.203,16.486,16.689,16.981,17.322,17.357,17.524,17.544,17.658,18.236,18.573,18.72,18.594,18.302,18.223,18.245,18.451,18.833,19.374,19.69,19.953,20.067,19.99,20.145,20.123,20.432,20.579,20.541,20.731,20.483,19.935,20.058,20.521,20.995,21.416,21.954,21.937,22.022,22.508,22.406,22.449,22.171,22.311,22.717,23.085,23.555,23.973,24.252,24.476,24.562,24.871,25.173,25.647,25.846,26.44,26.732,27.099,27.159,27.848,28.23,28.782,29.451,30.176,30.276,30.47,30.724,30.99,30.991,31.257,31.487,32.137,32.684,32.913,33.053,33.57,33.659,33.86,33.702,33.655,33.723,34.018,33.641,34.601,34.81,35.06,35.17,35.805,36.644,37.014,37.618,38.616,39.08,38.93,39.3,39.029,39.102,38.679,38.472,37.952,38.242,38.906,39.471,40.349,40.664,40.865,41.169,41.699,42.509,43.257,43.198,43.407,45.02,45.493,46.151,46.239,46.341,46.777,46.899,47.06,46.059,45.939,46.67,47.661,47.256,47.854,47.326,46.528,46.843,46.573,46.591,47.159,48.239,49.19,50.216,51.138,52.015,52.511,52.879,53.282,53.754,54.521,54.968,55.45,55.584,56.145,56.336,56.668,57.317,57.806,58.813,59.179,59.908,60.187,61.013,61.578,62.025,62.537,62.739,63.368,63.629,63.574,63.264,62.828,63.132,63.362,63.69,64.381,65.057,65.691,66.389,66.586,66.94,67.35,68.08,68.81,69.707,70.131,70.902,71.169,71.347,71.807,72.415,72.968,74.14,74.751,75.612,76.112,77.31,78.204,78.743,79.567,80.257,81.193,82.613,83.451,84.147,85.186,86.804,86.99,88.711,88.747,89.485,89.068,89.721,89.277,90.133,90.566,90.888,91.465,91.633,91.883,92.727,94.269,95.325,96.138,96.604,97.393,98.023,99.27,99.599,100.424,100.707,102.032,102.354,102.274,103.094,103.337,104.243,105.622,106.5,106.202,106.267,105.773,103.965,102.219,101.973,102.737,NA
"13","5","Less: Consumption of fixed capital","A262RA3",10.143,10.061,10.014,9.981,9.979,9.969,9.969,9.966,9.991,10.011,10.032,10.053,10.085,10.139,10.203,10.282,10.377,10.484,10.594,10.713,10.84,10.978,11.112,11.262,11.419,11.572,11.706,11.843,11.985,12.107,12.232,12.347,12.463,12.577,12.692,12.802,12.919,13.034,13.15,13.248,13.344,13.457,13.578,13.714,13.863,13.988,14.094,14.168,14.236,14.298,14.354,14.422,14.484,14.558,14.642,14.744,14.845,14.962,15.068,15.189,15.32,15.446,15.592,15.74,15.898,16.053,16.213,16.38,16.536,16.707,16.888,17.089,17.296,17.521,17.758,17.999,18.263,18.522,18.782,19.037,19.293,19.541,19.792,20.037,20.274,20.516,20.765,21.014,21.265,21.515,21.771,22.028,22.282,22.485,22.632,22.716,22.959,23.177,23.388,23.565,23.752,23.976,24.253,24.57,24.923,25.265,25.586,25.896,26.184,26.456,26.715,26.951,27.172,27.388,27.599,27.811,28.017,28.24,28.485,28.747,29.033,29.331,29.641,29.961,30.287,30.641,31.012,31.403,31.816,32.223,32.622,33.008,33.388,33.754,34.104,34.438,34.758,35.094,35.451,35.826,36.222,36.585,36.916,37.217,37.486,37.783,38.104,38.458,38.839,39.271,39.759,40.299,40.898,41.467,42.006,42.518,42.99,43.477,43.978,44.493,45.021,45.529,46.024,46.505,46.969,47.445,47.931,48.43,48.939,49.45,49.965,50.476,50.994,51.474,51.918,52.326,52.699,53.08,53.468,53.864,54.27,54.625,54.936,55.196,55.768,56.326,56.874,57.41,57.937,58.498,59.091,59.717,60.376,61.065,61.782,62.525,63.299,64.101,64.94,65.81,66.71,67.673,68.692,69.766,70.898,72.07,73.279,74.525,75.809,77.126,78.471,79.849,81.259,82.598,83.869,85.064,86.18,87.214,88.154,89.002,89.758,90.483,91.177,91.84,92.473,93.141,93.836,94.567,95.358,96.153,96.953,97.754,98.56,99.458,100.449,101.533,102.334,103.213,104.143,105.119,106.142,107.174,108.214,109.261,110.317,111.123,111.68,111.994,112.421,112.573,112.781,113.174
"14","6","        Private","A024RA3",6.905,7.042,7.181,7.321,7.462,7.595,7.721,7.838,7.947,8.055,8.162,8.269,8.376,8.485,8.595,8.706,8.819,8.92,9.01,9.088,9.153,9.228,9.31,9.402,9.502,9.6,9.696,9.789,9.88,9.975,10.073,10.176,10.282,10.391,10.502,10.615,10.731,10.841,10.945,11.042,11.134,11.24,11.362,11.5,11.654,11.779,11.874,11.939,11.972,12.005,12.038,12.07,12.102,12.148,12.209,12.286,12.377,12.469,12.561,12.653,12.745,12.847,12.961,13.085,13.219,13.355,13.493,13.631,13.771,13.928,14.102,14.293,14.502,14.723,14.956,15.201,15.458,15.709,15.955,16.194,16.428,16.658,16.886,17.111,17.333,17.564,17.803,18.051,18.308,18.569,18.835,19.105,19.379,19.595,19.753,19.852,20.136,20.404,20.658,20.897,21.121,21.396,21.722,22.099,22.523,22.921,23.295,23.646,23.976,24.282,24.564,24.822,25.054,25.28,25.5,25.713,25.92,26.15,26.405,26.684,26.988,27.303,27.631,27.972,28.325,28.7,29.096,29.515,29.955,30.382,30.797,31.198,31.586,31.957,32.311,32.646,32.963,33.301,33.66,34.04,34.441,34.803,35.126,35.409,35.651,35.919,36.213,36.533,36.879,37.28,37.737,38.249,38.819,39.351,39.845,40.299,40.714,41.143,41.587,42.047,42.521,42.983,43.43,43.863,44.282,44.714,45.16,45.619,46.092,46.564,47.035,47.504,47.972,48.403,48.796,49.152,49.469,49.8,50.145,50.504,50.878,51.201,51.474,51.696,52.28,52.859,53.433,54.001,54.564,55.167,55.811,56.496,57.224,57.98,58.766,59.582,60.429,61.313,62.235,63.196,64.196,65.257,66.382,67.571,68.825,70.115,71.443,72.807,74.208,75.648,77.125,78.64,80.192,81.668,83.065,84.381,85.614,86.74,87.756,88.662,89.456,90.213,90.933,91.615,92.259,92.938,93.653,94.403,95.188,95.988,96.802,97.631,98.474,99.422,100.474,101.63,102.475,103.378,104.341,105.363,106.442,107.519,108.592,109.661,110.726,111.523,112.054,112.319,112.631,112.581,112.57,112.667
"15","7","        Government","A264RA3",29.444,28.09,26.947,25.886,25.017,24.138,23.375,22.639,22.147,21.616,21.095,20.568,20.128,19.827,19.592,19.452,19.426,19.559,19.79,20.159,20.672,21.209,21.663,22.173,22.686,23.182,23.548,23.957,24.421,24.704,24.991,25.173,25.34,25.474,25.605,25.683,25.797,25.931,26.115,26.208,26.324,26.468,26.571,26.689,26.79,26.899,27.07,27.192,27.479,27.723,27.921,28.222,28.477,28.721,28.947,29.202,29.358,29.629,29.811,30.113,30.48,30.743,31.09,31.374,31.668,31.933,32.224,32.562,32.804,33.054,33.273,33.513,33.696,33.927,34.179,34.375,34.663,34.958,35.293,35.622,36.008,36.347,36.727,37.079,37.396,37.697,37.986,38.23,38.423,38.59,38.767,38.934,39.048,39.161,39.234,39.216,39.206,39.112,39.052,38.855,38.811,38.724,38.701,38.66,38.587,38.592,38.596,38.664,38.714,38.789,38.917,39.034,39.186,39.341,39.493,39.697,39.897,40.071,40.25,40.407,40.581,40.768,40.954,41.143,41.289,41.5,41.706,41.913,42.136,42.399,42.69,42.962,43.274,43.598,43.914,44.227,44.548,44.86,45.19,45.522,45.869,46.23,46.597,46.999,47.418,47.885,48.361,48.906,49.485,50.094,50.758,51.446,52.2,52.974,53.773,54.618,55.42,56.237,57.066,57.905,58.741,59.516,60.283,61.034,61.758,62.484,63.203,63.925,64.638,65.372,66.136,66.885,67.69,68.453,69.189,69.902,70.6,71.272,71.908,72.516,73.104,73.646,74.169,74.649,75.132,75.552,75.935,76.275,76.578,76.89,77.177,77.454,77.709,77.997,78.312,78.632,78.985,79.309,79.67,80.024,80.35,80.752,81.178,81.607,82.053,82.566,83.116,83.71,84.352,85.003,85.63,86.266,86.913,87.522,88.115,88.668,89.157,89.706,90.24,90.783,91.335,91.891,92.451,93.016,93.591,94.199,94.788,95.423,96.242,97.014,97.736,98.393,99.006,99.641,100.321,101.032,101.609,102.364,103.125,103.871,104.607,105.419,106.295,107.23,108.244,109.093,109.783,110.33,111.308,112.422,113.673,115.471
"16","8","          General government","A265RA3",32.854,31.284,29.929,28.701,27.688,26.661,25.756,24.891,24.309,23.684,23.061,22.441,21.913,21.538,21.23,21.055,21.012,21.153,21.398,21.812,22.382,22.969,23.471,24.048,24.629,25.192,25.604,26.049,26.561,26.876,27.192,27.388,27.562,27.694,27.82,27.894,28.005,28.132,28.327,28.414,28.52,28.66,28.76,28.876,28.968,29.07,29.237,29.357,29.655,29.905,30.114,30.416,30.688,30.922,31.162,31.415,31.568,31.837,32.01,32.333,32.721,32.988,33.352,33.653,33.964,34.232,34.538,34.883,35.13,35.387,35.592,35.829,36.001,36.226,36.487,36.672,36.965,37.253,37.594,37.938,38.333,38.692,39.082,39.438,39.757,40.048,40.334,40.557,40.727,40.87,41.025,41.165,41.253,41.332,41.358,41.294,41.236,41.079,40.948,40.678,40.558,40.408,40.309,40.208,40.056,39.991,39.932,39.945,39.932,39.964,40.041,40.113,40.224,40.35,40.462,40.641,40.822,40.96,41.115,41.254,41.411,41.579,41.746,41.914,42.039,42.236,42.419,42.604,42.794,43.041,43.312,43.553,43.846,44.153,44.45,44.746,45.046,45.336,45.649,45.957,46.29,46.643,46.999,47.4,47.82,48.291,48.777,49.34,49.94,50.575,51.268,51.987,52.777,53.59,54.439,55.332,56.183,57.055,57.938,58.832,59.725,60.555,61.364,62.157,62.923,63.686,64.445,65.208,65.951,66.722,67.524,68.315,69.155,69.958,70.722,71.455,72.175,72.855,73.493,74.099,74.682,75.2,75.699,76.147,76.592,76.97,77.316,77.613,77.868,78.145,78.388,78.628,78.847,79.101,79.378,79.662,79.974,80.267,80.609,80.946,81.289,81.676,82.076,82.486,82.91,83.4,83.919,84.484,85.09,85.706,86.308,86.915,87.533,88.118,88.694,89.227,89.696,90.235,90.755,91.278,91.817,92.351,92.873,93.389,93.902,94.452,94.983,95.562,96.345,97.079,97.776,98.412,99.006,99.637,100.32,101.038,101.795,102.571,103.355,104.121,104.873,105.723,106.655,107.668,108.778,109.699,110.433,111.009,112.094,113.336,114.75,116.798
"17","9","          Government enterprises","A266RA3",8.322,8.362,8.596,8.599,8.652,8.705,8.833,8.906,8.988,9.056,9.177,9.232,9.348,9.516,9.747,9.819,9.904,9.998,10.142,10.23,10.395,10.631,10.801,10.896,10.996,11.082,11.167,11.359,11.531,11.621,11.73,11.825,11.957,12.1,12.27,12.372,12.513,12.692,12.81,12.941,13.121,13.299,13.423,13.554,13.718,13.868,14.063,14.204,14.43,14.643,14.778,15.083,15.238,15.556,15.694,15.972,16.154,16.45,16.692,16.871,17.119,17.362,17.619,17.8,17.997,18.247,18.452,18.764,18.982,19.199,19.513,19.785,20.05,20.323,20.534,20.803,21.074,21.429,21.731,21.978,22.321,22.542,22.872,23.209,23.526,23.9,24.215,24.61,24.949,25.276,25.603,25.942,26.228,26.561,26.932,27.195,27.486,27.79,28.173,28.424,28.848,29.146,29.592,29.92,30.334,30.765,31.156,31.561,32.001,32.335,32.769,33.152,33.555,33.874,34.262,34.617,34.93,35.309,35.63,35.891,36.17,36.466,36.766,37.076,37.345,37.646,37.986,38.312,38.727,39.082,39.489,39.934,40.36,40.779,41.2,41.611,42.057,42.491,42.92,43.391,43.82,44.238,44.669,45.081,45.493,45.944,46.362,46.816,47.277,47.735,48.238,48.757,49.31,49.861,50.383,50.956,51.485,51.993,52.529,53.06,53.575,54.052,54.583,55.108,55.598,56.123,56.626,57.124,57.671,58.209,58.767,59.291,59.901,60.458,61.037,61.645,62.225,62.855,63.481,64.1,64.726,65.397,66.058,66.717,67.406,68.056,68.648,69.22,69.786,70.293,70.824,71.3,71.757,72.234,72.749,73.271,73.849,74.346,74.806,75.254,75.496,75.972,76.535,77.072,77.635,78.272,78.986,79.731,80.56,81.401,82.162,82.948,83.743,84.476,85.16,85.818,86.414,87.016,87.62,88.267,88.885,89.558,90.313,91.13,92.017,92.921,93.805,94.723,95.728,96.69,97.538,98.299,99.007,99.661,100.329,101.003,100.681,101.332,101.982,102.63,103.283,103.908,104.503,105.054,105.6,106.094,106.568,106.976,107.431,107.927,108.383,108.959
"18","10","Equals: Net national product","A027RA3",14.626,14.619,14.613,14.872,15.145,15.462,15.555,15.582,15.332,15.264,15.448,15.273,15.962,16.498,17.22,17.54,17.762,18.087,18.469,18.489,18.662,18.659,18.769,19.423,19.792,19.936,19.762,19.39,19.27,19.273,19.493,19.922,20.54,20.893,21.181,21.295,21.182,21.343,21.294,21.641,21.798,21.73,21.931,21.609,20.93,21.053,21.58,22.128,22.615,23.241,23.21,23.297,23.86,23.726,23.76,23.411,23.558,24.016,24.431,24.964,25.434,25.74,25.977,26.05,26.385,26.713,27.243,27.447,28.119,28.432,28.831,28.864,29.639,30.048,30.655,31.4,32.206,32.276,32.456,32.708,32.975,32.93,33.197,33.424,34.146,34.746,34.97,35.089,35.653,35.711,35.901,35.668,35.566,35.609,35.93,35.47,36.556,36.762,37.019,37.116,37.83,38.777,39.162,39.815,40.926,41.41,41.175,41.554,41.182,41.218,40.671,40.382,39.724,40.025,40.77,41.4,42.399,42.73,42.921,43.23,43.803,44.706,45.532,45.4,45.583,47.429,47.917,48.621,48.645,48.687,49.126,49.195,49.311,48.049,47.837,48.64,49.755,49.206,49.846,49.142,48.114,48.416,48.031,47.994,48.616,49.84,50.904,52.048,53.065,54.018,54.511,54.844,55.209,55.66,56.464,56.897,57.378,57.448,58.016,58.147,58.443,59.114,59.599,60.694,61.041,61.811,62.052,62.931,63.504,63.938,64.447,64.594,65.24,65.462,65.323,64.892,64.323,64.613,64.816,65.132,65.869,66.595,67.281,68.047,68.183,68.504,68.891,69.65,70.411,71.36,71.756,72.549,72.753,72.85,73.27,73.856,74.373,75.601,76.176,77.035,77.473,78.706,79.58,80.038,80.816,81.434,82.328,83.773,84.546,85.151,86.145,87.798,87.806,89.581,89.44,90.111,89.475,90.073,89.434,90.291,90.678,90.944,91.505,91.604,91.802,92.67,94.328,95.43,96.245,96.666,97.454,98.06,99.368,99.619,100.42,100.593,101.99,102.236,102.015,102.814,102.95,103.838,105.264,106.118,105.635,105.599,104.96,102.863,100.819,100.52,101.357,NA
"19",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Net domestic product","A362RA3",14.666,14.655,14.65,14.905,15.171,15.486,15.579,15.607,15.36,15.293,15.482,15.315,16.004,16.539,17.248,17.571,17.8,18.108,18.488,18.5,18.682,18.678,18.792,19.455,19.829,19.966,19.805,19.43,19.299,19.303,19.523,19.939,20.559,20.917,21.206,21.317,21.186,21.35,21.297,21.668,21.799,21.717,21.928,21.641,20.953,21.074,21.611,22.166,22.657,23.288,23.246,23.324,23.898,23.759,23.786,23.425,23.561,24.033,24.448,24.982,25.457,25.746,25.983,26.026,26.375,26.714,27.244,27.443,28.099,28.425,28.82,28.871,29.62,30.024,30.655,31.43,32.235,32.305,32.491,32.736,33.007,32.969,33.214,33.45,34.172,34.771,34.989,35.111,35.679,35.748,35.952,35.716,35.607,35.642,35.969,35.528,36.578,36.769,37.058,37.141,37.848,38.808,39.171,39.832,40.901,41.365,41.06,41.439,40.981,41.048,40.544,40.319,39.723,40.025,40.747,41.308,42.33,42.646,42.834,43.135,43.645,44.566,45.406,45.332,45.443,47.396,47.846,48.483,48.493,48.464,48.779,48.854,48.957,47.744,47.573,48.513,49.6,49.081,49.691,48.907,47.906,48.133,47.853,47.838,48.473,49.67,50.731,51.863,52.937,53.895,54.399,54.801,55.278,55.705,56.595,56.989,57.525,57.699,58.24,58.467,58.741,59.36,59.857,60.936,61.211,62.02,62.297,63.154,63.737,64.189,64.676,64.747,65.425,65.637,65.56,64.839,64.419,64.85,65.096,65.32,66.068,66.807,67.538,68.299,68.349,68.753,69.075,70.021,70.709,71.713,72.14,72.946,73.043,73.111,73.693,74.158,74.611,75.947,76.564,77.374,77.909,79.068,80.034,80.565,81.255,81.905,82.948,84.387,85.046,85.604,86.639,88.2,88.255,90.012,89.912,90.343,89.843,90.365,89.949,90.19,90.966,91.413,91.836,91.765,92.101,92.845,94.522,95.388,96.042,96.708,97.406,98.256,99.26,99.617,100.341,100.781,102.177,102.474,102.375,103.094,103.305,104.099,105.01,105.497,105.132,105.456,104.563,102.875,100.867,100.631,101.245,102.824
