"","Table 3#9#4# Price Indexes for Government Consumption Expenditur","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240","F241","F242","F243","F244","F245","F246","F247","F248","F249","F250","F251","F252","F253","F254","F255"
"11","3","      Gross investment \2\","A782RG3",13.707,13.886,14.785,14.986,15.2,15.48,16.02,16.031,16.118,15.838,15.325,15.472,15.11,15.055,15.395,16.156,16.829,17.167,17.391,17.541,17.443,17.55,17.796,17.708,17.553,17.388,17.351,17.115,17.014,17.207,17.311,17.496,17.148,17.28,17.745,18.049,18.626,19.014,19.375,19.521,19.789,20.027,20.155,20.098,19.721,19.871,20.082,20.151,20.217,20.128,20.094,20.046,19.959,19.966,20.047,20.048,20.044,20.11,20.122,20.272,20.278,20.376,20.519,20.695,20.631,20.741,20.701,20.832,20.85,20.968,20.968,20.993,21.039,21.179,21.242,21.369,21.434,21.837,21.93,22.168,22.216,22.317,22.556,22.747,23.07,23.268,23.321,23.799,24.142,24.715,24.934,25.44,25.986,26.601,27.09,27.688,28.157,28.631,28.94,29.421,30.964,31.147,31.616,32.216,32.653,33.308,33.915,34.556,35.865,37.582,39.576,40.947,41.84,42.236,42.511,42.956,43.378,43.819,44.122,44.5,45.32,45.835,46.203,46.821,47.587,48.399,49.253,49.942,50.851,52.084,53.391,54.689,55.83,57.379,58.814,60.374,61.942,63.316,64.589,65.675,66.661,67.833,68.561,68.697,68.867,68.844,69.145,69.152,69.303,69.575,69.745,70.043,69.986,69.683,69.871,69.737,69.468,69.8,69.922,69.938,70.177,70.138,70.281,70.374,70.886,71.154,71.456,71.933,72.259,72.732,73.256,73.262,73.866,74.393,75.096,75.437,75.672,75.925,76.107,76.011,75.812,76.142,76.246,76.684,77.283,77.695,77.942,78.343,78.788,79.503,79.957,80.562,81.144,81.772,82.117,82.731,83.401,82.548,82.748,82.921,82.801,83.285,83.451,83.931,83.638,83.668,83.961,84.33,84.744,85.224,85.483,86.101,86.624,87.334,87.93,88.439,88.55,88.769,88.916,89.09,89.385,89.736,89.962,90.145,90.709,90.784,90.856,91.034,91.659,93.161,95.125,97.023,97.912,99.27,100.842,101.976,102.577,104.403,105.656,107.353,109.217,109.961,110.825,111.862,112.92,113.94,115.454,117.196,117.879,117.058,116.022,115.91
"12","4","        Structures","A760RG3",8.865,8.993,9.506,9.673,9.923,10.199,10.506,10.543,10.464,10.347,9.883,10.024,9.618,9.499,9.789,10.189,10.805,11.13,11.395,11.479,11.344,11.513,11.77,11.609,11.66,11.561,11.562,11.303,11.064,11.307,11.161,11.229,10.941,10.969,11.364,11.497,11.81,12.172,12.467,12.574,12.654,12.902,12.937,12.795,12.506,12.669,12.799,12.795,12.885,12.759,12.667,12.596,12.553,12.541,12.606,12.603,12.54,12.597,12.57,12.685,12.749,12.804,12.902,12.943,12.962,13.022,13.05,13.1,13.14,13.179,13.224,13.265,13.379,13.518,13.592,13.683,13.79,14.089,14.201,14.341,14.421,14.438,14.626,14.759,15.073,15.189,15.209,15.568,15.9,16.294,16.473,16.83,17.163,17.633,17.994,18.446,18.798,19.147,19.37,19.742,19.989,20.172,20.542,21.003,21.484,21.989,22.449,23.065,24.117,25.636,27.254,28.393,29.035,29.185,29.29,29.486,29.641,29.883,29.971,30.211,30.662,30.992,31.352,31.665,32.037,32.697,33.353,33.953,34.718,35.731,36.91,38.005,39.015,40.131,41.514,42.805,43.99,45.003,45.961,46.771,47.495,48.339,48.9,49.011,49.028,48.941,49.039,49.057,49.242,49.427,49.593,49.835,50.117,50.313,50.557,50.866,51.257,51.762,52.243,52.823,53.282,53.788,54.431,54.685,55.112,55.456,55.899,56.353,56.547,57.11,57.614,58.008,58.505,59.042,59.604,59.713,59.728,60.137,60.421,60.147,60.033,60.394,60.628,61.039,61.593,62.074,62.232,62.749,63.3,63.695,64.446,65.272,66.051,66.663,67.232,67.804,68.318,68.594,69.145,69.543,69.979,70.64,71.129,72.046,72.369,72.608,73.341,74.04,74.592,75.465,76.039,76.931,77.714,78.887,79.676,80.537,81.232,81.595,82.069,82.896,83.441,84.14,84.616,84.925,85.89,86.106,86.329,86.736,87.567,89.586,92.599,95.366,96.489,98.762,101.42,103.328,104.207,106.966,108.91,111.797,114.797,116.027,117.398,119.102,120.705,122.064,124.243,127.147,128.686,127.268,125.559,125.322
"13","5","        Equipment and software","A871RG3",26.858,27.156,29.23,29.387,29.16,29.206,30.541,30.43,31.333,30.431,30.134,30.117,30.558,31.132,31.257,33.462,33.613,33.777,33.781,34.142,34.178,34.118,34.331,34.465,33.719,33.371,33.222,33.049,33.376,33.372,34.33,34.894,34.461,34.949,35.485,36.368,37.771,38.041,38.476,38.705,39.663,39.667,40.152,40.555,40.06,40.004,40.461,40.853,40.767,40.905,41.158,41.233,41.006,41.095,41.195,41.214,41.487,41.548,41.725,41.938,41.696,41.93,42.195,42.847,42.46,42.735,42.398,42.824,42.726,43.145,42.911,42.83,42.479,42.487,42.415,42.627,42.396,42.98,42.897,43.439,43.297,43.727,44.036,44.363,44.453,44.898,45.085,45.737,45.799,46.794,46.997,47.803,48.988,49.796,50.515,51.333,51.976,52.576,52.916,53.19,63.402,62.965,63.199,63.691,63.058,63.811,64.533,64.177,65.283,65.902,67.783,69.017,70.407,71.889,72.841,74.219,75.721,76.831,78.018,78.779,80.744,81.754,81.86,83.501,85.619,86.492,87.594,88.112,89,90.346,91.309,92.626,93.538,96.008,96.749,98.549,100.841,102.961,104.862,106.5,108.03,109.915,110.983,111.175,111.775,111.949,112.758,112.738,112.782,113.236,113.392,113.804,112.94,111.482,111.547,110.453,108.706,108.638,107.985,106.833,106.587,105.375,104.488,104.249,104.942,105.042,105.038,105.565,106.173,106.48,107.068,106.307,107.146,107.667,108.676,109.49,110.175,110.12,110.101,110.381,109.994,110.253,110.086,110.589,111.285,111.545,111.983,112.112,112.31,113.735,113.52,113.606,113.712,114.355,114.149,114.811,115.779,112.384,111.766,111.401,109.887,109.898,109.258,108.68,106.962,106.495,105.769,105.385,105.492,105.097,104.695,104.725,104.66,104.332,104.494,104.229,103.059,102.948,102.373,101.119,100.85,100.435,100.134,100.054,99.752,99.529,99.277,98.971,99.154,99.6,99.539,99.862,100.336,100.102,99.853,99.709,99.856,100.205,100.356,100.181,100.25,100.223,100.294,100.291,100.52,101.04,101.588,101.685,101.167,101.21,101.156,101.229
"14","6","Federal","B823RG3",10.413,10.347,9.963,9.949,9.991,10.002,10.142,10.163,10.561,10.547,10.34,10.565,10.528,10.378,10.421,10.442,11.036,10.79,10.814,10.952,10.785,10.957,11.05,11.226,11.065,11.106,11.034,11.117,11.234,11.265,11.373,11.477,11.633,11.925,12.044,12.188,12.359,12.571,12.649,12.671,12.981,13.056,13.162,13.299,13.472,13.62,13.749,13.811,13.677,13.594,13.478,13.506,13.505,13.543,13.75,13.91,13.874,13.908,13.885,13.964,14.084,14.129,14.218,14.377,14.439,14.458,14.405,14.724,14.842,14.9,15.117,15.12,15.177,15.228,15.401,15.709,15.73,15.746,16.077,16.104,16.081,16.271,16.437,16.757,16.91,17.12,17.437,17.681,17.71,17.971,18.498,18.724,19.326,19.551,19.859,20.06,20.792,21.212,21.528,22.001,23.098,23.284,23.458,24.044,24.43,24.804,25.287,25.799,26.181,26.743,27.624,28.71,29.35,29.765,30.333,31.184,31.546,31.913,32.411,33.338,34.06,34.491,34.637,35.78,36.127,36.497,36.992,37.935,38.482,39.067,39.856,41.502,42.259,43.238,43.94,46.164,46.952,47.671,48.194,49.845,50.531,51.156,51.587,52.464,52.758,53.089,53.458,53.566,55.719,56.241,56.657,56.814,57.553,57.532,57.446,58.01,57.867,57.856,57.953,58.077,58.473,58.574,58.755,58.765,59.46,59.917,59.997,60.161,61.184,61.38,61.753,61.699,62.619,63.198,63.638,64.738,65.599,65.718,66.254,66.709,67.526,68.009,68.469,68.4,69.047,69.52,70.191,70.561,70.978,71.814,71.798,72.309,73.157,73.252,73.521,74.938,75.968,75.335,75.63,76.118,76.846,76.924,77.012,77.407,77.683,77.822,78.042,78.177,79.179,79.636,80.089,80.642,82.08,81.833,82.901,83.283,83.661,83.895,84.378,84.871,86.909,87.094,87.129,88.14,90.63,90.869,91.144,91.454,93.996,95.18,95.755,96.408,99.173,99.68,100.42,100.728,103.101,104.187,104.502,104.637,106.808,107.737,107.896,108.577,110.077,111.265,111.784,110.628,111.084,111.214,111.601,112.164
"15","7","    Consumption expenditures","B957RG3",9.082,9.014,8.574,8.568,8.617,8.612,8.697,8.722,9.078,9.081,8.96,9.13,9.098,8.953,8.992,8.921,9.487,9.191,9.187,9.312,9.124,9.314,9.391,9.58,9.455,9.527,9.455,9.572,9.69,9.728,9.795,9.873,10.083,10.372,10.462,10.567,10.662,10.846,10.885,10.889,11.162,11.223,11.299,11.423,11.648,11.797,11.902,11.947,11.796,11.699,11.56,11.588,11.607,11.646,11.851,12.029,11.993,12.012,11.984,12.029,12.191,12.228,12.286,12.422,12.519,12.519,12.482,12.808,12.935,12.968,13.212,13.219,13.304,13.349,13.54,13.857,13.884,13.853,14.21,14.206,14.188,14.359,14.51,14.827,14.976,15.169,15.482,15.693,15.706,15.909,16.436,16.625,17.17,17.35,17.623,17.788,18.488,18.869,19.16,19.594,20.338,20.516,20.649,21.179,21.565,21.89,22.329,22.832,23.164,23.694,24.485,25.521,26.089,26.442,26.97,27.773,28.066,28.386,28.826,29.731,30.346,30.721,30.88,31.974,32.217,32.537,32.975,33.924,34.416,34.916,35.637,37.268,38.004,38.859,39.52,41.718,42.391,43.009,43.414,45.046,45.641,46.152,46.533,47.46,47.738,48.082,48.4,48.506,50.834,51.361,51.798,51.893,52.809,52.936,52.827,53.598,53.618,53.629,53.823,54.115,54.567,54.812,55.091,55.137,55.855,56.357,56.433,56.512,57.617,57.784,58.118,58.142,59.068,59.665,60.047,61.206,62.119,62.241,62.823,63.33,64.297,64.8,65.324,65.149,65.786,66.273,66.963,67.322,67.769,68.507,68.492,68.987,69.909,69.904,70.183,71.644,72.593,72.302,72.681,73.257,74.106,74.193,74.343,74.803,75.19,75.329,75.601,75.729,76.762,77.264,77.784,78.368,79.97,79.711,80.872,81.298,81.813,82.057,82.646,83.314,85.636,85.865,85.901,87.022,89.833,90.096,90.419,90.786,93.602,94.831,95.421,96.057,99.082,99.654,100.491,100.774,103.419,104.56,104.813,104.964,107.429,108.473,108.595,109.336,111.011,112.3,112.805,111.453,112.046,112.245,112.746,113.361
"16","8","    Gross investment","B787RG3",19.208,19.321,21.514,21.181,20.952,21.148,22.06,21.981,22.601,22.339,21.165,21.92,21.852,21.771,21.86,23.039,23.629,23.928,24.163,24.409,24.363,24.411,24.635,24.711,24.26,24.081,23.994,23.816,23.92,23.907,24.347,24.678,24.341,24.629,24.995,25.489,26.382,26.805,27.226,27.417,28.039,28.244,28.639,28.875,28.468,28.575,28.915,29.142,29.19,29.222,29.311,29.338,29.164,29.189,29.414,29.421,29.395,29.55,29.569,29.917,29.709,29.816,30.161,30.504,30.265,30.459,30.278,30.502,30.509,30.803,30.719,30.68,30.465,30.566,30.511,30.652,30.605,31.106,31.088,31.422,31.363,31.687,31.961,32.214,32.339,32.647,32.852,33.389,33.612,34.494,34.661,35.24,36.209,36.921,37.524,38.119,38.746,39.42,39.801,40.348,47.305,47.272,47.985,48.892,48.876,49.709,50.451,50.499,51.377,51.983,53.558,54.58,55.797,56.827,57.528,58.566,59.655,60.443,61.444,62.199,63.907,64.808,64.711,65.86,67.371,68.186,69.151,69.63,70.598,71.938,73.223,74.487,75.196,77.201,78.103,79.817,81.639,83.267,84.901,86.248,87.687,89.348,90.19,90.321,90.751,90.886,91.672,91.747,92.081,92.459,92.611,93.296,92.526,91.344,91.461,90.473,89.096,88.927,88.336,87.298,87.297,86.39,85.923,85.68,86.213,86.343,86.452,87.243,87.667,88.079,88.74,88.111,89.007,89.466,90.325,91.039,91.525,91.622,91.83,91.916,91.668,92.022,92.037,92.724,93.456,93.83,94.357,94.805,94.963,96.561,96.539,97.158,97.428,98.306,98.478,99.505,101.119,97.947,97.619,97.405,97.131,97.144,96.743,96.627,96.02,96.166,95.998,96.182,96.947,97.077,97.052,97.374,97.618,97.448,97.793,97.847,97.179,97.341,97.023,96.201,96.1,95.961,96.001,96.218,96.345,96.402,96.332,96.223,96.771,97.627,98.101,98.892,99.804,99.855,99.929,100.411,100.964,101.69,102.408,102.432,102.694,102.901,103.296,103.607,104.03,104.624,105.23,105.219,104.885,104.617,104.349,104.604
"17","9","      Structures","B801RG3",8.271,7.542,8.793,8.463,8.466,8.761,9.149,9.237,9.373,9.522,8.185,9.037,8.724,8.427,8.57,8.79,9.358,9.614,9.901,10,9.92,10.037,10.195,10.195,10.148,10.15,10.135,10.005,9.883,9.914,9.79,9.844,9.763,9.808,10.014,10.08,10.265,10.618,10.866,10.976,11.036,11.258,11.39,11.377,11.188,11.367,11.507,11.597,11.542,11.485,11.413,11.372,11.332,11.292,11.525,11.515,11.27,11.431,11.3,11.648,11.536,11.487,11.792,11.704,11.694,11.753,11.783,11.743,11.856,11.919,12.008,12.031,12.055,12.214,12.188,12.232,12.409,12.659,12.742,12.789,12.9,12.991,13.155,13.372,13.602,13.653,13.846,14.138,14.567,14.985,15.112,15.365,15.719,16.064,16.317,16.715,17.142,17.525,17.728,18.15,18.299,18.578,19.169,19.784,20.409,20.987,21.482,21.929,22.422,23.15,24.274,25.541,26.446,26.798,27.126,27.524,27.75,28.025,28.531,29.139,29.762,30.334,30.41,30.726,31.061,31.735,32.383,32.793,34.079,35.178,36.408,37.282,37.953,38.837,40.111,41.247,42.049,42.847,43.543,44.343,45.107,45.882,46.288,46.457,46.404,46.388,46.921,47.184,48.206,48.178,48.289,48.946,49.316,49.629,49.757,49.835,49.97,50.044,50.196,50.974,51.389,51.72,52.598,52.49,52.581,53.117,54.05,55.523,55.672,56.332,57.158,57.974,58.178,58.451,58.912,59.263,59.631,60.033,60.836,60.546,60.538,60.793,61.074,61.796,62.405,62.931,63.278,63.79,64.222,64.787,65.522,66.269,66.923,67.563,68.209,68.784,69.276,69.549,70.016,70.188,70.477,70.894,71.479,72.364,72.561,72.97,73.747,74.431,75.031,75.878,76.514,77.275,78.068,78.997,79.745,80.445,81.321,81.938,82.716,83.384,83.536,84.019,84.412,85.033,86.118,86.313,86.661,87.344,88.355,90.08,92.584,95,96.957,98.82,101.257,102.966,104.913,106.959,108.594,110.633,112.314,113.415,114.577,115.901,116.813,117.522,118.454,119.169,121.023,119.152,117.366,117.057
"18","10","      Equipment and software","B872RG3",24.125,24.353,26.591,26.65,26.288,26.252,27.412,27.177,28.117,27.437,27.185,27.166,27.632,28.173,28.052,30.1,30.152,30.312,30.351,30.672,30.692,30.639,30.84,30.977,30.241,29.93,29.798,29.635,29.95,29.892,30.796,31.309,30.814,31.25,31.654,32.423,33.739,34.082,34.526,34.726,35.741,35.815,36.348,36.787,36.314,36.255,36.685,36.978,37.141,37.274,37.518,37.614,37.363,37.452,37.555,37.573,37.842,37.905,38.085,38.3,38.068,38.306,38.576,39.237,38.848,39.117,38.77,39.192,39.091,39.518,39.28,39.186,38.792,38.784,38.722,38.922,38.644,39.229,39.115,39.617,39.434,39.873,40.181,40.416,40.438,40.88,41.056,41.673,41.692,42.754,42.906,43.611,44.856,45.715,46.494,47.148,47.807,48.5,48.818,48.993,63.801,62.923,63.088,63.698,62.643,63.367,63.984,63.147,64.071,64.14,65.524,65.788,66.81,68.222,69.038,70.4,72.056,73.127,74.303,74.95,77.183,78.098,77.847,79.483,81.737,82.373,83.297,83.669,83.982,85.134,86.114,87.385,87.941,90.402,90.69,92.466,94.719,96.661,98.685,100.172,101.825,103.814,104.813,104.903,105.574,105.785,106.627,106.59,106.536,107.083,107.238,107.88,106.618,104.807,104.917,103.51,101.519,101.252,100.367,98.609,98.411,96.983,95.94,95.648,96.346,96.309,96.089,96.608,97.123,97.453,98.056,96.964,98.079,98.592,99.57,100.389,100.907,100.91,100.937,101.142,100.811,101.191,101.113,101.771,102.525,102.825,103.405,103.806,103.845,105.8,105.481,106.02,106.098,107.039,106.987,108.163,110.181,105.667,105.012,104.653,104.161,104.004,103.207,102.714,101.812,101.845,101.316,101.32,102.129,102.001,101.766,101.948,102.028,101.554,101.784,101.668,100.625,100.672,100.09,98.91,98.745,98.453,98.408,98.526,98.409,98.43,98.251,97.942,98.373,99.028,99.073,99.559,100.281,100.022,99.711,99.986,100.314,100.835,101.41,101.101,101.117,101.164,101.421,101.551,101.891,102.466,103.018,102.878,102.124,102.17,102.209,102.582
"19","11","  National defense","B824RG3",10.464,10.462,9.604,9.619,9.8,9.898,10.091,10.154,10.392,10.334,10.223,10.341,10.302,10.165,10.316,10.471,10.85,10.629,10.658,10.811,10.565,10.736,10.821,10.995,10.811,10.852,10.779,10.857,11.015,11.024,11.156,11.262,11.382,11.683,11.852,12.012,12.203,12.41,12.466,12.51,12.838,12.886,12.994,13.11,13.27,13.387,13.54,13.602,13.433,13.361,13.266,13.301,13.285,13.326,13.49,13.661,13.59,13.642,13.608,13.692,13.779,13.833,13.934,14.041,14.154,14.161,14.082,14.439,14.509,14.516,14.726,14.73,14.788,14.866,15.059,15.381,15.349,15.351,15.724,15.715,15.673,15.867,16.042,16.393,16.476,16.674,16.98,17.205,17.233,17.518,18.032,18.246,18.757,18.937,19.27,19.499,20.215,20.611,20.937,21.476,22.821,23.007,23.182,23.826,24.174,24.614,25.199,25.66,26.12,26.597,27.578,28.597,29.153,29.486,30.03,30.852,31.277,31.676,32.187,33.09,33.793,34.209,34.33,35.61,36.088,36.502,37.061,37.982,38.547,39.164,40.027,41.673,42.47,43.57,44.206,46.47,47.193,48.034,48.607,50.333,51.024,51.713,52.153,52.921,53.204,53.613,54.026,54.256,56.976,57.514,57.907,58.016,58.709,58.549,58.49,59.037,58.744,58.558,58.591,58.673,59.126,59.195,59.346,59.279,59.91,60.316,60.395,60.682,61.663,61.784,62.156,61.923,63.028,63.477,64.057,65.106,65.668,65.732,66.408,67.081,68.037,68.552,69.021,68.477,68.956,69.453,70.046,70.392,70.698,71.489,71.566,71.998,72.657,72.851,73.165,73.972,75.388,75.1,75.398,75.84,76.462,76.445,76.443,76.716,77.098,77.217,77.365,77.63,78.645,79.043,79.397,79.815,81.421,81.361,82.141,82.361,83.037,83.175,83.677,84.046,85.848,86.244,86.471,87.932,90.201,90.473,90.796,91.165,93.453,94.651,95.316,96.159,99.135,99.669,100.397,100.799,103.336,104.499,104.883,104.965,107.089,108.172,108.493,109.389,110.857,112.402,113.059,111.334,111.584,111.664,112.195,112.914
"20","12","    Consumption expenditures","B997RG3",9.107,9.106,8.308,8.305,8.47,8.547,8.69,8.748,8.955,8.936,8.834,8.948,8.891,8.756,8.893,8.967,9.313,9.048,9.061,9.184,8.918,9.119,9.192,9.378,9.236,9.301,9.235,9.345,9.51,9.516,9.609,9.681,9.857,10.16,10.306,10.424,10.53,10.713,10.728,10.753,11.042,11.083,11.163,11.264,11.465,11.585,11.715,11.76,11.575,11.493,11.373,11.408,11.417,11.463,11.619,11.811,11.73,11.77,11.732,11.78,11.916,11.965,12.029,12.105,12.269,12.257,12.19,12.575,12.66,12.659,12.882,12.884,12.966,13.019,13.23,13.557,13.538,13.495,13.891,13.859,13.833,14.012,14.173,14.516,14.607,14.791,15.091,15.28,15.291,15.513,16.035,16.217,16.676,16.812,17.117,17.311,17.997,18.345,18.648,19.15,20.013,20.197,20.324,20.895,21.255,21.641,22.174,22.644,23.057,23.527,24.431,25.436,25.938,26.219,26.721,27.484,27.828,28.169,28.604,29.477,30.051,30.404,30.562,31.767,32.105,32.46,32.957,33.896,34.419,34.956,35.762,37.432,38.218,39.184,39.809,42.036,42.641,43.395,43.852,45.57,46.16,46.714,47.089,47.912,48.157,48.573,48.903,49.142,52.089,52.637,53.052,53.069,53.986,54.016,53.939,54.751,54.67,54.5,54.665,54.989,55.506,55.764,56.047,56.04,56.69,57.151,57.239,57.455,58.523,58.607,58.928,58.793,59.921,60.374,60.906,62.014,62.594,62.649,63.377,64.12,65.237,65.757,66.287,65.538,65.976,66.481,67.059,67.377,67.698,68.325,68.421,68.812,69.538,69.63,69.964,70.692,71.936,72.184,72.562,73.066,73.776,73.753,73.812,74.13,74.615,74.715,74.915,75.148,76.149,76.579,76.993,77.423,79.209,79.2,80.05,80.299,81.157,81.3,81.913,82.495,84.529,84.973,85.209,86.819,89.384,89.679,90.052,90.477,92.997,94.222,94.918,95.758,99.024,99.645,100.482,100.849,103.685,104.904,105.213,105.314,107.716,108.925,109.208,110.195,111.809,113.491,114.144,112.12,112.502,112.653,113.288,114.08
"21","13","    Gross investment","B788RG3",18.815,18.643,19.182,19.559,19.585,19.865,20.671,20.713,21.174,20.611,20.451,20.509,20.752,20.776,20.945,22.221,22.701,23.011,23.14,23.516,23.383,23.335,23.52,23.615,23.112,22.998,22.864,22.716,22.828,22.86,23.296,23.684,23.344,23.626,23.976,24.487,25.399,25.784,26.186,26.381,27.029,27.143,27.504,27.741,27.44,27.495,27.857,28.089,28.086,28.103,28.191,28.235,28.026,28.032,28.254,28.259,28.269,28.425,28.415,28.774,28.493,28.584,28.971,29.327,29.021,29.203,29.035,29.077,28.982,29.071,29.093,29.121,28.919,29.244,29.153,29.283,29.117,29.632,29.594,29.835,29.644,29.923,30.179,30.476,30.417,30.662,30.858,31.431,31.676,32.613,32.611,33.124,33.958,34.627,35.131,35.724,36.291,37.093,37.334,37.622,49.017,48.571,49.438,50.574,50.248,51.206,52.032,51.511,52.347,52.438,53.817,54.21,55.14,56.031,56.725,57.904,59.2,60.171,61.439,62.26,64.262,65.255,64.825,66.292,68.403,69.353,70.414,70.645,71.474,72.811,74.022,74.827,75.426,77.602,78.087,79.873,81.728,83.298,84.967,86.251,87.801,89.737,90.735,90.759,91.393,91.655,92.784,92.886,93.276,93.658,93.789,94.669,93.527,91.949,92.052,90.74,88.927,88.652,87.814,86.347,86.363,85.162,84.478,84.005,84.526,84.545,84.568,85.362,85.761,86.152,86.89,85.962,86.953,87.398,88.339,89.043,89.48,89.602,89.936,90.127,89.953,90.458,90.532,91.435,92.233,92.672,93.383,93.942,94.113,96.213,96.142,96.897,97.031,98.026,98.174,99.583,102.312,97.852,97.493,97.383,97.184,97.235,96.701,96.586,96.071,96.344,96.049,96.552,97.665,97.785,97.665,97.981,98.101,97.617,97.81,97.801,96.992,97.101,96.747,95.473,95.446,95.472,95.649,96.012,96.069,96.151,96.103,96.069,96.657,97.66,98.115,98.98,99.896,99.83,99.809,100.464,100.987,101.789,102.663,102.618,102.942,103.229,103.792,104.131,104.723,105.485,106.17,106.14,105.65,105.338,105.3,105.609
"22","14","      Structures","B808RG3",5.625,6.866,7.39,7.337,7.004,7.174,7.233,7.14,7.35,7.33,7.128,7.025,6.907,6.674,6.804,7.146,7.768,7.975,8.233,8.324,8.214,8.287,8.383,8.376,8.348,8.32,8.27,8.191,8.067,8.098,7.966,8.066,8.024,8.047,8.225,8.244,8.396,8.707,8.922,9.021,9.051,9.22,9.284,9.238,9.214,9.382,9.514,9.615,9.552,9.493,9.426,9.392,9.333,9.295,9.57,9.544,9.186,9.383,9.179,9.679,9.439,9.337,9.81,9.609,9.555,9.647,9.709,9.549,9.709,9.75,9.78,9.796,9.676,10.037,9.732,9.718,10.017,10.392,10.438,10.375,10.387,10.422,10.658,11.068,11.213,11.119,11.329,11.671,12.28,12.779,12.69,12.866,13.143,13.537,13.697,14.194,14.59,14.922,14.992,15.443,15.419,15.647,16.564,17.457,18.521,19.34,19.931,20.366,20.747,21.271,22.436,23.61,24.218,23.95,24.006,24.351,24.295,24.474,25.462,26.695,27.341,28.151,27.561,27.68,27.765,28.732,29.496,29.377,31.891,33.505,35.299,35.787,35.581,36.026,37.382,38.561,38.665,38.968,39.154,39.582,40.107,40.987,41.149,41.127,40.793,40.741,41.893,42.299,44.293,43.937,43.857,45.018,45.448,45.823,45.766,45.627,45.615,45.399,45.43,46.646,47.186,47.612,48.934,48.309,48.158,48.815,50.149,52.424,52.335,53.026,54.074,55.086,54.886,55.003,55.448,55.735,55.998,56.367,58.123,57.294,57.224,57.608,58.072,59.559,60.667,61.386,61.852,62.395,62.683,63.13,64.176,65.056,65.66,66.285,66.843,67.31,67.559,67.978,68.753,68.923,69.452,70.076,70.723,71.509,71.56,71.897,72.775,73.381,73.889,75.016,75.757,76.573,77.086,78.291,79.146,79.802,80.7,81.267,82.113,82.933,83.016,83.653,84.116,84.721,86.033,86.191,86.503,87.108,88.087,89.954,92.873,95.232,96.619,98.506,101.445,103.43,105.03,107.476,108.949,111.089,112.859,114.017,115.064,116.06,116.818,117.228,117.337,116.775,119.518,117.683,116.32,116.467
