"","Table 5#7#6B# Change in Real Private Inventories by Industry, Ch","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"1","[Billions of chained (2009) dollars]                                            ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2013     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/7/2013 4:07:34 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"8","1","    Change in private inventories","A014RX1",84.8,79,75.5,66.2,-46.2,22.5,22.6,71.4,64.3,71.6,35.5,-33.7,-147.6,58.2,33.6,57.6
"9","2","Farm","B018RX1",4.1,1.9,-4.2,-2,0.1,-3.5,0.1,9,0.3,-4.2,-0.9,1.1,-1.6,-7,-4.5,-7.2
"10","3","Mining, utilities, and construction","N541RX1",2.6,9.2,-2,-3,11.4,-4.1,7.7,1.3,3.2,16.1,-3.1,-6.7,-2.6,1.4,-3.6,7
"11","4","Manufacturing","N150RX1",26.4,19.8,18,8.8,-29.3,-1.1,-8.9,6.5,22.8,19,17.5,-17.9,-26.3,22.1,21,9.8
"12","5","  Durable goods industries","N624RX1",16.2,18.9,7.6,7.4,-22.9,-3.9,-5.7,4.3,17.8,12.7,12.6,-5.2,-24.1,16.8,20,13
"13","6","  Nondurable goods industries","N625RX1",9.9,-0.9,11,1,-5.3,3.4,-3.1,2.2,4.8,6.3,4.9,-12.5,-2.2,5.5,1.8,-2.3
"14","7","Wholesale trade","N658RX1",30,26.5,23.6,23.1,-15.2,0.4,1.9,24.2,30.9,23.8,15.9,18.3,-61.9,24.8,20,19.1
"15","8","  Durable goods industries","N661RX1",18.1,18.6,15.8,15.2,-19.2,-1.7,2.9,21.3,22.3,18.8,3.3,8.5,-49.6,10.4,28.2,20.9
"16","9","  Nondurable goods industries","N664RX1",11.5,6.6,7.1,7.4,6.1,2.5,-1.2,2.1,8.2,4.8,12.5,9.7,-12.3,14.2,-6,-0.1
"17","10","Retail trade","N153RX1",15.8,16.2,27.5,21.8,-11.3,27.7,19.1,25.2,5.2,9.8,6.6,-30.1,-49.7,18.4,-1.5,26.7
"18","11","  Motor vehicle and parts dealers","N631RX1",5.1,1.8,12.3,11.7,-9.2,17.2,12.9,7.6,-2.9,-0.7,2.9,-12.2,-32.9,11.7,-1.8,20.7
"19","12","  Food and beverage stores","N542RX1",0.5,1.3,2,-0.7,0.5,1.1,-1.5,0.4,-0.3,1,1.2,-0.4,-0.3,0.3,0,0.3
"20","13","  General merchandise stores","N543RX1",0.2,0.4,3.1,1.2,0.2,2.3,1.4,4.9,3.1,1.1,-0.2,-4.1,-2.9,2.2,1,0.9
