"","Table 1#9#4# Price Indexes for Net Value Added by Sector        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Index numbers, 2009=100]                                                       ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/7/2013 2:39:26 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","    Net domestic product","A362RG3",9.774,9.4,8.435,7.461,7.248,7.58,7.752,7.837,8.091,7.913,7.81,7.871,8.378,9.055,9.493,9.722,9.998,11.29,12.504,13.181,13.141,13.254,14.116,14.423,14.611,14.772,14.979,15.444,15.968,16.365,16.579,16.827,17.035,17.259,17.468,17.756,18.094,18.618,19.167,19.994,20.986
"9","2","Business \1\","A363RG3",13.2,12.664,11.203,9.785,9.613,10.17,10.433,10.51,10.862,10.543,10.393,10.505,11.287,12.208,12.924,13.071,13.135,14.029,15.695,16.638,16.461,16.562,17.749,18.051,18.193,18.305,18.471,19.031,19.651,20.019,20.207,20.437,20.61,20.819,20.962,21.207,21.538,22.081,22.665,23.558,24.646
"10","3","  Nonfarm \2\","A364RG3",12.748,12.441,11.363,10.148,9.855,10.191,10.227,10.243,10.544,10.474,10.462,10.43,11.044,11.676,12.181,12.327,12.343,13.045,14.487,15.454,15.579,15.672,16.597,17.043,17.388,17.575,17.826,18.413,19.016,19.302,19.591,19.831,20.006,20.197,20.367,20.64,20.914,21.397,22.071,22.928,23.964
