"","Table 4#2#2# Contributions to Percent Change in Real Exports and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"1","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2013     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/7/2013 4:04:03 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"8",NA,"Percent change at annual rate:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","    Exports of goods and services","A020RL1",4.8,10.8,1.7,7.5,18.9,7.9,-0.6,4.4,2.4,10.5,9.9,10.8,1.2,-7.6,-2.6,8.2,3.3,7.7,10.9,16.2,11.6,8.8,6.6,6.9,3.3,8.8,10.3,8.2,11.9,2.3,4.6,8.4,-5.7,-1.9,1.6,9.4,6,8.9,8.9,5.7,-9.1,11.5,7.1,3.5
"10",NA,"Percentage points at annual rates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2","Exports of goods \1\","A253RZ2",3.85,8.43,-0.29,7.69,17.02,6.24,-1.86,3.74,1.03,8.66,9.24,9.51,-0.87,-7.02,-2.17,5.92,2.73,3.74,7.82,13.43,8.72,6.12,4.93,5.3,2.3,6.83,8.29,6.3,10.2,1.6,4.2,7.28,-4.48,-2.51,1.33,6,5.15,6.65,5.34,4.3,-8.43,9.66,4.97,2.64
"12","3","  Foods, feeds, and beverages","B638RZ2",-0.21,1.87,-0.26,1.74,3.72,-1.74,0.8,1.75,-0.01,2.9,0.83,1.65,0.27,-0.72,-0.51,-0.32,-1.37,0.25,0.51,0.74,0.31,0.22,0.12,0.8,-0.03,0.07,0.63,-0.11,0.04,-0.05,0.14,0.23,0.12,-0.1,0.09,-0.33,0.25,0.36,0.42,0.37,-0.26,0.61,-0.02,-0.06
"13","4","  Industrial supplies and materials","A639RZ2",1.04,2.71,-2.19,1.3,4.57,0.66,-2.98,1.66,0.18,2.18,3.1,3.15,-1.6,-0.64,-1.04,1.06,0.12,0.86,0.48,2.42,2.12,1.12,1.23,0.33,-0.44,0.84,1.33,0.86,1.43,-0.17,0.47,1.34,-0.63,0.07,0.45,1.15,0.45,1.38,1.03,2.14,-1.35,3.03,1.43,0.4
"14","5","    Durable goods","B686RZ2",0.91,1.25,-2.29,0.42,2.4,-0.37,-1.35,0.42,-0.24,1.34,1.26,1.53,-1.66,-0.85,-0.06,0.08,-0.05,0.18,0.51,1.3,0.84,0.51,0.31,-0.15,-0.23,0.35,0.75,0.36,0.54,0.1,0.19,0.79,-0.51,-0.36,0.14,0.48,0.45,0.63,0.39,0.71,-0.9,1.07,0.24,0
