"","Table 1#15# Price, Costs, and Profit Per Unit of Real Gross Valu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2013     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/7/2013 2:39:54 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","Price per unit of real gross value added of nonfinancial corporate business \1\","A455RD3",0.142,0.136,0.118,0.101,0.1,0.111,0.113,0.114,0.119,0.113,0.112,0.114,0.124,0.137,0.147,0.149,0.151,0.162,0.184,0.196,0.192,0.193,0.21,0.212,0.211,0.21,0.212,0.219,0.226,0.23,0.232,0.233,0.234,0.235,0.236,0.238,0.242,0.247,0.253,0.262,0.273
"9","2","Compensation of employees (unit labor cost)","A460RD3",0.09,0.086,0.078,0.068,0.067,0.069,0.07,0.07,0.075,0.072,0.071,0.069,0.074,0.083,0.091,0.094,0.096,0.108,0.119,0.122,0.12,0.118,0.13,0.134,0.136,0.135,0.132,0.139,0.145,0.147,0.146,0.149,0.149,0.148,0.147,0.148,0.148,0.153,0.159,0.165,0.176
"10","3","Unit nonlabor cost","A467RD3",0.027,0.03,0.031,0.036,0.037,0.035,0.032,0.03,0.029,0.03,0.029,0.026,0.024,0.023,0.021,0.022,0.026,0.029,0.033,0.035,0.037,0.036,0.037,0.039,0.039,0.04,0.039,0.042,0.045,0.049,0.048,0.049,0.049,0.048,0.048,0.048,0.049,0.048,0.052,0.055,0.059
