"","Table 3#2# Federal Government Current Receipts and Expenditures ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2013     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/7/2013 4:00:10 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"8","1","    Current receipts","W005RC1",191.8,185.1,190.7,219,249.2,278.5,276.8,322.2,363.5,423.6,486.8,533,620.4,618,644.2,710.7,775.3,817.3,899,961.4,1040.8,1085.7,1105.6,1152.1,1228.8,1326.7,1412.9,1531.2,1661.6,1783.8,1900.7,2063.2,2026.8,1865.8,1889.9,2022.2,2298.1,2531.7,2660.8,2505.7,2230.1,2391.7,2516.7,2663
"9","2","Current tax receipts","W006RC1",146,137.9,138.6,158.2,173,192.1,186.8,217.9,247.2,286.6,325.9,355.5,407.7,386.3,393.2,425.2,460.2,479.2,543.6,566.2,621.2,642.2,635.6,659.9,713,781.4,844.6,931.9,1030.1,1115.8,1195.4,1309.6,1249.4,1073.3,1071,1154,1384.5,1558.5,1637.1,1448.1,1163.7,1305,1496.1,1636
"10","3","  Personal current taxes \1\","A074RC1",91.7,88.9,85.8,102.8,109.6,126.5,120.7,141.2,162.2,188.9,224.6,250,290.6,295,286.2,301.4,336,350,392.5,402.8,451.5,470.1,461.3,475.2,505.5,542.5,585.8,663.3,744.2,825.2,893,995.6,991.8,828.5,774.1,798.5,932.1,1049.6,1164.4,1101.7,857.2,893.8,1077,1149.2
"11","4","  Taxes on production and imports \2\","W007RC1",17.8,18.1,19,18.5,19.8,20.1,22.1,21.4,22.7,25.3,25.7,33.7,49.9,41,44.4,47.3,46.1,43.7,45.9,49.8,49.7,50.9,61.8,63.3,66.4,79,75.6,72.9,77.8,80.7,83.4,87.3,85.3,86.8,90.2,95.2,99.4,99.2,94.6,94,91.4,96.8,108.6,118
"12","5","    Excise taxes","B234RC1",15.4,15.6,15.9,15.5,16.5,16.4,16.2,16.8,17.3,18.2,18.2,26.5,41.3,32.3,35.3,35.4,33.9,30,30.4,33.4,32.3,33.4,44.9,45,46.5,57.5,55.7,53.6,58.2,61.1,64.3,66.1,64.6,66.9,68.7,72,74.1,72.6,65.8,64.7,68.3,68.2,76.7,84.5
"13","6","    Customs duties","B235RC1",2.4,2.5,3.1,3,3.3,3.7,5.9,4.6,5.4,7.1,7.5,7.2,8.6,8.6,9.1,11.9,12.2,13.7,15.5,16.4,17.5,17.5,16.8,18.3,19.8,21.4,19.8,19.2,19.6,19.6,19.2,21.1,20.6,19.9,21.4,23.3,25.3,26.7,28.8,29.2,23.1,28.6,31.9,33.5
"14","7","  Taxes on corporate income","B075RC1",36.1,30.6,33.5,36.6,43.3,45.1,43.6,54.6,61.6,71.4,74.4,70.3,65.7,49,61.3,75.2,76.3,83.8,103.2,111.1,117.2,118.1,109.9,118.8,138.5,156.7,179.3,190.6,203,204.2,213,219.4,164.7,150.5,197.8,250.3,341,395,362.8,233.7,200.4,298.7,294.2,351
"15","8","    Federal Reserve banks","B677RC1",3,3.5,3.4,3.2,4.3,5.6,5.4,5.9,5.9,7,9.3,11.7,14,15.2,14.2,16.1,17.8,17.8,17.7,17.4,21.6,23.6,20.8,16.8,16,20.5,23.4,20.1,20.7,26.6,25.4,25.3,27.1,24.5,22,18.1,21.5,29.1,34.6,31.7,47.4,79.3,75.4,88.4
"16","9","    Other","A678RC1",33,27.1,30.1,33.4,38.9,39.6,38.2,48.7,55.7,64.4,65.1,58.6,51.7,33.8,47.1,59.2,58.5,66,85.4,93.8,95.6,94.5,89.2,102,122.5,136.3,155.9,170.5,182.3,177.7,187.6,194.1,137.6,126,175.8,232.2,319.5,366,328.2,202,153,219.4,218.8,262.6
"17","10","  Taxes from the rest of the world","W008RC1",0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.7,0.7,1,1.1,1.6,1.5,1.4,1.2,1.3,1.9,1.7,2,2.4,2.7,3,2.6,2.6,2.7,3.1,3.9,5.2,5.1,5.7,5.9,7.3,7.7,7.6,9,10,12.1,14.6,15.3,18.8,14.8,15.7,16.3,17.8
"18","11","Contributions for government social insurance","W780RC1",43.3,45.5,50.3,58.3,74.5,84.1,88.1,99.8,111.1,128.7,149.8,163.6,193,206,223.1,254.1,277.9,298.9,317.4,354.8,378,402,420.6,444,465.5,496.2,521.9,545.4,579.4,617.4,654.8,698.6,723.3,739.4,763.2,808.9,853.4,905.7,947.2,974.4,950.8,970.9,904.3,937.8
"19","12","Income receipts on assets","W009RC1",2.8,3.2,3.6,3.8,4,4.5,5.3,6.2,7.1,8.9,11.2,14.4,19.2,23.4,24.7,27.7,30.1,32.1,28.2,30.2,28.9,30.4,30,25.7,26.6,23.6,23.8,26.6,25.5,21.5,21.1,25.6,26.4,21.8,23.5,25.3,27.3,29,33.4,33.9,48.5,54.6,57.4,52.9
"20","13","  Interest receipts \3\","B094RC1",2.5,2.8,3.1,3.3,3.4,3.6,4.3,5.2,5.8,7.4,9.2,11.3,14.8,18.3,20.4,22.8,25.6,28.8,25.1,27.4,25.9,26.9,26.2,22.2,22.8,20,20.8,22.5,21,17.3,17.1,19.3,18,15.3,16.5,16.6,17.3,18.8,22.1,19.5,22.8,29.5,28.5,22.2
"21","14","  Dividends","W053RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.2,0.3,0.2,0.6,18.7,17,18.8,21.1
"22","15","  Rents and royalties \4\","B1040C1",0.3,0.4,0.5,0.5,0.7,0.9,1,1.1,1.3,1.5,2.1,3,4.4,5.1,4.3,4.9,4.6,3.3,3.1,2.8,3,3.5,3.8,3.5,3.8,3.6,3,4.1,4.5,4.2,4,6.3,8.4,6.5,7,8.7,9.7,9.9,11.1,13.8,7,8,10.1,9.6
"23","16","Current transfer receipts","W011RC1",1,1,0.9,1.1,1,1.1,1.1,1.2,1.6,2.2,2.5,3.1,3.1,4.4,5.2,6.3,8.6,7.6,10.2,9.6,11.8,13.3,17.2,18.4,20.2,21.6,17.5,22.7,20.1,21.5,22.3,24.1,24.9,24.4,25.5,29,32,36.8,41,48.6,66.2,64.4,66.1,49.7
