"","Table 1#4#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"12","4","Equals: Gross domestic purchases","A712RX1",1889.2,1890,1888.2,1939.7,1983.2,2031,2043.6,2048.5,2005.1,1998.2,2027.5,2024.1,2108.9,2176,2276.2,2313.1,2340,2366.9,2404.2,2408.3,2438.4,2457,2489.8,2580,2626.9,2652.2,2632.8,2590.9,2577.5,2575.2,2601.5,2648.4,2726.2,2779.4,2811.4,2831.9,2820.2,2834.4,2828.7,2863.4,2881.8,2880.9,2911,2885.7,2825.9,2849,2912.7,2987.5,3038.1,3113.9,3104.9,3117.4,3175,3154.2,3162.2,3114.1,3136,3198.7,3261.8,3326.7,3391.7,3416,3460.5,3479.3,3511,3541.2,3624.5,3641.4,3709.6,3754.4,3811.6,3823.7,3935,3973.5,4068.1,4158.6,4270.6,4283.6,4333.5,4365.9,4405.1,4409.4,4455.7,4496.2,4593.7,4670.3,4703.7,4725.8,4806.2,4815.8
"13","5","Less: Change in private inventories","A014RX1",5.5,-3.8,-14.9,-2.5,12.4,23.7,27.7,21.4,-2.2,-19.3,-4.2,-19.3,8.1,11.8,15.5,49.6,30.8,44.8,29.5,12.7,15.9,-3.9,17.6,17.7,14.3,14,8.5,-7.3,-6.5,-10.4,-8.3,-3.1,12.4,18.3,16.7,23,19.4,13.5,10.4,9.2,5,7.2,10.5,-9.8,-12.3,-10.7,5.4,14.2,11.5,29.2,3.5,17.1,42.8,12.2,17.3,-20.1,-9.2,7.9,26.2,21.8,34.4,21.6,25.4,15.1,29.6,19.5,23.2,16.9,18.1,17.3,20.8,19.9,45.5,32.8,36.9,29.7,52,50,44.5,61.2,57.3,25.2,33.9,33,30.1,52.8,28.8,23.9,40.1,33.5
"14","6","Equals: Final sales to domestic purchasers","A713RX1",1904.2,1920.7,1936.5,1959.6,1980.7,2006.4,2011.5,2030.6,2023.6,2050.4,2056.4,2079.6,2116.5,2176.4,2270.1,2243.7,2306.8,2306.3,2372.1,2406.9,2432.7,2487.6,2480.7,2571,2624.9,2651,2641,2625.1,2608.7,2613.6,2636.8,2675.7,2728.9,2773.2,2808.3,2819.4,2814.2,2837.2,2836,2873.4,2899.2,2894.7,2918.9,2923,2866.5,2887.3,2927.1,2990.9,3042.7,3094.9,3126,3116.6,3139.2,3162,3160.6,3167.1,3173.4,3212.1,3249,3321.2,3367.5,3411.1,3450.7,3484.6,3494.6,3539.5,3619.2,3645.7,3711.9,3758.2,3811.1,3822.6,3901.2,3956.3,4044.9,4146.8,4227,4244.7,4301.4,4311,4356.4,4404.4,4438.2,4483.7,4582.7,4628.4,4695.2,4726.5,4782.1,4800.8
"15",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","7","  Final sales of domestic product","A190RX1",1947.9,1960.9,1976,1978.4,1985.2,1995.9,1999.9,2015.8,2023.8,2049.9,2049,2056.8,2089.7,2145.7,2221.8,2202.7,2269.4,2282.5,2358.9,2394.3,2415.4,2456,2434.4,2514.5,2568.4,2589.3,2584,2570.4,2555.8,2565.4,2591.2,2633.2,2683.5,2718.3,2758,2765.4,2761,2792.5,2794.7,2843,2868.5,2858.6,2880.6,2879.8,2809.3,2825.3,2866.3,2922.3,2977.8,3027,3060.3,3050.8,3084.8,3115.6,3114.2,3129.9,3135.6,3169.7,3196.6,3268.8,3309.5,3364.3,3391.6,3419.5,3436.3,3495.8,3560.4,3595.4,3671.2,3716.3,3762.4,3775.1,3836.3,3905.4,3979.2,4084.7,4154.7,4176.6,4213.2,4227.3,4272.7,4319.1,4344.1,4384.1,4474.7,4520.5,4585.8,4615.1,4662.6,4686.6
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Note. Chained (2009) dollar series are calculated as the product of the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","quantity index and the 2009 current-dollar value of the corresponding series, divided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","by 100. Because the formula for the chain-type quantity indexes uses weights of more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","than one period, the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
