"","Table 5#3#1# Percent Change From Preceding Period in Real Privat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25"
"1","[Percent]                                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1948 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2013     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/7/2013 2:45:36 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","    Private fixed investment","A007RL1",9.4,-8.3,18.8,-4.1,-0.6,7.8,1.9,12.6,1.4,-0.7,-6.2,13.5,1.2,0.7,8.6,7.7,9.1,10.4,6.2,-0.9,7,5.9
"9","2","Nonresidential","A008RL1",4.6,-8.8,9.1,4.2,-0.1,10,-1.4,10.7,6.8,1.8,-9.3,8.1,5.5,0.8,8.1,5.8,10.7,16.7,12.3,-0.3,4.8,7
"10","3","  Structures","B009RL1",5.2,-3.3,7.2,7.7,-0.4,8.9,3.4,7.2,10.5,-0.1,-5.5,2.4,7.9,1.4,4.6,1.2,10.4,15.9,6.8,-2.5,1.4,5.4
"11","4","    Commercial and health care","W001RL1",28.2,-6.8,28,-3.8,-22.1,37,24.2,30.4,13.2,-5.2,5.3,8.5,6.4,14.1,11.4,-3.2,8.7,17.2,-2.4,-3.8,9.4,15.4
"12","5","    Manufacturing","C307RL1",-26.3,-28.5,9.9,75.8,6.8,-4.4,-6.4,9.5,31.4,6.1,-31.1,-10.8,35.5,-2.2,1,0.4,20.2,38.3,24.3,-12,-3.7,5.1
"13","6","    Power and communication","W003RL1",19.7,5.2,-0.5,0.3,0.9,10,-8.6,-4.8,16.8,3.8,-3.8,-4.1,0.9,-6.3,0.6,6.7,8.8,10.6,14,9.4,11.1,0
"14","7","    Mining exploration, shafts, and wells \1\","E318RL1",22.8,1.2,18.7,5.1,11.3,9.3,10.6,7.6,-3.2,-5.6,-6.5,2.7,-6.1,1.8,4.9,-6.1,7.1,-1.2,-5.2,-4.4,0.6,4.2
"15","8","    Other structures \2\","W004RL1",0,1.2,-1.3,-2.2,0.5,3.7,5.3,0.2,-1,0,4.6,10.4,11,-2.3,2.1,5.8,9.7,12.4,3.8,-2.1,-11.7,-0.8
"16","9","  Equipment","Y033RL1",5.2,-12.4,10.4,2.9,-2.9,9.1,-5.6,13.7,2.6,2.6,-14.6,11.9,3.8,-2.1,11.4,7.8,12.6,18.2,15.5,-1,6.1,8.3
"17","10","    Information processing equipment","Y034RL1",2.4,-10.5,10.5,10.7,15,10.2,-10.1,15,15.5,13.4,-10.6,9.1,19.8,9.1,10.3,15.1,13.9,18.1,29.8,6.2,5.7,20.1
"18","11","      Computers and peripheral equipment","B935RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.3,0,50
"19","12","      Other \3\","A937RL1",2.7,-10.6,10.7,10.2,15.1,10.1,-10,14.9,15.8,13.2,-10.7,8.8,15,6.1,6.7,3.7,9.3,13.1,17.8,0.5,2.6,15.9
"20","13","    Industrial equipment","A680RL1",-7.5,-22.9,15.5,12.3,3.9,10.1,3.1,-0.8,10.4,1.3,-16.7,1.5,7.8,-5.3,5.1,8,13,17.9,15,0.4,-2,6.6
"21","14","    Transportation equipment","A681RL1",4.1,-0.6,10.7,-3.9,-17.4,19,-12.4,27.3,-10.2,6.9,-27.1,32.5,3,-5.5,23.3,-3.2,13.1,25.3,10,-3.3,20.2,4
"22","15","    Other equipment \4\","A862RL1",22,-16.1,5.7,0.5,1.1,-2.3,-5.8,17.3,3.2,-5.4,1.4,7.4,-8.2,-1,6.7,16.3,10.8,11.1,12.4,-5.5,1.2,6.8
"23","16","  Intellectual property products","Y001RL1",-2.3,-3.3,8.3,-1.7,24.8,20.8,5.4,7.9,16.5,3.6,4.6,8.8,6.1,11,4.7,9.9,4.5,12.7,13.2,7.8,7.5,5.4
"24","17","      Software \5\","B985RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.4,37.8,103.2,24.6,28,54.2,17.4,12.4,34.7
"25","18","      Research and Development \6\","Y006RL1",1.6,-13.4,17.7,6.1,36,25.9,6.1,3.3,27.6,1.9,5.8,7.9,10.2,6.1,8.3,7.4,7.8,12,11.5,10.5,8.2,6.5
