"","Table 4#1# Foreign Transactions in the National Income and Produ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181"
"11","3","  Goods \1\","A253RC1",31.6,39.9,39.5,42,43,45,44.8,45.4,45.9,45.7,48.4,42.2,49.7,48.9,51.8,56.8,64.4,70.9,75.6,84.8,93.1,100.6,101.2,109,112,105.9,107.1,113.4,113.5,116.3,119,122.3,121.3,126.2,126.1,121,125,146.1,149.3,161.2,167,175.7,188,205.4,217.8,224.2,226.9,234.2,242.2,242,234.2,238,224.9,226,211.6,197.6,200.7,202.8,207.4,218.3,218.3,224.6,228.4,231.2,225.7,223.5,217.4,222.4,220.5,223,224.5,235.9,234.3,248.7,264.2,283,304.6,321.4,331.6,345.5,354.8,374.8,372.4,375.5,390.7,394.6,398.2,403.1,414.5,421.3,425.9,432.6,440.9,441.6,452.7,456.6,452.2,458.5,454.4,474.7,477.6,496.4,524,542.2,562.2,575.6,595.6,599.7,608.2,611.9,615.4,637.8,658.3,687,704.7,700.8,694.5,672.8,666.8,689.4,687.8,697,716.8,744.2,762,791.2,822.7,812.6,799.3,763.9,717.7,694,690,717.7,729.2,713.4,722.3,724.1,739,777.7,801.9,827.6,838.9,862.9,888.9,923.7,927.8,960.7,1008.6,1039.1,1055.5,1089.2,1110.4,1141.1,1181.8,1228,1279.1,1363.8,1374.7,1172.9,1012.1,1010.6,1073.6,1162.5,1205.4,1255.6,1286.3,1366.4,1423.1,1469.3,1497,1505,1520.7,1539.5,1545.6,1538.3,1531.6,1535.6
"12","4","    Durable","A332RC1",20.5,24,24.5,25.8,26.3,28,27.2,27,27.7,27.8,28.2,26.5,30,29.7,31.2,33.2,36.9,40.3,42.4,45.8,50.8,55.8,57.2,62.1,62,63.8,63.5,65.9,66.4,68.2,69.7,71.8,70.4,72.8,73.1,71.9,74.3,84.2,85.9,96.6,101.2,104.2,107.7,118.9,131,133.6,130.8,137.9,138.7,145.7,138,138,129.3,130.4,124.7,114.3,116.3,119,118.7,127.5,127.8,130.9,133.4,137.4,136.6,139.9,135.4,137,137.4,143.1,141.2,148.8,148.5,156.7,165.2,181.4,195.3,206.8,209.6,223.4,229.6,240,243.6,246,259.3,261.1,264.4,263.1,269.3,282,287.8,289.9,296.6,293.8,303.1,308.6,306.9,311.7,310.9,326.4,331,342.1,359,366.3,379.7,387.6,401.2,407.6,411.3,416.1,420.2,437,457.1,481.6,497.7,492.8,494.2,478,477.2,496.8,492.8,496.9,512.6,532.5,547,571.2,591.3,584.1,573.2,540.9,503.1,484,479.4,498.5,504.4,488.8,486.1,491.1,499.7,530.3,545.6,562.4,573,581.9,600.8,622.6,632.8,663.1,691.6,708.5,715.7,744.4,755.2,772.4,792.8,812.3,825.8,865,866.3,760.6,651.4,631,672.2,733.1,754.1,796.5,810.6,843.8,865.7,892.3,912.6,919.1,946.8,949.1,945.8,942.6,942,961
"13","5","    Nondurable","A339RC1",11.2,16,15,16.2,16.8,17,17.5,18.4,18.1,17.9,20.2,15.7,19.7,19.1,20.6,23.5,27.5,30.6,33.2,39,42.3,44.8,44.1,46.9,50,42.2,43.7,47.5,47.1,48,49.2,50.5,50.9,53.4,53,49.1,50.7,61.9,63.3,64.6,65.8,71.5,80.3,86.5,86.8,90.6,96.1,96.3,103.5,96.3,96.1,100,95.5,95.6,86.9,83.3,84.4,83.8,88.6,90.8,90.5,93.7,94.9,93.8,89.1,83.6,82,85.4,83.2,80,83.3,87.1,85.8,91.9,99,101.7,109.3,114.7,122,122.1,125.2,134.8,128.8,129.5,131.4,133.5,133.8,140,145.2,139.3,138.1,142.6,144.4,147.7,149.6,148,145.3,146.8,143.5,148.3,146.6,154.3,165,175.9,182.5,188,194.4,192.1,196.9,195.9,195.3,200.7,201.1,205.4,206.9,208,200.3,194.8,189.5,192.6,195,200.1,204.2,211.6,215,220,231.4,228.5,226.1,223,214.6,210,210.6,219.2,224.8,224.5,236.2,233,239.3,247.4,256.3,265.2,265.9,280.9,288.1,301.1,295.1,297.7,317,330.7,339.8,344.8,355.2,368.7,388.9,415.7,453.3,498.8,508.4,412.3,360.7,379.6,401.5,429.4,451.4,459.1,475.8,522.6,557.5,576.9,584.3,585.9,573.8,590.3,599.8,595.7,589.7,574.6
"14","6","  Services \1\","A646RC1",12.3,14,13.9,14.5,13.9,15.6,15.5,15.7,17.2,17.4,16.9,18.1,18.9,18.3,19.6,19.3,19.6,21,22,22.8,23.7,26.1,25.4,27.6,29.3,30.9,27,29.1,30.1,30.4,32.8,33.8,34,35.7,36.2,36.8,39.6,40.1,42,44.2,44.7,45.2,46.2,48.3,50.7,53.2,57.8,58.3,63.3,66.4,68.2,66.7,68.3,68.8,68,67.7,70,69.7,70.8,68.3,74.7,77.6,77.4,77.4,80.3,80.6,79.9,83,92.9,92.1,96,99.1,102.1,106.7,107.7,109,114.1,118,121.9,121.1,130.4,132.4,137,139.9,147.5,151.3,157,165.1,158.7,169.4,174.6,182.6,184.3,184.6,186.6,184.8,191.4,194.6,196.5,196.9,203.6,210.5,212.8,216.4,219.3,223.2,235.8,239.7,239.7,247.1,244.1,266,260.1,267.4,269.4,267.5,268.5,274.4,268.5,276.9,271.4,273.9,280.4,285.2,290.9,299,298.2,300.7,298.7,293.5,280.8,267.4,283.7,289.3,293.6,301.9,293,289.7,305.1,322.5,339.2,346,349.5,366.5,377.5,379.2,386.1,397.5,411.8,427.7,427.4,454.7,468.5,483.3,511.3,538.6,537,555.1,555.3,534.6,507.2,511,517.5,540.8,540.9,551.4,574,594,606.3,626.2,646.4,631.2,652.7,657.9,653.6,675.5,682.6,691.6
"15","7","Income receipts","B645RC1",11.1,11.5,12.1,12.4,12.9,13.2,13,12.3,13.3,14.1,14,14.7,15.2,15.7,16.7,17.5,20.3,22.4,25.2,26.2,29.7,30.3,30.5,28.8,26.9,26.5,28.1,30.6,31.4,32.3,32.6,33.3,35.8,37,38.1,37.9,42.5,42.6,46.2,53.7,57.6,64.1,73.4,78.1,83.6,79.6,74.9,78.3,85.7,89.7,95.9,96.7,98.3,107.2,101.5,97,93.8,98.8,105.2,109.7,114.8,123.2,127.3,122.1,112.6,114.3,110,113.7,116.5,112.1,109.2,107.5,112.4,121.4,125.9,133.5,145.5,146.5,153.5,163.1,171.4,179.8,178.7,180.9,183.8,184.5,184.7,202.4,186.8,168,161.5,157.2,154.8,157.1,148.9,147.4,152,154.4,157.4,158.6,165.4,176.1,191,205.7,221.2,231.7,229.9,236.5,240.5,239.2,245.8,260.1,270.2,283,286.1,281,289.9,293.3,282.1,281.9,295.2,311,330.6,348.9,363.3,386.1,379.6,401.7,361.4,338,310.2,291.6,299.7,313.9,330.3,319.3,334.1,345.5,357.5,387.4,421.1,437.3,459.1,488.3,538.6,554.2,585.1,625.3,661.9,719.5,744.6,770.7,803,869,911.6,918.6,906,899.4,876.1,745.5,628.9,616.3,640.5,689,696.5,711.9,720.5,751.2,772.5,804.5,822.3,812,818,814.4,812,829.8,813.3,NA
"16","8","  Wage and salary receipts","B4188C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,0.9,0.9,0.9,1,1,1,1,1,1,1,1,1,1,1,1.1,1.1,1.2,1.2,1.2,1.3,1.3,1.3,1.3,1.7,1.8,1.8,1.9,1.7,1.8,1.8,1.9,1.9,1.9,2,2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.3,2.3,2.3,2.3,2.4,2.4,2.5,2.5,4.2,4.2,4.2,4.3,4.4,4.4,4.4,4.4,4.5,4.5,4.5,4.5,4.6,4.6,4.6,4.6,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.8,4.8,4.8,4.8,5,5,5,5,5.1,5.1,5.1,5.1,5.2,5.2,5.2,5.1,5.5,5.5,5.5,5.5,5.9,5.9,5.9,5.9,6.1,6.1,6.1,6.1,6.1,6.2,6.3,6.6,6.6,NA
"17","9","  Income receipts on assets","W160RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.6,111.2,108.3,106.5,111.4,120.4,124.9,132.5,144.5,145.5,152.5,162.1,170.4,178.8,177.6,179.9,182.6,183.3,183.6,201.2,185.5,166.7,160.2,155.8,153.1,155.3,147.1,145.5,150.2,152.6,155.6,156.7,163.5,174.2,189,203.6,219.1,229.5,227.7,234.3,238.4,237,243.6,257.9,267.9,280.8,283.8,278.7,287.5,290.9,279.7,279.3,291,306.7,326.3,344.7,358.9,381.7,375.2,397.3,356.8,333.5,305.7,287.1,295.2,309.4,325.7,314.7,329.4,340.8,352.8,382.7,416.4,432.6,454.4,483.5,533.8,549.4,580.3,620.5,656.9,714.5,739.6,765.7,797.9,864,906.5,913.5,900.8,894.2,870.9,740.3,623.4,610.9,635,683.5,690.6,705.9,714.6,745.3,766.4,798.3,816.2,805.9,812,808.3,805.7,823.3,806.7,NA
"18","10","    Interest","A2067C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.2,61.5,61,59,58.4,61.3,64.2,69.5,76.4,72.4,81.1,88.2,96.1,103,102,103.6,102.2,101.8,104.8,118.3,103.1,91.7,88.7,82.9,74.6,71.9,68.8,72.4,64,65.1,64.8,65.4,68.2,74.1,80.1,89.9,97.8,100.3,101.3,101.8,103.6,102.1,105.2,108.6,114.6,121.3,123.1,130.1,137.1,138.2,140,134.9,129.8,135,142.6,152.2,161,177.5,178.4,184.1,165,146.5,129,109.6,102.7,106.2,107.5,107.4,99,103.5,101.5,101.7,101.7,109.5,121.7,141.3,160.6,175.1,196.5,217.1,247,279.1,299.1,316.5,332.5,365.5,378.1,364,301.3,275.3,270.1,231.7,164.3,149.7,135.3,128.7,124.9,129.1,130.4,133.6,133.7,141.3,144.2,152.8,149.5,145.3,144.6,146.1,149.2,NA
"19","11","    Dividends","B3375C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.9,23.3,31.7,29.6,25.1,28.6,29.9,28.1,46.8,50,34,49.7,45.2,42.3,44.8,59.3,43.2,46.1,43.6,41.8,43.3,40.7,41.1,40.7,47.6,46.1,45.6,39.5,39.1,40.8,39.4,38.6,59.8,53.3,62.3,63.2,58.5,61.3,57.5,57,64,69.9,70.3,72.2,73.9,82.9,80.7,82.5,82.2,78.7,88.9,83.3,104,87.5,97.3,81.1,80.8,86.6,79.8,97.4,92.5,88.2,81.6,86.6,86.2,84.9,103.9,95.6,109.3,94.2,93.3,107.2,125.9,142,130.3,144.4,195,233.6,452.7,572.1,176.8,200.6,176,190.8,202,266.7,246.5,280.7,347.8,299.3,288.3,330.2,251.1,214.8,235.9,221.7,233.4,244.1,233.6,280.9,278.6,283.5,295.2,313.1,299.5,307.5,306.5,278.1,303.2,NA
"20","12","    Reinvested earnings on U.S. direct investment abroad","B3475C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.5,26.4,15.6,17.9,27.9,30.5,30.8,34.9,21.2,23.1,37.4,24.1,29.2,33.4,30.9,17,37.3,35.5,35.2,41.1,39.1,34.3,30.4,32.3,30.9,37.3,32.7,33.7,47.1,46.7,51.3,52.8,35.6,46.8,46.6,50.5,62.8,68,68.9,75.6,70.8,65.1,68.1,77.1,79.3,76.5,80,66.1,68.2,74,50.8,61.1,57.3,84.2,86.4,111.4,117.2,117.6,117,115.7,99.4,98.8,95.2,90.9,106.3,118.3,114.3,111.7,121.2,143.1,158,173.8,188.8,181.2,202.4,197.8,178.2,140.8,-68.9,-168.7,233.2,234.9,264.5,258.4,263.3,231.8,281.9,268.8,251.7,319.7,312.6,178.5,208,246.4,263.8,333.1,332.2,332.8,350.7,330.9,354.2,373.6,376.7,339.9,363,355.5,354.6,399.1,354.2,NA
