"","Table 1#6#8# Contributions to Percent Change in the Gross Domest","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"1","; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1947 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2013     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/7/2013 2:38:54 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1947,1947,1947,1947,1948,1948,1948,1948,1949,1949,1949,1949,1950,1950,1950,1950,1951,1951,1951,1951,1952,1952,1952,1952,1953,1953,1953,1953,1954,1954,1954,1954,1955,1955,1955,1955,1956,1956,1956,1956,1957,1957,1957,1957,1958,1958,1958,1958,1959,1959,1959,1959,1960,1960,1960,1960,1961,1961,1961,1961,1962,1962,1962,1962,1963,1963,1963,1963,1964,1964,1964,1964,1965,1965,1965,1965,1966,1966,1966,1966,1967,1967,1967,1967,1968,1968,1968,1968,1969,1969
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2
"9",NA,"Percent change at annual rate:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","1","  Gross domestic purchases","A712RV1",NA,4.4,5.8,8.6,5.1,5.2,7.5,0,-1.3,-2.3,-2.8,0.4,-0.8,2,9,7,14.5,2.6,1.2,5.1,0.3,1.4,2.8,1.2,0.2,0.8,1.5,1.3,2,0.9,-0.2,0.6,1.3,2.2,2.7,2.6,4,3.8,4.4,2.5,4.4,2.8,3,2.2,3.2,1.6,0.9,0.5,2.1,1.1,1.6,1.5,0.7,1.5,1.8,1.9,0.4,0.6,0.9,0.8,1.8,1.3,0.9,1,2.1,0.4,0.6,2.7,1.6,1.3,1.8,1.6,1.4,1.9,1.9,2.9,2.2,3.7,3.3,3.1,1.3,2.4,3.7,4.4,4.4,4.3,4.2,5.7,3.9,5.5
"11",NA,"Percentage points at annual rates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2","Personal consumption expenditures","DPCERS2",NA,2.2,5.17,6.95,3.05,2.84,4.15,-0.77,-2,-1.48,-1.28,0.11,-0.04,1.56,5.69,4.61,8.17,1.89,0.32,3.29,1.2,0.06,1.65,0.4,0.88,0.39,1.39,1.2,1.45,-0.16,-0.68,-0.14,0.85,0.32,1.02,0.7,1.05,1.66,2.39,1.43,2.21,1.55,1.97,1.27,3.05,0.42,0.14,-0.13,1.56,0.87,1.39,1.29,0.31,1.27,0.94,1.1,0.45,-0.03,0.88,0.27,1.06,0.84,0.62,0.72,0.7,0.35,1.14,0.9,1.14,0.55,0.83,0.83,0.79,1.23,0.9,0.73,1.84,1.96,1.83,1.85,0.7,1.13,2.21,2.04,2.51,2.42,2.48,2.69,2.36,3.09
"13","3","  Goods","DGDSRS2",NA,1.58,2.54,4.41,2.29,1.71,2.51,-1.18,-1.94,-1.73,-1.65,-0.63,-0.47,1.12,4.03,3.21,6.16,1.08,-0.28,1.75,0.48,-0.73,0.6,-0.36,-0.1,-0.36,0.09,0.19,0.82,-0.4,-0.91,-0.64,0.2,-0.08,0.51,0.09,0.47,1.06,1.52,0.8,1.23,1.03,1.02,0.41,2.14,0.04,-0.3,-0.54,1.01,0.27,0.47,0.34,-0.25,0.61,0.16,0.49,0.17,-0.53,0.33,-0.22,0.37,0.28,0.2,0.35,0.15,0.02,0.76,0.29,0.58,-0.04,0.24,0.3,0.29,0.73,0.31,0,1.12,0.9,0.77,0.71,-0.1,0.29,1.3,0.93,1.12,1.03,1.13,1.24,0.85,1.47
"14","4","    Durable goods","DDURRS2",NA,0.33,0.21,0.49,0.28,0.45,1.23,-0.03,-0.24,-0.26,-0.36,0.22,0.29,0.54,0.7,0.6,1.29,0.08,-0.04,0.39,0.39,-0.31,0.43,-0.77,0.37,0.1,-0.15,0.18,0.42,-0.8,-0.52,-0.17,0.17,0.18,0.37,0.09,0.14,0.09,0.53,0.48,0.32,0.51,-0.01,0.05,0.58,-0.14,-0.01,-0.06,0.65,0.17,0.02,-0.01,-0.06,-0.05,-0.11,-0.06,0.01,0.15,0.14,-0.04,0,0.04,0.11,-0.13,0.01,0.1,0.1,0.11,0.05,-0.02,-0.04,-0.07,0.01,-0.11,-0.18,-0.2,-0.05,0.15,0.16,0.16,-0.07,0.15,0.39,0.35,0.23,0.22,0.3,0.34,0.21,0.28
