"","Table 6#11D# Employer Contributions for Employee Pension and Ins","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"1","[Millions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/7/2013 4:10:03 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"8","1","      Employer contributions for employee pension and insurance funds","B040RC0",588970,628964,685496,734124,779455,844099,908912,966789,997575,1041424,1075074,1077473,1120420,1145420,1170554
"9",NA,"          By industry"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2","Domestic industries","B040RC0",588970,628964,685496,734124,779455,844099,908912,966789,997575,1041424,1075074,1077473,1120420,1145420,1170554
"11","3","  Private industries","B4903C0",399418,421120,462679,489054,516469,549655,580265,618148,633772,659255,674698,663224,666676,686053,704870
"12","4","    Agriculture, forestry, fishing, and hunting","N4904C0",1598,2641,2095,2710,2704,2662,4043,3212,4265,4418,4204,5052,4208,4344,4872
"13","5","    Mining","N4905C0",4140,4078,4127,3973,3046,3837,4577,4392,6215,5806,6645,6536,7357,6710,8659
"14","6","    Utilities","N4906C0",5932,8919,9284,11413,12044,10821,11818,11405,14420,14021,14934,14844,18562,17650,14874
"15","7","    Construction","N4907C0",23174,24405,28766,29525,28817,32004,33970,36408,35103,38524,38649,35127,31314,33029,34782
"16","8","    Manufacturing","N4908C0",99680,109807,115812,112594,115702,121451,126101,130278,130938,137383,137257,125127,132387,128395,133989
"17","9","      Durable goods","N4909C0",65638,72912,78452,72390,75328,77641,82794,85249,84928,89595,88292,80305,82231,77868,81170
"18","10","      Nondurable goods","N4910C0",34041,36895,37360,40204,40375,43809,43307,45029,46010,47788,48965,44822,50156,50527,52819
"19","11","    Wholesale trade","N4911C0",29144,24115,25660,25443,27060,26725,28031,31744,31493,32827,33906,32008,33709,36726,37332
"20","12","    Retail trade","N4912C0",35925,32117,32632,33700,39779,46780,46107,50592,50080,51024,51305,47522,46297,49319,47558
"21","13","    Transportation and warehousing","N4913C0",21389,22781,24854,25236,25816,27039,28548,30501,29293,32558,30237,31338,32919,34095,35410
"22","14","    Information","N4914C0",17257,19709,18757,21273,23349,29549,30496,30523,28205,31943,29431,35529,29236,31102,31382
"23","15","    Finance, insurance, real estate, rental, and leasing","N4915C0",44567,46472,49894,55406,59447,53224,58395,67646,68357,70649,74407,65029,67419,74337,73666
"24","16","    Professional and business services \1\","N4916C0",48095,44908,66279,76074,76517,82107,80462,89073,99679,99267,105507,105630,108267,111606,112320
"25","17","    Educational services, health care, and social assistance","N4918C0",45415,53515,54252,58843,66791,75560,86049,91842,97749,98411,104538,115265,116079,118262,124301
"26","18","    Arts, entertainment, recreation, accommodation, and food services","N4919C0",9839,14462,15277,16926,17598,20529,22974,22345,20601,23083,22699,22284,21514,22806,26405
"27","19","    Other services, except government","N4929C0",13259,13188,14990,15940,17800,17366,18694,18186,17374,19343,20978,21931,17407,17671,19320
"28","20","  Government","B4918C0",189555,207846,222817,245070,262986,294444,328647,348641,363804,382169,400376,414249,453744,459367,465684
"29","21","Rest of the world","ZZZZZZ0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",NA,"          By type"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","22","Employer contributions for employee pension and insurance funds","B040RC0",588970,628964,685496,734124,779455,844099,908912,966789,997575,1041424,1075074,1077473,1120420,1145420,1170554
"32","23","  Pension plans \2\","B4934C0",263501,276458,293101,308942,322257,338261,368028,383528,405204,428757,447487,444164,479202,478011,480745
"33","24","    Private pension plans","B4921C0",138159,143775,150910,156696,161266,165039,172570,181373,192918,206291,215274,203240,212696,214268,217994
"34","25","      Defined benefit","Y696RC0",68495,71545,72459,76256,78153,80354,82700,83483,86218,90395,88686,86734,88432,85655,85522
"35","26","      Defined contribution","W351RC0",69664,72230,78451,80440,83113,84685,89870,97890,106700,115896,126588,116506,124264,128613,132472
"36","27","    Government employee pension plans","B4935C0",125342,132683,142191,152246,160991,173222,195458,202155,212286,222466,232213,240924,266506,263743,262751
"37","28","      Federal","Y392RC0",30575,31486,32665,34376,37281,40201,42002,43910,44732,47243,51669,56304,64513,66220,66875
"38","29","      State and local","Y239RC0",94767,101197,109526,117870,123710,133021,153456,158245,167554,175223,180544,184620,201993,197523,195876
"39","30","  Private insurance funds","B4936C0",325471,352508,392395,425182,455320,497651,532144,572413,580946,601170,616342,622551,630066,656136,679317
"40","31","    Group insurance","B4922C0",280232,306409,341562,372044,397313,432432,465844,501026,513333,535287,552381,563731,571664,595474,614134
"41","32","      Group health insurance","B4923C0",268790,294846,329199,359000,384997,421004,453249,487848,497339,517581,539450,552658,561198,584284,602483
"42","33","      Group life insurance","B4924C0",11442,11563,12363,13044,12316,11428,12595,13178,15994,17706,12931,11073,10466,11190,11651
"43","34","    Workers' compensation","B4925C0",43335,44516,49570,52194,57231,64350,65546,70921,67010,65345,63159,57854,57534,59860,64329
"44","35","    Supplemental unemployment","B4926C0",1905,1584,1264,943,776,869,755,466,603,538,802,966,868,802,854
"45","36","  Publicly administered government employee insurance funds \3\","Y390RC0",0,0,0,0,1877,8186,8740,10848,11426,11498,11245,10757,11152,11273,10491
"46",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","37","  Benefits paid by pension and insurance funds","B4928C0",764937,823008,891034,962426,1029894,1129077,1199590,1292181,1351845,1469201,1570676,1593392,1619308,1729149,1779118
"48","38","    Pension plans \4\","B4937C0",398082,424603,454930,468122,500555,534808,561051,607848,647605,724047,783566,781263,778779,845697,876370
"49","39","    Private insurance funds","B4939C0",366855,398405,436104,494304,528333,589275,633076,677720,697630,737422,779125,803742,832176,874703,894333
"50","40","      Group insurance","B4940C0",330893,360154,396983,453742,487659,547369,590493,634107,655715,693811,733664,757956,786737,829757,849505
"51","41","        Group health insurance","B4930C0",312625,340010,379965,436877,469881,528918,572722,614608,635689,673874,713445,733658,764900,807819,827563
"52","42","        Group life insurance","B4931C0",18268,20144,17018,16865,17778,18451,17771,19499,20026,19937,20219,24298,21837,21938,21942
"53","43","      Workers' compensation","B4932C0",33933,36368,37355,39744,40005,41112,41747,42749,41071,42892,44651,45011,44718,44427,44138
"54","44","      Supplemental unemployment","B4933C0",2029,1883,1766,818,669,794,836,864,844,719,810,775,721,519,690
"55","45","    Publicly administered government employee insurance funds \3\","Y391RC0",NA,NA,NA,NA,1006,4994,5463,6613,6610,7732,7985,8387,8353,8749,8415
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","1. Consists of professional, scientific, and technical services; management of companies and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","enterprises; and administrative and waste management services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","2. Includes defined benefit and defined contributions plans.  Additional detail is",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","available in tables 7.20 - 7.23.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","3. Includes the Medicare-eligible Retiree Health Care Fund.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","4. Includes cash benefit payments and withdrawals.  Additional detail is available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","in tables 7.20 - 7.23.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Note.  Estimates in this table are based on the 2002 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
