"","Table 3#3# State and Local Government Current Receipts and Expen","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2013     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/7/2013 4:00:23 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"8","1","    Current receipts","W023RC1",104.3,118.9,133.6,156.9,172.8,186.4,207.7,231.9,257.9,285.3,305.8,335.3,367,388.1,424.8,475.6,516.9,556.8,585,629.9,680.8,729.6,779.5,835.6,877.1,934.1,979.8,1032.6,1085.8,1148.7,1221.8,1303.1,1352.6,1388.4,1474.6,1575.1,1708.8,1810.9,1900.6,1909.1,1919.2,1998.5,2029.9,2039.4
"9","2","Current tax receipts","W070RC1",82.5,91.3,101.7,115.6,126.3,136,147.4,165.7,183.7,198.2,212,230,255.8,273.2,300.9,337.3,363.7,389.5,422.1,452.8,488,519.1,544.3,579.8,604.7,644.2,672.1,709.6,749.9,794.9,840.4,893.2,914.3,928.5,978.6,1057.8,1166.5,1254.5,1321.3,1328.9,1268.1,1305.6,1366.3,1405.2
"10","3","  Personal current taxes","W071RC1",12.8,14.2,15.9,20.9,22.8,24.5,26.9,31.1,35.4,40.5,44,48.9,54.6,59.1,66.1,76,81.4,87.2,96.6,102.1,114.6,122.6,125.3,135.3,141.1,148,158.1,168.7,182,201.2,214.5,236.7,243,221.9,226.8,247.4,276.4,302.5,323.5,333.5,287.8,297.6,327,348.8
"11","4","    Income taxes","B245RC1",9.8,10.9,12.4,17.2,18.9,20.4,22.5,26.3,30.4,35,38.2,42.6,47.9,51.9,58.3,67.5,72.1,77.4,86,90.6,102.3,109.6,111.7,120.4,126.2,132.2,141.7,152.3,164.7,183,195.5,217.4,223.3,201.3,204.7,223.6,251.5,276.2,296.4,307,259.5,267.1,296.1,317.3
"12","5","    Other","B247RC1",3,3.3,3.5,3.7,4,4.2,4.4,4.8,5,5.5,5.8,6.3,6.7,7.3,7.8,8.6,9.2,9.8,10.6,11.5,12.4,13,13.6,14.9,14.8,15.7,16.4,16.3,17.3,18.2,19,19.4,19.7,20.5,22.1,23.8,24.9,26.3,27.1,26.5,28.3,30.5,30.9,31.6
"13","6","  Taxes on production and imports","W072RC1",66,73.3,81.5,89.4,97.4,104.8,113.2,125,136.9,145.6,154.4,166.7,185.7,200,218.9,242.5,262.1,279.7,301.6,324.6,349.1,374.1,395.3,420.1,436.8,466.3,482.4,507.9,533.8,558.8,590.2,621.3,642.4,675.8,717.8,768.7,835.1,892.7,940,947.9,934.8,960.4,988.5,1004.9
"14","7","    Sales taxes","B248RC1",28.6,31.6,35.4,39.8,44.1,48.2,51.7,57.8,64,71,77.3,82.9,90.7,96.2,107.7,121,131.1,139.9,150.3,162.4,172.3,184.3,190.7,204.3,216.4,231.4,242.7,256.2,268.7,283.9,301.6,316.8,321.8,331.1,348.9,371.1,402.5,431.8,448.9,444.8,423.9,446,463.7,474.9
"15","8","    Property taxes","B249RC1",32.8,36.7,40.4,43.2,46.4,49,53.4,58.2,63.2,63.7,64.4,68.8,77.1,85.3,91.9,99.7,107.5,116.2,126.4,136.5,149.9,161.5,176.1,184.7,187.3,199.4,202.6,212.4,223.5,231,242.8,254.7,268,289.3,307,326.2,351.3,375,403.8,413.8,435.1,435,436.9,440
"16","9","    Other","W073RC1",4.7,5,5.7,6.4,7,7.7,8.1,9,9.7,10.9,12.7,15,17.9,18.5,19.4,21.8,23.5,23.7,24.9,25.7,26.9,28.3,28.6,31.1,33.1,35.5,37,39.4,41.6,43.9,45.8,49.8,52.6,55.4,62,71.5,81.4,85.9,87.2,89.4,75.8,79.4,87.9,90
"17","10","  Taxes on corporate income","B102RC1",3.6,3.7,4.3,5.3,6,6.7,7.3,9.6,11.4,12.1,13.6,14.5,15.4,14,15.9,18.8,20.2,22.7,23.9,26,24.2,22.5,23.6,24.4,26.9,30,31.7,33,34.1,34.9,35.8,35.2,28.9,30.9,34,41.7,54.9,59.2,57.9,47.4,45.6,47.7,50.7,51.4
"18","11","Contributions for government social insurance","B104RC1",1,1.1,1.2,1.3,1.5,1.7,1.8,2.2,2.8,3.4,3.9,3.6,3.9,4,4.1,4.7,4.9,6,7.2,8.4,9,10,11.6,13.1,14.1,14.5,13.6,12.5,10.8,10.4,9.8,10.8,13.7,15.8,19.9,24.7,24.6,21.5,18.9,18.7,18.6,18.1,18.3,17.5
"19","12","Income receipts on assets","W074RC1",4.3,5.2,5.5,5.9,7.8,10.2,11.2,10.4,11.7,14.7,20.1,26.3,32,36.7,41.4,47.7,55.6,59,58.5,61.2,66.6,68.5,67.2,64,61.1,63.5,69.1,73.7,78.1,81.3,85.2,93.9,89.2,78.6,73.8,76.8,88.6,107.2,117.9,105.7,87.8,82.6,80,78.5
"20","13","  Interest receipts \1\","B112RC1",3.6,4.3,4.6,4.9,6.6,8.9,9.8,9,10.4,13.3,18.1,23.1,28.5,33.1,37,42.6,50.1,52.6,53,56.6,62.3,64.1,62.4,58.8,56,58.2,63.6,67.7,71.8,75,78.6,86.3,81.3,70.5,64.5,66.4,76.8,94.7,104.2,91,74.4,69.1,66.3,64.2
"21","14","  Dividends","B081RC1",NA,NA,NA,NA,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.5,0.6,0.8,1,1.4,1.5,1.6,1.5,1.4,1.4,1.6,1.7,2,2,2.1,2.2,2.6,2.1,2.3,2.3,2.4
"22","15","  Rents and royalties","S230541",0.8,0.8,0.9,1,1.1,1.3,1.3,1.3,1.3,1.3,1.9,3.1,3.3,3.5,4.3,4.9,5.4,6.2,5.3,4.4,4.1,4.2,4.5,4.8,4.5,4.5,4.5,4.6,4.8,4.6,5.1,6.3,6.5,6.6,7.6,8.5,9.8,10.4,11.5,12.1,11.2,11.2,11.4,11.9
"23","16","Current transfer receipts","W075RC1",15.3,20.1,24.1,32.8,36.1,37.9,47.2,53.3,59.6,69,70.3,76.9,78,75.9,78.7,84.7,89.8,99.8,94.4,103.1,111.6,126.4,150.7,172.8,189.8,204.1,214.4,224.4,236.1,253.5,277.4,299.7,333.1,365.4,405,422.4,436.4,438.9,460.9,477.8,566.1,612,581.8,552.6
