"","Table 3#16# Government Current Expenditures by Function         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September 17, 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/28/2015 3:16:49 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"8","1","      Government \1\","W022RC1",283.5,317.5,352.4,385.9,416.6,468.3,543.5,582.1,630.1,691.8,764.9,879.5,999.7,1109.6,1204.9,1285.4,1391.4,1483.9,1556.6,1645.9,1779,1918.3,2032.3,2216.1,2299.1,2374.6,2490.6,2573.2,2648.8,2713.6,2827.5,2966.7,3169,3358.4,3567.1,3772.7,4034.9,4268.3,4540.8,4840.8,5209.7,5451,5537.6,5612.7,5662.9
"9","2","General public service","G160021",47.4,56.8,62.9,69.4,77.8,88.9,100.2,109.7,120.6,138.7,156.6,179.9,211.3,240.6,265.1,300.6,334.9,354.7,366.9,387.6,422.2,447.4,434.2,495.6,499.7,511.1,546.2,554.8,562.6,561.6,554.2,558.3,556.8,562.4,594,617.3,679.2,722.3,775,774.5,816.5,851.2,898,910.8,897.6
"10","3","  Executive and legislative","G160031",5.1,6.1,7.5,8.6,8.2,9.6,11.7,12.6,12.6,13.1,14.4,16.6,16.7,19.2,18.6,22.1,25.8,27.6,26.4,26.8,27.9,30.7,-6.8,39.1,40.2,39.8,36.8,41.1,39.9,42.2,44.1,49.3,47,57.9,67,77.8,89.9,86.8,99.1,104.7,116.1,117.6,127.8,123.5,117
