"","Table 6#22C# Corporate Capital Consumption Allowances by Industr","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/28/2015 3:33:24 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
"8","1","      Corporate capital consumption allowances","A677RC0",422723,448129,468389,481257,497973,511779,539831,583090,629661,674018,728804,779618,842632,895405
"9","2","Agriculture, forestry, and fishing","A1722C0",2706,3010,2903,2941,2813,3090,3423,4019,4812,4961,5068,5286,5827,5920
"10","3","  Farms","B1723C0",1776,1930,1764,1785,1703,1844,2147,2627,3193,3198,3308,3395,3797,3859
"11","4","  Agricultural services, forestry, and fishing","B1724C0",930,1080,1139,1156,1110,1246,1276,1392,1619,1763,1760,1891,2029,2061
"12","5","Mining","A1725C0",7323,7203,6663,7583,7637,7663,7950,8433,9590,10109,11594,12893,13400,14524
"13","6","  Metal mining","B1726C0",535,729,734,1172,1083,1152,1224,1226,1496,1404,1310,1854,1977,1815
"14","7","  Coal mining","B1727C0",1128,1077,973,899,834,1077,1116,1097,1285,1238,1237,1326,1269,1131
"15","8","  Oil and gas extraction","B1728C0",4607,4419,3909,4354,4584,4355,4514,4927,5503,5842,7376,4729,4854,6164
"16","9","  Nonmetallic minerals, except fuels","B1729C0",1054,978,1047,1157,1136,1079,1096,1183,1305,1626,1671,4984,5300,5414
"17","10","Construction","B1730C0",9144,10110,10190,9985,9431,9231,9717,10275,11183,12436,13875,14915,17086,18732
"18","11","Manufacturing","B1731C0",186714,197168,203253,210252,217588,227147,236071,253454,269573,291777,311276,326540,340953,355419
"19","12","  Durable goods","A1732C0",99911,107918,110629,115073,119840,125065,131650,144905,160168,173623,188673,200513,211716,225512
"20","13","    Lumber and wood products","B1733C0",3343,3389,3448,3479,3468,3052,3271,3498,3963,4023,4212,3510,3582,3762
"21","14","    Furniture and fixtures","B1734C0",1062,1152,1133,1059,1063,1121,1221,1245,1433,1614,1880,1859,2023,2213
"22","15","    Stone, clay, and glass products","B1735C0",4349,4770,4823,4800,4657,4814,4935,5177,5661,5776,6534,7154,7646,8250
"23","16","    Primary metal industries","B1736C0",5206,5378,6244,6433,6662,6767,6849,7421,7986,7917,8296,8235,8503,8295
"24","17","    Fabricated metal products","B1737C0",6803,6834,6694,6699,6869,6327,7028,7795,8422,9458,9805,11152,11919,12455
"25","18","    Industrial machinery and equipment","B1738C0",16155,18191,18732,19314,20067,20342,21046,21832,23106,23704,26712,35355,37755,39313
"26","19","    Electronic and other electric equipment","B1739C0",23195,25278,26826,28347,30466,33013,35445,38104,42848,47896,53172,51897,54622,58956
"27","20","    Motor vehicles and equipment","B1740C0",24071,24849,24080,23851,25032,26569,27904,35420,42068,47543,52986,55847,58126,64001
"28","21","    Other transportation equipment","B1741C0",10428,11137,12204,12718,12565,13259,13900,14623,14749,14426,14301,14334,15347,16083
"29","22","    Instruments and related products","B1742C0",2364,3696,2851,4194,4560,5473,5295,4915,5074,5670,5148,5226,5836,5426
"30","23","    Miscellaneous manufacturing industries","B1743C0",2935,3244,3594,4179,4431,4328,4756,4875,4858,5596,5627,5944,6355,6758
"31","24","  Nondurable goods","A1744C0",86803,89250,92624,95179,97748,102082,104421,108549,109405,118154,122603,126027,129237,129907
"32","25","    Food and kindred products","B1745C0",12673,12847,12968,13876,13428,13014,12449,12939,11491,17270,15858,16538,16169,16587
"33","26","    Tobacco products","B1746C0",712,653,1448,467,622,1858,3159,2850,2023,2431,2549,2677,2715,2443
"34","27","    Textile mill products","B1747C0",1941,2114,2162,2316,2273,2643,2837,2855,3181,3129,3177,3041,2967,2916
"35","28","    Apparel and other textile products","B1748C0",1191,1248,1302,1382,1402,1436,1561,1732,1675,1875,1837,1917,1928,1983
"36","29","    Paper and allied products","B1749C0",6350,7355,7221,7236,7970,9015,9179,9389,10486,10372,11452,12127,11581,10990
"37","30","    Printing and publishing","B1750C0",8153,9018,9692,10416,10734,11275,10798,11552,12292,13771,15304,16552,17712,18036
"38","31","    Chemicals and allied products","B1751C0",19295,20795,22695,25025,26845,28873,30521,33242,34074,37894,40391,42777,45121,46538
"39","32","    Petroleum and coal products","B1752C0",32878,31385,30947,30210,29783,29085,28413,27868,27916,25124,25106,22880,22835,21688
"40","33","    Rubber and miscellaneous plastics products","B1753C0",3389,3582,3881,3963,4353,4486,5052,5397,5685,6045,6669,7240,7982,8494
"41","34","    Leather and leather products","B1754C0",221,253,308,288,338,397,452,725,582,243,260,277,227,232
"42","35","Transportation and public utilities","A1755C0",92623,95780,100710,102698,104886,106495,110468,115272,126326,126283,131399,138294,152400,163465
