"","Table 6#17D# Corporate Profits Before Tax by Industry           ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2014   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/28/2015 3:31:51 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"8","1","      Corporate profits before tax","A053RC0",728077,766147,747086,690639,788941,969441,1254609,1653323,1851423,1748416,1382445,1472552,1840690,1806807,2136123,2235324
"9","2","Domestic industries","E561RC0",625315,644144,600908,520236,630182,802824,1049578,1414245,1595259,1395034,975748,1115360,1445507,1384899,1734282,1832270
"10","3","  Agriculture, forestry, fishing, and hunting","N3003C0",548,1850,1364,1162,93,2140,3126,4525,4727,6574,2811,4081,7983,7414,12495,14504
"11","4","    Farms \1\","N3004C0",-115,886,645,698,-647,1090,2122,3066,2859,4423,1534,2445,5423,4926,NA,NA
"12","5","    Forestry, fishing, and related activities","N3005C0",663,965,719,465,740,1050,1004,1459,1868,2151,1276,1636,2561,2488,NA,NA
"13","6","  Mining","N3006C0",4906,6051,15261,15507,5698,16949,25303,44744,59551,57774,55549,20635,31923,32152,34097,34346
"14","7","    Oil and gas extraction","N3007C0",2296,6152,13984,12992,6836,16589,21777,32542,35175,33409,32612,13034,14617,8882,NA,NA
"15","8","    Mining, except oil and gas","N3008C0",1376,1849,1411,623,696,1270,3104,9188,14049,11871,12447,8479,14344,17497,NA,NA
"16","9","    Support activities for mining","N3009C0",1234,-1950,-134,1892,-1835,-910,422,3014,10327,12494,10490,-878,2962,5773,NA,NA
"17","10","  Utilities","N3010C0",33199,34579,24728,22068,11328,13597,20852,31551,54306,49684,30316,23637,30312,9970,12808,21320
"18","11","  Construction","N3011C0",26277,30612,36348,41794,36767,35979,53940,81735,82743,61477,38279,25617,26976,30240,44667,52692
"19","12","  Manufacturing","N563RC0",185773,184688,185552,72361,74518,131068,204018,293262,369174,335940,257692,163568,304434,328104,403324,404812
"20","13","    Durable goods","N565RC0",108874,96684,86301,-11490,1011,33107,63766,114374,151837,122463,77812,27505,136537,143728,202903,206320
"21","14","      Wood products","N3014C0",3967,5941,2970,1794,1854,3016,5431,5864,3223,914,-616,-1444,1753,875,NA,NA
"22","15","      Nonmetallic mineral products","N3015C0",6500,7582,6034,3832,2953,3638,5884,9483,6548,5459,1112,-1750,-973,675,NA,NA
"23","16","      Primary metals","N3016C0",4698,1406,724,-4012,-1522,-1725,12076,14142,20578,17979,17134,-2921,6246,12770,NA,NA
"24","17","      Fabricated metal products","N3017C0",16694,16329,16164,8600,9051,8995,15727,19037,20933,21880,19281,9690,17082,17973,NA,NA
"25","18","      Machinery","N3018C0",16169,12869,10009,2223,2756,3491,10757,18682,24784,26076,21940,8497,18831,27364,NA,NA
"26","19","      Computer and electronic products","N3019C0",16200,5341,20054,-29901,-26048,-8648,940,15007,29329,22749,26208,25607,47222,32596,NA,NA
"27","20","      Electrical equipment, appliances, and components","N3020C0",8552,10283,7218,1076,-2208,1590,631,-1242,11868,-1138,5007,8563,10934,5109,NA,NA
"28","21","      Motor vehicles, bodies and trailers, and parts","N3021C0",17083,13592,4479,-6939,-3172,7887,-3665,851,-6365,-15792,-38801,-55216,-8965,794,NA,NA
"29","22","      Other transportation equipment","N3022C0",5955,10796,7840,5216,5958,4356,4902,17070,21735,28475,17549,19633,22743,25805,NA,NA
