"","Table 6#21D# Undistributed Corporate Profits by Industry        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2014   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/28/2015 3:33:11 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"8","1","      Undistributed corporate profits","B057RC0",122639,159467,97310,116766,196425,291702,384427,660412,652057,483977,264731,628478,906168,724038,824205,801496
"9","2","Domestic industries","A3402C0",62148,78990,-19628,-12967,85568,157168,241713,682196,473795,271024,38547,389425,632404,457043,599222,531306
"10","3","  Agriculture, forestry, fishing, and hunting","N3403C0",-2217,-1506,-1851,-2138,-2894,-1706,-1693,-787,-2703,-278,-3077,-1076,1916,-449,3617,4926
"11","4","    Farms \1\","N3404C0",-1986,-1499,-1608,-1567,-2742,-1542,-1391,-664,-3131,-517,-2334,-1214,1130,-996,NA,NA
"12","5","    Forestry, fishing, and related activities","N3405C0",-231,-7,-243,-571,-152,-164,-302,-123,428,238,-744,138,786,547,NA,NA
"13","6","  Mining","N3406C0",-890,2478,8404,8908,1629,9416,14292,29809,26233,34293,31005,5875,12357,13191,9547,2997
"14","7","    Oil and gas extraction","N3407C0",272,4492,9722,8494,3587,11224,13393,23280,14493,22308,21840,7962,5175,5225,NA,NA
"15","8","    Mining, except oil and gas","N3408C0",-426,296,-795,-512,-127,-376,1022,6065,6913,5126,5618,3023,8612,7013,NA,NA
"16","9","    Support activities for mining","N3409C0",-736,-2311,-523,925,-1831,-1432,-124,463,4826,6859,3546,-5110,-1430,954,NA,NA
"17","10","  Utilities","N3410C0",5706,5926,1155,2762,-4677,-176,5026,9035,26484,13254,5834,2677,9801,-14612,-7795,-1568
"18","11","  Construction","N3411C0",7368,8205,11262,15993,9134,8267,18935,34827,31501,11818,-7464,-9123,-5053,1200,8782,16088
"19","12","  Manufacturing","N3412C0",35502,45909,32983,-46883,-44730,-17719,13255,248418,84346,82339,24772,15133,133018,121421,159383,134148
"20","13","    Durable goods","N3413C0",42572,35717,20348,-50362,-36739,-14667,1086,100798,52015,25665,-34309,-47556,58216,49505,87970,80659
"21","14","      Wood products","N3414C0",1686,1750,-763,-9,323,1374,2865,3447,-33,-1102,-1864,-2143,384,-1,NA,NA
"22","15","      Nonmetallic mineral products","N3415C0",3608,4458,3713,1976,1266,1252,3080,6159,1916,2716,-1608,-2492,-1858,-1266,NA,NA
"23","16","      Primary metals","N3416C0",2371,-1133,-1035,-4963,-2621,-2646,7337,8089,10827,8962,6565,-6019,2408,7937,NA,NA
"24","17","      Fabricated metal products","N3417C0",6977,6526,6630,1783,2088,-361,6639,11430,9159,8384,6978,2016,6103,7565,NA,NA
"25","18","      Machinery","N3418C0",10798,5509,4315,-1873,-807,-271,5083,12232,12081,10471,7559,-4,8725,13368,NA,NA
"26","19","      Computer and electronic products","N3419C0",8221,1322,11855,-28596,-21621,-14790,-5739,48296,14894,2206,-4467,5663,23425,4195,NA,NA
"27","20","      Electrical equipment, appliances, and components","N3420C0",329,1075,-4865,-8419,-12279,-8966,-12302,-9782,-4074,-9842,-11552,-6459,6201,-2547,NA,NA
"28","21","      Motor vehicles, bodies and trailers, and parts","N3421C0",1554,4927,-5094,-11437,-8241,7019,-6156,-3025,-10478,-15476,-38324,-54080,-9146,-542,NA,NA
