"","Table 5#3#6# Real Private Fixed Investment by Type, Chained Doll","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"1","[Billions of chained (2009) dollars]                                            ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1999 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published April 29, 2015    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/28/2015 3:24:12 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"8","1","    Private fixed investment","A007RX1",2165.9,2316.2,2280,2201.1,2289.5,2443.9,2611,2662.5,2609.6,2432.6,2025.7,2056.2,2186.7,2368,2479.2,2611.7
"9","2","Nonresidential","A008RX1",1510.1,1647.7,1608.4,1498,1526.1,1605.4,1717.4,1839.6,1948.4,1934.4,1633.4,1673.8,1802.3,1931.8,1990.6,2116.4
"10","3","  Structures","B009RX1",494.9,533.5,525.4,432.5,415.8,414.1,421.2,451.5,509,540.2,438.2,366.3,374.7,423.8,421.7,456.2
"11","4","    Commercial and health care","W001RX1",199,212.3,202,171.1,160.3,164.2,162.8,172.6,189.9,182.8,126.7,95.2,94.7,102.8,106.3,114.5
"12","5","    Manufacturing","C307RX1",53.9,55.6,54.1,31.6,29.2,30.1,34.2,36.5,43.1,53.8,56.3,40.8,39.1,44.9,44.3,49.9
"13","6","    Power and communication","W003RX1",62.8,72.5,74.7,72.9,67.2,56.1,58.1,61.7,85.9,94.5,95.8,80.4,74.1,89.6,82.8,92.3
"14","7","    Mining exploration, shafts, and wells \1\","E318RX1",64.5,80.5,94.9,69.4,79.3,84.2,92.1,99.5,97.9,105,75,87.8,110.9,124.5,125.2,135.5
"15","8","    Other structures \2\","W004RX1",94.7,97.5,93,78.6,75.6,76.7,72.7,79.7,91.8,103.4,84.5,62,56.2,61.5,63.4,64
"16","9","  Equipment","Y033RX1",662.4,726.9,695.7,658,679,731.2,801.6,870.8,898.3,836.1,644.3,746.7,847.9,905.6,947.2,1008.2
"17","10","    Information processing equipment","Y034RX1",149.5,180.4,178.2,169.9,185.8,204.5,222.2,250.9,279.9,281,256.1,281.4,285.9,295,304,312.5
"18","11","      Computers and peripheral equipment \3\","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","12","      Other \4\","A937RX1",127.3,153.2,148.5,135,147.3,160.7,172.6,187.5,207.9,204.2,179.3,196.8,202.8,208.1,217,227.3
"20","13","    Industrial equipment","A680RX1",182.8,198.5,183.9,171.6,172.2,169.1,183.6,199.1,205.3,195.5,152.1,151.3,183.3,190.3,197.7,223.3
"21","14","    Transportation equipment","A681RX1",208.4,204.1,184.9,167.2,154.8,176.5,197.9,212.6,203.6,156.9,70.6,136.9,183,217.6,231.1,258.1
"22","15","    Other equipment \5\","A862RX1",161.4,170.5,169.2,167.9,179.3,192.4,210.9,219.6,217,206.5,165.6,179.8,199.3,207.3,219,218.4
"23","16","  Intellectual property products","Y001RX1",391.1,426.1,428,425.9,442.2,464.9,495,517.5,542.4,558.8,550.9,561.3,581.3,603.7,624.1,654.2
"24","17","    Software \6\","B985RX1",154.5,175.9,177.1,176.9,189,207.9,221.2,230.3,244.2,256.2,256.8,254.2,271.8,287,295.9,306.6
"25","18","    Research and development \7\","Y006RX1",183.9,193,195.6,190.5,189.1,191,202.3,215,227.9,235.5,229,234.4,236.7,241.3,250.7,268
"26","19","    Entertainment, literary, and artistic originals","Y020RX1",55.9,59.3,57.5,60.3,64.8,65.8,71.3,72.1,70.3,67.1,65.1,72.7,73.1,76.1,78,79.6
"27","20","Residential","A011RX1",633.8,637.9,643.7,682.7,744.5,818.9,872.6,806.6,654.8,497.7,392.2,382.4,384.5,436.5,488.4,496.2
"28","21","  Structures","A012RX1",626.5,630.1,635.7,674.5,735.9,809.2,862.5,796.3,644.9,488.4,383.9,373.6,375.3,427.1,478.3,485.7
"29","22","    Permanent site","A943RX1",357.7,360.6,362.7,377.3,414.2,462.2,494.8,451.6,336.1,223.1,133.9,128.5,123.9,153.8,192.5,209.3
"30","23","      Single family","A944RX1",311.2,314.6,315.1,327.3,362.2,405.7,433,390.7,283.7,178.2,105.3,114.4,109.2,132.1,161.9,169.5
"31","24","      Multifamily","C292RX1",43.6,42.8,44.7,47.1,48.3,52,57.2,57.6,51,44.9,28.5,14.3,15,21.9,30.8,40.3
"32","25","    Other structures \8\","A863RX1",269.4,270.1,273.5,297.2,321.9,347.6,368.3,345.2,309.3,265.6,250.1,245.1,251.3,273.4,286.3,277.1
"33","26","  Equipment","B013RX1",7.2,7.6,7.8,8,8.5,9.5,9.9,10.1,9.8,9.3,8.3,8.8,9.2,9.3,10,10.5
"34","27","Residual","A972RX1",-43.8,-27.2,-32.8,-9.5,-1.2,7.6,10.8,8.4,-1.7,-3.9,-0.1,-3.4,-6,-6.5,-7.9,-7.8
"35",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","28","  Private fixed investment in structures","A349RX1",1112.1,1149.3,1148.5,1110.1,1162.5,1241,1304.9,1262.1,1158.3,1028.7,822.1,740.1,750.2,851,899.5,941.3
"37","29","  Private fixed investment in new structures","W040RX1",1012.7,1049.9,1041.3,990.3,1022.8,1076.7,1124.6,1103.6,1030.6,930.5,730.8,651.2,656.9,742.3,780.4,829.1
"38","30","    Nonresidential structures \9\","A771RX1",495.3,533.8,520.9,433.5,417.3,414.4,420.3,450.7,509.1,539.8,438,366.7,374.8,423.4,421.3,455.6
"39","31","    Residential structures \10\","A756RX1",523.7,526.5,529.1,554,597.3,649.1,688.4,642,518.3,390.6,292.8,284.3,282,318.8,359.4,373.7
"40","32","  Private fixed investment in information processing equipment and software","A679RX1",301.6,355.9,354.4,344.6,372.9,410.5,441.8,481.1,524.5,537.4,512.9,535.6,557.7,582.2,600,619.3
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","1. Includes petroleum and mineral exploration.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2. Consists primarily of religious, educational, vocational, lodging, railroads, farm, and amusement and recreational",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","structures, net purchases of used structures, and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","3. The quantity index for computers can be used to accurately measure the real growth rate of this component.  However,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
