"","Table 5#9#4A# Price Indexes for Gross Government Fixed Investmen","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Index numbers, 2009=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/16/2014 4:14:29 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","      Gross government fixed investment \1\","B782RG3",11.481,10.812,9.735,8.03,8.942,10.214,10.021,10.679,10.979,10.925,10.697,10.748,11.781,11.944,12.059,11.344,10.552,11.487,13.11,14.18,14.195,14.042,15.632,15.976,15.775,15.698,15.971,17.25,17.968,18.001,18.179,18.133,18.25,18.497,18.666,18.835,19.058,19.514,19.929,20.644,21.809
"9","2","        Federal","B787RG3",15.78,14.95,13.876,12.189,12.816,14.178,14.353,14.921,15.545,15.51,15.319,15.59,16.915,16.812,16.938,15.918,14.779,16.014,17.942,18.845,19.161,19.37,21.046,21.466,21.136,21.265,21.799,23.305,24.355,24.722,25.139,25.243,25.472,25.745,25.897,26.095,26.145,26.459,26.824,27.563,28.848
"10","3","          National defense","B788RG3",15.619,14.404,13.348,12.32,12.102,13.307,13.536,13.794,15.116,15.094,14.914,15.194,16.699,16.528,16.681,15.629,14.5,15.811,17.806,18.666,18.98,19.435,21.15,21.504,21.105,21.29,21.875,23.436,24.483,24.877,25.277,25.354,25.603,25.868,26.013,26.102,26.176,26.472,26.808,27.484,28.787
