"","Table 1#10# Gross Domestic Income by Type of Income             ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published April 29, 2015    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/28/2015 3:01:45 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"8","1","    Gross domestic income","A261RC1",1018.3,1070.5,1158.3,1275.3,1422.4,1541.4,1675.7,1857.1,2066.7,2333.4,2587.4,2818.6,3174.2,3338.2,3584,4002,4295.5,4513.4,4829.7,5253.1,5593.5,5888.2,6085.7,6428.4,6726.4,7171.9,7573.5,8043.6,8596.2,9149.3,9698.1,10384.3,10736.8,11050.3,11524.3,12283.5,13129.2,14073.2,14460.1,14619.2,14343.4,14915.2,15556.3,16372.3,16980,17594.9
"9","2","Compensation of employees, paid","A4002C1",586,625.1,667,733.6,815.1,890.3,950.2,1051.3,1169,1320.3,1481.1,1626.3,1795.4,1894.5,2014.1,2217.6,2389.2,2545.6,2725.7,2950.9,3143.9,3345,3454.7,3674.1,3824,4014.1,4206.7,4426.2,4719.1,5082.4,5417.5,5863.1,6053.8,6149.7,6372.7,6748.8,7097.9,7513.7,7908.8,8090,7795.7,7969.5,8277.1,8614.9,8853.6,9230.6
"10","3","  Wages and salaries","A4102C1",518.3,551.5,584.5,638.8,708.8,772.3,814.9,899.8,994.2,1120.7,1253.4,1373.5,1511.5,1587.7,1677.7,1845.1,1982.8,2104.1,2257.6,2440.6,2584.3,2743.5,2817.2,2968.5,3082.7,3240.6,3422.1,3620.6,3881.2,4186.2,4465.2,4832.4,4961.6,5004.2,5146.1,5431.2,5703.1,6068.8,6405.7,6543.6,6260.1,6385.6,6641.2,6940.5,7133.6,7455
