"","Table 7#18# Relation of Wages and Salaries in the National Incom","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1982 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2014   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/28/2015 3:37:40 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"8","1","Total wages and salaries, BLS \1\","BA06RC1",1479.2,1563.5,1718,1848,1961.5,2107.9,2280.6,2415.1,2564.5,2627,2781.7,2884.5,3033.7,3215.9,3414.5,3674,3967.1,4235.6,4587.7,4695.2,4714.4,4826.3,5087.6,5351.9,5692.6,6018.1,6142.2,5859.2,5975.7,6217.3,6491.2,6671.9
"9",NA,"Plus:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2","  Adjustment for misreporting on employment tax returns \2\","BA07RC1",25.6,27,28.2,29.9,31.9,33.4,36.3,38.2,40.2,42.5,43.6,45,46.5,48,49.6,52.4,54.8,57.7,60.5,65.4,67.4,70.7,74,70.1,73.5,73.4,70.3,69.7,69.7,73.6,80.1,82.5
"11","3","  Adjustment for wages and salaries not covered or not fully covered by unemployment insurance","W873RC1",82.7,87.5,98.5,104.8,109,115,122.9,129.7,136.4,145,140.3,149.9,156.4,154.1,152.3,150.4,159.8,164.7,177.7,193.8,214.7,240.9,260.3,269.9,291.3,303.6,319.4,322.4,332.2,342.3,360.7,370.3
"12","4","    Government","W787RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.9,70.3,72.1,70.9,69.7,71.9,75.9,79.7,78.9,89.5,102.9,110.7,119.9,123.2,128.6,137.4,145.1,149,150.3,150.8,149.7
"13","5","    Other","W786RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,86.1,82,81.4,80.7,87.9,88.8,98,114.9,125.1,138,149.6,150,168.1,175.1,182,177.3,183.2,192,209.9,220.6
"14","6","  Timing adjustment for accrual basis","Y663RC1",0,-0.4,0.2,-0.2,0,0,0,0,0.1,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","7","Equals: Wages and salaries, NIPAs","A576RC1",1587.5,1677.5,1844.9,1982.6,2102.3,2256.3,2439.8,2583.1,2741.2,2814.5,2965.5,3079.3,3236.6,3418,3616.5,3876.8,4181.6,4458,4825.9,4954.4,4996.4,5137.8,5421.9,5692,6057.4,6395.2,6531.9,6251.4,6377.5,6633.2,6932.1,7124.7
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","1. Total annual wages of workers covered by state unemployment insurance (UI) laws and by the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Unemployment Compensation for Federal Employees program.  Data for the most recent year are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","preliminary.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2. Consists of unreported wages and salaries paid by employers and of unreported tips.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","BLS Bureau of Labor Statistics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","NIPAs National income and product accounts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
