"","Table 2#4#5U# Personal Consumption Expenditures by Type of Produ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"1","[Millions of dollars; quarters and months are seasonally adjusted at annual rates]                                                                                                                                                                        ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1959 To 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published March 31, 2005    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/30/2005 10:46:30 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
"8","1","E1TDG1 A Durable goods","E1TDG10",42660,43319,41770,46870,51599,56654,63254,68284,70434,80772,85946,84991,96892,110365,123549,122327,133457,158850,181213,201721,214409,214161,231334,240227,280798,326477,363498,402988,421667,453589,471764,474204,453915,483588,526737,582221,611600,652563,692658,750198,817628,863326,883689,916170,950690,993940
"9","2","E1TAP1 B   Motor vehicles and parts","E1TAP10",18871,19664,17812,21485,24370,25987,29925,30282,29994,36103,38360,35508,44520,51092,56139,49527,54801,71258,83521,93134,93478,87018,95825,102919,126503,152121,175918,194053,195043,209357,215299,212774,193476,213048,234004,260517,266690,284887,305120,336103,370787,386518,407885,426144,440086,447770
"10","3","E1NEW1 B     New autos (70)","E1NEW10",13178,14017,12084,15015,17230,18277,21354,21029,20021,24511,25105,21945,28196,31617,33931,27005,29331,38167,44407,48521,49265,46395,50685,53336,66029,77144,86255,98970,91286,96675,92887,89675,72281,78016,82025,86421,82129,81764,82326,87727,97476,103582,103239,101649,97508,97148
"11","4","E1NDC1 D       New domestic autos","E1NDC10",11981,13048,11363,14378,16501,17343,20225,19679,18354,22222,22481,18749,24123,27052,28408,21663,22811,31209,34580,37556,34991,30171,32268,33541,41524,48836,52982,61832,53187,57890,58093,56509,45538,49567,54377,58579,56422,56869,53647,56686,61315,64590,64384,62447,59752,58183
"12","5","E1NFC1 D       New foreign autos","E1NFC10",1197,969,721,637,729,934,1129,1350,1667,2289,2624,3196,4073,4565,5523,5342,6520,6958,9827,10965,14274,16224,18417,19795,24505,28308,33273,37138,38099,38785,34794,33166,26743,28449,27648,27842,25707,24895,28679,31041,36161,38992,38855,39202,37756,38964
"13","6","E1NPU1 B     Net purchases of used autos (71)","E1NPU10",2710,2554,2643,2912,3239,3448,3837,3948,4335,4635,5016,4809,5316,5917,6405,6619,7444,9664,10382,11128,11325,10848,12761,13551,15626,21414,24424,23782,28396,28940,30997,29313,31377,34394,38366,46847,50505,54166,57058,59636,60925,60650,59652,58392,53943,52990
"14","7","E1NET1 D       Net transactions in used autos","E1NET10",1027,978,1190,1258,1387,1476,1699,1797,2157,2220,2473,2408,2302,2441,2836,3286,3597,4482,4975,5441,6365,6644,7227,7681,7962,13335,16004,14156,15883,17075,17595,17729,19764,22175,23988,28917,30789,32660,34241,37770,38218,37500,34929,35513,32196,29253
"15","8","E1MAR1 D       Used auto margin","E1MAR10",1825,1727,1621,1844,2058,2191,2379,2422,2469,2718,2857,2722,3341,3804,3898,3703,4238,5595,5855,6227,5591,4925,6346,6769,8563,8978,9319,10525,13412,12931,14635,12985,13181,13954,16113,19664,21451,23241,24552,23602,24442,24886,26458,24614,23482,25471
"16","9","E1REE1 D       Employee reimbursement","E1REE10",-142,-151,-168,-190,-206,-219,-241,-271,-291,-303,-314,-321,-327,-328,-329,-370,-391,-413,-448,-540,-631,-721,-812,-899,-899,-899,-899,-899,-899,-1066,-1233,-1401,-1568,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735
"17","10","E1OAU1 C     Other motor vehicles (72)","E1OAU10",600,606,516,733,889,1025,1284,1540,1637,2344,2836,2667,3872,5554,6905,6396,7739,12060,15855,19068,16553,11849,12805,15602,22581,30329,40988,46669,50123,55981,62910,63881,60337,70115,80810,91230,96231,108636,123810,144864,165359,173248,195889,215387,235435,241468
"18","11","E1TRU1 D       Trucks, new and net used","E1TRU10",518,524,426,634,765,840,1004,1185,1244,1655,1924,1697,2585,3827,5124,5035,5581,8974,12130,15107,13250,9261,9997,12697,19173,25840,35903,41223,44559,50287,56921,57877,54286,63661,73527,82838,87709,99908,114566,134444,153774,161263,184626,203461,221992,226510
"19","12","E1REV1 D       Recreational vehicles","E1REV10",82,82,90,99,124,185,280,355,393,689,912,970,1287,1727,1781,1361,2158,3086,3725,3961,3303,2588,2808,2905,3408,4489,5085,5446,5564,5694,5989,6005,6051,6454,7282,8391,8522,8728,9244,10419,11585,11986,11262,11926,13444,14958
"20","13","E1TBA1 C     Tires, tubes, accessories, and other parts (73)","E1TBA10",2383,2487,2569,2825,3012,3237,3450,3765,4001,4613,5403,6087,7136,8004,8898,9507,10287,11367,12877,14417,16335,17926,19574,20430,22267,23233,24251,24633,25238,27762,28505,29904,29481,30523,32804,36019,37826,40321,41926,43876,47027,49037,49105,50716,53199,56165
"21","14","E1TAT1 D       Tires and tubes","E1TAT10",1518,1568,1608,1749,1854,1968,2120,2366,2523,2935,3442,3912,4651,5347,5698,5834,6029,6343,6842,7545,8518,9435,10123,10366,11208,11576,11936,12098,12257,13449,13680,14364,14047,14200,14990,16167,16677,17463,17836,18666,20007,20862,20891,21576,22632,23894
"22","15","E1PAA1 D       Accessories and parts","E1PAA10",865,919,961,1076,1158,1269,1330,1399,1478,1678,1961,2175,2485,2657,3200,3673,4258,5024,6035,6872,7817,8491,9451,10064,11059,11657,12315,12534,12981,14312,14825,15540,15434,16323,17814,19852,21149,22858,24090,25210,27020,28176,28214,29140,30567,32271
"23","16","E1FUR1 B   Furniture and household equipment","E1FUR10",18083,17964,18251,19252,20650,23214,25116,28244,30009,32899,34711,35740,37806,42406,47887,51502,54504,60224,67213,74286,82726,86692,92101,93424,106622,118980,128531,142970,153399,163704,171553,171612,171718,178654,193391,213372,228625,242922,256164,273118,293866,312907,312088,319918,328001,351295
"24","17","E1FNR1 C     Furniture, including mattresses and bedsprings (29)","E1FNR10",4778,4746,4752,5086,5476,6124,6493,7018,7253,7900,8449,8571,9195,10428,11794,12517,12821,14059,16306,18036,20259,20728,21724,21020,23832,27218,29348,32458,34469,35943,39549,38413,37700,38957,41963,45672,48525,52234,56467,59604,63454,67596,67202,68288,69496,74975
"25","18","E1APP1 C     Kitchen and other household appliances (30)","E1APP10",4420,4291,4284,4323,4511,4873,4900,5344,5537,6225,6808,7257,7944,8997,9895,10334,10581,11506,12725,13605,14806,15104,15518,15177,16795,18375,19819,21243,21781,22696,23852,23660,23262,24287,25159,25751,26465,26664,26383,27477,29223,30410,30785,31537,33065,35874
"26","19","E1MHA1 D       Major household appliances","E1MHA10",4059,3924,3886,3877,4012,4266,4153,4519,4782,5301,5743,6115,6729,7550,8168,8614,8801,9341,10331,11102,12239,12564,12974,12771,14446,16089,17695,19289,20036,20426,21058,20435,19654,20196,21004,21574,22317,22603,22428,23315,24786,25769,25994,26573,27967,30468
"27","20","E1SEA1 D       Small electric appliances","E1SEA10",361,367,398,446,499,607,747,825,755,924,1065,1142,1215,1447,1727,1720,1780,2165,2394,2503,2567,2540,2544,2406,2349,2286,2124,1954,1745,2270,2795,3225,3608,4091,4155,4178,4148,4060,3955,4162,4437,4642,4791,4964,5098,5407
"28","21","E1CHN1 C     China, glassware, tableware, and utensils (31)","E1CHN10",1741,1739,1756,1859,1900,2125,2371,2738,2947,3254,3418,3471,3640,3978,4594,5079,5586,6345,7134,8343,9292,10276,11510,12482,13013,13733,14044,14770,14732,15856,17064,17909,18090,19577,20667,22324,23371,24495,25464,27207,29278,30993,31026,31843,32194,34329
"29","22","E1RAD1 C     Video and audio goods, including musical instruments, and computer goods (91)","E1RAD10",3056,3038,3197,3388,3705,4309,5100,6279,7033,7608,7992,8540,8913,10051,11274,12095,13489,14847,15835,17331,19445,20591,22165,23044,28480,31995,35908,41809,46155,50956,52499,53039,55371,57040,63865,73667,81501,87575,92340,99716,108144,116598,115513,119062,121317,129021
"30","23","E1VAM1 C       Video and audio goods, including musical instruments (92)","E1VAM10",3056,3038,3197,3388,3705,4309,5100,6279,7033,7608,7992,8540,8913,10051,11274,12095,13489,14847,15810,17281,19345,20391,21765,21680,25578,28960,33038,36613,39972,42760,44174,44095,43492,44964,48518,53852,57199,58701,58870,62727,67755,72764,73550,74897,75185,79104
"31","24","E1TVV1 D         Television receivers, video cassette recorders, and videotapes","E1TVV10",1577,1555,1622,1702,1842,2204,2682,3394,3901,4042,4040,4102,4060,4360,4702,4844,5180,5453,5674,6318,7473,8256,9298,9767,12061,14182,16717,18926,20951,21349,21230,20015,18491,18085,19117,20553,21322,21239,20768,21944,23617,25148,25494,26054,26516,28152
"32","25","E1TVS1 D           Television receivers","E1TVS10",1577,1555,1622,1702,1842,2204,2682,3394,3901,4042,4040,4102,4060,4360,4702,4844,5180,5453,5391,5729,6465,6798,7274,7245,8540,9582,10777,11635,12279,12525,12530,11808,10894,10797,11313,12106,12464,12211,11683,12376,13416,14422,14684,15151,15586,16701
"33","26","E1OVE1 D           Video equipment and media","E1OVE10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,283,589,1008,1458,2024,2522,3521,4599,5941,7291,8672,8824,8699,8207,7597,7289,7804,8447,8858,9028,9085,9568,10201,10726,10810,10904,10930,11451
"34","27","E1AMI1 D         Audio equipment, media, and instruments","E1AMI10",1479,1483,1575,1686,1863,2105,2418,2885,3132,3566,3952,4438,4853,5691,6572,7251,8309,9394,10136,10963,11872,12135,12467,11913,13517,14779,16320,17687,19021,21411,22944,24080,25000,26879,29402,33299,35877,37463,38102,40783,44138,47616,48056,48843,48669,50951
"35","28","E1AUD1 D           Audio equipment","E1AUD10",1079,1063,1111,1167,1268,1438,1657,1984,2163,2465,2697,2994,3234,3801,4403,4873,5596,6339,6789,7228,7709,7762,7858,7402,8296,8982,9847,10621,11395,12574,13218,13282,12947,13886,15114,17272,18403,18741,18538,19848,21842,24037,24445,25467,26208,28247
"36","29","E1RTD1 D           Records, tapes, and disks","E1RTD10",179,195,222,255,300,333,376,440,467,562,698,859,1019,1220,1426,1590,1845,2111,2379,2695,3044,3236,3447,3406,3979,4447,4989,5460,5898,6946,7785,8748,9879,10807,11903,13327,14546,15631,16353,17519,18579,19236,19176,18790,18300,18753
"37","30","E1MSC1 D           Musical instruments","E1MSC10",221,225,242,264,295,334,385,461,502,539,557,585,600,670,743,788,868,944,969,1040,1119,1137,1162,1105,1242,1350,1484,1606,1728,1891,1941,2050,2175,2186,2385,2700,2927,3090,3212,3415,3716,4344,4435,4586,4160,3952
"38","31","E1CPT1 C       Computers, peripherals, and software (93)","E1CPT10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,50,100,200,400,1364,2902,3035,2870,5196,6183,8196,8325,8944,11880,12076,15346,19815,24301,28874,33470,36990,40389,43834,41963,44165,46132,49917
"39","32","E1CPP1 D         Computers and peripherals","E1CPP10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,40,80,160,320,1090,2349,2457,2322,4205,5007,6546,6557,6946,9095,9112,11681,15220,18801,22381,25962,28636,31121,33514,32062,33778,35260,38045
"40","33","E1CPS1 D         Software","E1CPS10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1176,1651,1768,1998,2785,2964,3666,4595,5501,6494,7507,8353,9267,10320,9900,10386,10872,11873
"41","34","E1ODH1 C     Other durable house furnishings (32)","E1ODH10",4088,4150,4262,4596,5058,5783,6252,6865,7239,7912,8044,7901,8114,8952,10330,11477,12027,13467,15213,16971,18924,19993,21184,21701,24502,27659,29412,32691,36262,38253,38589,38591,37294,38793,41736,45958,48764,51954,55511,59114,63768,67309,67561,69188,71929,77097
"42","35","E1FLR1 D       Floor coverings","E1FLR10",1747,1730,1728,1864,2145,2552,2679,2809,2913,3179,3102,2876,2870,3234,3795,4299,4197,4691,5293,5718,6192,6071,5983,5665,7086,8482,9173,10524,12122,12983,12413,12072,11163,11321,11694,12432,12682,12927,13441,14298,15540,16483,16435,16555,18177,19367
"43","36","E1DHF1 D       Durable house furnishings, n.e.c.","E1DHF10",1744,1775,1842,1951,2069,2295,2513,2808,2987,3264,3378,3427,3554,3862,4446,4917,5372,6073,6845,7845,8935,9978,11093,11891,12867,14047,14816,16422,17929,18556,19060,19152,18665,19407,21305,23885,25969,28283,30560,32547,34986,36934,36974,37936,38369,40813
"44","37","E1CLF1 D         Clocks, lamps, and furnishings","E1CLF10",1312,1368,1455,1577,1711,1902,2088,2339,2493,2771,2915,3007,3168,3497,4031,4463,4882,5527,6237,7169,8175,9140,10159,10902,11268,11709,11754,12399,13061,13811,14592,15022,14873,15761,17446,19750,21661,23775,25875,27646,29751,31493,31527,32357,32714,34883
"45","38","E1TEX1 D         Blinds, rods, and other","E1TEX10",432,407,387,374,358,393,425,469,494,493,463,420,386,365,415,454,490,546,608,676,760,838,934,989,1598,2338,3062,4023,4868,4745,4468,4130,3792,3646,3859,4135,4307,4509,4685,4901,5236,5441,5447,5579,5656,5930
