"","Table 5#6#6BM# Real Change in Private Inventories by Industry   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99"
"11","3","E Manufacturing industries","KC300",19296,15372,9780,34668,22452,12492,17832,28788,18048,34020,5292,30876,28320,41328,31176,20184,18876,19104,11712,12900,9048,25404,20472,-14880,-15552,17112,39612,2796,27288,-5748,25236,-1596,24168,9336,40524,40248,-13632,14988,-9516,27048,-4476,37584,11940,5268,-6492,19164,20844,-8136,29148,-12516,-42096,-4392,-25584,-41448,-24576,-27360,-34044,-13632,-27576,-31812,-21060,-17124,-6816,-8280,-18420,-8760,840,732,2952,-7140,-18612,12096,-12804,4764,-28464,-8868,-17232,-19128,-22500,-15504,-23076,-6576,-22968,-9720,-1776,10248,504,2316,7848,17172,28116,12156,-19368,11580,21732,-19560
"12","4","E   Durable goods industries","KC30D0",14664,15792,-408,25836,15276,8124,22104,16116,7044,19380,-4032,23532,28464,32748,26376,22332,17640,18564,5112,19704,13224,22068,7512,1320,-22908,17832,31080,-7368,13368,-6168,20844,-7896,14724,-2556,24504,27132,-18504,11184,-8472,21696,-5880,28716,4512,13572,-8040,20232,24336,3732,28392,-2208,-39276,-648,-19608,-28476,-22896,-23028,-34848,-12612,-26124,-37116,-17412,-12924,-27900,-11148,-13416,-14100,-8556,-5892,-6912,-6456,-12732,23724,-11460,-5088,-20496,-3840,-10056,-27252,-15312,-19428,-18408,3624,-19920,10824,-4908,792,-2388,3732,4368,9456,22356,9204,-8076,5496,13620,-7968
"13","5","E   Nondurable goods industries","KC30N0",4464,-852,10632,8532,7104,4356,-4968,12780,11280,14736,9780,7080,-756,8160,4392,-2748,888,144,6756,-7500,-4596,2988,13260,-16800,8148,-1164,8124,10704,14112,552,4092,6648,9444,12192,15996,13020,5088,3696,-1056,5232,1380,8808,7380,-8340,1476,-1044,-3384,-11736,1044,-10128,-3180,-3672,-6072,-13032,-1860,-4428,648,-1068,-1440,5580,-3636,-4236,21360,2844,-5064,5328,9336,6528,9708,-828,-6036,-11364,-1440,9492,-8124,-4980,-7176,7368,-7260,3456,-4872,-9840,-3324,-19668,2916,9168,2772,-1272,3456,7668,6096,3108,-11064,5964,8148,-11292
"14","6","E Wholesale trade industries","KCWT0",44796,8460,13656,15972,22284,59952,-720,19584,28596,23568,30264,34284,13068,45324,28140,180,29004,1356,11772,43752,35208,21360,29520,11784,7368,33180,19356,7332,9936,10140,34524,19176,18288,33396,36444,7380,29532,14148,14664,28092,12948,33336,17040,20292,6384,22944,20076,-8184,4236,-456,-1068,16920,15504,-24072,-32244,-2340,-19968,-24936,-36888,-23412,-13140,-33408,4692,-19704,7536,15384,30768,384,348,-24408,2460,30240,-10212,-1020,5280,-4428,-12024,3492,4296,-444,3000,4104,-3756,11652,-2928,24396,4164,-12012,39156,32940,45600,43848,10092,22848,37752,6432
"15",NA,"    By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","7","E     Durable goods industries","KCWTD0",23952,9456,12444,18012,20700,42744,-11892,8256,25152,6360,10932,29340,18036,30780,24756,4260,15024,-5616,6552,32568,21696,21228,11004,19716,6780,19116,13188,-3732,19536,14292,13440,5028,16164,20076,28680,7620,12804,14772,10488,26256,11628,31356,8208,13152,-3732,14424,12588,-8448,17280,-6012,-10968,-4524,-7272,-39684,-23496,-16704,-23592,-7200,-46428,-26556,-16800,-24972,-3888,-8724,-2052,1536,19548,13320,3744,-6600,7080,5484,-5544,11256,-732,-3600,-12108,-1716,-10104,-4680,-6000,8124,-960,22068,13068,12660,7596,-5652,30288,24456,24912,41604,15024,22728,22452,-492
"17","8","E     Nondurable goods industries","KCWTN0",21228,-1440,804,-2880,840,16584,12408,11700,2652,18024,20076,4164,-5928,14280,2700,-4452,14256,7584,5292,10668,13524,-636,19152,-9000,432,14184,6084,11640,-10536,-4692,21552,14508,1860,13368,7512,-348,16896,-768,4152,1800,1308,1968,8856,7140,10140,8556,7512,216,-12516,5460,9624,21012,22320,14928,-8772,14016,3408,-17532,9192,3024,3480,-8556,8400,-10956,9384,13620,11184,-12444,-3300,-17400,-4356,23976,-4644,-11400,5688,-948,-276,4908,13500,3912,8412,-3624,-2724,-9156,-14676,11580,-2988,-6228,9492,8880,20532,3468,-4248,792,15300,6600
"18",NA,"    By type of wholesaler:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","9","E     Merchant wholesale industries","KC42W0",33312,5520,17280,7368,17976,60516,-540,17652,29076,17748,28836,32628,12540,40776,24036,576,28284,1728,12180,41556,31500,15192,21324,14412,8304,30960,14124,3204,7836,6888,35532,9840,19308,30972,37440,6132,26112,12468,15936,22584,17916,25500,10824,16020,6852,16104,18240,-7752,-2520,336,3912,13728,19224,-22848,-25416,-912,-10692,-21192,-31392,-22980,-6384,-30912,288,-20904,6684,17484,23808,1104,-3492,-27216,2544,27936,-8340,1440,13896,-2652,-8544,-144,5952,-4404,11640,6468,-1644,8184,-9552,27324,4356,-12060,30144,28920,48084,35172,5856,24828,32676,8880
"20","10","E       Durable goods industries","KC42WD0",13716,5904,17640,10164,16968,45432,-12240,8292,26280,1764,12096,28080,15132,27144,22452,5784,14712,-5400,7020,30708,17628,17304,4308,21084,8172,15516,10032,-8376,18552,11256,16368,-1404,17628,19128,30300,6444,9840,14256,11376,21444,17088,25284,2916,8364,-1968,7884,10524,-6912,11136,-5904,-5832,-6504,-4032,-39564,-18744,-15096,-15828,-3744,-42072,-25284,-10812,-24036,-6960,-10428,-4188,4440,14160,13932,1572,-8100,5100,6192,-8856,15444,7212,-1200,-10308,-2940,-8340,-6864,804,9168,900,18588,6780,15828,8400,-4896,29520,20292,28068,33708,9372,25260,20484,-372
"21","11","E       Nondurable goods industries","KC42WN0",20220,-612,-960,-3276,540,14400,12744,9600,2076,16716,17184,3948,-3132,13512,1080,-5556,13776,7572,5208,10512,14028,-2676,17628,-7416,-36,15660,4020,12072,-11388,-4704,19416,11556,1452,11856,6912,-408,16464,-1944,4548,1116,828,204,7932,7668,8832,8220,7728,-888,-13212,6132,9528,19752,22776,15960,-6708,13800,4908,-17160,10176,2076,4212,-7044,6984,-10452,10584,12804,9564,-12240,-4920,-18660,-2388,21060,252,-12996,6576,-1452,1380,2580,13428,2160,10356,-2328,-2424,-9252,-15240,11424,-3552,-6984,1620,8844,19968,2328,-3144,120,12252,8928
"22","12","E     Nonmerchant wholesale industries","KC42N0",11616,3012,-3756,8856,4368,-900,-168,1896,-648,5928,1344,1524,456,4452,4104,-408,504,-384,-540,1968,3636,6360,8424,-2892,-1056,2040,5388,4272,2124,3312,-1248,9540,-1152,2364,-1164,1260,3408,1692,-1296,5532,-5016,7872,6228,4260,-444,6828,1836,-432,6732,-780,-4992,3180,-3744,-1236,-6840,-1452,-9360,-3768,-5520,-348,-6948,-2388,4524,1296,852,-2184,7020,-744,3936,2916,-96,2268,-1932,-2508,-8484,-1776,-3528,3672,-1692,3960,-8724,-2400,-2124,3480,6636,-2928,-192,60,8988,4008,-2352,8652,4200,-1800,5064,-2316
"23","13","E       Durable goods industries","KC42ND0",10104,3516,-5076,7764,3732,-2568,324,12,-1080,4548,-1116,1272,2904,3636,2316,-1500,300,-204,-456,1860,4068,3912,6672,-1344,-1392,3600,3156,4620,996,3036,-2904,6432,-1476,948,-1608,1176,2976,504,-888,4812,-5460,6072,5292,4800,-1776,6540,2076,-1548,6144,-96,-5148,1992,-3252,-108,-4752,-1596,-7788,-3480,-4344,-1260,-5988,-936,3072,1716,2148,-2916,5412,-636,2196,1512,1992,-720,3336,-4236,-8004,-2412,-1824,1248,-1776,2220,-6876,-1068,-1896,3504,6360,-3252,-828,-744,684,4200,-3300,7944,5736,-2664,1932,-132
"24","14","E       Nondurable goods industries","KC42NN0",828,-876,1896,492,336,2136,-588,2136,600,1128,2868,168,-3048,552,1800,1404,192,-180,-36,-84,-900,2364,1320,-1608,540,-2088,2244,-732,1188,120,2028,3000,432,1464,588,60,384,1200,-408,684,504,1764,924,-516,1308,348,-180,1056,660,-672,72,1200,-540,-1104,-2112,144,-1584,-276,-1128,972,-840,-1500,1416,-444,-1332,756,1596,-96,1728,1404,-2004,2892,-4884,1524,-804,492,-1692,2388,24,1752,-1980,-1296,-312,120,552,156,564,720,7764,60,660,1116,-1056,600,2952,-1968
"25","15","E Retail trade industries","KC440",-7572,28128,-26256,46404,17676,348,34008,-9804,32760,22872,22164,15012,26460,38052,53556,48012,-16824,2088,16248,-4392,18648,2244,21888,1596,45960,18996,36912,13260,5568,19152,15936,10416,23532,39348,42624,60192,-11040,9084,26460,26208,47472,35424,27456,35640,6156,33960,18924,3648,-7620,-35616,-8052,16140,9876,-8352,1116,18576,-3744,-109368,-55572,52752,57552,-108,2412,16632,44976,34164,16320,-9444,48828,25932,61896,16008,22944,41676,19464,-4500,-15900,23760,21276,-41364,61200,25596,27672,-25200,-1764,7128,71448,55716,-1764,35628,-41892,-4716,-13608,23748,32304,-10020
"26","16","E   Motor vehicle dealers","KC4410",-7344,8064,-12516,23760,-1896,-8496,20244,948,492,21540,17664,-1524,8628,15444,21276,33876,672,-35448,-5244,-15780,9684,2856,4056,-12804,27264,14340,22212,-2616,72,3816,11592,-552,12084,25692,17448,25368,4608,-5880,13908,27720,18504,26832,26580,11856,9540,11856,2304,-180,-14496,-35100,-13656,16008,11892,624,16440,-3156,7620,-117408,-33108,58404,49176,3924,6132,12000,24744,25188,-2556,-10608,29304,42348,51552,-4092,23160,31944,7380,-5940,-6396,14484,11448,-36708,38064,20460,11304,-34488,3612,-12,52584,43320,-15012,22860,-38016,-19644,-11532,18396,5616,-45684
"27","17","E   Food and beverage stores","KC4450",-516,396,960,-1248,1164,204,552,4008,1128,-2064,1524,-1800,3408,324,3168,3552,-252,2640,2628,-1260,-1344,60,3180,-1152,3996,492,816,-1740,3132,1248,1872,2904,3660,1704,996,3060,-360,660,324,180,1572,-6852,-912,792,2328,-156,-2040,2628,2472,2028,132,1548,-672,1212,-240,324,-1476,3420,1260,-1272,-1716,-240,-1248,1008,1308,624,-936,2796,3180,-5760,3852,5148,-1836,1476,1260,-768,36,-1080,2160,-72,252,-3900,-816,-1680,1680,-1284,552,900,2868,1140,-48,672,-900,1260,2460,-1692
"28","18","E   General merchandise stores","KC4520",-7392,3252,-4560,7536,924,1176,-1848,-4212,2400,-3564,792,7548,3852,792,1200,768,-9684,10332,4908,12,3144,-1260,-1860,-1716,-648,1344,5640,4284,-264,-1212,1656,4140,1476,-1836,12432,5352,3852,3036,-4776,-1020,2736,4296,-4296,1116,96,5904,-408,2232,4968,1128,12552,-4584,4812,720,-9576,10536,-6528,-972,-7824,-6804,-5328,552,-4284,-1776,6348,-2172,8868,1968,156,-948,12648,2640,-4368,-4776,6012,9456,-10188,756,-576,-6228,8508,5508,-2100,6348,1116,996,6828,1428,264,6552,-3792,3324,1404,336,12408,8748
"29","19","E   Other retail stores","KC44Y0",7284,16212,-10068,16272,17196,7272,14964,-10260,28284,7032,2412,10584,10584,21348,27864,10128,-7488,23964,13824,12456,7140,564,16524,17268,15384,2856,8268,13272,2652,15312,828,3912,6300,13776,11700,26400,-19140,11220,17028,-612,24660,11148,6072,21852,-5832,16356,19128,-1068,-492,-3588,-7116,3156,-6240,-10992,-5496,10884,-3312,5388,-16104,2664,15804,-4332,1980,5484,12732,10764,10896,-3888,16452,-8808,-5496,12024,6636,13668,4860,-7392,696,9996,8424,720,15372,4584,19776,3180,-8064,7392,13620,11952,8904,5940,-1860,9648,-3012,4464,11544,25872
"30","20","E Other industries","KCOTH0",8640,8628,8616,4608,4584,4596,3072,3072,3072,5364,5352,5364,3012,2976,2988,5268,5256,5268,5616,5628,5616,9600,9588,9600,7836,7824,7836,9468,9408,9408,7236,7188,7200,4932,4908,4908,12912,12852,12840,14208,14196,14184,17496,17496,17484,5028,5028,5028,2220,2196,2196,-552,-552,-564,-240,-264,-264,-756,-756,-756,-3360,-3348,-3360,1344,1368,1356,-1692,-1716,-1704,-2628,-2664,-2652,-1800,-1860,-1872,4524,4464,4464,516,516,516,816,816,804,2796,2796,2784,2316,2292,2292,4176,4128,4140,3372,3336,3348
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","E=Quarterly data published in the Survey of Current Business monthly (NIPA table 5.6.6B)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","  monthly data are underlying detail to the published data.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
