"","Table 1#3#5# Gross Value Added by Sector                        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240","F241","F242","F243","F244","F245","F246","F247","F248","F249","F250","F251","F252","F253","F254","F255"
"11","3","  Nonfarm \2\","A358RC1",175.1,181.9,185.1,193.9,199.6,202.5,208.2,210.3,207.5,204.1,206.3,203.5,212.9,221.6,236.2,243.8,255.3,260,264.9,267.4,270.5,269.1,272.6,287.6,293.3,296.3,295.7,290.3,287.8,288.1,291.8,300.1,312.3,318.5,326.2,332,332.8,337.1,339.8,347.3,355.9,355.9,361,355.5,343.8,345.7,358.2,371.3,380.6,393.4,393,394.3,406.5,402.6,402.7,395.2,398.1,409.3,417.7,427.2,438.1,444.2,449.6,450.1,456.6,464.2,475.3,481.9,496.9,504,513.7,515.5,533,542.1,555.2,572.7,590.7,599,607.3,617,624.3,626.3,636.1,647.3,670.1,690.5,699.4,712.1,733.2,742.3,753.8,755.8,763.2,776.1,788.1,786.6,822.1,837.7,853.2,858.6,892.1,920.6,937,960.2,1002.7,1025.4,1035.8,1058.6,1075.1,1114.4,1132.9,1158.6,1168.4,1194.4,1238.8,1279,1334.4,1362.2,1389,1425,1469.4,1529.5,1582.3,1604.7,1638.6,1745.8,1790.7,1859.7,1886.8,1944.1,2000.7,2041.9,2097,2094.3,2125.4,2222.2,2340.5,2357.1,2427.5,2431,2407.1,2450.5,2467.5,2492.8,2550.7,2648.3,2752.3,2833.3,2904.8,2987,3037.2,3076.2,3140.4,3186.8,3257.1,3297.8,3352.3,3378,3421.6,3456.3,3506.5,3566,3622.6,3707,3750.8,3848.7,3910.1,4008.1,4068.5,4145.6,4204.6,4229.2,4321.2,4383.9,4411.1,4390.4,4401,4465.4,4525.9,4559.6,4630.1,4704.9,4781.7,4878.7,4913.9,4971.3,5034.1,5131.6,5198.1,5307.6,5378.4,5481.3,5525.5,5561.2,5643.1,5704.8,5764.9,5899,5987.4,6096.4,6181.9,6315.2,6422.1,6500.2,6578.5,6654.3,6773.8,6919.9,7010.1,7090,7222.1,7389.1,7449.7,7651.8,7694.6,7771.6,7768.4,7874.4,7834,7873,7963.3,8033.7,8105.6,8139.6,8199.7,8289.2,8529.3,8623.1,8749.1,8895.4,9032,9188.9,9381.8,9486.3,9681.2,9824.5,10043,10156.4,10218.2,10346.6,10462.3,10626.8,10758.4,10843.9,10809.7,10889.6,10901.6,10683.3,10510.4,10473,10540.6,10716.9
"12","4","  Farm","B359RC1",20.3,17,18.9,20,19.9,23.6,23.2,21.7,18.4,17.9,17.2,16.9,17.7,17.9,19.1,20.2,21.2,21.9,21.5,22,20.3,21.1,22.4,19.4,19.6,18.9,18.3,17.9,19.1,18.2,18.3,17.1,17.4,17.9,17.3,16.5,16.7,16.9,17.3,17.3,16.4,16.8,17.3,17.2,19.6,19.7,19,18.1,18,16.9,16.7,17.6,17,18,18.6,19.1,19,17.7,17.9,18.7,19,18.4,17.9,18.4,19,18.3,18.2,18.4,17.2,17.1,16.9,18.2,19.1,19.9,20.1,20.6,22.8,20.3,20.1,20.1,20.2,19.5,20.5,20.2,20.2,19.8,20.7,21.2,20.9,22.4,23.3,24.7,24.1,23,24.2,23.4,24.6,25,25.1,26.8,24.5,27.6,29.9,36.6,36.8,44.6,47.6,58.1,49.1,40.6,42.4,44.9,42.1,43.1,47.8,49.5,45,42.6,42,42.5,43.8,42,39.6,48.8,47.6,51.9,53.1,50.4,60.3,58.5,61.1,60.5,52.4,40,51.6,61.4,61.9,63.7,71.2,63,61.2,60.2,61.6,58.7,57,46.8,35.1,40.9,62.5,64.5,63.4,66.2,67,63.4,61,62.3,56,55.9,63.9,62.1,60.6,60.6,61.3,63.4,68,60.5,64.3,50.2,76.8,72.3,70.8,75.1,79.5,77.9,77.1,74.5,69.9,72.2,67.3,73,78.9,82,83,77.7,67.8,75.1,63.3,79.3,91.6,86.5,81.4,76.1,66.1,63.8,68.2,78.4,91.7,102.6,88.6,90.3,95.2,82.4,88.4,85.7,80.6,77.4,76.1,82.7,82,71.6,67.1,64,68.8,76.7,73.6,75.4,75.9,74.2,77.2,77.6,67,63.9,76.3,82,83.8,92.2,93.8,99.8,122.8,122.7,111.9,115.7,104.1,103.5,102.2,98.3,86.7,90.6,93.6,101.3,110,110.6,114.5,129.5,143.1,132.6,133,119.6,103.8,105.5,100.4,113.7
"13","5","Households and institutions","A193RC1",12.3,13.1,13.6,13.8,14,14.5,15,15.2,15.5,15.8,16,16.7,17.1,17.4,17.9,18.6,19.2,19.6,20.1,20.7,21.2,21.8,22.5,23,23.7,24.4,25,25.3,25.8,26.4,27,28,28.3,29,29.8,30.7,31,31.5,32.3,33,33.6,34.3,35,35.6,36.4,37.5,37.9,38.4,39.2,40.1,41.1,42.3,43.1,44.2,45,45.9,46.4,46.8,47.5,48.6,49.5,50.5,51.5,52.5,53.1,53.8,54.6,55.5,56.4,57.4,58,59,59.8,61.1,62.5,63.9,64.7,65.6,67.4,68.8,70,71.1,72.4,73.7,75,76.5,78.2,80.2,82,84.1,86.5,88.9,89.9,91.4,93.4,95.7,98.8,100.9,103.2,105.9,108.2,110.3,112.2,114.7,117.4,120.2,123,126.1,128.9,131.9,135.1,138.6,142.4,145.7,149.3,152.7,155.5,158.5,161.9,165.9,168.7,172.5,177.8,183,183.5,193.1,201.8,209,213,216.3,222.7,231.2,240.8,250.3,257,266.1,274.9,282.7,291.5,301.2,308.8,314.6,323.7,330.4,336.4,343.7,351.1,361.5,367.8,374.1,385.3,393.9,398.3,406.5,413.1,422.5,431,438.4,446.5,453.1,463.7,472.5,486.4,508.7,512.4,523.9,534.2,548.2,557.6,569,579.7,590.5,602.7,618.3,634.1,640.7,650.9,660.1,670,682.8,690.6,708.1,718.2,727.7,741.8,748.7,754.9,762.9,776.8,791.4,809.1,822.7,837.4,848.2,854.5,868.1,879.3,889.9,902.5,916.3,928.9,942.2,955.9,970,982.2,999.8,1020.3,1038.2,1053,1076.4,1088.6,1113.7,1130.5,1146.3,1164.6,1187.3,1206.2,1221.5,1245,1258.9,1278.2,1301.6,1303.4,1309,1332,1337.1,1333.7,1386,1389.5,1408.3,1440.8,1456.6,1477.2,1498.6,1513.9,1536.1,1570.4,1599.3,1619.6,1622,1648.7,1666.4,1697.6,1734.6,1761.5,1796.2,1812.4,1829.5,1823.9,1814.7,1836.5,1846.3
"14","6","  Households","B701RC1",9.2,9.5,10,10.2,10.3,10.5,10.8,11,11.1,11.4,11.6,12.2,12.5,12.8,13.2,13.5,14.1,14.4,14.9,15.1,15.4,16.2,16.9,17.1,17.4,18.1,18.7,19,19.3,19.7,20.2,20.8,21.3,21.6,22.3,22.9,23.3,23.6,24.1,24.5,25,25.5,26.1,26.5,26.9,27.7,28.2,28.6,29,29.7,30.4,31.2,31.6,32.2,32.8,33.5,34,34.2,34.7,35.5,36.1,36.6,37.3,38.1,38.4,38.8,39.3,39.8,40.3,41,41.4,41.9,42.4,43.2,44,44.8,45.3,45.6,46.6,47.5,48.1,48.7,49.4,50.2,50.7,51.5,52.2,53.2,54.2,55.4,56.5,57.6,58.3,59,60.2,61.8,63.3,64.7,66.3,67.8,69.2,70.2,71.3,72.5,74.1,75.6,77.2,79,80.7,82,83.7,85.7,87.9,89.8,91.6,93.6,95.4,97.4,99.7,102.2,103.8,106.2,109.5,112.1,116.8,119.1,122.3,127,130.7,132.7,137.1,143.3,149.1,155.1,158.1,163.9,169.5,174.6,180.4,186.8,191,194,199.1,202.6,206,210.1,213.7,220.3,223.5,226,234.2,240.3,243,248.8,252,257.5,262.1,265.8,270.3,273.7,278.3,282.7,291.9,299.2,305.6,308.4,314.8,323.5,328.2,334.9,340.4,345.5,351.7,360.2,368.7,372.8,377.5,380,385.3,392,394.7,403.3,409.5,413.6,423.6,426.7,428.7,434,444.1,455.8,468.5,476.7,483.9,490.2,492.6,502.1,508.6,515.6,523.4,531.4,539.6,547,554.6,562.4,569.2,578.3,589.9,598.1,610.1,622.1,633.5,648,659.4,666.7,676.7,691.1,699.6,712,730.8,735.7,741.1,753.2,745.4,744.3,759.3,757.6,747.6,786.2,787.4,795.9,813.6,827.3,845.9,859.4,866.9,885.3,906,924.3,938.4,930.4,947.4,958.3,981.7,1007.6,1025,1050.6,1057.1,1062,1063.4,1054.5,1065.6,1064.9
"15","7","  Nonprofit institutions serving households \3\","B702RC1",3.1,3.6,3.6,3.7,3.8,4,4.2,4.2,4.3,4.4,4.4,4.5,4.6,4.7,4.7,5.1,5.2,5.2,5.2,5.6,5.9,5.6,5.6,5.9,6.2,6.3,6.3,6.3,6.5,6.7,6.8,7.1,7,7.3,7.5,7.7,7.7,7.9,8.2,8.5,8.6,8.8,9,9.1,9.5,9.8,9.8,9.9,10.2,10.4,10.7,11.1,11.5,11.9,12.1,12.4,12.5,12.6,12.8,13.1,13.5,13.9,14.2,14.5,14.7,15,15.3,15.7,16.1,16.3,16.6,17,17.4,17.9,18.4,19.1,19.4,20,20.8,21.3,21.9,22.4,23,23.5,24.3,25,26,27.1,27.8,28.7,29.9,31.2,31.6,32.4,33.2,34,35.4,36.2,36.9,38.1,39,40.1,40.9,42.1,43.3,44.6,45.8,47.1,48.2,49.9,51.4,52.9,54.4,55.8,57.6,59,60.2,61.1,62.3,63.7,65,66.3,68.3,70.9,66.7,74,79.6,82,82.2,83.5,85.6,87.9,91.7,95.1,98.9,102.2,105.4,108.1,111.1,114.4,117.7,120.6,124.6,127.8,130.4,133.6,137.4,141.2,144.3,148.2,151.1,153.6,155.3,157.8,161.1,164.9,168.9,172.5,176.2,179.5,185.3,189.9,194.5,209.5,206.8,215.5,219.4,224.7,229.4,234.1,239.3,245,251,258.1,265.5,268,273.3,280.1,284.7,290.8,295.8,304.8,308.7,314.2,318.2,322,326.2,328.9,332.7,335.6,340.6,345.9,353.5,358,361.9,366,370.7,374.3,379.1,384.9,389.3,395.2,401.3,407.6,413,421.5,430.4,440.1,442.9,454.3,455,465.8,471.1,479.6,487.9,496.1,506.7,509.4,514.2,523.1,537.1,548.4,557.9,564.8,572.8,579.5,586.1,599.8,602.1,612.4,627.2,629.2,631.3,639.1,646.9,650.7,664.4,675,681.2,691.6,701.3,708.1,716,727,736.5,745.5,755.3,767.5,760.5,760.1,770.9,781.3
"16","8","General government \4\","A765RC1",29.4,28.4,26.9,26.6,26.8,26.7,27.4,28,28.6,28.4,28.2,28.1,27.5,27.6,28.7,30.8,33.3,35.1,37,37.8,39.1,40.2,41,41.4,41.8,42.3,42.1,42.4,42.5,43.3,43.7,44.2,44.6,45.5,46.2,46.8,47.7,48.7,49.7,50.4,51.3,52.2,53.1,53.2,54.1,55.2,56.6,57.2,57.6,58,58.5,59,60.3,61.5,62.7,63.5,64.3,65.2,66.4,68,69.4,70.1,70.9,72.3,73.7,74.8,75.8,77.7,79.1,80.4,81.8,83,83.8,85.1,87.4,90.2,92.6,95,98.4,101,103.3,105.3,108,111.5,114.5,117.2,120.9,122.7,124.7,127.3,132.7,135.1,139.8,142.5,144.9,147,152.6,155.3,157.5,160,165.3,167.1,170.1,175.2,178.3,181.2,184.4,189.1,193.5,197.9,203.2,210.6,216.6,221.9,226.6,232.7,236.9,241,244.8,251.1,256.6,261.3,266.2,274.4,279.4,283.9,289.6,297,303.2,307.6,315.2,325.8,333.9,343.4,351.1,365.5,374.2,380.8,386.8,399.5,407.9,415.7,421.6,430.7,436.9,443.5,448.6,452.4,472.3,480.7,490.1,497.5,511.4,518.9,527.2,536.1,543,551.1,559.4,571.7,580.3,587.6,594.3,604,617.4,626.2,634.3,644.5,657.5,666.7,677.8,686.9,704.7,717.3,728.3,740.3,758.4,764.3,770.5,777.2,791.2,800.2,806.9,809.5,821,827.6,836,840,849.8,858.8,862.9,868.1,878.6,882.5,886.7,891.2,902.3,908.6,914.3,919.9,931,937,943.5,949.7,959.3,967.2,977,986.7,1003.5,1014.5,1027.4,1040.9,1060.5,1074.4,1084.6,1095.6,1114.6,1131.3,1149,1163.7,1190.2,1202.7,1216.5,1236.3,1272.8,1289.5,1298.9,1307.6,1335.8,1352,1365.8,1383.7,1416.4,1428.4,1444.3,1456.8,1483.2,1501.6,1521.4,1541.6,1574.5,1593.4,1609.3,1629.9,1659.7,1679.5,1699.6,1715,1739.8,1758,1764.7,1776.9
"17","9","  Federal","A766RC1",21.1,19.8,18,17.3,17.2,16.8,17,17.2,17.7,17.5,16.9,16.7,16.1,16,16.7,18.5,20.6,22.2,23.6,24.1,25.2,26,26.4,26.5,26.6,26.9,26.5,26.4,26.3,26.6,26.5,26.7,26.9,27.6,27.8,27.9,28.2,28.6,29,29.1,29.6,29.9,30.2,29.8,30.3,30.7,31.6,31.7,31.7,31.8,31.9,32,32.3,32.8,33.4,33.6,33.7,34,34.4,35.4,36.1,36.3,36.5,37.2,37.7,38.1,38.4,39.4,40,40.3,41.1,41.3,41.2,41.5,42.5,44.3,45.3,46.3,48.1,49.1,50.1,50.7,51.6,53.6,54.5,55.6,57.6,57.6,57.9,58.4,61.6,61.8,63.8,64,64.1,64.2,67,67.5,67.7,68.6,71.2,70.6,70.9,73.4,73.2,73.1,73.6,75.7,77.1,78.1,79.7,83.4,85.2,86.1,87.3,90.7,91.6,92.6,93.8,97.3,99.5,100.9,101.7,106,107.1,108.5,109.9,113.3,114.4,115.8,117.5,122.8,125.3,128.9,130.9,139.8,142.8,145.2,146.9,154.6,157.1,159.9,161.8,166.2,168,170.8,172.7,173.4,187.9,190.9,194,195.5,202.5,204.4,204.9,208.3,209.9,211.6,213.4,215.4,220.5,221.9,224.3,226.4,231.4,233.7,236,237.9,244.3,245.9,248,247.7,254.4,257.8,259.2,263.7,274.8,274.4,274.9,275.2,281.7,283.4,283.1,279.8,284.6,284.9,286.5,284.8,286.7,287.5,284,282.5,286,283.8,283,281.6,287.6,287.9,287.8,286.9,291.2,290.4,290,288.5,291.7,291.8,292.4,293.1,299.5,299.3,300.3,302.4,312.3,316.3,316.2,315.5,320.6,322.9,326.4,329.8,348.4,350.1,350.8,358,378.7,383.1,384.2,385.7,405.4,410.9,413.9,417.9,437.5,436.9,439.5,441,455.8,459.7,462.4,464.7,480.7,484,487.3,490.9,505.3,511.8,518.5,525.2,543.8,554.3,563.6,573.1
"18","10","  State and local","A767RC1",8.3,8.6,8.9,9.3,9.6,9.9,10.4,10.8,10.9,11,11.2,11.3,11.4,11.6,11.9,12.3,12.7,13,13.4,13.7,13.9,14.2,14.6,14.9,15.2,15.4,15.6,15.9,16.2,16.8,17.2,17.5,17.7,18,18.4,18.9,19.5,20.1,20.7,21.3,21.7,22.3,22.9,23.4,23.8,24.5,25,25.5,25.9,26.3,26.6,27.1,28,28.6,29.3,29.9,30.6,31.2,32,32.6,33.3,33.9,34.4,35.1,36,36.7,37.4,38.3,39.2,40,40.8,41.6,42.6,43.6,44.8,45.9,47.3,48.7,50.3,52,53.2,54.6,56.4,57.9,60,61.6,63.3,65.2,66.8,68.9,71.1,73.3,76,78.5,80.7,82.8,85.6,87.7,89.8,91.4,94.1,96.4,99.2,101.8,105,108.1,110.8,113.3,116.4,119.8,123.5,127.2,131.4,135.8,139.3,142.1,145.4,148.4,151.1,153.8,157.1,160.4,164.5,168.4,172.3,175.4,179.7,183.7,188.9,191.8,197.7,203.1,208.7,214.5,220.3,225.7,231.4,235.6,239.9,244.9,250.8,255.8,259.8,264.6,268.9,272.7,275.9,279,284.4,289.8,296.1,302,308.9,314.6,322.3,327.9,333.1,339.5,346,356.3,359.8,365.7,369.9,377.5,386,392.6,398.3,406.6,413.2,420.8,429.8,439.2,450.3,459.5,469.1,476.6,483.6,490,495.6,501.9,509.5,516.8,523.8,529.7,536.5,542.7,549.5,555.2,563.1,571.3,578.9,585.7,592.7,598.7,603.7,609.6,614.7,620.7,626.5,633,639.9,646.5,653.5,661.2,667.6,675.4,684.5,693.6,704,715.2,727,738.5,748.2,758.1,768.4,780.1,794.1,808.3,822.5,833.8,841.8,852.6,865.7,878.3,894.1,906.3,914.7,921.9,930.3,941.2,952,965.8,978.9,991.5,1004.8,1015.7,1027.5,1041.9,1059,1076.9,1093.8,1109.3,1122,1139,1154.4,1167.7,1181.1,1189.7,1196,1203.8,1201.1,1203.8
"19",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Gross housing value added","A2009C1",11.5,11.9,12.3,12.7,13,13.4,13.7,14,14.4,14.7,15.1,15.4,15.8,16.2,16.7,17.2,17.7,18.2,18.8,19.3,19.9,20.5,21.1,21.7,22.3,22.9,23.5,24,24.6,25.1,25.6,26.1,26.5,26.9,27.4,27.8,28.3,28.8,29.3,29.9,30.5,31.1,31.8,32.4,33,33.6,34.3,34.9,35.8,36.5,37.3,38.2,38.9,39.4,40.2,41.1,41.7,42.4,43.1,44,44.7,45.6,46.4,47.4,47.8,48.5,49.2,50,50.5,51.2,51.9,52.9,53.6,54.4,55.3,56.2,57,57.7,58.6,59.7,60.7,61.5,62.6,63.6,64.5,65.2,66.3,67.7,69,70.5,72.1,73.5,74.6,75.7,77.3,79.1,81,82.9,85,86.9,88.7,90.2,91.8,93.5,95.5,97.3,99.2,101.3,103.5,105.4,107.8,110.7,113.7,115.9,118.3,120.9,122.9,125,127.7,130.8,135.7,138.7,141.9,145.6,151.1,153.7,156.3,161,165.8,168.8,174.5,182.8,189.4,197.1,202.3,210.6,217.9,224.5,231.7,241.1,247.7,251.2,259.1,265,269,274.6,280.5,286.8,290.5,294.6,304.5,315.7,320.9,328.4,337.4,345.6,351,358.2,362.8,367,375.2,379.4,389.7,397.7,406.3,409.9,417.6,427.4,432.5,440.3,446.9,453.8,462.2,473.3,484.5,491.1,498.3,503,510.9,520.1,525.7,536.3,543.7,548.6,558,561.1,563.1,569.6,582.1,595.7,611,621.5,630.9,638.6,641.3,652,658.7,666.2,675.5,684.7,695.1,704.2,713,721.9,728.5,738.7,752.3,761.6,776.5,790.9,804.4,821.5,833.8,841.7,853.5,870.6,881,895.3,917.8,923.6,930,943.5,931,925.4,938.4,932.7,917.5,964.3,966.8,977,998.1,1012.8,1033.1,1047.7,1056.1,1079.2,1104.9,1127.8,1146.7,1143.7,1166.8,1185.6,1217.5,1251.8,1274.6,1306.2,1318.3,1326.9,1330,1322.9,1335.6,1336.5
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","1. Equals gross domestic product excluding gross value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2. Equals gross domestic business value added excluding gross farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
