"","Table 1#6#8# Contributions to Percent Change in the Gross Domest","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"1","                                                                                                                                                                                                                                                          ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1930 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published April 30, 2010    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/29/2010 9:11:59 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"8",NA,"Percent change at annual rate:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","  Gross domestic purchases","A712RV1",-4.1,-9.8,-11.6,-2.8,4.8,2,1.2,3.9,-2,-1.1,0.7,6.4,8,5.6,2.3,2.7,12.2,11,5.8,0.1,1.1,7.2,2,1.1,1.1,1.4,3.4,3.4,2.2,1.2,1.4,1.1,1.3,1.2,1.6,1.7,2.8,2.9,4.2,4.9,5.4,5.1,4.4,5.8,10.3,9.3,5.7,6.8,7.1,8.8,10.5,9.2,5.7,3.5,3.5,2.8,2.3,3.1,3.4,3.8,4.1,3.3,2.4,2.1,2.1,2.1,1.8,1.5,0.7,1.6,2.5,1.9,1.4,2.3,3,3.7,3.4,2.9,3.2,0
"10",NA,"Percentage points at annual rates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2","Personal consumption expenditures","DPCERS2",-3.23,-8.42,-9.57,-2.92,3.63,1.88,0.69,2.7,-1.69,-0.71,0.61,4.23,7.24,4.72,2.79,2.03,4.28,6.96,3.85,-0.52,0.8,4.36,1.27,0.82,0.53,0.26,1.26,1.91,1.48,0.95,1.04,0.67,0.74,0.73,0.92,0.9,1.57,1.55,2.39,2.79,2.92,2.67,2.14,3.35,6.46,5.28,3.48,4.07,4.34,5.46,6.66,5.57,3.46,2.73,2.38,2.04,1.53,2.25,2.54,2.79,2.96,2.37,1.94,1.46,1.37,1.47,1.44,1.24,0.63,1.06,1.64,1.27,0.92,1.37,1.75,1.99,1.82,1.78,2.23,0.13
"12","3","  Goods","DGDSRS2",-2.26,-5.88,-5.77,-0.33,4.12,1.13,0.16,1.53,-1.72,-0.63,0.36,3.2,5.48,3.32,1.8,1.3,2.71,4.96,2.46,-0.96,0.13,3.1,0.36,-0.16,-0.13,-0.21,0.61,1.1,0.79,0.18,0.27,0.13,0.17,0.27,0.35,0.34,0.71,0.56,1.1,1.21,1.19,0.93,0.78,1.8,3.73,2.45,1.19,1.59,1.78,2.7,3.19,2.1,0.76,0.5,0.51,0.42,-0.12,0.83,0.68,0.99,1.04,0.62,0.3,0.21,0.25,0.23,0.27,-0.03,-0.36,0.12,0.48,-0.02,-0.25,-0.01,0.36,0.51,0.35,0.29,0.74,-0.55
"13","4","    Durable goods","DDURRS2",-0.53,-0.87,-0.86,-0.16,0.41,-0.04,0.04,0.33,0,-0.09,0.08,0.61,1.06,0.38,0.43,0.21,0.26,0.77,0.48,0.07,0.05,0.69,0.06,-0.07,-0.2,-0.04,0.23,0.34,0.16,0.14,-0.03,0.02,0.04,0.03,0.04,-0.08,-0.02,0.15,0.29,0.26,0.2,0.31,0.1,0.14,0.61,0.78,0.49,0.42,0.52,0.6,0.74,0.54,0.3,0.16,0.12,0.09,0.1,0.26,0.15,0.17,0.09,0.12,0.06,0.08,0.16,0.06,-0.09,-0.19,-0.25,-0.25,-0.16,-0.18,-0.23,-0.32,-0.16,-0.09,-0.13,-0.15,-0.09,-0.11
"14","5","      Motor vehicles and parts","DMOTRS2",-0.1,-0.15,-0.11,-0.12,0.1,-0.04,0.01,0.07,0.09,-0.05,0,0.24,0.35,0.02,0.03,0.01,0.22,0.23,0.22,0.12,0.01,0.21,0.14,-0.07,-0.12,0.04,0.18,0.23,0.13,0.17,-0.07,0.02,0.06,0.03,0.03,-0.03,-0.03,0.05,0.13,0.08,0.11,0.17,0.01,0.02,0.22,0.32,0.26,0.22,0.27,0.28,0.24,0.23,0.14,0.1,0.1,0.09,0.11,0.18,0.06,0.11,0.01,0.09,0.06,0.13,0.16,0.14,0.07,0.01,-0.04,0.01,0.01,0.01,-0.02,-0.1,-0.02,0.05,0,-0.02,-0.02,0
"15","6","      Furnishings and durable household equipment","DFDHRS2",-0.13,-0.38,-0.45,0.01,0.25,0.02,0.02,0.23,-0.06,-0.03,0.03,0.26,0.45,0.31,0.25,0.15,0.01,0.28,0.17,-0.09,0.07,0.39,-0.04,0.01,-0.02,-0.03,0.03,0.06,-0.01,0,0.03,0.01,0,0,0,-0.02,0.02,0.06,0.11,0.1,0.06,0.05,0.04,0.07,0.23,0.27,0.11,0.1,0.13,0.16,0.2,0.17,0.12,0.05,0.03,0.02,0.02,0.04,0.03,0.01,0.02,0.01,0.02,0.01,0.03,0,0.01,0,0,-0.03,-0.01,-0.04,-0.04,-0.06,-0.03,0,-0.01,-0.02,-0.01,-0.01
"16","7","      Recreational goods and vehicles","DREQRS2",-0.27,-0.29,-0.19,-0.06,0.03,-0.01,-0.01,0.02,0,-0.02,0.02,0.02,0.12,0,0.04,0.01,0.02,0.19,0.07,0.04,-0.01,0.03,-0.04,-0.02,-0.04,-0.04,0.01,0.05,0.03,-0.04,0.01,-0.01,-0.01,0,-0.02,-0.02,-0.02,0.01,0.03,0.04,0,0.06,0.03,0.03,0.08,0.12,0.07,0.05,0.07,0.08,0.1,0.07,0.04,-0.02,-0.02,-0.03,-0.06,-0.02,-0.01,-0.01,-0.02,-0.02,-0.06,-0.07,-0.04,-0.09,-0.16,-0.19,-0.19,-0.2,-0.15,-0.16,-0.15,-0.15,-0.11,-0.12,-0.14,-0.15,-0.11,-0.13
"17","8","      Other durable goods","DODGRS2",-0.02,-0.05,-0.1,0,0.03,-0.02,0.02,0.01,-0.03,0.01,0.03,0.08,0.14,0.05,0.11,0.04,0,0.07,0.01,-0.01,-0.01,0.06,0,0,-0.02,-0.01,0.01,0.01,0,0,0,0,0,0,0.02,0,0,0.02,0.02,0.04,0.02,0.03,0.03,0.03,0.07,0.08,0.05,0.05,0.06,0.08,0.19,0.05,0.01,0.03,0.02,0.01,0.02,0.07,0.07,0.05,0.07,0.04,0.03,0.01,0.02,0.02,-0.01,-0.01,-0.02,-0.03,-0.01,0,-0.02,-0.02,0,-0.01,0.02,0.04,0.05,0.02
"18","9","    Nondurable goods","DNDGRS2",-1.73,-5.01,-4.91,-0.17,3.71,1.17,0.12,1.2,-1.71,-0.54,0.28,2.59,4.42,2.94,1.38,1.09,2.46,4.19,1.98,-1.03,0.08,2.41,0.3,-0.09,0.07,-0.17,0.37,0.76,0.63,0.04,0.3,0.1,0.13,0.24,0.31,0.42,0.73,0.41,0.8,0.95,0.99,0.62,0.68,1.66,3.12,1.67,0.7,1.17,1.26,2.09,2.45,1.57,0.46,0.33,0.39,0.33,-0.22,0.57,0.53,0.82,0.96,0.5,0.24,0.13,0.09,0.17,0.35,0.16,-0.11,0.37,0.64,0.16,-0.01,0.31,0.53,0.59,0.47,0.44,0.83,-0.43
"19","10","      Food and beverages purchased for off-premises consumption","DFXARS2",-1.05,-3.24,-2.92,0.09,2.08,1.36,0.03,0.55,-1.37,-0.17,0.09,1.58,2.57,1.84,0.32,0.37,1.5,2.49,0.82,-0.64,0.07,1.44,0.33,-0.26,-0.01,-0.24,0.09,0.38,0.52,-0.13,0.1,0.06,0.09,0.11,0.22,0.21,0.43,0.01,0.3,0.44,0.55,0.23,0.45,1.13,1.39,0.73,0.18,0.53,0.81,0.83,0.72,0.6,0.22,0.09,0.22,0.08,0.16,0.21,0.2,0.34,0.32,0.21,0.05,0.09,0.1,0.13,0.18,0.11,0.07,0.09,0.12,0.15,0.08,0.1,0.16,0.09,0.09,0.19,0.3,0.06
"20","11","      Clothing and footwear","DCLORS2",-0.4,-1.11,-1.58,0.15,1.23,-0.15,0.01,0.39,-0.18,-0.18,0.08,0.68,1.24,0.74,0.79,0.57,0.64,0.64,0.46,-0.32,-0.05,0.55,-0.1,-0.01,0.01,-0.02,0.1,0.08,0.02,0.04,0.07,0.03,0.01,0.04,0.04,0.04,0.13,0.19,0.25,0.24,0.17,0.16,0.08,0.14,0.32,0.19,0.13,0.17,0.07,0.08,0.14,0.12,0.05,0.05,0.02,0.07,-0.01,0.1,0.11,0.05,0.11,0.06,0.02,-0.02,-0.06,-0.07,-0.04,0,-0.05,-0.04,-0.03,-0.05,-0.07,-0.06,-0.01,-0.02,-0.01,-0.02,-0.02,0.02
"21","12","      Gasoline and other energy goods","DGOERS2",-0.11,-0.41,-0.09,-0.1,0.24,-0.04,0.11,0.08,-0.07,-0.14,0,0.17,0.17,0.07,0.03,0,0.09,0.35,0.41,0.05,0.03,0.08,0.05,0.11,0.05,0.03,0.09,0.14,-0.04,0.04,0.05,0,0.01,0.01,-0.03,0.09,0.06,0.09,0.05,0.08,0.04,0.04,0.03,0.25,0.94,0.21,0.14,0.2,0.13,0.9,1.17,0.46,-0.17,-0.13,-0.03,0.01,-0.55,0.07,0.01,0.17,0.28,-0.04,-0.02,-0.02,0,0.02,0.12,0,-0.22,0.12,0.44,-0.06,-0.11,0.27,0.31,0.45,0.29,0.2,0.43,-0.75
"22","13","      Other nondurable goods","DONGRS2",-0.18,-0.25,-0.32,-0.31,0.15,-0.01,-0.03,0.19,-0.09,-0.05,0.1,0.16,0.43,0.29,0.24,0.15,0.23,0.71,0.29,-0.12,0.02,0.33,0.02,0.07,0.01,0.05,0.08,0.16,0.12,0.08,0.08,0.01,0.02,0.07,0.08,0.07,0.1,0.13,0.2,0.19,0.24,0.2,0.12,0.13,0.47,0.55,0.25,0.27,0.24,0.3,0.42,0.39,0.36,0.32,0.17,0.18,0.18,0.18,0.21,0.26,0.24,0.26,0.18,0.08,0.03,0.09,0.09,0.05,0.09,0.2,0.11,0.12,0.09,0.01,0.06,0.08,0.11,0.07,0.13,0.24
"23","14","  Services","DSERRS2",-0.97,-2.54,-3.8,-2.59,-0.49,0.75,0.52,1.16,0.03,-0.09,0.25,1.03,1.76,1.4,0.98,0.73,1.56,2,1.39,0.44,0.67,1.26,0.91,0.98,0.67,0.47,0.66,0.81,0.69,0.77,0.77,0.54,0.57,0.46,0.56,0.56,0.86,0.99,1.3,1.58,1.73,1.74,1.36,1.55,2.73,2.83,2.29,2.48,2.55,2.76,3.47,3.46,2.7,2.23,1.87,1.61,1.66,1.42,1.86,1.81,1.92,1.75,1.65,1.25,1.12,1.24,1.18,1.27,0.99,0.94,1.17,1.29,1.16,1.38,1.39,1.48,1.47,1.49,1.49,0.67
"24","15","    Household consumption expenditures","DHCERS2",-0.91,-2.41,-3.69,-2.52,-0.57,0.74,0.49,1.1,0.06,-0.09,0.25,0.98,1.69,1.35,0.95,0.71,1.48,1.85,1.32,0.44,0.64,1.2,0.91,0.97,0.64,0.45,0.62,0.77,0.67,0.75,0.84,0.53,0.56,0.44,0.56,0.54,0.83,0.96,1.26,1.51,1.68,1.68,1.31,1.48,2.57,2.73,2.24,2.41,2.48,2.66,3.37,3.4,2.75,2.32,1.91,1.64,1.69,1.44,1.87,1.89,2.02,1.85,1.77,1.32,1.12,1.24,1.15,1.21,0.9,0.89,1.08,1.22,1.15,1.41,1.39,1.41,1.43,1.46,1.47,0.7
"25","16","      Housing and utilities","DHUTRS2",-0.35,-0.74,-1.53,-1.62,-1.23,0.04,0.2,0.42,0.29,-0.03,0.03,0.14,0.19,0.04,0.05,0.07,0.12,0.26,0.42,0.23,0.26,0.33,0.33,0.4,0.26,0.15,0.15,0.18,0.2,0.17,0.2,0.15,0.12,0.12,0.1,0.09,0.15,0.18,0.24,0.33,0.46,0.54,0.4,0.47,0.59,0.85,0.77,0.93,0.75,0.86,1.14,1.22,1.04,0.75,0.58,0.6,0.55,0.42,0.46,0.47,0.51,0.4,0.34,0.35,0.31,0.33,0.36,0.33,0.28,0.28,0.39,0.54,0.35,0.38,0.31,0.41,0.51,0.43,0.43,0.15
"26","17","      Health care","DHLCRS2",0.01,-0.17,-0.33,-0.04,0.1,0.14,0.05,0.06,0.04,-0.02,0.07,0.05,0.11,0.12,0.1,0.07,0.15,0.22,0.12,0.03,0.05,0.1,0.1,0.1,0.08,0.08,0.09,0.11,0.11,0.08,0.2,0.07,0.08,0.09,0.12,0.11,0.16,0.24,0.25,0.29,0.33,0.24,0.2,0.23,0.47,0.59,0.52,0.46,0.47,0.55,0.71,0.76,0.73,0.62,0.51,0.41,0.41,0.47,0.59,0.69,0.7,0.67,0.65,0.51,0.38,0.35,0.22,0.19,0.17,0.2,0.25,0.3,0.25,0.37,0.36,0.31,0.3,0.36,0.27,0.26
"27","18","      Transportation services","DTRSRS2",-0.02,-0.11,-0.18,-0.14,0.05,0.05,-0.01,-0.01,0.01,0.01,-0.04,0.03,0.1,0.04,-0.01,0.02,0.07,0.16,0.15,0.13,0.09,0.13,0.07,0.08,0.06,0.04,0.06,0.06,0.05,0.05,0.04,0.05,0.04,0.01,0.02,0.03,0.03,0.06,0.08,0.11,0.14,0.14,0.08,0.09,0.16,0.21,0.15,0.14,0.13,0.17,0.31,0.23,0.11,0.07,0.08,0.04,0.02,0.09,0.1,0.1,0.08,0.06,0.06,0.07,0.03,0.05,0.03,0.06,0.04,0.04,0.08,0.03,0.01,0.05,0.03,0.08,0.09,0.05,0.11,0.05
"28","19","      Recreation services","DRCARS2",-0.03,-0.08,-0.09,-0.1,0.01,0.02,0.03,0.06,0.03,-0.01,0.01,0.05,0.07,0.09,0.14,0.06,0.1,0.12,0.05,0.02,0.01,0.04,0.04,0.05,0.05,0.04,0.04,0.04,0.04,0.03,0.04,0.03,0.03,0.03,0.04,0.03,0.03,0.04,0.07,0.06,0.06,0.06,0.03,0.05,0.1,0.11,0.07,0.07,0.09,0.09,0.11,0.1,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.1,0.11,0.11,0.07,0.07,0.05,0.05,0.08,0.08,0.06,0.08,0.1,0.08,0.07,0.08,0.07,0.07,0.08,0.07,0.08,0.03
"29","20","      Food services and accommodations","DFSARS2",-0.22,-0.52,-0.64,-0.13,0.29,0.3,0.01,0.15,-0.21,-0.09,0.05,0.39,0.68,0.52,0.2,0.18,0.64,0.65,0.23,-0.13,0.08,0.33,0.1,-0.04,0.05,-0.01,0.05,0.13,0.1,0.14,0.11,0.08,0.1,0.08,0.06,0.07,0.15,0.21,0.2,0.23,0.29,0.21,0.15,0.27,0.46,0.37,0.28,0.3,0.36,0.45,0.42,0.38,0.25,0.19,0.19,0.17,0.16,0.17,0.18,0.2,0.2,0.18,0.1,0.09,0.08,0.1,0.11,0.12,0.11,0.1,0.11,0.11,0.1,0.08,0.13,0.13,0.13,0.15,0.16,0.1
"30","21","      Financial services and insurance","DIFSRS2",-0.07,-0.26,-0.33,-0.15,0.11,0.12,0.12,0.12,-0.06,-0.02,0.07,0.06,0.12,0.07,0.06,0.05,0.17,0.08,0.09,0.03,0.04,0.02,0.11,0.21,0.08,0.07,0.07,0.08,0.04,0.14,0.11,0.09,0.11,0,0.11,0.07,0.16,0.06,0.2,0.25,0.15,0.18,0.19,0.07,0.25,0.24,0.13,0.25,0.43,0.19,0.27,0.25,0.2,0.36,0.25,0.17,0.23,0.11,0.25,0.15,0.21,0.2,0.35,0.06,0.08,0.19,0.2,0.29,0.12,0.05,0.05,-0.03,0.14,0.23,0.28,0.19,0.12,0.23,0.17,-0.03
"31","22","      Other services","DOTSRS2",-0.24,-0.52,-0.59,-0.34,0.1,0.07,0.1,0.31,-0.04,0.07,0.05,0.25,0.41,0.48,0.41,0.27,0.23,0.36,0.25,0.11,0.12,0.24,0.16,0.16,0.08,0.07,0.16,0.16,0.13,0.14,0.14,0.06,0.08,0.11,0.11,0.13,0.15,0.17,0.23,0.25,0.25,0.31,0.26,0.3,0.54,0.36,0.31,0.25,0.25,0.34,0.41,0.46,0.35,0.26,0.24,0.17,0.25,0.12,0.21,0.19,0.21,0.24,0.21,0.18,0.19,0.17,0.15,0.15,0.11,0.14,0.11,0.18,0.23,0.22,0.2,0.22,0.2,0.17,0.25,0.13
"32","23","    Final consumption expenditures of nonprofit institutions serving households (NPISHs)","DNPIRS2",-0.05,-0.13,-0.12,-0.06,0.08,0.01,0.03,0.06,-0.03,0,0,0.05,0.07,0.05,0.03,0.03,0.09,0.15,0.07,0.01,0.03,0.07,0,0.01,0.02,0.02,0.04,0.04,0.02,0.02,-0.07,0.01,0.01,0.02,0,0.03,0.04,0.03,0.04,0.06,0.05,0.06,0.04,0.07,0.15,0.1,0.06,0.07,0.07,0.1,0.11,0.06,-0.06,-0.09,-0.05,-0.02,-0.04,-0.02,-0.01,-0.08,-0.11,-0.1,-0.13,-0.07,0,0,0.03,0.06,0.09,0.05,0.08,0.08,0.01,-0.03,-0.01,0.06,0.03,0.02,0.02,-0.02
"33","24","Gross private domestic investment","A006RS2",-0.59,-0.81,-0.83,-0.27,-0.02,-0.06,0.1,0.86,-0.34,-0.07,0.3,1,1.07,0.22,0.1,0.11,0.9,2.69,1.35,0.17,0.33,1.59,0.29,0.02,0.1,0.22,0.95,0.54,0.03,0.14,0.08,-0.04,0.01,-0.05,0.09,0.26,0.34,0.43,0.58,0.75,0.65,0.76,0.68,0.93,1.7,1.88,0.83,1.25,1.48,1.71,1.71,1.67,0.87,-0.04,0.12,0.18,0.36,0.31,0.37,0.38,0.3,0.2,-0.05,0.16,0.19,0.17,-0.07,-0.06,-0.19,-0.02,0.19,0.14,0.06,0.21,0.53,0.73,0.71,0.35,0.1,-0.04
"34","25","  Fixed investment","A007RS2",-0.54,-0.79,-0.89,-0.09,0.3,0.03,0.08,0.82,0.13,-0.05,0.27,0.82,0.81,0.19,0.12,0.15,0.85,2.27,1.32,0.3,0.35,1.35,0.36,0.12,0.11,0.25,0.91,0.54,0.04,0.14,0.08,-0.05,0.01,-0.04,0.09,0.26,0.32,0.41,0.58,0.73,0.64,0.75,0.67,0.9,1.59,1.87,0.86,1.23,1.44,1.64,1.68,1.61,0.92,-0.03,0.1,0.21,0.39,0.3,0.4,0.37,0.3,0.21,-0.04,0.16,0.19,0.17,-0.04,-0.04,-0.15,-0.01,0.2,0.15,0.06,0.22,0.52,0.72,0.7,0.35,0.12,-0.15
