"","Table 1#5#3# Real Gross Domestic Product, Expanded Detail, Quant","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240","F241","F242","F243","F244","F245","F246","F247","F248","F249","F250","F251","F252","F253","F254","F255"
"11","3","  Goods","DGDSRA3",13.233,13.471,13.561,13.612,13.631,13.755,13.741,13.832,13.811,14.114,14.185,14.502,14.783,14.941,16.059,15.213,15.548,14.759,14.921,15.042,14.969,15.305,15.289,16.062,16.274,16.305,16.168,16.069,16.059,16.216,16.388,16.845,17.362,17.851,18.099,18.227,18.147,18.12,18.044,18.303,18.474,18.407,18.562,18.416,17.976,18.031,18.371,18.726,19.161,19.464,19.618,19.459,19.654,19.929,19.801,19.682,19.496,19.79,19.919,20.363,20.601,20.804,20.963,21.291,21.49,21.668,21.885,21.959,22.468,22.94,23.476,23.304,24.063,24.237,24.733,25.686,26.169,26.038,26.413,26.358,26.426,26.887,26.807,26.913,27.77,28.185,28.876,28.828,29.215,29.236,29.288,29.393,29.441,29.524,29.706,29.385,30.328,30.578,30.775,31.316,31.608,32.444,33.009,33.977,34.788,34.453,34.464,34.122,33.565,33.46,33.568,32.205,32.439,33.132,33.95,34.181,35.182,35.606,35.919,36.355,36.75,37.02,37.318,38.114,37.9,38.988,39.02,39.461,39.43,39.098,39.747,39.579,39.379,37.757,38.144,38.578,39.133,38.82,39.212,38.511,38.897,38.887,39.095,39.883,40.092,41.274,42.189,43.183,43.767,44.743,44.771,45.471,46.172,46.594,47.837,47.551,48.273,49.131,50.653,50.622,49.586,50.536,51.296,50.838,52.037,52.308,52.297,53.127,53.2,53.5,54.271,54.091,54.816,54.229,54.102,53.248,52.792,53.087,53.407,52.815,54.011,54.287,54.88,55.607,55.822,56.717,57.303,58.032,59.016,59.541,60.093,61.243,60.938,61.349,62.092,62.679,63.181,64.413,64.871,65.657,66.543,66.492,68.231,69.163,69.701,71.533,72.624,74.842,75.77,77.563,78.497,79.863,81.082,81.526,82.397,83.132,83.349,83.589,84.218,87.287,87.114,87.529,88.654,88.903,89.54,91.09,93.575,94.035,94.975,95.375,96.502,97.711,98.657,100.038,100.797,100.508,102.335,102.501,103.334,104.835,105.854,105.904,106.724,107.513,106.121,105.983,103.895,101.186,101.817,101.023,102.789,103.512
"12","4","    Durable goods","DDURRA3",4.542,4.637,4.702,5.008,4.982,5.016,5.1,5.028,4.936,5.364,5.62,5.844,6.067,6.119,7.569,6.633,6.842,5.861,5.754,5.736,5.769,5.881,5.532,6.486,6.704,6.665,6.623,6.438,6.238,6.54,6.568,6.972,7.598,8.01,8.27,8.052,7.684,7.694,7.559,7.802,7.944,7.757,7.704,7.614,7.107,6.999,7.144,7.406,7.807,8.101,8.258,7.864,8.116,8.301,8.235,8.028,7.587,7.745,7.934,8.318,8.498,8.726,8.79,9.177,9.36,9.561,9.679,9.832,10.215,10.481,10.827,10.495,11.471,11.49,11.882,12.383,12.972,12.455,12.863,12.858,12.615,13.157,13.052,13.085,13.898,14.194,14.833,14.745,15.023,14.983,14.94,14.882,14.654,14.823,14.878,13.889,15.379,15.729,16.148,16.838,17.223,17.656,18.11,19.069,20.283,20.044,19.866,19.402,18.947,19.049,19.159,17.336,17.706,18.05,19.177,19.735,20.722,20.816,21.052,21.384,22.168,22.691,23.025,23.508,22.885,24.591,24.26,24.452,24.163,23.616,24.274,23.649,23.277,20.767,21.688,22.349,22.983,22.089,22.761,21.126,21.803,21.883,22.059,23.066,23.3,24.998,25.959,27.239,28.267,28.923,28.932,29.871,30.909,31.276,33.279,32.133,32.789,33.947,36.843,36.259,34.108,35.507,36.974,35.975,37.678,37.691,37.2,38.163,37.994,38.501,39.371,38.175,39.787,38.472,38.082,37.033,36.013,36.194,36.75,36.151,37.57,37.831,38.638,39.406,39.788,41.08,41.538,42.537,43.55,44.019,44.482,46.046,45.091,45.55,46.836,47.649,48.167,49.699,50.051,51.028,52.411,52.242,54.571,55.964,56.433,59.31,61.022,64.644,64.804,67.921,69.575,70.44,74.402,73.063,74.327,74.873,76.143,76.105,77.026,83.497,82.541,83.409,85.851,84.719,84.8,88.116,91.652,92.244,93.265,93.919,95.768,97.34,97.992,100.733,101.917,99.359,103.327,103.064,104.216,105.647,107.074,107.634,109.001,110.464,107.931,106.354,103.083,97.401,98.345,96.947,101.561,101.651
"13","5","      Motor vehicles and parts","DMOTRA3",6.944,7.068,6.686,7.613,8.117,7.659,7.877,8.338,8.671,10.532,10.882,10.922,11.72,12.271,15.066,13.966,13.429,11.278,10.364,9.671,9.789,10.203,8.346,11.947,13.035,12.744,12.613,11.698,10.953,12.154,11.74,12.921,15.227,16.735,17.329,16.113,14.298,13.773,13.317,14.281,15.248,14.621,14.182,14.218,11.991,11.821,11.83,12.604,13.896,14.753,15.338,13.506,14.917,15.482,15.77,14.892,12.968,13.325,13.726,14.931,15.632,16.241,16.012,17.365,17.885,18.364,18.391,18.757,19.214,19.423,20.342,18.496,22.339,21.894,22.629,22.886,24.306,21.908,22.563,22.443,21.323,23.225,22.549,21.915,24.746,25.159,26.686,26.353,27.029,26.509,26.818,26.352,24.6,25.365,25.115,20.452,26.81,27.681,28.875,30.701,30.901,31.765,32.348,34.907,37.654,36.518,35.259,32.98,30.653,30.477,31.367,26.373,27.472,27.512,31.009,32.241,35.344,35.386,35.614,35.893,39.094,39.17,39.36,39.674,38.062,43.146,41.669,41.511,40.726,37.285,39.056,37.514,37.544,30.091,33.329,33.782,37.091,33.484,36.036,31.179,34.727,34.298,34.703,37.723,36.817,41.983,43.486,46.353,48.403,49.175,48.422,50.288,53.364,54.088,60.331,53.875,54.682,57.631,65.572,59.961,52.552,56.769,61.372,57.551,62.17,60.823,58.423,60.054,60.009,60.173,62.912,57.892,62.987,59.791,58.827,55.54,51.531,51.204,53.68,52.458,55.356,56.001,56.773,57.902,57.153,59.804,59.599,62.059,63.945,62.87,62.445,64.268,61.408,61.359,62.878,63.948,64.608,65.615,65.463,66.01,68.959,66.607,70.966,72.864,70.749,76.205,77.244,84.412,80.466,86.197,86.455,83.899,91.028,84.49,85.988,86.236,88.641,87.147,88.188,101.537,94.304,94.828,100.796,94.829,94.911,98.951,101.913,99.963,99.896,99.472,100.649,101.616,99.801,103.425,104.373,92.401,95.998,95.997,97.729,97.569,98.223,98.636,97.771,98.269,93.842,88.233,82.459,74.747,75.971,74.745,81.816,77.207
"14","6","      Furnishings and durable household equipment","DFDHRA3",8.575,8.834,9.253,9.708,9.306,9.806,9.993,9.382,8.663,8.885,9.649,10.439,10.251,9.905,12.862,10.361,11.615,9.641,9.834,10.158,10.08,10.074,10.189,10.736,10.491,10.615,10.598,10.625,10.408,10.386,10.539,10.994,11.599,11.747,12.183,12.171,12.327,12.712,12.477,12.509,12.39,12.369,12.301,12.014,12.015,11.815,12.222,12.41,12.647,12.922,12.987,13.055,12.837,12.952,12.562,12.501,12.484,12.652,12.88,13.15,13.192,13.352,13.691,13.794,14.043,14.186,14.558,14.789,15.485,16.003,16.185,16.43,16.439,16.658,17.156,18.047,18.343,18.303,18.873,18.719,18.784,18.974,18.994,19.176,19.497,19.95,20.603,20.445,20.595,20.805,20.413,20.372,20.358,20.437,20.479,20.802,20.908,21.151,21.527,22.163,22.936,23.244,23.947,24.526,25.854,26.113,26.229,26.519,26.86,26.804,26.183,24.452,24.188,24.436,24.906,25.33,25.774,25.89,26.284,26.978,27.799,28.37,28.768,29.521,29.008,30.375,30.349,30.749,30.631,31.117,32.018,31.653,30.91,29.548,29.59,30.551,30.317,29.923,29.5,28.547,27.946,28.035,28.236,28.822,29.482,30.009,31.161,32.058,32.779,33.737,33.972,34.526,34.681,35.005,35.914,36.651,37.5,38.001,39.038,39.371,39.661,39.897,40.388,40.476,40.892,41.35,41.521,42.518,43.266,43.916,43.727,43.852,44.443,43.214,42.607,42.107,42.113,42.532,41.953,41.742,42.761,43.019,43.855,44.442,45.063,45.606,46.149,46.203,46.584,47.669,48.608,49.923,49.566,50.007,50.74,51.336,50.921,52.752,52.78,53.933,54.114,54.324,55.534,56.27,57.757,58.664,60.018,61.965,63.77,65.28,67.436,69.558,71.306,72.678,73.642,74.075,75.182,75.857,76.587,78.906,81.403,82.101,81.982,83.388,83,86.044,89.513,91.021,92.23,93.488,95.607,96.57,97.389,98.905,100.563,103.144,105.833,104.655,105.178,105.64,107.649,106.565,107.451,108.237,106.436,107.088,103.967,100.103,98.3,96.314,97.907,100.608
"15","7","      Recreational goods and vehicles","DREQRA3",0.577,0.591,0.616,0.63,0.599,0.609,0.604,0.574,0.586,0.581,0.602,0.631,0.716,0.715,0.877,0.765,0.789,0.712,0.736,0.769,0.792,0.803,0.816,0.861,0.901,0.902,0.898,0.902,0.919,0.946,0.986,1.026,1.049,1.082,1.111,1.13,1.128,1.156,1.155,1.167,1.143,1.117,1.136,1.106,1.109,1.087,1.125,1.158,1.228,1.251,1.254,1.259,1.242,1.259,1.222,1.232,1.238,1.273,1.308,1.331,1.325,1.351,1.394,1.426,1.445,1.496,1.516,1.542,1.646,1.742,1.799,1.853,1.892,1.99,2.071,2.257,2.371,2.457,2.596,2.682,2.686,2.715,2.784,2.924,2.98,3.01,3.149,3.165,3.24,3.282,3.27,3.331,3.497,3.467,3.523,3.553,3.521,3.601,3.633,3.765,3.966,4.114,4.277,4.487,4.711,4.617,4.679,4.606,4.599,4.731,4.805,4.559,4.687,4.98,5.105,5.252,5.363,5.378,5.454,5.592,5.576,5.772,5.886,6.015,6.048,6.187,6.182,6.388,6.449,6.618,6.576,6.458,6.275,6.063,6.234,6.51,6.349,6.421,6.591,6.394,6.315,6.439,6.496,6.634,6.953,7.29,7.652,8.066,8.48,8.67,8.829,9.173,9.494,9.631,9.762,10.18,10.47,10.814,11.611,12.322,12.247,12.613,12.93,12.853,13.35,13.766,13.95,14.388,13.951,14.435,14.707,14.752,14.898,14.815,14.783,14.749,14.939,15.262,15.624,15.407,15.842,15.845,16.429,16.981,17.821,18.546,19.046,19.697,20.34,21.404,22.053,23.39,23.489,24.206,25.663,26.332,26.987,28.479,29.305,30.347,31.309,32.617,33.966,35.131,36.857,38.684,41.177,43.079,45.055,47.247,49.621,51.967,55.275,56.069,57.52,58.802,59.786,61.476,62.906,66.117,68.516,69.613,70.549,72.014,72.878,76.031,80.594,82.953,85.268,87.12,90.126,92.759,96.119,98.82,100.655,104.406,110.281,110.961,113.057,118.28,120.946,122.984,127.949,132.402,131.804,135.239,134.371,129.982,132.895,131.337,136.742,141.924
"16","8","      Other durable goods","DODGRA3",7.065,7.031,7.261,7.288,7.27,7.289,7.319,7.342,7.158,7.124,7.053,7.193,7.221,7.342,7.793,7.508,7.678,7.557,7.682,7.923,7.977,8.169,8.339,8.63,8.641,8.553,8.45,8.392,8.271,8.648,9.123,9.309,9.057,9.403,9.444,9.785,9.608,9.743,9.947,10.142,9.873,9.621,10.177,10.098,9.914,9.853,10.116,10.314,10.161,10.354,10.397,10.574,10.4,10.579,10.411,10.397,10.37,10.491,10.702,11.067,11.252,11.636,11.701,11.981,11.854,12.027,12.225,12.133,12.594,12.887,13.451,13.471,13.961,13.834,14.416,15.579,16.833,16.531,16.671,16.438,16.413,16.876,16.721,17.049,17.465,18.479,18.755,18.91,19.24,19.215,18.97,19.057,19.588,19.581,20.362,20.664,20.437,20.822,21.223,21.383,21.369,21.867,22.227,22.976,24.206,24.822,25.318,26.11,26.255,26.825,26.608,25.723,26.621,27.181,28.512,29.211,30.05,30.61,31.047,31.097,29.055,31.995,33.452,35.294,33.449,34.207,34.713,34.531,33.022,33.912,34.587,33.598,32.591,29.799,29.8,31.397,31.312,31.574,31.757,30.791,30.643,31.613,31.522,31.878,32.979,33.696,34.658,35.611,36.465,37.881,38.406,39.764,39.877,40.141,41.424,42.5,43.373,44.143,45.324,49.817,47.321,47.507,46.934,47.463,48.475,48.782,48.828,49.491,48.736,49.269,49.513,50.543,50.916,49.42,49.583,49.165,48.701,48.758,47.002,45.968,47.716,47.977,49.065,49.531,49.849,50.541,51.988,51.701,52.454,52.767,53.494,54.716,53.957,54.471,54.676,55.311,56.402,58.191,58.581,59.753,60.018,60.007,61.468,63.093,64.463,66.701,67.993,69.456,72.366,73.339,75.541,79.422,79.827,82.38,82.85,82.326,81.205,79.255,78.718,81.172,83.404,84.995,85.605,87.528,86.455,88.399,91.166,93.28,94.032,93.816,94.325,96.379,97.892,100.38,99.774,101.954,105.385,104.059,102.602,102.801,102.868,104.038,105.847,105.612,103.667,100.455,99.769,94.384,96.05,95.579,97.12,97.552
"17","9","    Nondurable goods","DNDGRA3",21.561,21.93,22.032,21.743,21.814,22.027,21.892,22.178,22.262,22.323,22.126,22.487,22.774,23.038,23.436,22.916,23.338,22.997,23.481,23.756,23.56,24.107,24.53,24.89,25.045,25.16,24.929,24.965,25.205,25.137,25.454,25.882,26.151,26.634,26.813,27.357,27.666,27.596,27.615,27.836,28.004,28.11,28.5,28.314,28.059,28.314,28.831,29.227,29.608,29.853,29.967,30.152,30.228,30.558,30.379,30.4,30.581,30.99,31.014,31.435,31.696,31.823,32.07,32.25,32.427,32.537,32.835,32.793,33.355,33.991,34.655,34.722,35.054,35.389,35.919,37.251,37.522,37.878,38.15,38.044,38.472,38.758,38.722,38.897,39.662,40.15,40.79,40.799,41.252,41.342,41.497,41.775,42.133,42.107,42.409,42.905,43.08,43.178,43.09,43.383,43.526,44.703,45.319,46.175,46.453,46.061,46.276,46.094,45.476,45.174,45.271,44.463,44.548,45.535,45.981,45.869,46.799,47.517,47.881,48.385,48.353,48.35,48.59,49.633,49.845,50.229,50.619,51.271,51.498,51.399,52,52.275,52.249,51.542,51.415,51.617,52.073,52.304,52.42,52.621,52.718,52.627,52.851,53.394,53.567,54.198,55.022,55.692,55.834,57.054,57.098,57.537,57.889,58.34,58.82,59.344,60.097,60.632,60.758,61.252,61.332,61.8,61.851,61.926,62.594,63.092,63.527,64.189,64.48,64.577,65.225,65.964,65.879,65.951,66.058,65.395,65.426,65.81,65.921,65.355,66.327,66.607,67.003,67.675,67.743,68.281,68.957,69.437,70.366,70.923,71.534,72.293,72.553,72.909,73.168,73.546,74.022,74.973,75.506,76.118,76.581,76.623,77.856,78.404,78.983,79.959,80.548,81.65,83.158,83.939,84.338,86.066,85.323,87.027,87.619,88.475,87.959,88.379,88.807,89.576,89.94,90.055,90.311,91.455,92.435,92.864,94.686,95.066,95.962,96.217,96.921,97.925,99.045,99.65,100.174,101.132,101.793,102.191,102.851,104.383,105.177,104.961,105.507,105.973,105.165,105.738,104.219,102.929,103.405,102.911,103.295,104.318
"18","10","      Food and beverages purchased for off-premises consumption","DFXARA3",35.708,36.421,36.275,35.373,35.442,36.048,35.232,35.882,35.917,35.91,35.745,35.721,36.518,36.669,36.744,36.376,36.579,36.494,37.143,36.896,36.698,37.703,38.215,38.508,39.321,39.368,39.089,39.094,39.769,39.641,40.502,41.159,41.407,42.042,42.379,43.015,43.669,43.468,43.479,43.828,44.151,44.572,44.992,44.885,44.541,44.48,44.892,45.435,46.264,46.545,46.823,47.132,46.97,47.263,46.98,46.886,47.277,47.797,47.705,47.939,47.9,47.84,48.238,48.007,48.008,48.275,48.579,48.694,48.986,49.839,50.569,50.755,51.313,51.698,52.41,54.745,54.491,54.612,54.766,54.502,55.583,55.886,55.583,56.313,56.985,58.01,59.037,59.237,59.977,59.721,59.67,60.332,61.139,61.203,61.676,62.383,62.686,62.482,61.911,62.254,61.679,63.791,64.105,64.732,63.703,62.335,62.357,61.483,61.205,60.687,62.037,60.909,60.987,62.704,63.168,62.396,63.996,65.439,65.755,66.287,66.461,66.041,65.893,66.948,66.584,65.499,65.709,66.394,66.308,66.433,67.155,67.966,68.682,68.184,67.221,66.534,66.752,67.496,67.337,68.118,68,68.311,68.732,69.893,69.638,70.08,70.972,71.193,70.717,72.015,72.284,72.537,72.812,73.602,74.408,75.217,75.931,75.614,74.985,75.554,75.105,75.001,75.024,75.024,76.16,77.104,77.248,77.57,77.884,77.414,77.96,78.668,78.769,79.994,80.044,79.58,79.395,79.737,79.906,78.951,79.231,78.979,78.997,79.543,79.453,79.532,79.974,80.379,81.126,82.066,82.2,82.845,82.69,82.286,82.296,82.654,83.029,83.42,83.263,83.528,84.117,83.677,84.174,84.175,84.097,84.778,85.352,85.945,86.957,87.824,88.58,89.945,89.047,90.364,90.482,91.365,91.038,91.639,91.319,91.475,91.095,91.243,91.601,92.384,93.626,92.806,94.207,93.733,95.414,95.585,96.106,97.385,98.738,99.04,100.74,101.482,101.752,102.879,103.247,104.892,105.38,104.685,105.138,106.248,106.468,106.602,105.199,103.214,103.371,104.288,105.271,106.538
"19","11","      Clothing and footwear","DCLORA3",12.204,12.057,12.253,12.24,12.125,12.201,12.316,12.592,12.611,12.452,11.999,12.468,12.447,12.662,13.126,12.542,12.807,12.338,12.599,12.775,12.678,13.128,13.526,13.822,13.341,13.665,13.405,13.217,13.371,13.372,13.32,13.616,13.773,14.151,14.035,14.334,14.34,14.393,14.527,14.508,14.327,14.266,14.571,14.198,14.059,14.329,14.65,14.903,14.959,15.344,15.24,15.385,15.431,15.538,15.285,15.227,15.365,15.525,15.651,16.075,16.158,16.339,16.412,16.545,16.479,16.581,16.874,16.719,17.41,17.868,18.132,18.312,18.331,18.3,18.682,19.393,19.805,19.878,20.105,19.925,19.937,20.09,20.18,20.061,20.624,20.766,21.124,20.973,21.183,21.263,21.381,21.271,21.021,20.956,20.898,21.242,21.384,21.91,22.03,22.332,22.516,23.087,23.808,24.484,25.158,25.077,25.122,25.293,25.383,25.078,24.652,23.616,24.424,25.256,25.684,25.855,26.175,26.232,26.591,26.883,26.93,27.453,27.892,29.279,29.587,30.688,31.152,31.882,31.879,32.079,33.173,33.362,33.159,33,33.851,34.528,35.447,35.626,36.059,35.971,36.351,35.728,36.37,37.034,37.329,38.567,39.041,40.506,41.141,42.547,41.917,42.706,43.067,43.674,44.251,44.824,45.983,47.495,47.734,47.781,48.569,48.775,49.522,49.136,49.811,49.517,50.645,51.794,51.958,52.645,53.818,54.029,53.58,52.761,52.643,51.997,52.565,53.327,53.17,52.066,54.202,55.068,56.187,56.885,56.68,57.752,58.337,59.042,60.429,60.307,61.216,62.846,62.633,63.296,64.432,64.494,64.936,66.539,67.657,68.084,68.114,67.506,69.75,70.633,72.142,73.354,72.821,74.512,77.205,77.871,78.389,78.591,79.872,81.602,82.493,83.191,81.856,82.39,82.293,83.712,84.66,84.699,84.184,86.818,86.904,89.305,91.529,91.544,93.935,92.814,94.079,96.013,97.429,99.719,99.845,103.007,104.42,103.683,105.126,106.971,108.986,108.812,110.063,110.658,110.208,112.058,108.808,106.292,105.841,103.61,103.533,105.439
"20","12","      Gasoline and other energy goods","DGOERA3",27.943,28.892,29.19,29.117,29.782,29.848,30.151,29.808,29.54,29.983,29.999,30.351,30.51,31.666,32.28,31.5,32.749,32.507,33.342,34.055,33.92,34.308,34.824,35.244,35.37,35.252,35.644,35.563,35.762,35.865,36.601,37.565,38.174,39.108,39.516,40.593,40.996,41.078,40.576,41.471,42.043,41.541,42.352,42.25,42.489,43.759,44.538,44.938,45.017,45.105,44.941,44.939,45.32,46.383,45.581,45.587,45.032,46.188,45.159,45.285,46.567,46.67,46.612,47.712,48.872,48.363,48.205,48.61,49.463,50.683,52.23,52.019,51.778,53.096,54.334,54.924,54.967,56.352,57.107,57.394,57.289,57.844,57.711,58.768,59.994,60.08,60.717,60.601,61.935,62.729,62.939,64.276,65.327,64.72,65.715,65.738,66.996,68.057,67.76,67.815,69.281,69.862,71.147,74.058,75.697,75.168,75.496,74.329,66.181,68.381,69.736,71.916,70.552,71.197,70.624,70.261,72.413,73.79,74.798,76.769,75.331,75.231,76.093,76.457,77.101,77.704,76.807,76.387,78.423,74.747,73.611,72.328,70.45,68.117,67.056,67.04,67.492,67.304,67.194,67.139,67.904,68.04,66.911,66.712,68.205,67.92,69.346,70.03,69.53,70.627,71.102,71.688,71.748,72.105,72.345,72.226,73.726,75.373,76.515,77.479,76.353,78.414,76.503,77.615,78.368,79.489,79.452,80.367,80.494,80.053,79.901,82.308,79.885,79.493,80.207,77.379,77.28,78.642,79.588,78.882,80.156,81.959,82.18,82.654,82.477,83.373,84.832,84.463,85.559,85.052,85.348,84.547,86.63,87.331,86.355,86.542,87.713,88.275,88.302,88.054,88.633,89.867,90.263,90.691,91.462,92.923,93.8,94.185,94.819,96.936,95.767,96.249,92.8,94.578,94.985,94.412,94.827,93.625,95.375,95.667,95.333,96.466,97.014,96.962,97.139,98.211,100.04,101.107,100.667,100.891,100.253,100.425,101.649,100.519,99.302,98.53,97.245,97.509,98.414,98.373,98.899,98.829,98.902,97.942,95.981,95.103,91.883,94.226,96.186,96.448,96.018,95.469
"21","13","      Other nondurable goods","DONGRA3",11.452,11.936,12.086,12.102,12.274,12.228,12.399,12.384,12.675,12.997,13.134,13.64,13.765,13.896,14.367,13.999,14.536,14.175,14.562,15.354,15.058,15.126,15.35,15.758,16.035,15.963,15.723,16.115,15.953,15.832,15.869,15.975,16.253,16.462,16.762,17.241,17.483,17.365,17.37,17.535,17.856,17.994,18.241,18.244,17.863,18.09,18.765,19.087,19.398,19.402,19.672,19.783,20.034,20.407,20.639,20.877,21.041,21.352,21.627,22.195,22.649,22.869,23.201,23.568,23.926,24.02,24.352,24.194,24.635,24.958,25.662,25.515,26.073,26.479,26.688,27.621,28.241,28.843,29.1,29.176,29.486,29.779,29.888,29.603,30.39,30.749,31.181,31.236,31.362,31.61,31.964,32.018,32.448,32.533,32.877,33.326,33.099,32.674,32.883,33.086,33.554,34.36,34.811,35.399,36.13,36.545,37.149,37.654,38.114,37.346,36.225,35.28,34.897,35.168,35.858,36.266,36.633,37.011,37.175,37.359,37.443,37.315,37.526,38.217,38.809,39.944,40.807,41.59,41.819,42.372,42.95,43.346,43.51,42.807,43.134,44.024,44.31,44.214,44.464,44.41,44.16,44.009,44.25,44.343,44.299,44.971,45.772,46.212,46.841,47.868,48.076,48.357,48.893,48.893,49.036,49.452,49.601,49.823,50.326,50.96,51.339,52.129,52.226,52.434,52.585,53.068,53.363,53.885,54.28,54.64,55.218,55.892,56.573,56.31,56.448,56.293,56.161,56,55.993,56.231,56.927,56.869,57.158,57.963,58.429,58.915,59.64,60.252,60.977,61.896,62.826,63.538,63.983,64.758,65.023,65.657,66.051,67.218,68.184,69.474,70.043,70.607,72.141,73.036,73.63,74.611,75.796,77.182,78.647,79.088,79.474,82.69,81.763,83.772,84.693,86.055,85.5,86.199,87.185,88.326,89.272,89.133,89.588,90.669,92.081,92.529,94.543,95.693,95.56,96.559,97.656,98.271,98.981,99.785,100.116,101.118,102.759,103.03,103.496,105.568,106.263,106.428,106.979,107.483,106.117,107.441,107.662,105.524,106.094,104.602,104.921,106.064
"22","14","  Services","DSERRA3",11.719,11.888,11.862,11.801,11.927,12.114,12.179,12.302,12.38,12.443,12.417,12.454,12.609,12.928,13.128,13.211,13.572,13.664,13.835,13.869,14.041,14.26,14.45,14.656,14.806,14.983,15.075,14.963,15.102,15.364,15.631,15.821,16.006,16.123,16.289,16.613,16.773,16.934,17.112,17.335,17.402,17.552,17.681,17.875,17.858,18.116,18.359,18.469,18.708,18.986,19.241,19.473,19.649,19.868,19.845,20.037,20.237,20.533,20.595,20.958,21.156,21.472,21.657,21.931,22.017,22.258,22.648,22.957,23.327,23.652,23.961,24.289,24.565,24.936,25.278,25.707,25.974,26.257,26.474,26.763,27.01,27.272,27.644,27.877,28.314,28.76,29.131,29.454,29.717,30.082,30.321,30.696,31.022,31.217,31.57,31.73,31.947,32.268,32.573,33.086,33.652,34.063,34.525,35.143,35.596,35.894,36.134,36.271,36.216,36.57,36.75,37.119,37.466,37.931,38.114,38.65,39.101,39.36,39.839,40.39,40.871,41.03,41.474,41.873,42.542,43.183,43.492,43.719,44.164,44.439,44.616,45.001,45.052,44.748,45.244,45.92,45.836,46.139,46.1,46.136,46.306,46.61,47.049,47.836,48.464,49.083,49.786,50.294,50.542,50.968,51.632,52.221,53.164,53.647,54.369,54.806,54.996,55.307,55.753,56.354,57.018,57.56,58.051,58.643,59.351,59.865,60.66,61.212,61.528,61.756,62.234,62.876,63.15,63.937,64.429,64.252,64.296,64.864,65.025,65.41,66.326,66.751,67.493,68.276,68.56,68.963,69.732,70.198,70.745,71.209,71.727,72.051,72.394,73.048,73.569,73.985,74.709,75.206,75.608,76.053,76.671,77.191,78.109,78.904,79.782,80.755,81.736,82.305,83.001,83.939,84.947,85.988,87.289,88.303,89.122,89.904,90.327,90.71,90.954,91.359,91.951,92.436,92.761,93.125,93.503,93.971,94.614,95.168,96.052,96.633,97.294,98.359,98.978,99.7,100.384,100.937,101.67,102.421,102.945,103.731,104.641,105.068,105.403,105.477,105.953,106.047,105.697,105.837,105.761,105.809,106.014,106.281
