"","Table 6U# Real BEA Retail and Food Service Sales","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"1","[Millions of chained (2009) dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1999 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published December 23, 2015 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/22/2015 10:18:23 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"8","1","S1       Retail and food services","T060010",3653579,3792300,3884920,3989624,4143265,4307974,4468915,4615874,4680000,4492450,4252161,4388077,4525215,4667973,4849255,5034978
"9","2","S1 Retail trade","T060020",3246938,3368946,3455730,3552989,3690390,3839028,3984188,4113644,4169476,3991813,3772619,3898812,4021541,4149238,4322741,4489721
"10","3","S1   Motor vehicle and parts dealers","T060030",816352,841503,855327,857843,896917,923831,931516,939455,942249,816582,698375,742604,791306,846924,911366,976480
"11","4","S4     Automobile dealers","T060040",687244,706477,722579,721916,752887,771724,774855,781945,785415,672951,573553,618603,664686,717574,776624,836383
"12","5","S4     Other motor vehicle dealers","T060050",45382,50907,52399,55395,62133,68019,70567,71721,71405,61453,47391,44136,44367,48145,52896,56914
"13","6","S2     Automotive parts, accessories and tire stores","T060060",84098,84344,79240,79687,80873,83257,85604,85162,84715,82057,77432,79743,81963,80748,81260,82443
"14","7","S1   Furniture, home furnishings, electronics and appliance stores","T060070",117380,129491,134776,146620,158014,177028,194959,212177,220578,215221,197591,211682,225663,242014,259606,277855
"15","8","S1     Furniture and home furnishings stores","T060080",84284,91187,92110,96374,100897,108552,114593,118541,117264,105630,91658,96405,100181,105530,111676,118354
"16","9","S4       Furniture Stores","T060090",46392,50114,50897,52720,53977,58204,61876,63217,62611,56322,49313,52561,54254,56429,58326,62835
"17","10","S4       Home furnishings stores","T060100",37884,41068,41200,43647,46922,50348,52711,55325,54653,49308,42345,43847,45926,49101,53379,55531
"18","11","S1     Electronics and appliance stores","T060110",40202,45286,48728,55373,61628,72184,83189,95474,104362,109791,105933,115312,125695,136972,148762,160687
"19","12","S1   Building material and garden equipment and supplies dealers","T060120",237133,250649,262236,275421,293578,318414,340081,351960,337005,319102,283494,285547,293549,303020,319315,335414
"20","13","S2     Building material and supplies dealers","T060130",204328,217555,230029,242782,259816,282839,304609,316077,298964,278114,245924,244350,248785,254931,268018,280570
"21","14","S3     Lawn and garden equipment and supplies stores","T060140",32512,32807,32031,32522,33684,35515,35402,35802,37996,40983,37570,41224,44841,48230,51478,55103
"22","15","S1   Food and beverage stores","T060150",588124,585439,592306,585185,585039,584743,595437,606654,608153,593839,584643,589802,594271,596551,603659,607814
"23","16","S1     Grocery stores","T060160",535611,530676,536182,529152,528347,526270,535912,544650,544806,531124,523006,526815,530364,530493,536239,537267
"24","17","S3     Specialty food stores","T060170",17347,17987,18620,18912,19439,20003,19964,19958,20084,19315,18951,19394,19452,19933,20089,21690
"25","18","S2     Beer, wine, liquor stores","T060180",35385,36906,37620,37230,37352,38522,39604,42055,43255,43400,42686,43595,44466,46214,47458,49072
"26","19","S1   Clothing and clothing accessories stores","T060190",155689,165600,168471,177563,189528,201518,215100,228367,236800,231244,216423,226437,236526,240938,246498,251061
"27","20","S2     Clothing stores","T060200",105085,111844,115642,122284,131487,140654,151556,161568,170161,168188,160435,169011,175901,179268,182555,185010
"28","21","S2     Shoe stores","T060210",23715,24188,24444,25174,25828,26386,27496,28965,29232,28703,26473,27725,29276,30183,31216,32131
"29","22","S3     Jewelry, luggage, and leather goods stores","T060220",27738,30520,29007,30726,32782,35022,36449,38184,37531,34373,29514,29717,31347,31513,32723,33887
"30","23","S1   General merchandise stores","T060230",419462,444075,471513,495850,523539,548029,581662,604639,624516,629930,624061,646968,663212,679335,700745,724571
"31","24","S1     Department stores","T060240",232988,235470,234597,229975,226151,227105,229423,226641,223298,212141,199840,202604,201759,193916,190629,190106
"32","25","S2     Other general merchandise stores","T060250",177361,200778,230808,261533,294608,318892,350948,377371,401031,417797,424221,444332,461292,484900,509320,533418
"33","26","S1   Other retail stores","T060260",951375,981962,998199,1037821,1059987,1095276,1131886,1174923,1204048,1187956,1168032,1195956,1218301,1243654,1286417,1324031
"34","27","S1     Health and personal care stores","T060270",188722,198559,205660,215408,225479,227707,235534,242735,253556,257194,257260,257986,262444,258347,265264,276342
"35","28","S1     Gasoline stations","T060280",406449,387527,399592,415384,405164,416190,417941,420046,416448,407530,399356,396298,385139,386867,391871,391260
"36","29","S1     Sporting goods, hobby, book, and music stores","T060290",70596,74809,76177,77134,78722,81298,83883,87603,89892,89199,86126,87356,88383,90853,92948,93064
"37","30","S4       Sporting goods, hobby, and musical instrument stores","T060300",43296,46757,48398,49971,52217,54739,57655,62156,65647,66431,65424,67388,70114,74181,77395,78384
"38","31","S4       Book, periodical, and music Stores","T060310",28651,29204,28734,27909,27051,27011,26564,25619,24301,22781,20702,19973,18285,16688,15571,14709
"39","32","S1     Miscellaneous store retailers","T060320",106535,108338,104620,104975,107990,111326,116090,123784,127069,119680,108643,112149,116592,118416,121541,125843
"40","33","S3       Florists","T060330",8528,8575,8038,7656,7193,7099,7496,7719,7659,7118,6113,6205,5870,5989,6230,7865
"41","34","S3       Office supplies, stationery, and gift stores","T060340",30247,31991,30888,31654,33111,35564,37856,41115,42825,40578,38027,39092,39923,40302,40768,41128
"42","35","S4       Used merchandise stores","T060350",8464,8885,8744,8958,8998,9191,9451,10720,11405,11462,10823,11779,12796,13838,14968,15826
"43","36","S4       Other miscellaneous store retailers","T060360",62010,60568,58572,57945,59903,60175,61769,64486,65315,60574,53680,55078,57956,58265,59534,60969
"44","37","S1     Nonstore retailers","T060370",188010,212602,214619,228770,241984,257690,276432,298756,316403,314352,316647,343079,371276,397437,426586,453835
"45","38","S2       Electronic shopping and mail-order houses","T060380",102477,124780,127681,136176,148774,166219,187735,211535,230364,233502,236949,266130,298305,328610,355508,385290
"46","39","S4       Vending machine operators","T060390",10812,11027,9771,9740,9335,9519,9300,9306,8729,8031,6970,6645,6219,6366,6140,6091
"47","40","S4       Direct selling establishments","T060400",79285,79219,79336,85240,85416,82312,79049,77452,76888,72797,72727,70635,68350,65835,69011,68103
