"","Table 5#2#6# Real Gross and Net Domestic Investment by Major Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Billions of chained (2005) dollars]                                                                                                                                                                                                                      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2010   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/27/2011 9:18:13 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"8","1","      Gross domestic investment","W170RX1",673.9,629.1,669.7,725.2,799.3,756.4,649.5,754.6,843.6,939.6,973.8,887.5,948.8,835.1,910.5,1150.8,1166.9,1179.2,1221.3,1243.3,1293.1,1273.1,1191.4,1269.4,1349.9,1494.6,1539.4,1662.3,1842.5,2008.4,2181.1,2318.4,2194.2,2188.9,2262.7,2453.2,2564.2,2635.2,2573.5,2389.9,1956.2
"9","2","      Less: Consumption of fixed capital","A262RX1",333.6,347.3,358.7,372.1,391.8,409.6,423.8,437.3,454.6,475.3,499.7,522.9,543.8,566.2,585.1,609.5,643.1,674.1,705.5,735.1,766.2,796.5,821.2,844,872.3,906.5,947,994.8,1051.4,1120.5,1199.4,1282.4,1350.8,1399.8,1441.3,1488.3,1541.4,1598.4,1660.9,1714.5,1744.8
"10","3","      Equals: Net domestic investment","W171RX1",344.6,285.7,311.5,351.7,405.8,346.3,226.5,317,387,462.1,472.8,366.1,404.6,270.7,327.2,541.3,526.1,509.1,520.4,511.7,530.5,482.8,378.3,431.9,481.1,588.5,593.3,668.1,790.6,886.9,980.8,1035.1,843.5,789.6,822,965.1,1022.9,1036.8,912.2,672.1,201.5
"11","4","Gross private domestic investment","A006RX1",508.5,475.1,529.3,591.9,661.3,612.6,504.1,605.9,697.4,781.5,806.4,717.9,782.4,672.8,735.5,952.1,943.3,936.9,965.7,988.5,1028.1,993.5,912.7,986.7,1074.8,1220.9,1258.9,1370.3,1540.8,1695.1,1844.3,1970.3,1831.9,1807,1871.6,2058.2,2172.2,2230.4,2161.6,1957.3,1515.7
"12","5","Less: Consumption of fixed capital","B024RX1",241.4,253.6,264.9,278.6,298.1,315.1,327.7,339.4,354.6,373.2,394.8,414.7,432.3,451.1,465.7,484.5,510.9,534,557.6,580.1,604.1,627.1,645.1,662.3,686,716.5,753.7,797.6,850,913.9,986.2,1062.7,1125.5,1168.9,1204.5,1244.4,1290.8,1341,1395.6,1440.3,1461.3
"13","6","Equals: Net private domestic investment","A557RX1",267.1,221.5,264.3,313.3,363.2,297.5,176.4,266.5,342.8,408.4,411.7,303.2,350.1,221.7,269.7,467.6,432.4,402.8,408.1,408.3,424,366.4,267.5,324.3,388.9,504.4,505.2,572.7,690.8,781.2,858.1,907.6,706.4,638.1,667.1,813.9,881.4,889.4,766,517,54.4
"14","7","  Fixed investment","A007RX1",495.1,484.7,521.4,584.1,637.5,597.6,533.4,586,670.3,751.4,793.8,742.2,758.8,705.6,757.1,884.9,931.5,942.3,947.5,978.7,1008.2,987.1,923.1,977.8,1061.7,1160.9,1235.7,1346.5,1470.8,1630.4,1782.1,1913.8,1877.6,1798.1,1856.2,1992.5,2122.3,2171.3,2132.7,1997,1630.7
"15","8","  Less: Consumption of fixed capital","B024RX1",241.4,253.6,264.9,278.6,298.1,315.1,327.7,339.4,354.6,373.2,394.8,414.7,432.3,451.1,465.7,484.5,510.9,534,557.6,580.1,604.1,627.1,645.1,662.3,686,716.5,753.7,797.6,850,913.9,986.2,1062.7,1125.5,1168.9,1204.5,1244.4,1290.8,1341,1395.6,1440.3,1461.3
"16","9","  Equals: Net fixed investment","A560RX1",253.7,231.1,256.5,305.5,339.3,282.5,205.8,246.7,315.6,378.2,399,327.6,326.5,254.6,291.4,400.4,420.6,408.3,389.9,398.6,404.1,360,278,315.5,375.7,444.4,482,548.9,620.8,716.5,795.8,851.1,752.1,629.2,651.7,748.1,831.5,830.3,737.1,556.7,169.3
"17","10","    Nonresidential","A008RX1",271.9,270.4,270.5,295.3,338.3,341.1,307.4,322.4,358.8,412.5,454.1,452.9,478.7,460.7,454.7,534.9,570.4,554.1,553.7,582.7,615.2,618.2,585.1,603.7,656.5,716.9,792.2,866.2,970.8,1087.4,1200.9,1318.5,1281.8,1180.2,1191,1263,1347.3,1453.9,1552,1556.6,1290.8
"18","11","    Less: Consumption of fixed capital","A753RX1",173.2,182.4,190.8,200.9,215.9,229.1,238.8,247.7,259.4,273.8,290.8,306.7,321,336.6,348.4,363.4,385,403.5,422.2,439.9,459.2,477.9,492.5,506.4,525.8,551.3,582.8,620.7,666.4,723,787.7,856.5,912.5,949.6,978.7,1011.6,1051.1,1094.5,1143.1,1184,1202.9
"19","12","    Equals: Net nonresidential","A593RX1",98.7,88,79.6,94.4,122.3,112,68.6,74.7,99.4,138.8,163.3,146.2,157.7,124.1,106.3,171.5,185.4,150.6,131.5,142.7,156,140.3,92.6,97.4,130.6,165.5,209.4,245.6,304.4,364.3,413.1,462,369.3,230.6,212.3,251.4,296.2,359.4,408.9,372.6,87.9
"20","13","      Structures","B009RX1",260.6,261.4,257.1,265.1,286.8,280.5,251,257,267.6,306.2,345.1,365.3,394.5,388.1,346.1,394.4,422.4,376.1,365.3,367.7,375,380.6,338.2,317.8,315.8,321.5,342,361.4,387.9,407.7,408.2,440,433.3,356.6,343,346.7,351.8,384,438.2,464.2,369.6
