"","Table 1#2#4# Price Indexes for Gross Domestic Product by Major T","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172"
"11","3","       Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","4","Goods","A353RG3",42.754,43.204,43.685,44.085,44.516,44.949,45.09,45.547,45.901,46.324,46.428,46.503,47.045,47.074,47.336,47.631,48.278,49.074,50.022,50.712,51.682,52.523,54.313,56.296,57.632,58.225,59.475,60.342,60.692,60.92,61.542,62.519,63.201,63.9,64.315,65.083,65.98,67.222,68.304,69.635,71.046,72.683,73.526,74.31,75.696,77.067,78.625,80.412,82.318,83.404,84.869,85.642,86.305,86.929,87.748,87.9,88.434,89.094,89.533,90.002,90.557,90.696,90.887,90.987,91.703,91.888,91.925,91.935,91.597,91.485,91.685,91.828,92.368,92.531,92.844,93.262,93.415,94.062,95.452,95.958,96.465,97.397,97.869,97.992,99.04,100.042,100.678,100.912,102.198,102.868,103.219,103.436,103.253,103.359,103.349,103.536,103.923,103.934,104.016,104.503,104.656,104.76,105.012,105.032,105.004,105.034,105.126,105.152,105.41,105.509,105.358,105.141,105.138,105.256,104.862,104.52,103.908,103.574,103.514,103.094,102.907,102.812,102.509,102.185,102.029,102.425,102.402,102.099,101.95,102.685,102.641,102.195,101.769,101.405,101.258,100.989,100.369,100.011,100.232,100.139,100.156,100.427,100.109,100.208,100.141,99.88,100.321,99.658,99.726,100.192,100.744,100.287,100.709,101.608,101.528,99.752,98.751,98.613,100.444,99.683,101.152,101.643,101.952,100.232,99.387,100.154,101.562,100.904,100.733
"13","5","    Final sales","A325RG3",42.341,42.788,43.274,43.663,44.091,44.528,44.67,45.121,45.468,45.879,45.988,46.072,46.62,46.64,46.881,47.163,47.833,48.616,49.56,50.281,51.216,52.006,53.75,55.758,57.068,57.687,58.92,59.814,60.189,60.407,61.017,61.995,62.677,63.362,63.827,64.617,65.502,66.746,67.805,69.108,70.524,72.156,72.959,73.722,75.093,76.436,78.014,79.793,81.583,82.649,84.129,84.94,85.649,86.304,87.117,87.298,87.789,88.47,88.943,89.374,89.902,89.996,90.197,90.344,91.102,91.313,91.376,91.387,91.07,91.003,91.231,91.335,91.842,91.983,92.302,92.765,92.97,93.64,95.089,95.568,96.063,97.005,97.466,97.601,98.654,99.682,100.315,100.616,101.869,102.563,102.878,103.097,102.95,103.06,103.048,103.237,103.642,103.628,103.705,104.205,104.343,104.462,104.744,104.746,104.693,104.722,104.831,104.894,105.196,105.305,105.136,104.942,104.947,105.098,104.738,104.404,103.839,103.522,103.481,103.051,102.867,102.788,102.49,102.16,102.015,102.432,102.404,102.105,101.94,102.699,102.657,102.206,101.762,101.408,101.284,101.021,100.421,100.058,100.284,100.198,100.201,100.462,100.125,100.207,100.127,99.871,100.342,99.659,99.706,100.168,100.709,100.222,100.657,101.577,101.491,99.674,98.691,98.596,100.554,99.518,101.068,101.629,102.028,100.329,99.545,100.332,101.736,100.886,100.71
"14","6","    Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","7","  Durable goods","A354RG3",57.12,57.459,57.888,58.399,58.848,59.429,59.336,60.024,60.935,61.381,61.11,61.021,61.783,61.825,61.835,61.619,61.757,61.803,62.16,62.348,63.47,64.446,66.978,69.423,71.787,73.586,74.893,76.296,77.598,78.442,79.186,80.964,81.62,82.15,82.946,84.186,84.953,85.822,86.769,88.543,89.69,91.872,93.419,94.279,96.612,99.412,101.378,103.287,105.416,107.824,110.01,111.114,112.329,113.776,114.895,115.433,115.612,115.614,115.934,116.365,116.411,116.735,117.142,117.304,117.973,117.816,117.544,117.036,115.893,115.841,116.009,116.192,115.882,115.449,115.65,115.574,115.168,114.924,115.954,116.237,116.712,117.036,117.832,118.041,118.455,118.695,119.167,119.378,120.45,120.931,121.243,121.053,120.744,120.696,120.158,119.99,120.409,120.587,120.532,120.562,120.837,121.234,121.251,120.481,120.497,120.027,119.522,119.457,119.535,118.818,118.745,118.527,118.182,117.387,116.583,115.836,114.78,113.919,113.142,112.237,111.413,110.908,110.164,109.705,109.206,108.994,108.891,108.698,107.78,107.39,106.879,106.472,105.968,105.186,104.636,104.375,103.439,102.58,101.667,101.057,100.701,100.576,100.091,100.134,100.254,100.194,99.783,99.769,99.786,99.513,99.238,99.095,98.923,98.574,97.594,96.993,96.631,95.508,95.65,95.741,96.151,96.138,95.353,95.062,94.406,94.122,93.94,93.641,93.49
"16","8","    Final sales","A326RG3",57.814,58.16,58.613,59.12,59.573,60.153,60.047,60.769,61.685,62.122,61.833,61.745,62.523,62.561,62.571,62.347,62.473,62.474,62.821,62.949,64.021,64.928,67.419,69.886,72.312,74.135,75.449,76.869,78.187,79.035,79.765,81.571,82.214,82.732,83.529,84.773,85.533,86.364,87.285,89.044,90.14,92.323,93.873,94.755,97.115,99.909,101.854,103.717,105.779,108.13,110.286,111.392,112.637,114.086,115.188,115.742,115.896,115.902,116.208,116.627,116.632,116.902,117.289,117.436,118.109,117.946,117.669,117.141,115.977,115.911,116.066,116.269,115.949,115.462,115.676,115.58,115.121,114.856,115.889,116.145,116.609,116.953,117.753,117.962,118.384,118.626,119.096,119.313,120.39,120.878,121.194,121.012,120.721,120.68,120.154,119.998,120.416,120.574,120.52,120.548,120.823,121.226,121.247,120.453,120.464,119.977,119.479,119.449,119.565,118.836,118.754,118.515,118.144,117.377,116.623,115.899,114.873,114.024,113.252,112.344,111.524,111.024,110.277,109.806,109.298,109.093,108.989,108.806,107.896,107.498,106.979,106.567,106.068,105.292,104.741,104.484,103.533,102.673,101.777,101.185,100.809,100.652,100.132,100.149,100.253,100.201,99.788,99.757,99.75,99.454,99.152,99.006,98.833,98.489,97.511,96.921,96.565,95.473,95.648,95.697,95.98,95.914,95.249,95.037,94.406,94.098,93.901,93.581,93.41
"17","9","    Change in private inventories \1\","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","10","  Nondurable goods","A356RG3",31.094,31.54,31.988,32.29,32.661,32.973,33.199,33.494,33.566,33.923,34.176,34.316,34.696,34.716,35.058,35.557,36.386,37.497,38.674,39.574,40.375,41.066,42.283,43.824,44.481,44.399,45.488,45.989,45.811,45.687,46.186,46.624,47.26,47.995,48.155,48.583,49.482,50.855,51.933,52.892,54.381,55.556,55.899,56.572,57.274,57.707,58.895,60.456,62.07,62.319,63.255,63.777,64.092,64.237,64.821,64.77,65.417,66.342,66.81,67.263,68.075,68.096,68.145,68.197,68.883,69.258,69.481,69.807,69.988,69.851,70.058,70.167,71.209,71.75,72.115,72.838,73.362,74.585,76.16,76.806,77.316,78.638,78.853,78.902,80.358,81.864,82.586,82.824,84.188,84.95,85.311,85.797,85.706,85.912,86.279,86.716,87.067,86.955,87.14,87.962,88.01,87.882,88.308,88.955,88.894,89.336,89.927,90.033,90.443,91.247,91.032,90.82,91.122,92.075,92.075,92.13,91.963,92.161,92.831,92.92,93.41,93.751,93.923,93.745,93.968,95.056,95.119,94.693,95.411,97.399,97.866,97.378,97.035,97.136,97.443,97.165,96.898,97.097,98.588,99.083,99.528,100.251,100.125,100.29,100.006,99.507,100.969,99.517,99.646,100.994,102.553,101.726,102.863,105.298,106.343,103.084,101.285,102.362,106.335,104.542,107.243,108.263,109.753,106.452,105.395,107.396,110.739,109.645,109.448
"19","11","    Final sales","A334RG3",30.258,30.694,31.133,31.422,31.785,32.103,32.33,32.606,32.671,33.014,33.276,33.423,33.806,33.815,34.124,34.593,35.433,36.513,37.656,38.603,39.379,40.032,41.211,42.773,43.374,43.327,44.386,44.918,44.77,44.643,45.13,45.573,46.205,46.918,47.154,47.621,48.5,49.876,50.932,51.861,53.362,54.537,54.832,55.464,56.141,56.547,57.78,59.35,60.831,61.094,62.069,62.644,63.002,63.188,63.77,63.745,64.354,65.304,65.822,66.225,67.001,66.99,67.067,67.199,67.939,68.354,68.621,68.964,69.187,69.132,69.394,69.433,70.424,70.945,71.309,72.103,72.725,73.984,75.635,76.242,76.741,78.055,78.252,78.324,79.77,81.316,82.029,82.374,83.685,84.487,84.785,85.274,85.234,85.446,85.804,86.237,86.616,86.477,86.65,87.488,87.513,87.41,87.883,88.507,88.406,88.849,89.449,89.589,90.043,90.863,90.625,90.474,90.811,91.795,91.811,91.859,91.752,91.967,92.665,92.733,93.215,93.582,93.77,93.592,93.842,94.961,95.013,94.579,95.256,97.334,97.824,97.331,96.949,97.057,97.405,97.137,96.917,97.098,98.586,99.073,99.505,100.239,100.112,100.27,99.978,99.481,101.006,99.536,99.642,101.015,102.581,101.688,102.856,105.344,106.39,103.017,101.249,102.396,106.6,104.236,107.279,108.556,110.178,106.77,105.808,107.875,111.216,109.718,109.535
"20","12","    Change in private inventories \1\","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","13","Services \2\","A341RG3",16.696,16.94,17.254,17.497,17.816,18.071,18.326,18.583,18.939,19.225,19.496,19.704,20.099,20.283,20.492,20.754,21.003,21.322,21.673,22.077,22.515,23.041,23.635,24.236,24.77,25.209,25.682,26.22,26.652,27.017,27.45,27.963,28.513,29.045,29.531,30.1,30.61,31.152,31.668,32.298,32.803,33.57,34.407,35.292,36.145,37.058,37.958,39.17,40.222,41.009,41.759,42.675,43.423,44.11,44.925,45.755,46.352,46.786,47.499,47.939,48.814,49.506,50.118,50.565,51.314,51.706,52.082,52.577,53.097,53.532,53.972,54.523,55.03,55.453,56.035,56.511,57.148,57.799,58.425,58.975,59.809,60.397,60.885,61.445,62.282,63.118,63.833,64.623,65.299,65.799,66.488,67.101,67.823,68.399,68.859,69.351,69.833,70.379,70.83,71.202,71.707,72.192,72.662,73.162,73.786,74.263,74.679,75.239,75.786,76.172,76.748,77.365,77.955,78.412,78.841,79.372,79.747,80.129,80.544,80.97,81.528,82.029,82.55,83.152,84.106,84.512,85.244,85.968,86.849,87.375,87.65,88.138,88.79,89.481,90.116,90.923,92.008,92.586,93.242,93.883,94.874,95.727,96.601,97.36,98.578,99.431,100.385,101.606,102.477,103.422,104.246,104.906,106.319,107.185,107.96,109.014,110.228,111.535,112.439,112.097,112.045,112.274,112.694,113.352,114.143,114.605,114.789,115.18,116.016
