"","Table 1#1#3# Real Gross Domestic Product, Quantity Indexes      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92"
"1","[Index numbers, 2005=100]; Seasonally adjusted                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1947 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published April 28, 2011    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/27/2011 9:51:09 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1947,1947,1947,1947,1948,1948,1948,1948,1949,1949,1949,1949,1950,1950,1950,1950,1951,1951,1951,1951,1952,1952,1952,1952,1953,1953,1953,1953,1954,1954,1954,1954,1955,1955,1955,1955,1956,1956,1956,1956,1957,1957,1957,1957,1958,1958,1958,1958,1959,1959,1959,1959,1960,1960,1960,1960,1961,1961,1961,1961,1962,1962,1962,1962,1963,1963,1963,1963,1964,1964,1964,1964,1965,1965,1965,1965,1966,1966,1966,1966,1967,1967,1967,1967,1968,1968,1968,1968,1969
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1
"9","1","    Gross domestic product","B191RA3",14.022,14.001,13.989,14.202,14.427,14.693,14.772,14.794,14.589,14.536,14.699,14.561,15.149,15.61,16.221,16.507,16.715,16.993,17.331,17.36,17.535,17.554,17.672,18.256,18.597,18.738,18.624,18.329,18.242,18.265,18.471,18.841,19.383,19.704,19.967,20.079,19.987,20.144,20.119,20.448,20.574,20.524,20.722,20.504,19.949,20.071,20.541,21.02,21.445,21.987,21.961,22.038,22.532,22.427,22.464,22.175,22.307,22.724,23.092,23.562,23.984,24.249,24.473,24.533,24.854,25.165,25.639,25.834,26.414,26.717,27.08,27.155,27.822,28.2,28.772,29.466,30.189,30.29,30.489,30.736,31.007,31.013,31.261,31.499,32.148,32.694,32.918,33.06,33.581
"10","2","Personal consumption expenditures","DPCERA3",12.83,13.043,13.085,13.089,13.154,13.307,13.327,13.433,13.454,13.66,13.691,13.891,14.122,14.355,15.091,14.637,14.991,14.568,14.737,14.823,14.856,15.148,15.222,15.759,15.947,16.043,16.006,15.9,15.958,16.166,16.385,16.729,17.105,17.432,17.648,17.869,17.899,17.958,17.999,18.247,18.373,18.405,18.551,18.561,18.308,18.459,18.761,19.009,19.361,19.659,19.864,19.886,20.076,20.331,20.25,20.276,20.271,20.572,20.672,21.086,21.31,21.572,21.747,22.056,22.204,22.417,22.722,22.911,23.364,23.775,24.212,24.28,24.819,25.093,25.525,26.242,26.629,26.698,27.004,27.116,27.274,27.646,27.788,27.959,28.627,29.066,29.613,29.748,30.081
"11","3","  Goods","DGDSRA3",13.233,13.471,13.561,13.612,13.631,13.755,13.741,13.832,13.811,14.114,14.185,14.502,14.783,14.941,16.059,15.213,15.548,14.759,14.921,15.042,14.969,15.305,15.289,16.062,16.274,16.305,16.168,16.069,16.059,16.216,16.388,16.845,17.362,17.851,18.099,18.227,18.147,18.12,18.044,18.303,18.474,18.407,18.562,18.416,17.976,18.031,18.371,18.726,19.161,19.464,19.618,19.459,19.654,19.929,19.801,19.682,19.496,19.79,19.919,20.363,20.601,20.804,20.963,21.291,21.49,21.668,21.885,21.959,22.468,22.94,23.476,23.304,24.063,24.237,24.733,25.686,26.169,26.038,26.413,26.358,26.426,26.887,26.807,26.913,27.77,28.185,28.876,28.828,29.215
"12","4","    Durable goods","DDURRA3",4.542,4.637,4.702,5.008,4.982,5.016,5.1,5.028,4.936,5.364,5.62,5.844,6.067,6.119,7.569,6.633,6.842,5.861,5.754,5.736,5.769,5.881,5.532,6.486,6.704,6.665,6.623,6.438,6.238,6.54,6.568,6.972,7.598,8.01,8.27,8.052,7.684,7.694,7.559,7.802,7.944,7.757,7.704,7.614,7.107,6.999,7.144,7.406,7.807,8.101,8.258,7.864,8.116,8.301,8.235,8.028,7.587,7.745,7.934,8.318,8.498,8.726,8.79,9.177,9.36,9.561,9.679,9.832,10.215,10.481,10.827,10.495,11.471,11.49,11.882,12.383,12.972,12.455,12.863,12.858,12.615,13.157,13.052,13.085,13.898,14.194,14.833,14.745,15.023
"13","5","    Nondurable goods","DNDGRA3",21.561,21.93,22.032,21.743,21.814,22.027,21.892,22.178,22.262,22.323,22.126,22.487,22.774,23.038,23.436,22.916,23.338,22.997,23.481,23.756,23.56,24.107,24.53,24.89,25.045,25.16,24.929,24.965,25.205,25.137,25.454,25.882,26.151,26.634,26.813,27.357,27.666,27.596,27.615,27.836,28.004,28.11,28.5,28.314,28.059,28.314,28.831,29.227,29.608,29.853,29.967,30.152,30.228,30.558,30.379,30.4,30.581,30.99,31.014,31.435,31.696,31.823,32.07,32.25,32.427,32.537,32.835,32.793,33.355,33.991,34.655,34.722,35.054,35.389,35.919,37.251,37.522,37.878,38.15,38.044,38.472,38.758,38.722,38.897,39.662,40.15,40.79,40.799,41.252
"14","6","  Services","DSERRA3",11.719,11.888,11.862,11.801,11.927,12.114,12.179,12.302,12.38,12.443,12.417,12.454,12.609,12.928,13.128,13.211,13.572,13.664,13.835,13.869,14.041,14.26,14.45,14.656,14.806,14.983,15.075,14.963,15.102,15.364,15.631,15.821,16.006,16.123,16.289,16.613,16.773,16.934,17.112,17.335,17.402,17.552,17.681,17.875,17.858,18.116,18.359,18.469,18.708,18.986,19.241,19.473,19.649,19.868,19.845,20.037,20.237,20.533,20.595,20.958,21.156,21.472,21.657,21.931,22.017,22.258,22.648,22.957,23.327,23.652,23.961,24.289,24.565,24.936,25.278,25.707,25.974,26.257,26.474,26.763,27.01,27.272,27.644,27.877,28.314,28.76,29.131,29.454,29.717
"15","7","Gross private domestic investment","B006RA3",8.718,8.016,7.759,9.366,10.381,11.065,11.184,10.627,8.974,7.719,8.395,7.936,9.927,11.038,12.032,13.631,12.194,12.495,11.53,10.548,10.795,9.898,10.425,11.173,11.395,11.434,11.165,10.286,10.2,10.164,10.684,11.176,12.368,13.149,13.337,13.626,13.168,13.019,12.866,12.714,12.509,12.492,12.79,11.722,10.851,10.594,11.468,12.502,13.208,14.311,13.315,13.781,15.271,13.726,13.644,11.958,12.264,13.178,14.282,14.523,15.388,15.24,15.512,14.992,15.823,16.054,16.578,16.782,17.472,17.391,17.804,17.95,19.756,19.755,20.46,20.555,22.292,21.886,21.669,21.773,21.177,20.274,20.856,21.307,21.771,22.651,21.915,22.143,23.602
