"","Table 1#4#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","Equals: Gross domestic purchases","A712RX1",995,911.8,854.6,744.5,735.7,813.4,892.9,1006.9,1053.8,1008.1,1089.6,1180.2,1392.7,1669.1,1961.7,2118.3,2080.6,1775.2,1738.9,1858.6,1847.4,2036.3,2177.5,2274.4,2395.5,2370.8,2542.7,2583.6,2629.5,2629.3,2818,2867.6,2933.3,3119,3248.8,3426.3,3659.2,3910.2,4018.2,4225.6,4358.6
"12","5","Less: Change in private inventories","A014RX1",10.3,-4.6,-10.6,-23.8,-12.2,-5.8,7.6,7.8,13,-3.1,1.6,16.1,26.4,10.3,-3.6,-4.3,-8.1,25.4,-3.6,19.3,-10.2,19.3,26.7,10.8,6.7,-6.4,16,11.9,2.9,-0.7,13.9,11.8,10.6,21.9,20.3,17.3,32.9,47.1,33.9,30.8,30.3
"13","6","Equals: Final sales to domestic purchasers","A713RX1",1006,940,886.6,787.2,764,834.4,893.4,1009,1046.4,1021.9,1097.5,1166.7,1364.9,1669.4,1988.7,2147.9,2116.2,1748.2,1766.1,1841,1884.2,2021.1,2148.1,2276.5,2405.2,2402.2,2538.7,2587.4,2647.9,2652.4,2819.8,2873.5,2941.3,3111.5,3244.7,3427.8,3639.4,3870.9,3999,4211.8,4345.7
"14",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","7","  Final sales of domestic product","A190RX1",987.6,920,865.9,767.2,743.9,814.7,865.3,979.7,1020.6,1006.1,1080.5,1153.7,1339,1618.1,1908.7,2063.2,2046.4,1766.2,1803.2,1837.2,1880.9,1990.7,2132.2,2245.7,2356.4,2363,2496.2,2553.3,2618.9,2600,2764,2836.6,2904.6,3064.9,3202.6,3393.7,3590.7,3806.6,3923.3,4119.4,4248.6
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Note. Chained (2005) dollar series are calculated as the product of the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","quantity index and the 2005 current-dollar value of the corresponding series, divided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","by 100. Because the formula for the chain-type quantity indexes uses weights of more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","than one period, the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
