"","Table 1#2#3# Real Gross Domestic Product by Major Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172"
"11","3","       Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","4","Goods","A353RA3",26.474,26.248,26.474,26.235,26.125,26.407,26.537,25.482,26.956,26.851,27.108,26.739,27.294,28.711,29.165,29.838,31.242,32.055,31.569,32.375,31.823,31.856,31.257,31.083,29.888,30.144,31.236,31.601,32.689,33.214,33.435,33.176,33.575,34.388,35.573,35.343,35.091,37.26,37.501,38.362,38.505,38.284,38.849,38.699,39.053,38.021,37.462,38.454,40.433,39.266,40.836,39.355,37.861,38.639,38.038,37.127,37.368,39.036,39.801,42.021,43.502,44.408,44.833,45.096,44.906,45.107,45.959,46.122,46.574,46.461,47.109,47.267,47.385,48.266,48.93,50.383,50.699,51.747,51.834,52.814,54.001,54.797,55.245,54.817,55.602,55.652,55.509,54.386,53.838,54.09,54.695,54.792,55.104,56.287,57.071,57.828,58.019,58.647,58.441,59.893,61.311,62.624,62.821,64.772,64.919,64.544,65.046,66.256,66.482,68.282,69.831,70.418,71.481,73.67,75.277,76.028,77.399,76.778,78.374,81.079,82.046,82.785,84.184,86.616,85.862,88.918,88.486,88.749,86.722,87.027,85.921,86.657,87.547,87.993,88.87,87.946,88.894,89.07,92.453,94.013,94.419,95.004,96.173,97.515,99.102,99.168,100.233,101.496,104.367,104.828,104.84,106.682,107.203,108.841,109.731,112.286,111.942,111.901,108.754,103.287,102.669,102.575,104.271,110.007,115.025,114.803,116.862,119.424,122.111
"13","5","    Final sales","A325RA3",26.365,26.263,26.415,26.5,26.675,26.712,26.845,26.365,26.837,26.811,27.128,27.417,27.695,28.611,29.026,30.226,31.366,31.652,31.694,31.83,31.893,31.805,31.759,30.717,31.112,31.592,32.078,32.349,32.711,32.886,33.218,33.531,33.738,34.218,34.736,35.282,34.818,37.025,37.198,38.025,38.318,37.992,39.305,39.339,39.566,38.613,39.591,39.619,39.951,39.848,40.255,39.474,39.445,39.6,38.691,39.306,39.361,40.15,40.801,42.182,42.145,43.153,43.501,44.566,45.332,45.423,46.365,46.048,46.588,46.96,48.244,48.529,47.458,48.745,49.906,49.483,51.257,52.196,52.216,53.127,53.597,54.758,55.967,55.375,56.237,55.69,55.881,55.631,55.216,55.55,55.685,54.953,56.033,56.624,57.532,58.274,58.01,59.007,59.274,60.52,61.123,61.429,62.471,63.829,64.334,64.708,65.927,66.922,67.526,68.731,69.363,70.624,71.549,72.209,74.543,74.997,75.616,76.852,78.051,80.682,81.061,82.992,84.304,85.365,86.639,87.595,88.139,88.527,88.886,88.575,87.965,90.246,89.217,88.924,89.633,88.347,89.312,90.427,93.658,94.26,94.287,94.149,95.759,96.873,97.916,100.163,101.344,100.577,103.992,104.254,104.385,107.304,108.283,109.042,110.24,113.665,113.891,114.364,111.247,108.059,108.424,109.271,109.802,112.705,115.043,113.957,114.343,120.594,122.32
"14","6","    Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","7","  Durable goods","A354RA3",16.787,16.303,16.792,16.62,15.952,16.101,16.627,14.761,16.351,16.105,16.769,16.333,17.166,17.986,18.5,19.825,21.33,22.028,22.012,22.044,21.621,21.69,21.97,21.931,19.621,20.02,20.783,20.998,22.124,22.695,23.149,23.368,23.858,24.235,24.89,25.042,25.284,27.238,27.015,28.605,29.023,28.246,28.234,28.165,28.284,26.035,25.745,27.455,28.03,27.588,27.775,25.931,24.771,25.639,25.133,23.738,23.698,26.699,27.952,30,31.044,31.669,31.916,33.141,31.95,32.872,33.237,33.432,33.819,34.073,34.903,34.952,35.367,36.597,36.993,38.636,38.92,40.225,40.765,41.965,42.653,42.828,43.751,43.385,44.395,43.97,43.79,42.022,40.4,41.287,42.86,42.041,42.157,44.05,44.837,45.723,46.633,47.435,47.506,49.45,50.348,51.071,51.796,53.764,54.698,54.396,55.575,57.218,57.081,59.046,60.831,61.026,63.201,65.63,67.987,69.091,71.248,70.7,72.975,76.389,77.497,78.105,81.074,83.123,84.25,86.89,86.155,86.447,84.085,83.947,82.044,83.05,84.609,85.188,86.596,85.109,84.961,86.34,89.64,92.397,92.389,93.174,94.86,95.745,98.307,98.613,100.955,102.125,103.865,105.065,106.038,105.832,108.061,110.336,112.164,116.015,113.227,112.961,112.758,103.652,96.671,96.932,100.422,104.284,112.043,115.048,118.381,120.128,123.885
"16","8","    Final sales","A326RA3",16.363,16.065,16.274,16.143,16.191,16.228,16.266,15.359,15.899,16.002,16.429,16.756,17.083,17.69,18.011,19.134,20.531,21.063,21.051,21.167,21.245,21.576,21.559,20.623,20.474,20.783,21.512,21.892,22.095,22.125,22.559,22.836,23.668,24.101,24.413,24.719,24.338,26.548,26.712,27.59,28.16,27.484,28.463,28.321,28.589,26.546,27.035,27.541,27.959,27.58,27.792,26.485,26.247,26.082,25.68,26.069,25.615,27.07,27.873,29.343,29.603,30.379,30.623,31.994,32.473,33.152,34.051,33.589,33.732,34.464,36.287,36.345,34.755,36.303,37.959,37.307,39.341,40.38,40.167,41.198,41.774,42.909,44.606,43.351,45.274,43.886,43.946,43.37,42.66,43.321,43.601,42.953,43.797,44.562,45.804,46.787,46.491,47.805,47.959,49.632,50.273,50.279,51.488,52.881,53.686,54.07,55.687,57.036,57.809,59.427,60.33,61.856,63.207,64.439,67.706,68.186,69.217,70.921,72.809,76.182,76.341,78.988,81.273,81.617,84.933,85.516,86.078,86.282,87.828,86.63,85.171,88.379,85.921,85.854,87.487,84.872,85.057,87.818,91.815,92.288,92.232,92.379,94.657,95.84,96.871,100.021,102.214,100.894,104.737,105.278,105.738,107.638,109.585,112.204,113.98,117.182,116.502,116.968,114.995,108.421,106.727,107.095,108.648,109.725,112.669,114.124,116.265,121.725,124.143
"17","9","    Change in private inventories \1\","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","10","  Nondurable goods","A356RA3",43.072,43.452,43.067,42.725,43.838,44.361,43.624,44.476,45.467,45.688,45.026,44.853,44.722,47.194,47.458,46.69,47.74,48.718,47.369,49.587,48.825,48.783,46.571,46.152,47.191,47.146,48.782,49.411,50.301,50.671,50.394,49.182,49.333,50.946,53.075,52.082,50.844,53.19,54.342,53.646,53.222,54.132,55.79,55.502,56.298,57.865,56.826,56.227,60.825,58.314,62.561,62.049,60.068,60.536,59.816,60.058,60.832,59.464,59.121,61.411,63.605,64.977,65.716,63.951,65.856,64.549,66.29,66.368,66.895,66.062,66.275,66.631,66.154,66.27,67.388,68.346,68.693,69.178,68.427,68.941,70.955,72.821,72.397,71.891,72.236,73.123,73.054,73.099,74.413,73.561,72.487,74.133,74.77,74.708,75.453,75.966,74.954,75.27,74.611,75.207,77.439,79.685,79.001,80.86,79.719,79.234,78.641,79.136,79.931,81.435,82.581,83.769,83.072,84.854,85.296,85.502,85.678,84.952,85.532,87.179,87.932,88.852,88.03,90.99,87.626,91.247,91.237,91.46,89.901,90.794,90.735,91.116,91.13,91.4,91.584,91.376,93.715,92.355,95.835,95.928,96.847,97.195,97.748,99.636,100.054,99.83,99.37,100.745,104.972,104.555,103.439,107.652,106.19,107.099,106.938,108.042,110.455,110.652,104.268,102.722,108.97,108.52,108.345,116.071,118.152,114.5,115.241,118.633,120.223
"19","11","    Final sales","A334RA3",43.557,43.918,43.915,44.464,44.887,44.917,45.239,45.788,46.024,45.716,45.73,45.884,46.003,47.43,47.984,49.163,49.609,49.362,49.514,49.675,49.695,48.805,48.708,47.559,48.989,49.765,49.708,49.725,50.361,50.809,50.881,51.226,50.093,50.609,51.484,52.457,51.878,53.778,53.947,54.57,54.278,54.692,56.526,56.911,57.024,58.45,60.31,59.338,59.448,59.93,60.692,61.136,61.557,62.373,60.52,61.517,62.645,61.898,62.135,63.137,62.49,63.847,64.366,64.661,65.918,64.791,65.702,65.714,66.983,66.594,66.663,67.36,67.415,68.066,68.168,68.227,69.37,70.057,70.502,71.13,71.37,72.5,72.771,73.406,72.352,73.306,73.717,74.036,74.137,73.895,73.774,72.928,74.361,74.639,74.957,75.274,75.07,75.51,75.954,76.46,76.985,77.773,78.507,79.767,79.77,80.115,80.672,81.082,81.405,81.941,82.139,82.968,83.216,82.989,83.88,84.286,84.279,84.806,84.987,86.526,87.214,88.124,88.071,90.126,88.572,90.04,90.562,91.206,89.97,90.839,91.336,92.407,93.231,92.643,92.163,92.564,94.511,93.545,95.823,96.587,96.722,96.249,97.069,98.102,99.155,100.326,100.316,100.203,103.12,103.058,102.806,106.891,106.748,105.412,105.971,109.641,110.886,111.37,107.015,107.462,110.031,111.381,110.855,115.66,117.354,113.61,112.209,119.247,120.271
"20","12","    Change in private inventories \1\","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","13","Services \2\","A341RA3",35.345,35.854,36.039,36.354,36.415,36.48,36.743,36.896,37.161,37.363,37.545,37.983,38.436,38.759,39.028,39.36,39.685,40.006,40.184,40.362,40.517,40.815,41.006,41.442,41.893,42.478,42.429,42.852,43.116,43.338,43.701,44.166,44.574,44.834,45.304,45.599,46.172,46.723,47.018,47.293,47.713,47.915,47.846,48.275,48.506,48.597,48.97,49.32,49.446,49.9,49.954,49.999,50.219,50.343,50.8,51.498,52.146,52.628,53.288,53.167,53.427,54.05,54.529,55.071,55.985,56.552,57.499,58.044,58.519,59.175,59.741,60.204,60.721,61.131,61.41,62.074,62.754,63.211,63.831,64.562,64.8,65.268,65.763,66.394,66.805,67.491,67.865,67.987,68.166,68.756,68.869,69.16,69.969,70.34,71.103,71.672,71.844,72.07,72.651,72.995,73.4,73.842,74.493,74.655,74.896,75.478,76.086,76.149,76.691,77.415,77.499,78.325,78.58,79.268,79.897,80.544,81.01,82.093,82.68,83.448,84.108,84.832,85.824,86.866,87.462,88.654,88.936,89.658,90.28,90.768,91.127,91.592,92.432,93.109,93.537,93.928,94.06,94.917,95.362,95.867,96.75,97.199,97.781,98.579,99.223,99.683,100.445,100.649,101.492,101.995,102.493,103.398,103.781,104.289,105.066,105.704,106.086,106.367,106.314,106.316,105.906,106.128,106.078,106.294,106.297,106.786,107.251,107.478,107.633
