"","Table 1#5#4# Price Indexes for Gross Domestic Product, Expanded ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92"
"1","[Index numbers, 2005=100]; Seasonally adjusted                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1947 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published April 28, 2011    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/27/2011 9:54:38 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1947,1947,1947,1947,1948,1948,1948,1948,1949,1949,1949,1949,1950,1950,1950,1950,1951,1951,1951,1951,1952,1952,1952,1952,1953,1953,1953,1953,1954,1954,1954,1954,1955,1955,1955,1955,1956,1956,1956,1956,1957,1957,1957,1957,1958,1958,1958,1958,1959,1959,1959,1959,1960,1960,1960,1960,1961,1961,1961,1961,1962,1962,1962,1962,1963,1963,1963,1963,1964,1964,1964,1964,1965,1965,1965,1965,1966,1966,1966,1966,1967,1967,1967,1967,1968,1968,1968,1968,1969
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1
"9","1","    Gross domestic product","B191RG3",13.4,13.595,13.823,14.106,14.264,14.422,14.679,14.676,14.634,14.541,14.419,14.416,14.362,14.421,14.714,14.964,15.48,15.568,15.619,15.821,15.838,15.905,16.025,16.081,16.096,16.133,16.187,16.241,16.309,16.334,16.324,16.343,16.407,16.497,16.617,16.727,16.891,17.05,17.244,17.348,17.55,17.671,17.809,17.904,18.056,18.134,18.179,18.199,18.267,18.309,18.369,18.446,18.483,18.561,18.646,18.726,18.75,18.786,18.835,18.884,18.992,19.04,19.091,19.159,19.213,19.232,19.266,19.382,19.452,19.518,19.614,19.704,19.788,19.876,19.963,20.086,20.209,20.401,20.591,20.772,20.874,21.002,21.194,21.426,21.658,21.9,22.111,22.418,22.644
"10","2","Personal consumption expenditures","DPCERG3",13.824,13.935,14.195,14.548,14.709,14.862,15.089,15.042,14.924,14.834,14.748,14.737,14.714,14.785,15.094,15.363,15.85,15.977,15.998,16.21,16.279,16.276,16.383,16.411,16.474,16.499,16.588,16.661,16.745,16.722,16.668,16.651,16.706,16.724,16.79,16.837,16.907,17.02,17.187,17.288,17.444,17.554,17.696,17.787,18.005,18.037,18.051,18.046,18.172,18.244,18.353,18.453,18.477,18.574,18.645,18.728,18.763,18.761,18.83,18.851,18.934,19.001,19.05,19.107,19.161,19.188,19.279,19.351,19.444,19.489,19.555,19.621,19.684,19.782,19.856,19.917,20.072,20.236,20.392,20.55,20.611,20.708,20.9,21.078,21.301,21.518,21.741,21.982,22.198
"11","3","  Goods","DGDSRG3",23.514,23.74,24.104,24.738,25.093,25.362,25.754,25.563,25.247,24.961,24.674,24.528,24.398,24.533,25.137,25.666,26.711,26.939,26.902,27.224,27.289,27.132,27.233,27.162,27.138,27.06,27.057,27.064,27.187,27.084,26.891,26.754,26.792,26.769,26.857,26.864,26.94,27.14,27.435,27.591,27.836,28.049,28.268,28.366,28.83,28.844,28.77,28.635,28.826,28.861,28.952,29.028,28.987,29.132,29.173,29.283,29.319,29.198,29.273,29.223,29.31,29.377,29.424,29.505,29.539,29.542,29.722,29.792,29.932,29.923,29.979,30.051,30.118,30.292,30.367,30.368,30.644,30.867,31.061,31.24,31.216,31.29,31.623,31.866,32.161,32.434,32.733,33.062,33.292
"12","4","    Durable goods","DDURRG3",41.332,41.712,41.945,42.491,42.815,43.377,44.886,44.967,44.816,44.522,43.981,43.929,43.795,44.131,44.743,45.481,47.163,47.477,47.495,47.953,48.281,47.712,48.206,47.074,47.532,47.586,47.281,47.373,47.751,46.552,45.789,45.522,45.806,46.03,46.468,46.591,46.769,46.869,47.547,48.167,48.555,49.226,49.221,49.317,50.193,49.991,49.939,49.761,50.63,50.823,50.814,50.792,50.718,50.658,50.502,50.414,50.423,50.661,50.892,50.829,50.836,50.902,51.069,50.868,50.885,51.04,51.184,51.345,51.42,51.39,51.334,51.232,51.24,51.08,50.826,50.546,50.479,50.695,50.92,51.153,51.046,51.271,51.836,52.359,52.699,53.02,53.462,53.949,54.264
"13","5","      Motor vehicles and parts","DMOTRG3",22.221,22.239,22.575,22.9,23.15,23.43,25.255,25.05,25.153,25.223,24.943,24.955,24.995,25.196,25.155,25.209,25.993,26.174,26.257,27.277,27.934,27.458,28.21,26.449,27.221,27.264,26.643,26.843,27.533,26.019,25.325,25.358,25.765,26.17,26.666,26.842,27.094,27.049,27.778,28.312,28.914,29.553,29.387,29.328,30.375,30.335,30.533,30.369,31.783,31.996,31.95,31.915,31.653,31.441,31.16,31.004,31.022,31.391,31.795,31.758,31.777,32.021,32.235,31.982,31.995,32.198,32.362,32.47,32.574,32.523,32.531,32.45,32.566,32.366,32.137,31.943,31.847,32.013,32.106,32.174,31.811,32.073,32.739,33.267,33.263,33.428,33.689,33.983,34.013
"14","6","      Furnishings and durable household equipment","DFDHRG3",39.109,39.636,40.027,40.553,40.798,41.325,41.894,42.014,41.34,40.527,40.165,40.065,39.857,40.335,41.624,43.119,45.093,45.691,45.564,45.419,45.351,44.862,44.975,44.755,44.794,44.997,45.238,45.227,45.069,45.027,44.835,44.474,44.461,44.44,44.583,44.591,44.489,44.651,44.963,45.44,45.387,45.621,45.718,45.837,46.092,45.523,45.266,45.302,45.375,45.595,45.66,45.668,45.82,45.96,46.03,46.096,46.096,46.161,46.148,46.121,46.139,46.086,46.035,46.042,46.027,46.037,46.094,46.237,46.258,46.233,46.108,45.999,45.936,45.909,45.798,45.766,45.819,46.001,46.376,46.731,46.893,47.066,47.409,47.719,48.439,48.962,49.342,49.771,50.226
"15","7","      Recreational goods and vehicles","DREQRG3",161.352,163.319,162.746,165.311,167.188,170.197,174.903,178.26,179.757,179.833,178.294,178.701,176.645,175.611,178.143,179.875,184.387,182.206,180.553,177.838,176.516,174.867,174.675,173.728,172.545,172.555,173.393,172.405,171.306,168.607,165.598,163.193,162.819,161.607,161.874,161.537,161.949,163.016,164.225,165.96,166.301,168.761,170.5,172.694,175.07,175.5,174.128,172.128,169.795,168.95,168.978,169.04,169.806,170.443,170.675,170.453,170.084,169.764,169.234,168.646,168.188,167.751,167.362,166.997,166.919,167.235,167.541,167.266,165.859,165.416,164.964,164.617,164.314,163.555,162.681,161.196,160.924,160.887,161.196,161.509,162.03,161.918,161.75,162.718,163.917,164.544,165.776,166.9,167.952
