"","Table 6#16D# Corporate Profits by Industry                      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Billions of dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 2001 To 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published April 28, 2011    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/27/2011 9:21:50 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1
"9","1","    Corporate profits with inventory valuation and capital consumption adjustments","A051RC1",782.8,812.3,765,776.6,830.3,852,869.8,936.7,917.5,950.1,992.7,1050.9,1187.2,1226.9,1292.2,1281.4,1408.2,1429,1454.7,1532.5,1590.9,1597.7,1655.1,1589.6,1515.5,1565.3,1501,1460.8,1376.3,1329,1350.8,995,1138.2,1178,1297.5,1418.2,1566.6,1614.1,1640.1,1678.3,NA
"10","2","Domestic industries","A445RC1",622.7,641.3,618.4,575.5,671.6,706,713.2,766.4,768.3,791.1,829.6,859.1,974,1029.6,1077,1087,1174,1195.7,1201.7,1295.2,1344,1342.4,1404.1,1315.4,1227.5,1252.8,1127.1,1031.6,946.2,916.8,906.6,636.4,789,844.8,933.2,1055.7,1178.1,1222.7,1257.7,1305.3,NA
"11","3","  Financial \1\","N587RC1",232.9,243.4,244.7,256.6,281.9,287.4,285.1,294.1,314.2,319.8,332.6,337.1,352.9,355,364.4,385.1,425.5,390.2,440.6,419.7,442,447.5,416.5,404.4,345.1,358.9,343.8,247.5,242.6,230.6,103.9,-65.2,123.6,227.4,286.1,332.4,337.6,334.2,368.8,426.5,NA
"12","4","  Nonfinancial","N463RC1",389.8,397.8,373.7,318.8,389.7,418.6,428.1,472.3,454.2,471.4,497,522,621.2,674.6,712.6,701.8,748.5,805.5,761.1,875.4,902,894.9,987.6,911.1,882.4,893.9,783.3,784.2,703.6,686.2,802.7,701.6,665.4,617.4,647.1,723.2,840.4,888.6,888.9,878.8,NA
"13","5","Rest of the world","B394RC1",160.1,171,146.6,201.2,158.7,145.9,156.6,170.3,149.1,158.9,163.1,191.8,213.2,197.3,215.2,194.4,234.2,233.3,252.9,237.4,246.9,255.3,251,274.1,288,312.5,373.9,429.1,430.1,412.3,444.2,358.5,349.1,333.2,364.2,362.6,388.5,391.3,382.4,373,NA
"14","6","  Receipts from the rest of the world","B933RC1",191.2,186.3,176.1,176.8,191.7,202.3,217.2,206.4,229.4,236.2,250.1,281,314.7,323.1,332.7,342.1,373.3,374.6,384.3,404.1,410.6,436,441.2,450,465.8,498.7,528.4,549.5,593,607.5,587.8,498.8,447.9,457.7,487.8,529.1,561.4,557.5,566.3,589,NA
"15","7","  Less: Payments to the rest of the world","B934RC1",31.1,15.3,29.5,-24.4,32.9,56.4,60.7,36.1,80.2,77.3,87,89.2,101.5,125.9,117.5,147.7,139.1,141.3,131.3,166.8,163.6,180.7,190.2,175.9,177.8,186.2,154.6,120.3,162.9,195.3,143.5,140.3,98.8,124.4,123.6,166.5,172.9,166.1,183.9,216,NA
"16","8","    Corporate profits with inventory valuation adjustment","A052RC1",730.2,762.6,708,682.2,713.3,737.7,761.8,838.4,837.9,853.5,903.1,974.3,1120.5,1171.3,1246,1242.8,1542.9,1573.5,1613,1708.5,1781.9,1771.4,1822.8,1762.7,1688.3,1748.7,1686,1641.5,1406.1,1353.3,1376,1021,1223,1249.8,1360.5,1481.2,1736.5,1784.7,1809.3,1694.1,NA
"17","9","Domestic industries","A390RC1",570.1,591.6,561.5,481,554.5,591.8,605.2,668.1,688.8,694.5,740,782.4,907.3,974,1030.8,1048.4,1308.7,1340.2,1360,1471.1,1535,1516.1,1571.8,1488.6,1400.3,1436.2,1312.2,1212.4,976,941.1,931.8,662.5,873.8,916.6,996.2,1118.6,1348,1393.4,1427,1321.1,NA
"18","10","  Financial","N392RC1",219.2,228.9,228.4,235.4,258.2,264.4,263.6,274.6,298.5,303.5,318.8,326.6,346.3,351.7,364,387.4,448,414.5,466.1,445.8,466.5,467.8,434.8,422.8,364,379.9,366.3,271.8,253.5,242.5,116.5,-52.7,141.6,243.4,300.2,346.7,362.7,359.4,393.7,435.8,NA
"19","11","    Federal Reserve banks","B397RC1",31.7,29.8,28.1,25.8,24.3,24.3,23.3,22.2,21.7,20.8,19.5,18.3,19.1,19.1,20.1,21.9,22.9,25.5,26.8,31,31,33.6,35.8,34.9,36,36.6,36.2,35.2,33.3,33.6,35,38.4,43.6,47,49.2,49.6,56.9,60.3,59,56.3,NA
"20","12","    Other financial \2\","N398RC1",187.5,199.1,200.3,209.6,233.9,240.1,240.2,252.4,276.8,282.7,299.2,308.3,327.2,332.6,343.9,365.4,425.1,388.9,439.3,414.7,435.5,434.2,399,387.8,328,343.3,330.1,236.6,220.2,208.9,81.5,-91.1,98,196.4,251,297.1,305.8,299.1,334.6,379.4,NA
"21","13","  Nonfinancial","N399RC1",350.9,362.8,333.1,245.6,296.3,327.4,341.7,393.5,390.3,391,421.2,455.8,561.1,622.4,666.8,661,860.7,925.8,893.9,1025.4,1068.5,1048.3,1137,1065.8,1036.3,1056.3,945.8,940.6,722.5,698.6,815.3,715.2,732.3,673.2,696,771.9,985.3,1034,1033.3,885.4,NA
"22","14","    Utilities","N419RC1",28,29.7,26.4,16.9,8.6,12.1,14.2,14.2,12.9,11.2,11.8,13.8,16.1,18.7,19.3,23.7,28,29.4,22.6,39.1,45.2,53.1,60.8,58.4,54.7,50.6,57.3,38.6,15.6,-18,66,49.6,37.7,33.4,22.4,26.4,41.5,32.8,35.2,22.5,NA
"23","15","    Manufacturing","N400RC1",81.6,81.5,48.1,-12.2,32.7,46.4,51.9,59.7,60.3,49.1,66.9,101.4,131.7,148.1,161.3,175.3,242.8,234.8,246.5,264.9,294.4,302.3,336.4,285,289.5,303.2,229.8,262.7,196.7,161.6,211.2,165.2,141,139.7,151.8,170.9,250.4,277.1,269.2,241.5,NA
"24","16","      Durable goods","N406RC1",11.6,-4,-39,-76.3,-25.7,-8.4,1.4,1.8,-3.4,-9.4,-12,7.4,31.1,40.3,43.2,48.1,86.4,93.6,96.5,105.6,125.3,94.9,134.1,121.2,108.5,95.6,79.5,100.7,76.4,35.9,65.6,27.5,30.7,43.6,55,83.9,140.1,147,160.5,152.9,NA
"25","17","        Fabricated metal products","N408RC1",12.2,11,9.1,6.8,8.4,9.1,8.8,9.9,6.5,8.1,6.5,10.9,10.9,12.8,11.1,13.7,17,18,19.8,17.5,19.6,16.7,18.1,20.4,18.7,19.8,20.6,22.8,17.3,12.7,14.7,21.6,21.5,17.6,14.4,12,17.4,17,19.6,21.5,NA
"26","18","        Machinery","N409RC1",9.4,4.2,-7,1.2,1.9,1.7,1.4,0.5,0,1.8,0.6,1.7,3.8,7.2,9.2,8.3,11.5,12.5,14.3,19.9,18.8,18.7,20.1,19.3,22.5,23.9,21.8,20.1,16.8,13.5,13.7,18.3,12.6,11.1,11.4,14.3,19.9,23.3,29.1,31.5,NA
"27","19","        Computer and electronic products","N501RC1",-23,-36.2,-57.3,-77.8,-48.2,-37.6,-27.8,-23.7,-17.2,-16,-16.8,-8.9,-6.2,-5.8,-3.9,-1.4,6.5,8.6,10,11,10.1,19.1,22.6,17.7,16.4,8.8,11,7.6,14.1,5.1,6.6,9.8,5.3,11.4,12.9,24.1,44.8,51.2,54.6,61.6,NA
