"","Table 3#10#4# Price Indexes for Government Consumption Expenditu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published April 28, 2011    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/27/2011 9:13:59 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
"8","1","      Government consumption expenditures \1\","A955RG3",16.262,17.585,18.976,20.372,21.882,23.895,26.291,28.187,30.269,32.234,34.954,38.821,42.629,45.448,47.481,50.338,52.224,53.399,55.151,56.754,58.656,61.252,63.627,65.546,67.229,69.091,70.967,72.838,74.367,75.483,78.126,81.494,83.944,86.436,90.61,94.588,100,104.811,109.651,114.929,114.166,116.812
"9","2","        Gross output of general government","W101RG3",15.723,16.98,18.29,19.593,21.049,22.999,25.288,27.118,29.126,31.059,33.705,37.443,41.151,43.97,46.063,48.874,50.774,52.039,53.873,55.651,57.783,60.549,63.129,65.305,67.212,69.155,71.126,73.037,74.593,75.71,78.28,81.525,83.961,86.494,90.692,94.741,100,104.773,109.571,114.776,114.577,117.331
"10","3","          Value added","W102RG3",13.725,15.1,16.422,17.824,19.193,20.668,22.676,24.383,26.228,27.956,30.115,33.061,36.35,39.126,41.329,44.467,46.642,48.378,50.343,52.308,54.462,57.086,60.013,62.486,64.622,66.841,68.724,70.67,72.354,73.995,77.023,79.947,82.961,86.443,91.111,95.271,100,104.635,109.716,113.415,115.761,117.781
"11","4","            Compensation of general government employees","A194RG3",12.17,13.483,14.73,16.089,17.354,18.51,20.324,21.955,23.711,25.285,27.254,29.897,32.846,35.392,37.626,40.913,43.238,45.071,47.13,49.169,51.38,54.077,57.144,59.871,62.032,64.262,66.091,68.219,70.081,71.927,75.215,78.264,81.612,85.587,90.892,95.291,100,104.647,109.722,113.389,115.971,118.366
"12","5","            Consumption of general government fixed capital \2\","A265RG3",26.374,28.047,29.813,31.294,33.392,37.891,41.393,43.392,45.642,48.527,52.09,57.431,63.415,67.878,69.27,70.389,70.825,71.48,72.435,73.623,75.159,77.063,78.788,79.319,81.218,83.3,85.528,86.219,86.693,86.976,88.313,90.433,91.343,91.737,92.45,95.154,100,104.566,109.684,113.555,114.617,114.625
"13","6","          Intermediate goods and services purchased \3\","W104RG3",20.538,21.283,22.406,23.26,24.843,28.133,31.091,33.126,35.451,37.845,41.754,47.591,52.264,55.019,56.706,58.543,59.695,59.83,61.348,62.669,64.717,67.774,69.511,70.975,72.338,73.639,75.785,77.602,78.874,78.897,80.54,84.402,85.753,86.603,89.996,93.861,100,105.001,109.334,117.008,112.668,116.605
"14","7","            Durable goods","W105RG3",33.601,35.341,37.061,36.721,38.507,42.03,46.835,50.375,53.939,57.903,63.134,68.362,74.568,81.201,86.791,91.797,92.741,94.468,94.839,93.049,93.753,96.019,98.515,100.093,101.685,102.683,103.185,103.023,102.315,101.094,100.069,99.738,98.771,98.108,97.955,98.69,100,101.784,102.255,103.558,104.368,104.527
"15","8","            Nondurable goods","W106RG3",19.708,20.215,20.711,21.381,24.133,29.71,33.284,34.941,37.264,39.438,45.516,55.33,60.802,60.977,60.64,60.523,60.465,54.851,56.84,57.271,60.481,65.15,64.182,63.746,64.078,64.323,66.966,70.048,69.824,66.635,68.974,77.232,76.561,75.466,81.11,87.888,100,107.504,113.976,131.375,110.168,121.504
"16","9","            Services","W107RG3",19.626,20.375,21.711,22.773,23.862,26.248,28.796,30.844,33.061,35.405,38.296,42.644,46.881,50.25,52.222,54.379,56.018,58.031,59.568,61.637,63.527,66.188,68.79,70.923,72.641,74.362,76.482,78.009,80.028,81.422,83.041,85.554,87.93,89.678,92.533,95.61,100,104.391,108.324,113.152,114.231,116.008
"17","10","        Less: Own-account investment \4\","W108RG3",16.155,17.319,18.467,19.288,20.596,22.809,25.138,27.01,29.125,31.233,33.713,37.13,40.602,43.213,45.726,47.918,49.826,51.309,53.207,55.809,58.498,61.267,63.842,66.009,68.243,70.598,73.098,74.802,76.387,77.704,80.292,83.546,86.15,88.521,91.973,95.608,100,104.032,108.061,112.275,113.798,116.086
"18","11","              Sales to other sectors","W109RG3",11.696,12.392,13.022,13.593,14.652,16.098,17.551,18.865,20.294,21.987,24.066,26.829,29.777,32.587,35.082,37.574,39.584,41.535,44.027,47.122,51.01,55.132,59.32,63.448,66.96,69.43,71.999,74.196,75.925,77.036,79.128,81.572,83.905,86.717,91.134,95.693,100,104.578,109.164,113.956,117.339,120.831
"19","12","Federal consumption expenditures \1\","A957RG3",16.169,17.483,19.028,20.671,22.154,24.216,26.818,28.752,30.98,32.913,35.559,39.525,43.465,46.446,48.182,51.471,53.042,53.796,54.902,56.289,57.915,59.996,62.628,64.893,66.586,68.439,70.41,72.708,74.361,75.462,77.545,80.463,82.458,86.106,90.283,94.978,100,104.439,108.455,112.078,111.885,114.008
"20","13","      Gross output of general government","W110RG3",16.181,17.479,19.026,20.64,22.139,24.203,26.781,28.728,30.967,32.933,35.601,39.619,43.541,46.472,48.191,51.426,52.966,53.662,54.799,56.201,57.863,59.953,62.558,64.837,66.583,68.429,70.393,72.706,74.375,75.441,77.553,80.49,82.487,86.127,90.293,94.983,100,104.425,108.438,112.053,111.868,113.997
"21","14","        Value added","W111RG3",12.846,14.339,15.894,17.644,18.943,20.454,22.569,24.207,26.255,27.878,29.919,32.862,36.352,39.128,40.618,44.55,46.236,47.104,48.218,50.069,51.923,53.548,56.525,59.239,61.08,63.129,65.246,68.029,69.856,71.205,73.794,76.764,78.848,83.726,88.735,94.536,100,105.063,110.024,112.645,113.596,115.169
"22","15","          Compensation of general government employees","B568RG3",9.893,11.258,12.662,14.281,15.381,16.567,18.351,19.656,21.409,22.676,24.422,26.928,29.898,32.237,33.534,37.48,39.333,40.384,41.689,43.646,45.479,47.002,50.072,53.11,54.766,56.688,58.752,62.138,64.466,66.125,69.045,72.315,74.853,81.063,87.21,93.896,100,105.569,111.305,114.018,115.446,117.403
"23","16","          Consumption of general government fixed capital \2\","B995RG3",29.277,30.823,32.636,34.371,36.495,39.753,43.257,46.625,49.812,53.367,56.559,61.27,66.894,71.564,73.769,75.82,75.71,75.151,74.858,75.733,77.383,79.294,81.448,82.368,84.903,87.392,89.651,89.983,89.861,90.037,91.406,93.291,93.718,93.697,94.437,96.901,100,103.256,105.547,107.855,107.18,107.445
"24","17","        Intermediate goods and services purchased \3\","W113RG3",23.186,23.738,24.99,25.965,27.803,31.129,34.631,37.158,39.567,42.203,46.231,52.59,57.215,60.296,62.427,63.976,65.149,65.48,66.641,67.121,68.352,71.326,73.108,74.434,75.929,77.287,78.877,80.178,81.499,81.996,83.154,85.976,87.792,89.429,92.366,95.563,100,103.617,106.441,111.266,109.738,112.511
"25","18","          Durable goods","W114RG3",33.057,34.656,36.376,35.325,37.086,40.043,44.616,48.487,52.105,56.09,61.266,65.841,71.617,78.667,85.058,90.745,91.347,92.996,92.817,89.645,89.44,91.428,93.867,95.479,97.59,98.703,98.86,98.688,98.203,97.504,97.176,97.57,97.395,97.243,97.799,98.647,100,102.032,101.968,102.645,103.126,103.316
