"","Table 5#4#1# Percent Change From Preceding Period in Real Privat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Percent]                                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2010   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/27/2011 9:18:52 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"8","1","    Private fixed investment in structures","A349RL1",4,-3.2,13,11.3,2.8,-13,-11.9,13.3,13.8,9.6,3.1,-9,0.5,-8.6,8.9,14.4,4.3,0.4,-0.2,-0.4,-0.9,-4.1,-10.4,4.5,4.5,6.6,0.4,7.1,4.1,6.6,3.6,3.7,-0.3,-4.3,3.9,6.9,4.7,-2.1,-6.7,-10.2,-21.6
"9","2","Nonresidential","B009RL1",5.4,0.3,-1.6,3.1,8.2,-2.2,-10.5,2.4,4.1,14.4,12.7,5.9,8,-1.6,-10.8,13.9,7.1,-11,-2.9,0.7,2,1.5,-11.1,-6,-0.6,1.8,6.4,5.7,7.3,5.1,0.1,7.8,-1.5,-17.7,-3.8,1.1,1.4,9.2,14.1,5.9,-20.4
"10","3","  Commercial and health care","W001RL1",15.4,1.3,9.3,9.2,4.5,-6.3,-22.1,-1.4,5.3,13.9,19.2,10,8.2,8.9,-2.9,21.7,15.5,-7.1,-3.6,3,-1.3,-4,-22.3,-7.1,4,4.6,5.9,7.7,10.5,6.2,3.6,6.7,-4.8,-15.3,-6.3,2.5,-0.9,6.1,10,-3.7,-29.9
