"","Table 6#5B# Full-Time Equivalent Employees by Industry          ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25"
"1","[Thousands]                                                                                                                                                                                                                                               ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1948 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/27/2011 10:04:00 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","      Full-time equivalent employees \1\","A4301C0",48029,46769,48527,52537,53673,54612,52782,53988,55303,55724,53919,55574,56581,56479,58034,58907,60208,62633,66071,67992,69859,71718
"9","2","Domestic industries","A4302C0",48022,46784,48531,52592,53741,54690,52909,54126,55445,55857,54047,55708,56724,56604,58125,58979,60271,62654,66086,68007,69875,71740
"10","3","  Private industries","A4303C0",41278,39577,41099,43325,43698,44677,43054,44381,45605,45822,43970,45365,46103,45621,46734,47380,48332,50338,52793,54001,55419,57024
"11","4","    Agriculture, forestry, and fishing","J4304C0",2072,2000,2067,1999,1933,1882,1902,1847,1769,1747,1780,1771,1755,1763,1723,1677,1552,1476,1382,1314,1298,1274
"12","5","      Farms","B4305C0",1940,1869,1933,1856,1786,1742,1762,1707,1626,1604,1639,1631,1604,1602,1551,1498,1361,1270,1168,1088,1063,1032
"13","6","      Agricultural services, forestry, and fishing","J4306C0",132,131,134,143,147,140,140,140,143,143,141,140,151,161,172,179,191,206,214,226,235,242
"14","7","    Mining","J4307C0",993,923,924,937,914,872,794,798,837,833,742,710,692,657,640,623,619,624,621,604,599,611
"15","8","      Metal mining","B4308C0",100,94,96,102,103,107,101,105,112,113,92,83,95,89,84,81,81,85,88,80,83,91
"16","9","      Coal mining","J4309C0",533,475,469,441,397,342,267,249,261,255,215,190,177,157,150,145,142,140,137,137,131,133
"17","10","      Oil and gas extraction","J4310C0",263,257,260,287,305,312,316,329,342,344,318,318,303,296,292,283,282,280,276,270,270,274
"18","11","      Nonmetallic minerals, except fuels","B4311C0",97,97,99,107,109,111,110,115,122,121,117,119,117,115,114,114,114,119,120,117,115,113
"19","12","    Construction","J4312C0",2321,2194,2411,2668,2683,2643,2611,2734,2853,2801,2705,2838,2805,2777,2855,2939,3049,3221,3327,3301,3418,3562
"20","13","    Manufacturing","J4313C0",15521,14368,15110,16252,16482,17241,15999,16490,16774,16745,15291,16060,16189,15772,16360,16484,16722,17624,18852,19068,19386,19789
"21","14","      Durable goods","J4314C0",8343,7494,8087,9090,9391,10047,9088,9487,9741,9731,8588,9160,9246,8908,9358,9473,9650,10289,11224,11332,11510,11786
"22","15","        Lumber and wood products","J4315C0",862,752,817,866,807,778,710,750,742,669,623,667,647,601,612,619,641,658,670,653,669,686
