"","Table 1#7#3# Real Gross Domestic Product, Real Gross National Pr","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92"
"1","[Index numbers, 2005=100]; Seasonally adjusted                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1947 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published April 28, 2011    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/27/2011 9:56:16 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1947,1947,1947,1947,1948,1948,1948,1948,1949,1949,1949,1949,1950,1950,1950,1950,1951,1951,1951,1951,1952,1952,1952,1952,1953,1953,1953,1953,1954,1954,1954,1954,1955,1955,1955,1955,1956,1956,1956,1956,1957,1957,1957,1957,1958,1958,1958,1958,1959,1959,1959,1959,1960,1960,1960,1960,1961,1961,1961,1961,1962,1962,1962,1962,1963,1963,1963,1963,1964,1964,1964,1964,1965,1965,1965,1965,1966,1966,1966,1966,1967,1967,1967,1967,1968,1968,1968,1968,1969
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1
"9","1","Gross domestic product","A191RA3",14.022,14.001,13.989,14.202,14.427,14.693,14.772,14.794,14.589,14.536,14.699,14.561,15.149,15.61,16.221,16.507,16.715,16.993,17.331,17.36,17.535,17.554,17.672,18.256,18.597,18.738,18.624,18.329,18.242,18.265,18.471,18.841,19.383,19.704,19.967,20.079,19.987,20.144,20.119,20.448,20.574,20.524,20.722,20.504,19.949,20.071,20.541,21.02,21.445,21.987,21.961,22.038,22.532,22.427,22.464,22.175,22.307,22.724,23.092,23.562,23.984,24.249,24.473,24.533,24.854,25.165,25.639,25.834,26.414,26.717,27.08,27.155,27.822,28.2,28.772,29.466,30.189,30.29,30.489,30.736,31.007,31.013,31.261,31.499,32.148,32.694,32.918,33.06,33.581
"10","2","Plus: Income receipts from the rest of the world","B645RA3",2.209,2.286,2.255,2.475,2.614,2.729,2.873,2.766,2.793,2.703,2.661,2.479,2.632,2.768,3.174,3.172,3.13,3.556,3.648,3.808,3.587,3.681,3.637,3.612,3.539,3.699,3.423,3.498,3.664,3.642,3.658,4.015,4.108,4.148,4.204,4.269,4.646,4.571,4.717,4.272,4.85,5.129,4.983,4.189,4.308,4.264,4.209,4.23,4.265,4.326,4.653,4.958,5.007,5.03,5.153,5.299,5.55,5.344,5.492,5.628,5.505,5.923,5.976,6.648,6.436,6.353,6.521,6.739,7.201,7.042,7.194,6.951,7.618,7.84,7.508,7.102,7.294,7.353,7.418,7.705,7.642,7.497,7.976,7.96,8.267,8.579,8.824,8.821,9.213
"11","3","Less: Income payments to the rest of the world","A655RA3",0.805,0.783,0.757,0.89,0.836,0.841,0.992,0.872,1.012,0.982,1.012,1.022,1.066,1.094,1.123,1.139,1.217,1.225,1.203,1.196,1.15,1.236,1.248,1.296,1.274,1.266,1.308,1.375,1.328,1.321,1.302,1.306,1.344,1.458,1.487,1.48,1.496,1.454,1.523,1.53,1.534,1.523,1.56,1.569,1.605,1.496,1.569,1.643,1.715,1.794,1.899,2.014,2.233,2.168,2.138,2.064,2.098,2.107,2.185,2.248,2.142,2.18,2.196,2.22,2.253,2.368,2.471,2.553,2.594,2.652,2.655,2.803,2.822,2.878,2.955,3.039,3.08,3.139,3.35,3.435,3.436,3.432,3.405,3.572,3.783,4.028,4.127,4.174,4.611
"12","4","Equals: Gross national product","B001RA3",13.991,13.974,13.962,14.177,14.408,14.677,14.756,14.778,14.57,14.515,14.674,14.529,15.118,15.581,16.203,16.486,16.689,16.981,17.322,17.357,17.524,17.544,17.658,18.236,18.573,18.72,18.594,18.302,18.223,18.245,18.451,18.833,19.374,19.69,19.953,20.067,19.99,20.145,20.123,20.432,20.579,20.541,20.731,20.483,19.935,20.058,20.521,20.995,21.416,21.954,21.937,22.022,22.508,22.406,22.449,22.171,22.311,22.717,23.085,23.555,23.973,24.252,24.476,24.562,24.871,25.173,25.647,25.846,26.44,26.732,27.099,27.159,27.848,28.23,28.782,29.451,30.176,30.276,30.47,30.724,30.99,30.991,31.257,31.487,32.137,32.684,32.913,33.053,33.57
"13","5","Less: Consumption of fixed capital","A262RA3",10.143,10.061,10.014,9.981,9.979,9.969,9.969,9.966,9.991,10.011,10.032,10.053,10.085,10.139,10.203,10.282,10.377,10.484,10.594,10.713,10.84,10.978,11.112,11.262,11.419,11.572,11.706,11.843,11.985,12.107,12.232,12.347,12.463,12.577,12.692,12.802,12.919,13.034,13.15,13.248,13.344,13.457,13.578,13.714,13.863,13.988,14.094,14.168,14.236,14.298,14.354,14.422,14.484,14.558,14.642,14.744,14.845,14.962,15.068,15.189,15.32,15.446,15.592,15.74,15.898,16.053,16.213,16.38,16.536,16.707,16.888,17.089,17.296,17.521,17.758,17.999,18.263,18.522,18.782,19.037,19.293,19.541,19.792,20.037,20.274,20.516,20.765,21.014,21.265
"14","6","        Private","A024RA3",6.905,7.042,7.181,7.321,7.462,7.595,7.721,7.838,7.947,8.055,8.162,8.269,8.376,8.485,8.595,8.706,8.819,8.92,9.01,9.088,9.153,9.228,9.31,9.402,9.502,9.6,9.696,9.789,9.88,9.975,10.073,10.176,10.282,10.391,10.502,10.615,10.731,10.841,10.945,11.042,11.134,11.24,11.362,11.5,11.654,11.779,11.874,11.939,11.972,12.005,12.038,12.07,12.102,12.148,12.209,12.286,12.377,12.469,12.561,12.653,12.745,12.847,12.961,13.085,13.219,13.355,13.493,13.631,13.771,13.928,14.102,14.293,14.502,14.723,14.956,15.201,15.458,15.709,15.955,16.194,16.428,16.658,16.886,17.111,17.333,17.564,17.803,18.051,18.308
"15","7","        Government","A264RA3",29.444,28.09,26.947,25.886,25.017,24.138,23.375,22.639,22.147,21.616,21.095,20.568,20.128,19.827,19.592,19.452,19.426,19.559,19.79,20.159,20.672,21.209,21.663,22.173,22.686,23.182,23.548,23.957,24.421,24.704,24.991,25.173,25.34,25.474,25.605,25.683,25.797,25.931,26.115,26.208,26.324,26.468,26.571,26.689,26.79,26.899,27.07,27.192,27.479,27.723,27.921,28.222,28.477,28.721,28.947,29.202,29.358,29.629,29.811,30.113,30.48,30.743,31.09,31.374,31.668,31.933,32.224,32.562,32.804,33.054,33.273,33.513,33.696,33.927,34.179,34.375,34.663,34.958,35.293,35.622,36.008,36.347,36.727,37.079,37.396,37.697,37.986,38.23,38.423
