"","Table 1#9#4# Price Indexes for Net Value Added by Sector        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2010   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/27/2011 9:08:18 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"8","1","    Net domestic product","A362RG3",22.309,23.495,24.663,25.733,27.171,29.562,32.255,34.099,36.235,38.737,41.936,45.721,50.001,53.066,55.422,57.731,59.641,61.015,62.842,65.069,67.658,70.446,73.116,75.091,76.851,78.547,80.236,81.975,83.634,84.773,86.166,88.146,90.332,91.959,94.12,96.838,100,103.175,106.286,108.708,110.065
"9","2","Business \1\","A363RG3",25.419,26.511,27.622,28.609,30.122,33.011,36.086,37.955,40.178,42.984,46.627,50.799,55.468,58.606,60.869,62.829,64.437,65.501,67.102,69.268,71.932,74.66,77.233,78.932,80.635,82.114,83.661,85.2,86.791,87.583,88.44,90.203,91.977,92.808,94.282,96.838,100,102.872,105.665,107.602,108.443
"10","3","  Nonfarm \2\","A364RG3",24.738,25.829,26.934,27.784,28.746,31.692,35.001,36.907,39.198,41.779,45.324,49.713,54.493,57.885,59.986,61.893,63.819,64.931,66.521,68.573,71.184,73.969,76.719,78.471,80.172,81.719,83.245,84.598,86.433,87.308,88.339,90.218,91.904,92.837,94.196,96.551,100,102.978,105.451,107.403,108.648
"11","4","  Farm","A365RG3",140.376,140.479,141.603,170.388,296.163,279.401,227.037,219.558,203.069,254.286,275.051,220.635,197.325,160.77,192.875,205.557,151.373,144.67,147.867,169.084,180.321,173.377,148.971,143.504,145.6,137.502,142.077,173.133,139.587,128.257,102.29,87.167,101.316,87.462,104.046,130.903,100,89.877,138.422,137.935,90.075
"12","5","Households and institutions","W503RG3",16.772,17.948,19.001,19.793,20.789,21.755,23.102,24.775,26.656,28.4,30.32,32.992,36.383,39.329,42.039,44.746,47.768,50.339,53.128,55.849,58.307,61.417,63.975,66.508,68.032,70.32,72.641,75.121,76.947,79.514,82.391,84.707,88.38,92.769,96.256,98.363,100,103.83,107.261,111.781,115.306
"13","6","  Households","W504RG3",20.502,21.442,22.422,23.108,23.863,24.453,25.877,27.626,29.754,31.06,32.942,35.404,39.195,43.024,46.152,48.772,52.104,55.346,58.097,61.039,63.912,67.509,69.436,71.43,73.602,75.632,78.224,81.062,83.108,86.241,87.913,89.767,93.579,97.743,99.781,99.414,100,102.132,105.365,110.003,113.308
"14","7","  Nonprofit institutions serving households \3\","W505RG3",12.643,14.076,15.212,16.126,17.397,18.797,20.065,21.66,23.27,25.528,27.512,30.468,33.41,35.329,37.572,40.396,43.081,44.897,47.735,50.215,52.228,54.82,58.008,61.081,61.934,64.476,66.505,68.598,70.187,72.152,76.297,79.121,82.642,87.28,92.329,97.153,100,105.877,109.55,113.918,117.721
"15","8","General government \4\","A194RG3",12.17,13.483,14.73,16.089,17.354,18.51,20.324,21.955,23.711,25.285,27.254,29.897,32.846,35.392,37.626,40.913,43.238,45.071,47.13,49.169,51.38,54.077,57.144,59.871,62.032,64.262,66.091,68.219,70.081,71.927,75.215,78.264,81.612,85.587,90.892,95.291,100,104.647,109.722,113.389,115.971
"16","9","  Federal","B568RG3",9.893,11.258,12.662,14.281,15.381,16.567,18.351,19.656,21.409,22.676,24.422,26.928,29.898,32.237,33.534,37.48,39.333,40.384,41.689,43.646,45.479,47.002,50.072,53.11,54.766,56.688,58.752,62.138,64.466,66.125,69.045,72.315,74.853,81.063,87.21,93.896,100,105.569,111.305,114.018,115.446
"17","10","  State and local","B251RG3",13.484,14.662,15.711,16.81,18.148,19.245,21.027,22.823,24.533,26.257,28.316,30.977,33.839,36.449,39.215,41.991,44.553,46.825,49.297,51.337,53.722,57.035,60.041,62.552,64.946,67.305,69.01,70.577,72.239,74.158,77.588,80.552,84.208,87.344,92.328,95.835,100,104.291,109.113,113.146,116.191
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","1. Equals net domestic product excluding net value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2. Equals net domestic business value added excluding net farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","3. Equals gross value added of nonprofit institutions excluding consumption of fixed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
