"","Table 1#2#3# Real Gross Domestic Product by Major Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92"
"1","[Index numbers, 2005=100]; Seasonally adjusted                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1947 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published April 28, 2011    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/27/2011 9:52:43 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1947,1947,1947,1947,1948,1948,1948,1948,1949,1949,1949,1949,1950,1950,1950,1950,1951,1951,1951,1951,1952,1952,1952,1952,1953,1953,1953,1953,1954,1954,1954,1954,1955,1955,1955,1955,1956,1956,1956,1956,1957,1957,1957,1957,1958,1958,1958,1958,1959,1959,1959,1959,1960,1960,1960,1960,1961,1961,1961,1961,1962,1962,1962,1962,1963,1963,1963,1963,1964,1964,1964,1964,1965,1965,1965,1965,1966,1966,1966,1966,1967,1967,1967,1967,1968,1968,1968,1968,1969
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1
"9","1","    Gross domestic product","A191RA3",14.022,14.001,13.989,14.202,14.427,14.693,14.772,14.794,14.589,14.536,14.699,14.561,15.149,15.61,16.221,16.507,16.715,16.993,17.331,17.36,17.535,17.554,17.672,18.256,18.597,18.738,18.624,18.329,18.242,18.265,18.471,18.841,19.383,19.704,19.967,20.079,19.987,20.144,20.119,20.448,20.574,20.524,20.722,20.504,19.949,20.071,20.541,21.02,21.445,21.987,21.961,22.038,22.532,22.427,22.464,22.175,22.307,22.724,23.092,23.562,23.984,24.249,24.473,24.533,24.854,25.165,25.639,25.834,26.414,26.717,27.08,27.155,27.822,28.2,28.772,29.466,30.189,30.29,30.489,30.736,31.007,31.013,31.261,31.499,32.148,32.694,32.918,33.06,33.581
"10","2","       Final sales of domestic product","A190RA3",14.196,14.289,14.404,14.409,14.472,14.577,14.602,14.728,14.788,14.979,14.972,15.027,15.268,15.679,16.243,16.066,16.541,16.619,17.169,17.424,17.567,17.851,17.677,18.263,18.658,18.806,18.76,18.653,18.544,18.62,18.804,19.118,19.483,19.739,20.026,20.069,20.024,20.247,20.255,20.605,20.785,20.709,20.864,20.859,20.326,20.431,20.729,21.129,21.565,21.937,22.204,22.12,22.362,22.575,22.544,22.654,22.672,22.915,23.091,23.617,23.905,24.312,24.501,24.67,24.834,25.255,25.703,25.971,26.539,26.854,27.187,27.257,27.688,28.189,28.719,29.498,29.99,30.126,30.377,30.463,30.771,31.1,31.258,31.535,32.196,32.519,32.985,33.194,33.537
"11","3","       Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","4","Goods","A353RA3",12.079,11.942,11.73,11.982,12.328,12.407,12.472,12.439,12.05,11.825,12.032,11.734,12.412,12.752,13.669,13.882,13.805,13.909,14.075,14.057,13.957,13.604,13.718,14.44,14.679,14.753,14.653,14.119,14.03,14.065,14.17,14.635,15.266,15.899,16.129,16.254,16.082,16.065,16.125,16.291,16.405,16.291,16.55,15.818,15.143,15.088,15.71,16.118,16.547,17.031,16.836,16.958,17.793,17.456,17.536,16.691,16.815,17.293,17.792,18.15,18.623,18.593,18.835,18.739,19.162,19.243,19.625,19.726,20.262,20.548,21.085,21.065,21.991,22.026,22.593,23.316,24.334,24.188,24.414,24.8,24.662,24.405,24.503,24.439,25.015,25.599,25.706,25.606,26.474
"13","5","    Final sales","A325RA3",12.415,12.464,12.456,12.366,12.443,12.252,12.227,12.365,12.415,12.598,12.518,12.544,12.634,12.888,13.741,13.161,13.531,13.293,13.816,14.182,14.022,14.113,13.726,14.459,14.788,14.872,14.89,14.679,14.553,14.681,14.747,15.116,15.436,15.964,16.237,16.239,16.15,16.245,16.368,16.569,16.783,16.619,16.804,16.441,15.798,15.71,16.026,16.293,16.744,16.922,17.251,17.084,17.473,17.706,17.664,17.53,17.447,17.611,17.766,18.225,18.452,18.677,18.856,18.959,19.096,19.377,19.711,19.945,20.461,20.771,21.257,21.226,21.718,21.977,22.468,23.356,23.947,23.863,24.189,24.272,24.195,24.548,24.473,24.477,25.076,25.234,25.808,25.832,26.365
"14","6","    Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","7","  Durable goods","A354RA3",6.404,6.254,6.238,6.135,6.523,6.169,6.197,6.301,6.085,5.929,6.422,5.878,6.223,6.888,7.873,8.008,7.721,7.897,8.05,7.833,7.79,7.386,7.013,8.151,8.552,8.591,8.66,7.752,7.425,7.562,7.606,8.031,8.693,9.355,9.415,9.4,9.118,8.956,8.888,9.174,9.241,9.17,9.271,8.542,7.521,7.379,7.953,8.418,9.112,9.528,9.104,9.112,10.129,9.494,9.582,8.736,8.434,8.98,9.693,10.017,10.49,10.381,10.763,10.536,10.749,11.001,11.331,11.411,11.979,12.117,12.585,12.41,13.579,13.381,13.976,14.052,15.397,15.115,15.556,15.757,15.078,14.947,15.032,15.211,15.353,15.686,15.883,16.204,16.787
"16","8","    Final sales","A326RA3",6.261,6.185,6.089,6.22,6.399,6.128,6.139,6.221,6.139,6.347,6.371,6.347,6.348,6.577,7.685,7.079,7.331,7.051,7.374,7.697,7.636,7.631,7.012,7.876,8.269,8.372,8.454,8.11,7.832,7.999,7.903,8.153,8.51,9.016,9.247,9.066,8.786,8.844,8.947,9.077,9.239,9.028,9.117,8.83,8.14,7.935,8.119,8.354,8.857,8.975,9.243,8.934,9.294,9.527,9.504,9.274,9.068,9.201,9.398,9.803,10.03,10.226,10.38,10.516,10.565,10.779,11.092,11.37,11.705,11.872,12.216,12.18,12.794,12.91,13.375,13.879,14.577,14.317,14.672,14.797,14.545,14.852,14.745,14.753,15.193,15.249,15.738,15.752,16.363
