"","Table 6#21D# Undistributed Corporate Profits by Industry        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2010   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/27/2011 9:22:29 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"8","1","      Undistributed corporate profits","B057RC0",123068,184333,129506,138509,173755,234846,372975,670454,644675,498393,227175,342921
"9","2","Domestic industries","A3402C0",62576,104514,13299,9670,63947,101189,230265,691874,465735,292288,2040,97897
"10","3","  Agriculture, forestry, fishing, and hunting","N3403C0",-2160,-1475,-1781,-2041,-2807,-1687,-1663,-809,-2701,-253,-3537,-1168
"11","4","    Farms \1\","N3404C0",-1983,-1494,-1611,-1561,-2714,-1533,-1388,-682,-3151,-532,NA,NA
"12","5","    Forestry, fishing, and related activities","N3405C0",-177,19,-170,-480,-93,-154,-275,-127,450,279,NA,NA
"13","6","  Mining","N3406C0",-1059,26,8051,9037,1517,8539,13032,28341,23697,32592,29213,12627
"14","7","    Oil and gas extraction","N3407C0",-221,2408,9318,8551,3520,10816,13134,23281,14413,22574,NA,NA
"15","8","    Mining, except oil and gas","N3408C0",-146,123,-686,-433,-203,-866,-13,4552,4429,3275,NA,NA
"16","9","    Support activities for mining","N3409C0",-691,-2506,-582,919,-1800,-1411,-89,508,4855,6743,NA,NA
"17","10","  Utilities","N3410C0",5861,5255,2474,5466,-3489,-1296,3976,8017,25903,14087,3819,4270
"18","11","  Construction","N3411C0",15862,18048,16597,18426,13203,12043,21757,37604,33342,17826,-6604,3437
"19","12","  Manufacturing","N3412C0",-2126,10192,1304,-72314,-70868,-73776,-17321,215366,41899,36757,-32523,-129424
"20","13","    Durable goods","N3413C0",11238,9927,-1976,-67890,-46937,-51930,-10504,86259,32413,4791,-48683,-53199
"21","14","      Wood products","N3414C0",1545,1524,-776,121,416,1273,2872,3392,-69,-1152,NA,NA
"22","15","      Nonmetallic mineral products","N3415C0",4000,4769,3502,1874,1453,758,2591,5828,1348,2471,NA,NA
"23","16","      Primary metals","N3416C0",2618,-546,-480,-4196,-1199,-2500,6324,7586,9587,8261,NA,NA
"24","17","      Fabricated metal products","N3417C0",6626,6492,6767,2386,2328,-892,6365,11330,9145,8149,NA,NA
"25","18","      Machinery","N3418C0",9993,4535,2662,-2132,-2310,-2512,3277,8866,8892,7792,NA,NA
"26","19","      Computer and electronic products","N3419C0",-7353,-12051,-4483,-48021,-31724,-23477,-11680,41334,3985,-11661,NA,NA
"27","20","      Electrical equipment, appliances, and components","N3420C0",-2310,-2724,-5919,-7593,-10009,-8234,-11523,-9480,-3270,-9540,NA,NA
"28","21","      Motor vehicles, bodies and trailers, and parts","N3421C0",-8979,-1141,-9772,-13513,-9681,-12402,-8489,-2519,-10950,-15610,NA,NA
"29","22","      Other transportation equipment","N3422C0",2469,5338,3981,2885,1942,-2613,-1312,7938,7522,12592,NA,NA
"30","23","      Furniture and related products","N3423C0",1927,1929,1452,413,703,737,803,1867,2475,1112,NA,NA
"31","24","      Miscellaneous manufacturing","N3424C0",701,1803,1090,-114,1143,-2069,267,10117,3748,2377,NA,NA
"32","25","    Nondurable goods","N3425C0",-13364,265,3281,-4424,-23930,-21846,-6817,129107,9487,31966,16161,-76225
"33","26","      Food and beverage and tobacco products","N3426C0",-3342,10347,5769,7194,90,1698,-5475,17033,5390,4067,NA,NA
"34","27","      Textile mills and textile product mills","N3427C0",872,966,142,-959,-603,-1220,-185,-51,172,-32,NA,NA
"35","28","      Apparel and leather and allied products","N3428C0",707,156,1000,413,1949,663,927,1396,500,-72,NA,NA
"36","29","      Paper products","N3429C0",-1440,113,1247,-4538,-3540,-3901,-264,5296,3622,797,NA,NA
"37","30","      Printing and related support activities","N3430C0",2210,1994,1629,1083,1278,930,1165,2415,2217,2529,NA,NA
"38","31","      Petroleum and coal products","N3431C0",-6981,-8194,10171,14175,-12761,-13814,6440,26968,10776,34927,NA,NA
"39","32","      Chemical products","N3432C0",-8529,-7254,-16459,-20883,-10969,-6870,-11709,75312,-13351,-12857,NA,NA
"40","33","      Plastics and rubber products","N3433C0",3140,2136,-220,-909,626,667,2284,737,160,2607,NA,NA
"41","34","  Wholesale trade","N3434C0",13653,24064,25075,14971,19077,23991,30867,40620,45882,44837,21116,27292
"42","35","    Durable goods","N3435C0",8482,14906,14451,5821,9582,10182,20438,32552,29064,24653,NA,NA
"43","36","    Nondurable goods","N3436C0",5171,9158,10623,9150,9494,13809,10429,8068,16818,20184,NA,NA
"44","37","  Retail trade","N3437C0",31310,28032,25763,32723,40060,40503,44954,67455,65801,57309,27699,46033
"45","38","  Transportation and warehousing","N3438C0",10943,7043,6295,-7188,-6468,-2038,1744,12737,20663,7021,7117,9100
"46","39","    Air transportation","N3439C0",5361,3515,1031,-11024,-13462,-7161,-7703,-5259,2311,-885,NA,NA
"47","40","    Rail transportation","N3440C0",-633,-1206,1246,-90,789,273,1115,4003,6005,4591,NA,NA
"48","41","    Water transportation","N3441C0",-39,-310,93,-112,-138,-210,-214,804,621,-519,NA,NA
"49","42","    Truck transportation","N3442C0",2039,1445,1045,960,1831,1868,3959,5451,4563,2203,NA,NA
"50","43","    Transit and ground passenger transportation","N3443C0",508,256,436,133,532,338,479,521,546,442,NA,NA
"51","44","    Pipeline transportation","N3444C0",126,-253,-877,152,321,69,112,45,197,368,NA,NA
"52","45","    Other transportation and support activities \2\","N3445C0",3299,3322,3203,2717,3443,2857,3873,6648,5657,639,NA,NA
"53","46","    Warehousing and storage","N3446C0",283,274,118,77,218,-72,125,524,762,181,NA,NA
"54","47","  Information","N3447C0",-20093,-36681,-66200,-50727,-25559,-33460,-21212,43513,34755,26332,16484,17395
"55","48","    Publishing industries (includes software)","N3448C0",-640,3332,-10882,-5856,2143,-1075,-26460,13224,-510,-9991,NA,NA
"56","49","    Motion picture and sound recording industries","N3449C0",-3388,-1419,-2020,1135,5067,-440,3643,-291,-1147,-1066,NA,NA
"57","50","    Broadcasting and telecommunications","N3450C0",-9632,-29467,-33393,-33202,-31565,-31324,-4423,27618,30083,33819,NA,NA
"58","51","    Information and data processing services","N3451C0",-6432,-9126,-19906,-12803,-1204,-620,6028,2962,6329,3569,NA,NA
"59","52","  Finance and insurance","N3491C0",-9667,13494,-35127,5955,24675,53346,85077,112992,78419,-812,-136655,-12657
"60","53","    Federal Reserve banks","N3453C0",-1309,890,5461,1357,-1463,-2463,1378,4319,3913,403,NA,NA
"61","54","    Credit intermediation and related activities","N3492C0",27607,31566,29113,44774,57880,52935,41877,53440,37737,29663,NA,NA
"62","55","    Securities, commodity contracts, and investments","N3493C0",-18725,-19064,-43772,-24335,-5436,-5249,313,1707,-4745,-51114,NA,NA
"63","56","    Insurance carriers and related activities","N3456C0",-9370,-3874,-15839,-11245,-3746,10608,44048,51275,44302,27499,NA,NA
"64","57","    Funds, trusts, and other financial vehicles","N3457C0",-7871,3976,-10090,-4594,-22559,-2485,-2539,2251,-2788,-7263,NA,NA
"65","58","  Real estate and rental and leasing","N3458C0",-6301,-5169,-8156,-9604,-8844,-10681,-13123,-6602,-13410,-27235,-28710,-24360
"66","59","    Real estate","N3459C0",-7060,-5146,-6481,-9442,-8330,-8779,-9447,-11379,-18619,-31066,NA,NA
"67","60","    Rental and leasing services and lessors of intangible assets \3\","N3460C0",759,-23,-1675,-162,-514,-1902,-3676,4778,5210,3831,NA,NA
"68","61","  Professional, scientific, and technical services","N3461C0",1654,-771,-22915,-14064,-3316,-683,5471,7895,5933,6182,-24,2692
"69","62","    Legal services","N3462C0",2909,2599,3425,4009,4438,3191,4193,5596,5381,5347,NA,NA
"70","63","    Computer systems design and related services","N3463C0",-790,-4792,-19034,-12883,-7226,-2593,-1755,-4079,-3201,-2635,NA,NA
"71","64","    Miscellaneous professional, scientific, and technical services \4\","N3464C0",-465,1422,-7306,-5190,-528,-1281,3033,6378,3753,3470,NA,NA
"72","65","  Management of companies and enterprises \5\","N3465C0",11675,17643,32923,45329,48900,48253,34603,64457,48170,29464,65866,85893
"73","66","  Administrative and waste management services","N3468C0",-987,3818,2449,3713,2950,5230,5495,10249,6530,9647,5202,3760
"74","67","    Administrative and support services","N3469C0",989,3634,1920,2821,1594,3039,4332,7598,8030,6501,NA,NA
"75","68","    Waste management and remediation services","N3470C0",-1976,184,529,892,1356,2190,1163,2651,-1500,3145,NA,NA
"76","69","  Educational services","N3471C0",1340,896,1049,1035,1657,1505,2442,3291,3257,3123,1414,3463
"77","70","  Health care and social assistance","N3472C0",8599,12573,16334,20632,23126,24475,25545,32847,33298,27581,30807,48456
"78","71","    Ambulatory health care services","N3473C0",6709,8896,10487,14339,15027,16465,17287,21982,21924,19826,NA,NA
"79","72","    Hospitals and nursing and residential care facilities","N3477C0",1700,2873,3779,3723,5507,5162,5383,6888,7208,3531,NA,NA
"80","73","    Social assistance","N3478C0",190,804,2068,2570,2592,2848,2876,3977,4166,4224,NA,NA
"81","74","  Arts, entertainment, and recreation","N3479C0",-335,-421,-1331,-44,254,-591,-320,402,1066,-1441,-612,855
"82","75","    Performing arts, spectator sports, museums, and related activities","N3480C0",-275,-187,-477,-8,-168,318,417,-54,775,-967,NA,NA
"83","76","    Amusements, gambling, and recreation industries","N3481C0",-60,-233,-855,-37,422,-909,-737,456,290,-474,NA,NA
