"","Table 1#5#6# Real Gross Domestic Product, Expanded Detail, Chain","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68"
"11","3","  Goods","DGDSRX1",1873.2,1885.8,1908.7,1926.7,1942.1,1980,1994.1,2018.3,2045.5,2043.9,2097.4,2126,2142.5,2198.9,2232.4,2300.6,2329.1,2384.2,2412.9,2454.9,2492.4,2506.1,2532.8,2555.4,2562.1,2569.5,2588.8,2683.1,2677.8,2690.6,2725.1,2732.8,2752.4,2800,2876.4,2890.6,2919.4,2931.8,2966.4,3003.6,3032.6,3075.1,3098.4,3089.5,3145.7,3150.8,3176.4,3222.5,3241.1,3252.4,3271.9,3281,3232.6,3235.2,3171.4,3082.3,3095.7,3084,3138.2,3151.8,3195.4,3222.6,3255.2,3328.4,3367.2
"12","4","    Durable goods","DDURRX1",498.5,503.6,517.8,526.8,532.5,549.4,553.3,564.1,579.4,577.5,603.3,618.7,623.9,655.7,674.6,714.6,716.4,750.9,769.1,778.7,822.5,807.7,821.7,827.7,841.8,841.3,851.5,923.1,912.5,922.1,949.1,936.6,937.5,974.1,1013.2,1019.8,1031,1038.3,1058.7,1076.1,1083.3,1113.6,1126.7,1098.4,1142.3,1139.4,1152.1,1167.9,1181.2,1194.5,1205.7,1212.9,1178.6,1170,1133.2,1063.9,1076.6,1068.2,1118.3,1115.1,1138.9,1157.8,1179.3,1237.2,1268.8
"13","5","      Motor vehicles and parts","DMOTRX1",251.6,251.4,257.6,262,264.7,268.8,268.2,270.4,282.5,272.9,290.7,298.5,289.8,312.2,316.4,345.8,329.6,353.1,354.2,343.7,372.9,346.1,352.2,353.3,363.1,357,361.3,415.9,386.3,388.5,412.9,388.5,388.8,405.3,417.5,409.5,409.2,407.5,412.3,416.3,408.8,423.7,427.6,378.5,393.3,393.2,400.3,399.7,401.6,407.4,404.4,402,383,362.1,339.8,307.9,317.1,313.5,342.7,322.7,320.6,326,330.1,364.8,376.3
"14","6","      Furnishings and durable household equipment","DFDHRX1",130.8,132,133.9,135.5,134.4,139.2,139.3,142.3,142.8,143.4,146.5,148.5,152.4,154.8,158.4,163.5,168.3,172.3,178,183.6,188.2,191.8,194.3,195.5,198.4,200.2,202.1,208.2,214.8,216.7,216.3,220.1,219,227.1,236.2,240.2,243.4,246.7,252.3,254.8,257,261,265.4,272.2,279.3,276.2,277.6,278.8,282.4,280,281.3,282.1,275.7,279.1,271.4,259.1,253.6,249.3,253.5,259.3,267.9,273.7,277.5,284,288.8
"15","7","      Recreational goods and vehicles","DREQRX1",71.3,73.4,77.9,79.9,81.9,86.4,88.9,92.1,95,98.9,103,106.6,111.8,117.3,124.9,130.7,136.7,143.3,150.5,157.6,167.7,170.1,174.5,178.4,181.4,186.5,190.8,200.6,207.8,211.2,214,218.5,221.1,230.6,244.5,251.6,258.7,264.3,273.4,281.4,291.6,299.8,305.3,316.7,334.5,336.6,343,358.8,366.6,374.4,387.2,396.7,391.3,403,398.9,381.5,389.4,387.2,402.8,417.9,430.7,440.3,453.2,466.5,481.4
"16","8","      Other durable goods","DODGRX1",69.4,70.1,70.3,71.1,72.5,74.8,75.3,76.8,77.2,77.2,79,81.1,82.9,85.8,87.4,89.3,93.1,94.3,97.1,102.1,102.7,105.9,106.5,105.9,104.4,101.9,101.2,104.4,107.3,109.3,110.1,112.6,111.2,113.7,117.2,120,120.9,120.6,121.3,123.9,125.9,129.1,128.3,131.1,135.5,133.8,131.9,132.2,132.5,134.9,136,136.2,133.3,132.6,130.5,123.3,125.1,126.5,128.1,127.8,133.4,132.7,134.8,136.1,137.8
"17","9","    Nondurable goods","DNDGRX1",1428.1,1435.2,1440.3,1447.7,1457.1,1475.8,1486.3,1498.3,1507.4,1508.3,1532.5,1543.3,1554.7,1573.9,1585.5,1607.2,1636.9,1652.3,1660.1,1694.1,1679.5,1713.1,1724.7,1741.6,1731.4,1739.7,1748.1,1763.2,1770.4,1772.7,1777.7,1800.2,1819.5,1828,1863.8,1871.3,1888.9,1894,1907.8,1927.6,1949.6,1961.5,1971.8,1990.7,2003.7,2011.6,2024.5,2054.7,2060.2,2059,2067.7,2070.3,2054.5,2064.6,2035.6,2010.1,2012,2008.3,2016.9,2032.3,2053.5,2063.4,2076.2,2097.4,2108.2
"18","10","      Food and beverages purchased for off-premises consumption","DFXARX1",549.9,547.2,547.3,549.7,552.2,554.8,553.7,555.5,559.4,556.5,559.8,559.8,559.3,563.8,567.6,571.5,578.3,584,589.1,598.1,592.2,600.9,601.7,607.6,605.4,609.4,607.3,608.3,605.8,606.8,609.2,614.4,622.6,617.2,626.5,623.3,634.5,635.7,639.1,647.6,656.6,658.6,669.9,674.9,676.7,684.2,686.6,697.5,697.3,693.5,696.4,702.7,700.3,699.8,691.2,675.1,675.2,681.2,687.8,696.3,702.7,697.6,703,711.5,713.6
"19","11","      Clothing and footwear","DCLORX1",197.6,199.7,203.3,203.5,204.9,210,213.5,214.8,214.9,213,220.1,222.9,227.6,231.5,229.8,235.1,243.6,245.7,247.4,248,252,257.5,260.3,262.5,258.3,260,259.7,264.1,267.1,267.3,265.6,273.9,274.2,281.8,288.8,288.9,296.4,292.9,296.9,303,307.4,314.7,315.1,325,329.5,327.2,331.7,337.5,341.7,342.9,345.7,345,343.1,351.6,341.4,330.8,328.2,324.6,324.9,329.5,339,344.3,343.4,353.4,357.8
"20","12","      Gasoline and other energy goods","DGOERX1",264.1,266.2,263.2,263.8,267.4,269.1,269.2,268.4,270.2,273.9,275.1,276.4,278.8,283.3,285.9,287.1,289,295.5,291.9,293.4,282.9,288.3,289.5,287.8,289.1,285.4,290.7,291.6,290.6,294.1,295.7,295.6,296.1,299.4,304.9,308.2,306.9,307.5,305.6,306.1,309.8,306.4,302.7,300.3,296.4,297.2,300,299.9,298.4,296.4,296.1,292.8,287.2,284,274.7,282.2,287,286.5,285.1,283.5,284,286.1,286.1,281.7,280.8
"21","13","      Other nondurable goods","DONGRX1",437,442.3,444.1,448.5,451.2,459.1,465.7,474.5,478.4,482.3,492.8,498.9,502.9,509.6,517.7,527.2,537.2,540.2,542.8,564.8,558.5,572.2,578.5,587.8,584,588.8,595.5,603.3,609.8,608.8,611.9,619.3,629,632,645.8,653.6,652.7,659.5,667,671.2,676.1,681.6,683.8,690.7,701.9,703.7,706.9,721.1,724.7,728.5,732.1,732.8,727.7,735.2,736.1,726.1,725.6,719.2,721.7,726,731.9,740,748,757,763.2
"22","14","  Services","DSERRX1",4159.1,4196.7,4226.6,4250.5,4292.1,4320.6,4343.7,4369.3,4404.8,4434.7,4487.4,4533.1,4583.5,4639.4,4695.8,4728.5,4768.5,4822.4,4880.3,4940.1,5014.8,5073.1,5120.1,5165.1,5189.3,5211.4,5225.4,5248.6,5282.7,5310.5,5329.2,5350.1,5371.8,5398.7,5435.7,5467.5,5518.3,5551.7,5589.6,5650.8,5686.4,5727.9,5767.1,5798.9,5841,5884.2,5914.3,5959.4,5994.4,6018.3,6038.7,6061.7,6090.6,6090.2,6070,6078.5,6053.6,6027.7,6020.7,6028.7,6029.6,6053.4,6076.9,6099.2,6124.9
"23","15","    Household consumption expenditures (for services)","DHCERX1",4021.4,4057.7,4087,4108.1,4144.9,4171.6,4193.6,4223,4266.7,4297.6,4350.5,4394.2,4440,4491.2,4542,4569.2,4608,4660.8,4717.5,4775.3,4844.6,4902.2,4942.5,4982,5005.3,5023.3,5033.9,5052.9,5083.2,5106.1,5116.4,5131.8,5154.1,5178,5215.6,5248.2,5298.3,5333.6,5372.6,5432.7,5473,5514.2,5554.4,5582.5,5618.2,5652.1,5671.4,5716,5753.7,5780.8,5792.4,5805.9,5830.2,5828.5,5802.1,5803.6,5793.5,5778.4,5766.5,5769.7,5769.9,5791.7,5814.4,5840.6,5869
"24","16","      Housing and utilities","DHUTRX1",1217.4,1232.1,1244.3,1245.7,1258.4,1260.8,1258.2,1269.4,1273.7,1284.9,1292.8,1310.2,1312.3,1328.6,1339.3,1338.9,1354.2,1368.2,1382.6,1382.1,1388.1,1406.3,1418.6,1441.7,1449.5,1448.3,1454.6,1453.6,1453.7,1460,1462.6,1471.6,1475.5,1478.4,1478.5,1488.4,1496.4,1504.5,1512.7,1537.4,1556.6,1577.7,1594.3,1602.8,1598.9,1617.8,1627.6,1622.5,1625.8,1624.8,1628.6,1626.2,1636.3,1637.6,1630.9,1649.7,1650.1,1652,1659.4,1666.3,1664.3,1668.9,1683,1681.7,1680.7
"25","17","      Health care","DHLCRX1",940.3,944.6,950.3,954.8,955.2,964.6,968.2,980.3,985.6,990.9,1001.2,1010.7,1023.3,1028.2,1032.9,1033.6,1035.8,1039.9,1048.4,1058.3,1064.4,1078.5,1085.8,1097.3,1113.1,1125.7,1142.3,1160.6,1183.5,1200.3,1209.6,1215.9,1221.6,1224.8,1232.2,1239,1247.4,1260.9,1277.6,1288.7,1304.4,1311.1,1321.3,1327,1337.3,1339.2,1335.8,1347.7,1362.9,1368.2,1372.9,1382.3,1401.5,1411,1410.1,1417.4,1430,1442.1,1441.6,1447.9,1446.7,1457.6,1461.9,1478.3,1487.5
"26","18","      Transportation services","DTRSRX1",208.7,211,215.5,220.1,225.6,229.2,233,237.7,244.4,247.4,251.2,252.2,254.5,257.7,260.6,263.9,267.6,270.9,276.2,279.3,282.9,285.9,287.6,288.5,288.5,287.1,281.7,277,277.7,275.3,275.1,275.2,275.8,274.5,277.7,278.9,280.8,283.2,283.7,285.2,285.2,286.1,287.2,285.1,283.2,284.7,284.5,287.5,289.2,289.1,287.8,285.9,282.2,277.2,271.3,261.5,254.4,251.3,249.3,248.6,250.8,253.3,255.7,255.9,254.1
"27","19","      Recreation services","DRCARX1",237.8,244,247.7,251.6,252.3,254.9,258.8,259.4,261.9,263.7,264.8,267.5,270.8,271.1,274.4,276.9,279.3,283.8,290,293.4,293.2,295.8,296.3,295.6,298,295,293.4,293.2,295.2,295.6,296.4,299.7,299.1,303.2,307.6,312,317.3,320.6,322.2,322.8,326,326.2,326.5,328.4,332.4,334,338.1,345.2,346.9,350.2,353.9,354,353.7,352.6,348.5,345.4,345.8,343.3,339.5,338.6,338.5,338.2,341.8,340.2,340.5
"28","20","      Food services and accommodations","DFSARX1",415.4,416.1,416.7,415.9,416,418.1,418.7,422.4,426.6,426.5,431,428,432.8,438.2,439.8,446,444.5,447.2,449,459.5,467,471.1,472.8,471.3,474.8,470.2,467.6,467,473.8,477.5,478.4,479.2,482.6,489.9,499.2,502.5,506.1,506.2,509,513.8,516.5,524.5,527.2,533,544.7,538.7,538.7,544.4,544.1,549.1,553.1,558.4,551,552.9,548.1,538.3,532.2,527.2,525.4,526.1,535,538.3,542,545.7,554.2
"29","21","      Financial services and insurance","DIFSRX1",482,487.6,492.4,495.6,503.9,508.6,506.6,512,517.2,518.3,531.3,534.2,540.3,553,564.5,576.6,582.9,597.9,610.4,631.2,662.4,664.2,666.5,668.4,659.1,658.9,656.6,668.4,662.3,657.9,659.4,653.8,647.9,653.2,660.8,669.3,683.1,686.7,690.6,706.6,703.2,710.8,717.2,719.3,726,731.3,735.6,748.8,755.9,765.7,769.8,774.2,774.9,772.1,772.8,763.9,753.9,746.2,739.4,732.5,727.4,729.5,720.7,725.9,736.6
"30","22","      Other services","DOTSRX1",522.5,525.1,522.8,526.6,535.7,537.3,551.8,543,558.2,566.8,578.8,592.4,607,615.3,631.1,633.3,643.6,652.5,660.3,670.5,685,699.3,713.9,718.5,721.3,737.7,737.6,733.8,737.3,739.5,735.1,736.2,751.4,753.9,759.4,758.1,767.2,771.7,776.9,778.1,781,777.9,780.7,786.8,795.8,806.3,811,820.1,829.3,834.1,826.7,825.3,831.2,825.8,821.1,828.1,827.9,817.2,812.7,810.1,807.7,806.1,809.5,812.9,815.5
"31","23","    Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRX1",140.3,141.6,142.2,145.1,150,151.8,152.9,149.1,140.9,139.9,139.7,141.8,146.4,151,156.5,161.8,163,164.2,165.4,167.4,172.8,173.6,179.9,185.1,186.1,189.8,192.9,196.8,200.4,205,212.8,218.1,217.6,220.5,220,219.2,220,218.1,217,218.2,213.4,213.7,212.8,216.4,222.8,232.1,243.1,243.6,240.9,237.5,246.5,256.4,261.1,262.4,269.1,276.7,260.7,249,254.6,259.9,260.6,262.9,263.5,259.1,256.1
"32","24","      Gross output of nonprofit institutions \2\","DNPERX1",632.6,634.8,636.9,641.4,644.2,651.5,655.5,662.4,657.8,659.6,665.5,672.2,684.9,691.9,701.4,708.6,713.3,717.2,722.8,730.6,736.9,744.2,752.6,762.3,770.9,779.1,789.8,801.4,815.3,828,838.4,842.8,841.9,843.3,844.4,846.4,851.5,856.3,864.1,870.5,871.6,872.2,874.5,880.3,891.5,899,903.7,909.8,919.1,919.2,921.5,930.4,940.3,943.8,946.4,956.7,952.8,951,950.3,954.1,952,959.9,962.7,970.7,973.3
"33","25","      Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRX1",495.4,496.2,497.7,499.3,497.1,502.5,505.4,516.4,520.3,523.3,529.4,534.1,542.2,544.3,548,549.5,553,555.6,560,565.7,566.3,572.9,574.4,578.5,586.4,590.6,598.1,605.5,615.9,623.8,625.8,624.5,624.1,622.6,624.3,627.1,631.4,638.3,647.1,652.3,658.2,658.5,661.7,663.8,668.7,667,660.9,666.5,678.4,681.7,675.3,674.7,680,682.2,678.5,681.7,692.4,701.2,695.6,694.7,692,697.6,699.7,711.3,716.5
"34","26","Gross private domestic investment","A006RX1",1282.1,1247.6,1235.6,1270.4,1287.1,1353.8,1422.1,1418.2,1451.3,1544,1571.4,1596.5,1672.7,1652.7,1700.1,1754.7,1810,1803.7,1848.9,1914.6,1887.8,2018.5,1987,1987.8,1882.7,1876.7,1837.1,1731.2,1789.3,1810.8,1814.5,1813.2,1813.1,1823.7,1889.9,1959.8,1970,2055.6,2082.2,2125.2,2170.3,2131.5,2154.9,2232.2,2264.7,2261.2,2229.6,2166,2146.1,2195.1,2178.9,2126.1,2074.3,2033.8,1967.2,1753.8,1529.5,1453.2,1494.5,1585.7,1690.2,1791.5,1855.1,1761.3,1797.5
"35","27","  Fixed investment","A007RX1",1224.7,1220.1,1236.2,1261.9,1293.8,1335.9,1366.8,1389.6,1416.8,1447.3,1503.1,1516,1561.6,1616,1646.8,1697.1,1728.6,1769,1810.2,1820.4,1873.7,1920.8,1927.5,1933.3,1921.8,1891.7,1871.9,1824.9,1808.7,1801.5,1798.4,1783.9,1784.1,1829.7,1888.7,1922.4,1918.6,1977.7,2019.7,2053.9,2079.2,2116,2143,2151,2200.2,2189.9,2162.2,2132.9,2127.7,2147.2,2140.8,2114.9,2081.6,2057.3,1993.3,1855.6,1663.4,1619.6,1622.4,1617.1,1630.5,1702.5,1708.8,1737.3,1740.2
"36","28","    Nonresidential","A008RX1",781.5,787,792.2,808.2,828.2,852.1,880.4,904.2,927.3,950.3,998.8,1006.8,1041.6,1079.7,1096,1132.2,1158.4,1190.9,1225.1,1229,1274.7,1321.7,1336.3,1341.5,1328.7,1293.8,1272.5,1232.2,1203.4,1183.9,1177.8,1155.6,1150.4,1181.4,1208.3,1224,1214.3,1247,1281.2,1309.6,1321.5,1340.8,1359.7,1367.3,1424.9,1450.3,1466,1474.5,1499,1539.1,1574.1,1595.9,1603.7,1597,1561.5,1464.2,1313.7,1288.3,1282.9,1278.3,1302.6,1355.3,1388,1413.9,1420.2
"37","29","      Structures","B009RX1",336.5,343.2,345.7,342.8,348.9,356.5,360.9,379.3,382.6,379.2,393.5,396.2,392,413.1,413.2,412.6,410.9,405.9,405.6,410.4,418.4,435.7,452.1,454,441.5,443,445.5,403.2,381.4,360.7,344.7,339.6,336.2,346.3,345.6,343.9,341.9,345.9,349.4,349.7,356,354.6,347.2,349.3,364.8,383.7,393.2,394.6,404.8,430.6,454.6,462.9,462.7,471.2,466.9,456.1,399.7,377.8,365.5,335.3,319.3,318.9,316,321.9,302.7
"38","30","      Equipment and software","B010RX1",486.8,488,491.2,506,519.8,536,557.7,568.2,586,607.6,641.3,646.7,679.6,700.4,714.6,747,771.3,803.4,834.3,834.6,870.7,901.6,903.7,907.1,904.2,870.9,849.2,843.3,832.9,830.5,837.3,820.4,818.3,839.5,865.7,882,874.4,902.5,932.5,959.8,965.6,986,1012.5,1018.2,1060.7,1066.3,1072,1079.3,1093,1104.6,1112.6,1125.7,1134,1116.5,1084.1,993.3,903.4,903.8,913.1,944.7,989.7,1046,1084.2,1104.5,1135.2
"39","31","        Information processing equipment and software","A679RX1",140.5,147.4,150.6,159.4,167.9,175.2,183.5,189.8,201.8,213.3,229.6,238.5,254.4,265.3,274,290.6,306.6,329.4,344.6,347.6,370.9,389.9,397,409.7,409.1,392.1,381.7,377.7,375.8,379,385.9,376.8,386,391.1,412.5,430.4,431.4,438.6,446.7,455.6,462,471.2,481.5,486.4,505.7,508.9,520.4,524.1,546.5,550.2,561.5,583.8,597.4,606.2,598.1,577.2,567.3,581.4,601.8,632.9,645.7,669.1,683.3,706.8,712.8
"40","32","          Computers and peripheral equipment \4\","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","33","          Software \5\","B985RX1",63.6,65.5,67.9,70.6,73.4,76.5,79.8,84.3,93.2,98.2,104.4,110.9,115.1,119.1,125,132.2,138.6,148.6,156.9,161.9,167.5,172.1,172.5,177.7,179.1,175,172.9,167.7,169.2,173.7,177.6,173.2,177.2,179.1,189.4,196.6,199.1,200.4,206.6,212.5,213.4,218.6,219.9,220.1,222.4,224.8,228.5,232.8,238.9,239.2,241.1,244.2,253.4,254.8,256.3,255,250.7,256.2,260.7,269.5,275.4,280.9,287.5,295.3,301.9
"42","34","          Other","A937RX1",93.4,94.2,92.6,94.6,99,101.8,104.7,105.1,105.9,108.7,114.8,116.5,122,124.5,125.5,130.1,132.3,139,144.3,144,159.3,166.2,170.4,177.6,172.3,163.7,160.3,156.7,149.2,149.6,149.3,145.5,148.8,151.8,159.5,165.7,166,169.9,168.7,167.8,174.9,176.3,181.7,180.6,192.2,189.8,191.9,191,201.4,205.8,210.9,224.5,221,224.1,219.3,207.4,204.8,209.5,220.3,227.4,232.3,239.5,245.9,254.1,254.8
"43","35","        Industrial equipment","A680RX1",143.6,145.8,146.9,145.6,149,151.8,150.4,152.2,151.4,154.3,155.2,155.6,163.4,162,158.7,159.2,159,161.2,163.4,163.7,171.5,176,179.2,176.4,176.8,164.3,157.4,152.9,154.2,150.2,152,151.2,150.4,156.2,152,148,141.9,145.2,149.7,152.7,156.2,154.4,160.7,167.2,165.1,176.2,174.7,175.6,172.6,185,185.4,176.5,177.6,176.2,172.4,162.8,138.2,132.8,129.3,128.3,128.4,140.7,143,146.7,151.7
"44","36","        Transportation equipment","A681RX1",142.4,128.4,125.9,129.4,127.8,131.7,144,143.8,144.2,147.5,155.2,145.9,148.7,155.4,163.8,180.2,181.9,187.7,199.3,192.2,190.7,193.1,185.4,175.5,170.4,171.5,164.5,171.8,163.1,155.1,152.7,145.9,131.5,142.5,144,143.7,142.5,156.8,169,181.1,174.3,180.1,189.7,182.7,202.6,194.1,193.7,195.5,195.1,184.1,181.3,182.6,182.1,158.1,136.5,95.3,64.2,70.5,68.5,74.5,95.8,110.2,124.8,117.5,129.7
"45","37","        Other equipment","A862RX1",111.2,110.4,109.8,111,112,113.4,116.4,117.4,120.2,122.2,129.8,131.3,136.8,140.7,139.9,137.7,142.4,140.3,141.9,145,149.1,152.5,150.1,150,152.2,148,150.6,146.3,144.5,149.6,149.3,149.2,151.2,151.5,157.8,159.6,158.2,161.7,167.2,170.6,173.2,180.3,180.5,181.7,187.3,187,183.4,184.3,179.9,185.8,185.6,185.6,180.8,181.1,182.3,165.7,148.1,136.4,134.1,132.7,142.4,147.8,154.5,156.8,162.7
"46","38","    Residential","A011RX1",457.7,443,456.7,467,479.3,499.5,498.2,493,494.7,500.9,503.2,508.4,517.5,533,549,562.2,565.5,571.6,576.4,583.4,588,584,573.7,574.2,576.8,584.9,588.1,583.1,598.7,613.4,616.9,626.4,632.4,646.8,679.8,698.2,704.5,731,738.4,744.2,757.7,775.3,783.3,783.5,775.2,740.1,697.4,660.2,631.3,611.4,570.6,523.3,482.2,464.4,435.6,394.7,352.7,333.9,342.4,341.7,330.7,350.1,323.3,325.9,322.5
"47","39","  Change in private inventories","A014RX1",65.9,37.7,8.2,16.5,3.2,26.8,62,32.8,43.2,103.9,75.4,87,117.2,43.2,60.6,65.5,89.4,41.1,44.6,99.1,18.7,101,63.1,58.1,-34.8,-10.7,-30.8,-90.7,-15.1,13.4,19.8,32.9,31.5,-3.5,3,38.3,52.4,78.7,62.7,71.6,91.4,15.5,11.8,81,65.8,72.5,67.5,31.8,17.3,44.9,36.1,12.6,-8.2,-20.6,-27.4,-94.3,-125.8,-161.8,-128.2,-36.7,44.1,68.8,121.4,16.2,43.8
"48","40","    Farm","B018RX1",-5.9,-13.6,-26.4,-6.2,-2.9,7.4,27.4,1.3,-10.8,8.2,10.1,7.2,6.3,-3,2.6,0.7,-2.1,1.4,-11.2,-2.9,-20.1,7.2,-2.2,8,5.9,-3.4,2.7,-4.9,5.1,-13.3,-3.1,-0.9,4,-1.3,0.4,-2.5,3.2,17.7,7,3.7,-6.9,0.2,4.6,2.6,3.8,-8.2,-6.3,-4.1,5.2,-5,-2.5,-0.9,-7.6,4.4,1.6,5.7,2,6,-0.6,6.4,7.6,7.8,5.1,1.2,-0.9
"49","41","    Nonfarm","A015RX1",71.2,50.1,32.8,22.9,6.2,19.8,35,31.7,53.3,95.7,65.5,79.8,110.6,45.6,57.6,64,90,39.3,53.5,100.3,36.5,93.7,64.3,50.5,-40.1,-7.4,-33.1,-85.5,-19.5,25.5,22.6,33.6,27.5,-2.3,2.5,41.3,49.4,60.2,55.7,68.1,98.4,15.3,7.2,78.4,62.3,80.4,73.9,36.2,12,50.3,38.9,13.7,0.2,-25.6,-29.4,-101.1,-128.6,-168.5,-127.7,-43,36.5,61,116.6,15.1,45.8
