"","Table 1#2A# Real Gross Domestic Product, Chained (1937) Dollars","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"1","[Billions of chained (1937) dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1947",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 28, 2000     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 7/31/2003 7:28:12 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947
"8","1","    Gross domestic product","A191AX1A",87.2,79.7,74.7,64.9,64,70.9,77.3,87.3,91.9,88.7,95.9,104.1,121.9,144.3,168.1,181.9,179.7,159.8,158.7
"9","2","Personal consumption expenditures","A002AX1A",63,59.7,57.8,52.7,51.5,55.1,58.5,64.4,66.8,65.7,69.4,73,78.2,76.4,78.5,80.8,85.8,96.4,98.3
"10","3","  Durable goods","B003AX1A",7.3,6.1,5.2,3.9,3.8,4.4,5.4,6.6,6.9,5.7,6.7,7.8,9,5.5,4.8,4.4,4.9,9.4,11.2
"11","4","  Nondurable goods","B004AX1A",30.8,29.4,29.2,26.9,26.4,28.7,30.4,34,35.2,35.7,37.6,39.2,41.9,42.6,44,45.8,49.1,51.8,50.4
"12","5","  Services","B005AX1A",24.8,24.2,23.4,21.9,21.2,22,22.7,23.8,24.7,24.4,25.1,26,27.4,28.5,30,31,32.1,35.1,36.8
"13","6","Gross private domestic investment","A006AX1A",12.2,8.1,5.1,1.5,2.3,4.1,7.6,9.7,12.2,8,10.3,14.4,17.6,9.3,5.5,6.8,9,22.7,21.9
"14","7","  Fixed investment","A007AX1A",13.3,10.2,7.1,4.1,3.6,4.7,6.1,8.1,9.5,7.6,9.1,10.9,12.4,7,5.4,6.7,9.1,16.6,20
"15","8","    Nonresidential","A008AX1A",9.8,8.1,5.3,3.2,2.9,3.6,4.6,6.2,7.5,5.5,6.1,7.6,8.9,5.3,4.4,5.8,8.2,11.9,13.8
"16","9","      Structures","B009AX1A",5,4.3,2.7,1.7,1.3,1.5,1.6,2.1,2.7,2.2,2.3,2.6,3.1,1.9,1.4,1.8,2.4,4.8,4.4
"17","10","      Equipment and software","B010AX1A",5,4,2.6,1.5,1.6,2.2,3,4.1,4.8,3.3,3.8,5,5.8,3.3,3,4,5.8,7,9.5
"18","11","    Residential","A011AX1A",3.5,2.2,1.8,1,0.8,1.1,1.5,1.9,2.1,2.1,2.9,3.3,3.5,1.8,1.1,0.9,1.1,4.5,5.8
"19","12","  Change in private inventories","A014AX1A",1.6,-0.9,-1.7,-4,-2.1,-1.1,1.6,1.2,2.6,-0.4,0.1,3,4.7,1.9,-0.8,-0.7,-1.7,4.7,-0.9
"20","13","Net exports of goods and services","A019AX1A",0.7,0.4,0.2,0,-0.1,0.1,-0.5,-0.3,0,0.9,0.9,1.4,0.8,-0.5,-2,-2,-1.1,4.5,6
